Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
5.7,1,18,1,1,6,2.81,4.42,3.5104166666666665
12.9,3,18,1,1,6,3.91,4.37,3.480833333333333
6.6,4,19,1,1,6,3.66,3.24,3.4600000000000004
2.1,3,21,1,1,6,2.74,3.75,3.4491666666666667
-3.8,4,23,1,1,6,3.49,4.22,3.471666666666667
6.8,3,0,2,1,0,4.76,2.49,3.5141666666666667
36.5,3,1,2,1,0,3.51,4.34,3.5170833333333333
4.9,2,2,2,1,0,4.41,4.19,3.4304166666666664
13.1,5,3,2,1,0,2.11,4.0,3.4083333333333337
-10.0,5,4,2,1,0,3.47,4.48,3.419166666666667
19.3,4,4,2,1,0,4.74,2.2,3.5095833333333335
19.3,5,6,2,1,0,4.37,4.12,3.5124999999999997
29.2,3,7,2,1,0,4.19,2.82,3.5095833333333335
22.8,1,7,2,1,0,2.75,2.17,3.5666666666666664
27.2,2,9,2,1,0,3.54,3.48,3.6137499999999996
25.8,5,10,2,1,0,4.61,2.35,3.6
-1.8,1,10,2,1,0,2.02,2.63,3.654166666666667
16.5,1,11,2,1,0,3.93,3.07,3.72
-2.5,3,13,2,1,0,4.65,4.59,3.719583333333333
25.3,4,14,2,1,0,4.58,4.47,3.6933333333333334
2.8,3,14,2,1,0,3.84,3.13,3.734583333333333
28.3,4,14,2,1,0,4.12,4.53,3.700416666666667
23.2,5,14,2,1,0,3.71,2.89,3.67375
39.3,4,14,2,1,0,2.25,2.81,3.654166666666667
29.4,4,15,2,1,0,2.34,3.91,3.6929166666666666
5.8,3,18,2,1,0,4.84,3.66,3.65875
33.0,4,18,2,1,0,2.84,2.74,3.715416666666666
-5.8,2,18,2,1,0,4.1,3.49,3.6991666666666667
22.8,3,20,2,1,0,3.1,4.76,3.6649999999999996
3.3,3,20,2,1,0,3.94,3.51,3.625833333333334
35.1,3,21,2,1,0,2.57,4.41,3.587916666666667
14.1,4,23,2,1,0,3.5,2.11,3.6270833333333337
38.2,1,0,3,1,1,3.05,3.47,3.68375
