Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
7.3,4,1,1,1,6,4.85,2.98,3.60875
21.2,5,2,1,1,6,1.6,3.11,3.514583333333333
27.0,1,2,1,1,6,0.85,4.54,3.396666666666667
35.6,4,2,1,1,6,1.71,2.93,3.330416666666667
25.3,3,3,1,1,6,1.34,4.77,3.1500000000000004
29.5,1,3,1,1,6,0.44,2.16,3.0954166666666665
37.8,5,5,1,1,6,0.85,3.75,3.014583333333333
7.6,2,6,1,1,6,1.81,3.37,2.9025
9.7,3,7,1,1,6,0.68,3.94,2.7675
-6.0,1,7,1,1,6,0.7,4.4,2.61625
-4.0,4,10,1,1,6,0.77,2.23,2.5508333333333337
-5.7,4,10,1,1,6,0.66,4.25,2.438333333333333
1.3,2,10,1,1,6,1.55,4.14,2.297916666666667
-8.0,5,11,1,1,6,0.77,4.17,2.169583333333333
-3.6,4,12,1,1,6,1.09,3.6,2.0854166666666667
15.0,2,12,1,1,6,1.58,2.03,2.0483333333333333
20.1,1,15,1,1,6,1.14,4.77,1.8879166666666667
19.5,4,15,1,1,6,0.92,2.87,1.8025
31.4,5,16,1,1,6,0.82,4.39,1.647916666666667
30.2,2,17,1,1,6,0.68,2.08,1.5983333333333334
32.3,3,20,1,1,6,0.89,3.93,1.5025000000000002
21.2,3,20,1,1,6,1.63,4.33,1.3991666666666667
17.9,4,21,1,1,6,1.85,4.4,1.29875
-4.6,4,23,1,1,6,1.99,4.85,1.1075000000000002
-8.3,4,0,2,1,0,0.26,1.6,1.11875
-2.7,2,1,2,1,0,1.87,0.85,1.1220833333333333
-0.7,5,2,2,1,0,0.93,1.71,1.1016666666666668
17.1,3,3,2,1,0,1.22,1.34,1.0679166666666666
9.2,2,4,2,1,0,0.53,0.44,1.1008333333333333
9.1,2,5,2,1,0,1.23,0.85,1.11
12.1,4,5,2,1,0,1.07,1.81,1.0466666666666666
11.3,5,6,2,1,0,0.29,0.68,1.0566666666666666
31.7,3,9,2,1,0,0.92,0.7,1.0574999999999999
33.9,4,10,2,1,0,0.72,0.77,1.0441666666666667
26.3,5,11,2,1,0,0.45,0.66,1.0783333333333334
21.7,5,11,2,1,0,1.48,1.55,1.0654166666666667
-4.0,5,11,2,1,0,1.24,0.77,1.09125
19.9,3,13,2,1,0,1.39,1.09,1.06625
11.4,5,14,2,1,0,0.49,1.58,1.03
14.8,1,15,2,1,0,0.71,1.14,1.0066666666666666
3.6,5,18,2,1,0,0.58,0.92,1.03875
-7.7,2,19,2,1,0,1.69,0.82,1.04375
6.3,3,20,2,1,0,0.94,0.68,1.0591666666666666
-7.8,1,20,2,1,0,1.05,0.89,1.0508333333333333
10.7,4,21,2,1,0,0.69,1.63,1.0475
13.3,4,21,2,1,0,1.55,1.85,0.9816666666666666
27.8,1,21,2,1,0,0.27,1.99,0.94125
-5.3,4,23,2,1,0,1.02,0.26,0.9725
0.3,3,23,2,1,0,1.01,1.87,0.9645833333333335
33.1,1,0,3,1,1,1.68,0.93,0.9566666666666667
16.4,4,2,3,1,1,0.74,1.22,0.9841666666666665
37.2,4,3,3,1,1,1.88,0.53,0.9904166666666666
3.6,2,3,3,1,1,0.68,1.23,0.97625
34.6,4,3,3,1,1,0.89,1.07,0.9491666666666667
-0.4,3,5,3,1,1,0.42,0.29,1.0008333333333332
37.8,5,8,3,1,1,1.53,0.92,1.0141666666666667
29.1,5,11,3,1,1,1.24,0.72,1.00375
8.2,3,12,3,1,1,0.47,0.45,1.0016666666666667
-6.2,4,13,3,1,1,0.4,1.48,0.9816666666666668
15.9,2,13,3,1,1,1.0,1.24,0.9504166666666666
21.7,5,14,3,1,1,0.49,1.39,0.9141666666666666
1.5,5,14,3,1,1,0.52,0.49,0.915
36.8,5,15,3,1,1,0.51,0.71,0.965
-5.0,4,16,3,1,1,1.91,0.58,0.9562499999999999
-1.1,3,17,3,1,1,0.37,1.69,0.9495833333333333
8.8,4,18,3,1,1,1.53,0.94,0.9758333333333334
-9.7,2,19,3,1,1,1.57,1.05,0.9920833333333334
2.2,4,19,3,1,1,1.44,0.69,1.0041666666666667
29.6,3,19,3,1,1,0.98,1.55,0.985
10.8,4,20,3,1,1,1.09,0.27,1.0433333333333332
-3.8,3,20,3,1,1,1.67,1.02,1.0195833333333333
18.5,5,20,3,1,1,0.45,1.01,1.0041666666666667
-0.8,3,20,3,1,1,0.64,1.68,1.0120833333333332
37.3,3,21,3,1,1,1.87,0.74,0.9970833333333333
5.8,5,21,3,1,1,0.38,1.88,0.9329166666666667
27.9,5,23,3,1,1,0.34,0.68,0.9404166666666667
-1.9,2,1,4,1,2,0.86,0.89,0.9237500000000001
-3.4,5,1,4,1,2,0.49,0.42,0.9433333333333334
15.0,3,2,4,1,2,0.89,1.53,0.9016666666666667
37.5,2,2,4,1,2,0.53,1.24,0.85875
-7.0,4,3,4,1,2,0.21,0.47,0.9087500000000001
-1.9,1,4,4,1,2,1.67,0.4,0.97125
5.9,4,6,4,1,2,1.9,1.0,1.0045833333333334
22.4,5,6,4,1,2,1.8,0.49,1.0183333333333333
-7.4,1,7,4,1,2,0.82,0.52,1.0516666666666667
5.4,5,7,4,1,2,1.32,0.51,1.1070833333333334
16.3,4,8,4,1,2,1.84,1.91,1.0741666666666665
2.5,5,8,4,1,2,1.12,0.37,1.0825
-1.8,2,9,4,1,2,0.57,1.53,1.0570833333333334
26.0,3,10,4,1,2,0.92,1.57,1.02375
21.4,4,11,4,1,2,0.77,1.44,1.0254166666666666
-7.4,5,11,4,1,2,1.48,0.98,1.0408333333333335
-3.7,3,12,4,1,2,1.35,1.09,1.0645833333333332
39.7,4,12,4,1,2,1.66,1.67,1.02
26.1,2,12,4,1,2,0.6,0.45,1.0304166666666668
20.9,2,15,4,1,2,0.7,0.64,1.0166666666666668
23.9,3,17,4,1,2,0.31,1.87,0.9758333333333332
6.1,1,17,4,1,2,0.89,0.38,1.02875
27.7,1,18,4,1,2,1.65,0.34,1.0883333333333334
10.5,2,18,4,1,2,1.77,0.86,1.07
10.6,5,19,4,1,2,0.42,0.49,1.08625
23.4,4,19,4,1,2,0.88,0.89,1.0633333333333332
4.3,3,21,4,1,2,0.34,0.53,1.1208333333333333
27.6,5,23,4,1,2,1.91,0.21,1.1925000000000001
34.4,1,23,4,1,2,1.93,1.67,1.1537499999999998
35.5,3,23,4,1,2,0.74,1.9,1.1300000000000001
1.4,5,0,5,1,3,1.33,1.8,1.09375
14.5,3,1,5,1,3,0.93,0.82,1.07625
35.0,4,2,5,1,3,0.4,1.32,1.075
-9.9,3,3,5,1,3,1.29,1.84,1.0574999999999999
35.0,3,6,5,1,3,1.42,1.12,1.0408333333333333
7.1,4,7,5,1,3,0.72,0.57,1.02875
30.9,1,7,5,1,3,0.28,0.92,1.0408333333333333
35.3,1,9,5,1,3,1.21,0.77,1.0683333333333334
33.6,5,9,5,1,3,1.43,1.48,1.0275
20.8,4,9,5,1,3,0.5,1.35,0.9825
16.9,4,11,5,1,3,0.27,1.66,0.9720833333333334
24.5,2,12,5,1,3,1.41,0.6,0.98875
27.0,1,12,5,1,3,1.0,0.7,1.01875
-7.4,4,12,5,1,3,1.42,0.31,1.0241666666666667
6.3,5,15,5,1,3,0.44,0.89,1.0516666666666667
12.5,5,17,5,1,3,1.55,1.65,1.0566666666666666
3.3,2,17,5,1,3,1.77,1.77,1.0445833333333334
13.7,1,20,5,1,3,1.48,0.42,1.06
-2.4,1,20,5,1,3,0.79,0.88,1.0608333333333333
9.5,4,20,5,1,3,0.9,0.34,1.0733333333333333
-1.2,3,20,5,1,3,0.64,1.91,1.05375
36.8,4,21,5,1,3,1.44,1.93,1.045
5.4,1,23,5,1,3,1.72,0.74,1.0354166666666667
30.7,1,0,6,1,4,0.51,1.33,1.0629166666666665
8.5,5,0,6,1,4,1.99,0.93,1.0574999999999999
15.7,2,2,6,1,4,0.8,0.4,1.1204166666666666
5.2,5,3,6,1,4,1.91,1.29,1.0783333333333334
23.3,1,4,6,1,4,0.28,1.42,1.0495833333333333
17.4,1,4,6,1,4,0.73,0.72,1.0729166666666667
30.7,4,4,6,1,4,1.28,0.28,1.1233333333333333
-9.6,2,5,6,1,4,1.49,1.21,1.1179166666666667
2.1,4,6,6,1,4,1.08,1.43,1.10375
24.3,1,6,6,1,4,1.09,0.5,1.0991666666666666
22.3,1,7,6,1,4,0.39,0.27,1.1170833333333332
-5.9,5,8,6,1,4,0.7,1.41,1.1266666666666667
-1.2,5,10,6,1,4,1.64,1.0,1.1316666666666666
-2.8,3,10,6,1,4,1.12,1.42,1.1375
24.9,4,10,6,1,4,1.56,0.44,1.1500000000000001
9.3,5,10,6,1,4,0.74,1.55,1.1275
7.0,1,11,6,1,4,1.01,1.77,1.11375
15.6,4,12,6,1,4,1.44,1.48,1.0958333333333334
-8.9,4,13,6,1,4,1.05,0.79,1.1191666666666666
-2.0,1,14,6,1,4,1.35,0.9,1.15375
5.5,2,18,6,1,4,1.73,0.64,1.16625
-0.3,4,21,6,1,4,0.94,1.44,1.1570833333333332
33.8,2,22,6,1,4,1.22,1.72,1.1491666666666667
30.5,4,23,6,1,4,1.53,0.51,1.1775
0.5,1,23,6,1,4,1.19,1.99,1.1708333333333334
9.3,1,1,7,1,5,1.83,0.8,1.1866666666666668
38.5,5,1,7,1,5,1.18,1.91,1.1616666666666666
-9.5,1,2,7,1,5,1.31,0.28,1.1979166666666667
26.0,1,2,7,1,5,1.15,0.73,1.2141666666666666
8.4,3,2,7,1,5,1.12,1.28,1.2229166666666667
4.1,1,4,7,1,5,1.49,1.49,1.2220833333333332
39.5,3,4,7,1,5,1.47,1.08,1.23625
3.7,4,8,7,1,5,1.42,1.09,1.2329166666666667
-8.9,3,10,7,1,5,1.01,0.39,1.2845833333333334
15.1,3,10,7,1,5,1.63,0.7,1.3220833333333333
20.5,2,11,7,1,5,1.6,1.64,1.305
16.5,5,11,7,1,5,1.23,1.12,1.3366666666666667
33.8,3,13,7,1,5,1.88,1.56,1.335
5.1,5,13,7,1,5,1.52,0.74,1.3412499999999998
4.0,2,13,7,1,5,0.89,1.01,1.3645833333333333
-2.7,4,14,7,1,5,1.57,1.44,1.3399999999999999
13.0,5,14,7,1,5,0.85,1.05,1.3291666666666666
-4.5,2,15,7,1,5,0.79,1.35,1.3216666666666668
13.9,1,16,7,1,5,1.17,1.73,1.3058333333333334
17.8,4,17,7,1,5,1.35,0.94,1.33875
6.4,4,18,7,1,5,1.73,1.22,1.30125
2.0,2,18,7,1,5,0.32,1.53,1.3108333333333333
6.4,2,19,7,1,5,1.76,1.19,1.2808333333333335
26.0,5,20,7,1,5,0.47,1.83,1.2204166666666667
