Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
11.5,5,0,1,1,6,0.7,0.52,1.0983333333333334
6.1,2,0,1,1,6,1.79,0.69,1.1329166666666668
29.9,2,1,1,1,6,1.52,1.53,1.1495833333333334
39.0,5,1,1,1,6,1.93,0.97,1.1854166666666668
35.4,1,2,1,1,6,1.83,0.72,1.2162499999999998
33.2,5,3,1,1,6,1.46,1.1,1.2025000000000001
12.8,2,5,1,1,6,0.77,1.86,1.1508333333333332
30.4,2,7,1,1,6,0.62,1.34,1.1583333333333332
-6.6,5,7,1,1,6,1.52,1.99,1.1141666666666665
32.7,2,8,1,1,6,0.93,1.97,1.0733333333333335
32.6,5,9,1,1,6,0.99,0.44,1.09
7.5,5,9,1,1,6,0.84,0.98,1.105
29.4,1,9,1,1,6,1.34,1.0,1.0895833333333333
28.3,5,12,1,1,6,0.63,0.9,1.105
15.6,1,13,1,1,6,1.27,0.83,1.1258333333333332
5.9,5,13,1,1,6,1.33,1.53,1.0962500000000002
22.2,1,14,1,1,6,0.82,1.48,1.0483333333333333
36.5,2,14,1,1,6,0.33,0.61,1.04375
32.1,2,16,1,1,6,0.5,1.25,1.0495833333333333
21.1,3,18,1,1,6,1.39,0.25,1.0545833333333332
18.7,4,19,1,1,6,0.37,1.19,1.0454166666666667
11.3,3,20,1,1,6,0.97,0.81,1.0775000000000001
39.9,3,20,1,1,6,1.58,0.43,1.1316666666666666
8.8,4,20,1,1,6,1.73,0.7,1.1408333333333334
14.7,4,0,2,1,0,0.92,1.79,1.09
8.5,4,4,2,1,0,0.57,1.52,1.085
36.8,4,5,2,1,0,1.4,1.93,1.075
-5.9,4,7,2,1,0,1.69,1.83,1.0395833333333333
14.1,3,7,2,1,0,0.98,1.46,1.0375
19.3,1,9,2,1,0,1.41,0.77,1.0816666666666666
-8.6,2,10,2,1,0,1.83,0.62,1.1008333333333333
39.6,2,11,2,1,0,1.08,1.52,1.10375
10.9,2,12,2,1,0,1.59,0.93,1.1400000000000001
5.6,3,12,2,1,0,1.8,0.99,1.1283333333333332
1.0,4,12,2,1,0,0.71,0.84,1.1370833333333332
24.0,5,12,2,1,0,1.05,1.34,1.1520833333333333
3.8,3,15,2,1,0,1.7,0.63,1.1808333333333334
-0.1,1,15,2,1,0,1.32,1.27,1.1904166666666667
11.0,3,15,2,1,0,1.5,1.33,1.19875
-4.7,5,16,2,1,0,1.53,0.82,1.2137499999999999
38.8,3,18,2,1,0,1.18,0.33,1.2716666666666667
29.6,2,19,2,1,0,1.72,0.5,1.3058333333333334
39.7,4,19,2,1,0,1.32,1.39,1.2791666666666666
14.6,3,19,2,1,0,0.75,0.37,1.3316666666666668
9.2,4,20,2,1,0,1.63,0.97,1.3554166666666667
8.2,2,20,2,1,0,1.54,1.58,1.3175
31.2,3,20,2,1,0,0.67,1.73,1.3220833333333333
37.2,3,21,2,1,0,1.84,0.92,1.3516666666666666
28.7,5,0,3,1,1,1.63,0.57,1.3550000000000002
13.8,4,1,3,1,1,0.65,1.4,1.3575
11.8,4,2,3,1,1,1.46,1.69,1.2979166666666666
29.3,4,2,3,1,1,0.26,0.98,1.3204166666666666
23.1,1,6,3,1,1,1.52,1.41,1.3316666666666668
4.3,1,7,3,1,1,1.68,1.83,1.2645833333333334
22.1,5,7,3,1,1,0.22,1.08,1.2908333333333333
37.3,4,8,3,1,1,1.71,1.59,1.2916666666666667
-1.0,3,8,3,1,1,1.61,1.8,1.2504166666666665
28.2,4,9,3,1,1,0.81,0.71,1.2641666666666667
33.1,1,10,3,1,1,1.04,1.05,1.3025
31.9,4,10,3,1,1,1.97,1.7,1.2983333333333333
-6.2,5,11,3,1,1,1.6,1.32,1.2908333333333333
-1.2,4,11,3,1,1,1.14,1.5,1.27125
35.2,1,11,3,1,1,1.03,1.53,1.2245833333333334
0.8,4,12,3,1,1,0.41,1.18,1.2404166666666667
-2.2,1,12,3,1,1,1.56,1.72,1.2329166666666667
8.9,1,13,3,1,1,1.54,1.32,1.2275
23.7,1,13,3,1,1,1.19,0.75,1.2291666666666667
36.5,5,14,3,1,1,0.79,1.63,1.195
17.1,4,17,3,1,1,0.81,1.54,1.2079166666666665
16.0,5,18,3,1,1,1.85,0.67,1.2520833333333334
4.1,1,18,3,1,1,1.73,1.84,1.2383333333333335
16.1,4,18,3,1,1,1.51,1.63,1.2329166666666667
22.3,1,20,3,1,1,1.5,0.65,1.2345833333333334
-3.8,3,21,3,1,1,0.69,1.46,1.1908333333333332
0.4,4,23,3,1,1,0.41,0.26,1.2604166666666667
8.7,3,23,3,1,1,1.93,1.52,1.2616666666666667
22.6,1,23,3,1,1,1.55,1.68,1.20875
8.8,5,23,3,1,1,0.41,0.22,1.25375
31.1,3,0,4,1,2,1.3,1.71,1.2620833333333332
-4.3,1,1,4,1,2,1.91,1.61,1.2745833333333334
30.3,1,2,4,1,2,1.91,0.81,1.3183333333333334
37.0,4,4,4,1,2,1.86,1.04,1.2841666666666667
-5.8,2,5,4,1,2,0.22,1.97,1.2179166666666668
10.3,4,5,4,1,2,0.38,1.6,1.2091666666666667
25.4,2,7,4,1,2,1.39,1.14,1.2270833333333333
35.9,4,8,4,1,2,1.57,1.03,1.2233333333333334
26.8,3,8,4,1,2,0.94,0.41,1.2245833333333334
30.4,1,9,4,1,2,0.44,1.56,1.1975
-4.9,5,9,4,1,2,0.91,1.54,1.1541666666666668
-5.8,3,9,4,1,2,0.5,1.19,1.17625
17.5,3,9,4,1,2,1.72,0.79,1.1879166666666667
7.1,3,10,4,1,2,1.07,0.81,1.2283333333333333
8.9,2,11,4,1,2,1.78,1.85,1.2275
-8.3,1,11,4,1,2,1.83,1.73,1.2158333333333333
-9.4,4,12,4,1,2,1.45,1.51,1.1783333333333332
-7.0,5,12,4,1,2,0.61,1.5,1.1824999999999999
30.8,2,13,4,1,2,1.6,0.69,1.2212500000000002
8.0,2,14,4,1,2,1.62,0.41,1.26875
22.1,1,15,4,1,2,1.55,1.93,1.25125
7.5,4,16,4,1,2,1.51,1.55,1.2154166666666668
14.4,1,17,4,1,2,0.69,0.41,1.2691666666666668
39.6,1,17,4,1,2,1.7,1.3,1.2237500000000001
4.8,5,19,4,1,2,0.21,1.91,1.1754166666666668
24.8,3,19,4,1,2,0.75,1.91,1.14625
13.8,3,20,4,1,2,1.21,1.86,1.1404166666666666
-4.0,2,20,4,1,2,1.72,0.22,1.1970833333333333
11.4,3,22,4,1,2,1.58,0.38,1.2495833333333333
-6.4,1,22,4,1,2,1.64,1.39,1.2641666666666669
17.3,4,23,4,1,2,1.74,1.57,1.2575
2.3,4,0,5,1,3,1.41,0.94,1.2754166666666666
-6.5,1,0,5,1,3,1.37,0.44,1.3041666666666665
11.6,5,2,5,1,3,1.13,0.91,1.3158333333333332
20.8,3,2,5,1,3,1.19,0.5,1.3212499999999998
1.3,3,2,5,1,3,0.63,1.72,1.2808333333333333
28.4,4,4,5,1,3,0.75,1.07,1.2733333333333332
-7.4,3,7,5,1,3,0.89,1.78,1.2258333333333333
-6.1,1,8,5,1,3,0.64,1.83,1.16875
