Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
-1.2,3,0,1,1,6,0.54,1.81,0.9458333333333334
35.8,2,0,1,1,6,0.3,1.19,0.9170833333333334
21.7,2,1,1,1,6,0.5,1.98,0.8479166666666665
34.7,4,1,1,1,6,0.32,0.33,0.84125
0.1,5,1,1,1,6,0.17,0.47,0.8304166666666667
0.0,3,5,1,1,6,0.21,0.51,0.82875
10.1,4,5,1,1,6,0.47,1.06,0.80375
12.2,2,6,1,1,6,0.46,1.08,0.7687499999999999
-1.4,5,8,1,1,6,0.24,0.61,0.7554166666666667
-2.9,4,8,1,1,6,0.29,1.23,0.7191666666666667
-7.9,5,9,1,1,6,0.36,1.2,0.6750000000000002
-7.8,5,9,1,1,6,0.14,0.59,0.6649999999999999
-1.4,3,10,1,1,6,0.35,0.38,0.6683333333333333
22.4,5,10,1,1,6,0.46,1.01,0.63875
28.6,3,11,1,1,6,0.3,1.91,0.5708333333333334
-6.3,2,13,1,1,6,0.28,0.65,0.5599999999999999
-1.5,3,14,1,1,6,0.39,0.91,0.5270833333333333
4.4,2,14,1,1,6,0.12,0.41,0.5266666666666667
0.7,4,16,1,1,6,0.4,1.55,0.48208333333333325
8.3,1,17,1,1,6,0.48,0.76,0.45749999999999996
38.8,2,17,1,1,6,0.17,1.58,0.40625
23.6,5,17,1,1,6,0.35,1.73,0.3479166666666667
21.3,2,18,1,1,6,0.33,0.72,0.3233333333333333
-8.5,5,18,1,1,6,0.13,0.54,0.3129166666666667
8.6,5,21,1,1,6,0.29,0.3,0.3120833333333333
-4.0,1,21,1,1,6,0.28,0.5,0.3104166666666667
27.8,1,22,1,1,6,0.46,0.32,0.31375000000000003
-8.3,3,22,1,1,6,0.4,0.17,0.3229166666666667
13.6,3,23,1,1,6,0.39,0.21,0.3345833333333333
9.9,2,2,2,1,0,0.49,0.47,0.33
-9.9,4,3,2,1,0,0.36,0.46,0.32416666666666666
20.4,2,5,2,1,0,0.32,0.24,0.32708333333333334
28.0,2,5,2,1,0,0.31,0.29,0.32166666666666666
7.9,2,5,2,1,0,0.16,0.36,0.31583333333333335
7.6,2,5,2,1,0,0.22,0.14,0.32166666666666666
36.2,2,5,2,1,0,0.28,0.35,0.3229166666666667
25.7,3,7,2,1,0,0.38,0.46,0.32208333333333333
36.4,1,8,2,1,0,0.44,0.3,0.32458333333333333
16.2,3,8,2,1,0,0.36,0.28,0.33125
30.2,3,9,2,1,0,0.44,0.39,0.325
15.5,2,9,2,1,0,0.24,0.12,0.33749999999999997
3.5,2,9,2,1,0,0.42,0.4,0.325
20.0,5,10,2,1,0,0.1,0.48,0.3154166666666667
11.1,3,10,2,1,0,0.25,0.17,0.3283333333333333
15.2,1,11,2,1,0,0.48,0.35,0.3329166666666667
23.9,4,12,2,1,0,0.46,0.33,0.33875000000000005
33.1,1,12,2,1,0,0.47,0.13,0.3499999999999999
-2.0,3,13,2,1,0,0.4,0.29,0.35000000000000003
33.9,5,15,2,1,0,0.29,0.28,0.3579166666666667
36.8,4,16,2,1,0,0.47,0.46,0.3566666666666667
34.4,4,17,2,1,0,0.43,0.4,0.3566666666666667
16.2,5,17,2,1,0,0.4,0.39,0.3491666666666666
13.7,2,18,2,1,0,0.21,0.49,0.3333333333333333
32.4,5,19,2,1,0,0.11,0.36,0.3254166666666667
20.3,3,19,2,1,0,0.17,0.32,0.32
6.9,1,20,2,1,0,0.19,0.31,0.31166666666666665
15.4,3,21,2,1,0,0.11,0.16,0.3216666666666667
0.2,2,21,2,1,0,0.4,0.22,0.32708333333333334
5.4,5,22,2,1,0,0.35,0.28,0.32875000000000004
31.4,3,22,2,1,0,0.32,0.38,0.31958333333333333
-5.5,3,22,2,1,0,0.16,0.44,0.30875
-6.9,1,22,2,1,0,0.18,0.36,0.31083333333333335
12.6,2,0,3,1,1,0.41,0.44,0.30125
24.8,3,0,3,1,1,0.21,0.24,0.3
25.3,4,1,3,1,1,0.21,0.42,0.29458333333333336
0.1,1,2,3,1,1,0.29,0.1,0.29791666666666666
32.2,1,2,3,1,1,0.18,0.25,0.3070833333333333
39.0,5,3,3,1,1,0.47,0.48,0.3016666666666667
9.5,2,3,3,1,1,0.35,0.46,0.2925
-7.4,1,5,3,1,1,0.24,0.47,0.29083333333333333
39.2,1,6,3,1,1,0.43,0.4,0.28291666666666665
18.4,3,7,3,1,1,0.21,0.29,0.28541666666666665
30.0,3,8,3,1,1,0.35,0.47,0.28291666666666665
31.3,2,9,3,1,1,0.41,0.43,0.26916666666666667
-9.1,1,9,3,1,1,0.1,0.4,0.25875
12.2,5,9,3,1,1,0.15,0.21,0.26791666666666664
33.8,5,10,3,1,1,0.43,0.11,0.26791666666666664
38.1,2,11,3,1,1,0.11,0.17,0.2720833333333333
17.7,4,11,3,1,1,0.27,0.19,0.27
-2.3,2,11,3,1,1,0.14,0.11,0.27291666666666664
7.9,5,12,3,1,1,0.18,0.4,0.26791666666666664
-8.1,1,13,3,1,1,0.28,0.35,0.2654166666666667
