Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
1.3,2,2,1,1,6,0.19,0.2,0.4391666666666667
5.0,1,2,1,1,6,3.69,0.38,0.5245833333333333
33.0,5,3,1,1,6,2.43,0.28,0.6495833333333333
29.0,2,3,1,1,6,3.28,0.46,0.75
15.5,4,3,1,1,6,2.87,0.28,0.9099999999999998
37.0,1,3,1,1,6,4.12,0.32,1.0204166666666667
1.0,2,4,1,1,6,2.97,0.38,1.1658333333333333
7.3,5,4,1,1,6,3.87,0.35,1.2483333333333333
29.0,3,5,1,1,6,2.33,0.36,1.415
38.5,5,6,1,1,6,4.36,0.15,1.5733333333333335
2.7,2,7,1,1,6,3.95,0.44,1.6504166666666666
6.0,3,7,1,1,6,2.29,0.23,1.8262500000000002
-0.0,3,7,1,1,6,4.45,0.17,1.92875
37.6,1,7,1,1,6,2.63,0.22,2.035833333333333
19.6,1,8,1,1,6,2.79,0.15,2.1508333333333334
8.5,5,9,1,1,6,2.91,0.29,2.257916666666667
35.2,5,9,1,1,6,2.86,0.19,2.435416666666667
33.8,5,9,1,1,6,4.45,0.4,2.5741666666666667
-0.2,4,11,1,1,6,3.73,0.32,2.7329166666666667
26.9,1,13,1,1,6,4.13,0.34,2.80625
28.4,1,13,1,1,6,2.1,0.35,2.9595833333333332
29.7,3,13,1,1,6,4.03,0.2,3.0408333333333335
21.7,4,14,1,1,6,2.15,0.4,3.1899999999999995
6.5,3,14,1,1,6,3.98,0.19,3.3637499999999996
-4.9,5,16,1,1,6,4.36,3.69,3.3941666666666666
24.1,5,17,1,1,6,4.42,2.43,3.46125
26.7,2,17,1,1,6,4.04,3.28,3.460416666666667
-1.6,5,17,1,1,6,3.26,2.87,3.440416666666667
0.7,1,17,1,1,6,2.39,4.12,3.362083333333333
33.0,5,18,1,1,6,2.24,2.97,3.3229166666666665
10.9,2,19,1,1,6,2.03,3.87,3.2658333333333336
-3.2,2,20,1,1,6,2.5,2.33,3.362083333333333
16.2,4,20,1,1,6,4.64,4.36,3.3641666666666663
-6.0,3,20,1,1,6,4.41,3.95,3.345416666666667
23.0,5,21,1,1,6,3.5,2.29,3.4058333333333333
-4.8,1,21,1,1,6,3.74,4.45,3.3241666666666667
29.7,4,22,1,1,6,2.49,2.63,3.3512500000000003
21.3,4,23,1,1,6,3.28,2.79,3.3320833333333333
-9.9,2,23,1,1,6,2.33,2.91,3.3366666666666664
8.9,3,23,1,1,6,3.02,2.86,3.3508333333333336
34.2,2,23,1,1,6,3.2,4.45,3.2616666666666667
26.3,3,23,1,1,6,2.31,3.73,3.200416666666667
1.7,5,0,2,1,0,2.26,4.13,3.1891666666666665
8.1,1,1,2,1,0,3.86,2.1,3.2312499999999997
20.5,5,1,2,1,0,3.11,4.03,3.188333333333333
25.9,2,6,2,1,0,3.0,2.15,3.264583333333333
8.4,4,8,2,1,0,3.98,3.98,3.1991666666666667
28.0,1,8,2,1,0,2.41,4.36,3.185833333333333
21.0,1,10,2,1,0,4.04,4.42,3.1391666666666667
26.6,4,15,2,1,0,3.3,4.04,3.13875
26.0,1,15,2,1,0,4.03,3.26,3.155416666666666
