Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
-5.9,1,0,1,1,6,2.21,3.4,3.1229166666666663
22.0,1,0,1,1,6,1.0,2.77,3.0529166666666665
16.1,5,0,1,1,6,1.09,2.17,2.9908333333333332
16.6,5,0,1,1,6,0.68,4.58,2.875
38.4,1,1,1,1,6,1.8,4.26,2.7325
28.8,1,1,1,1,6,0.84,2.42,2.646666666666667
3.9,4,2,1,1,6,0.36,3.2,2.5291666666666663
13.8,2,2,1,1,6,0.38,4.01,2.377083333333333
30.5,3,2,1,1,6,0.36,3.84,2.265416666666667
32.9,1,4,1,1,6,1.16,3.26,2.17625
16.3,4,4,1,1,6,1.12,4.16,2.0483333333333333
-6.1,4,4,1,1,6,1.09,3.26,1.9795833333333335
25.0,4,4,1,1,6,1.61,3.61,1.9037500000000003
22.4,3,5,1,1,6,1.79,3.11,1.8541666666666667
5.8,1,6,1,1,6,1.92,2.45,1.8058333333333334
27.8,5,7,1,1,6,1.29,3.16,1.7320833333333334
-6.1,2,8,1,1,6,1.39,2.55,1.67
27.3,3,8,1,1,6,1.06,4.65,1.5170833333333336
-1.5,5,9,1,1,6,0.98,2.76,1.4400000000000002
27.7,5,10,1,1,6,0.91,2.39,1.3920833333333336
26.8,4,10,1,1,6,1.24,2.99,1.3283333333333334
26.0,3,11,1,1,6,1.46,2.98,1.26875
15.7,4,12,1,1,6,1.55,3.16,1.2020833333333334
-4.1,2,13,1,1,6,1.56,2.21,1.1779166666666667
-5.0,2,14,1,1,6,1.63,1.0,1.1612500000000001
-7.8,2,15,1,1,6,0.6,1.09,1.1433333333333333
-6.5,1,15,1,1,6,0.66,0.68,1.1729166666666668
37.0,3,16,1,1,6,1.39,1.8,1.1095833333333334
9.8,1,20,1,1,6,0.28,0.84,1.0987500000000001
-5.3,5,21,1,1,6,0.58,0.36,1.1129166666666668
13.2,3,21,1,1,6,0.7,0.38,1.17375
16.1,3,21,1,1,6,1.84,0.36,1.2108333333333332
18.4,5,22,1,1,6,1.25,1.16,1.1937499999999999
23.1,5,0,2,1,0,0.75,1.12,1.1866666666666668
33.2,2,0,2,1,0,0.95,1.09,1.2225
23.9,5,1,2,1,0,1.95,1.61,1.16875
20.5,1,3,2,1,0,0.32,1.79,1.1191666666666666
-3.7,1,3,2,1,0,0.6,1.92,1.0666666666666667
3.3,4,4,2,1,0,0.66,1.29,1.0225
32.8,1,4,2,1,0,0.23,1.39,0.9770833333333334
8.5,4,4,2,1,0,0.3,1.06,0.9824999999999999
31.8,2,4,2,1,0,1.19,0.98,1.01125
-9.4,4,6,2,1,0,1.67,0.91,1.0458333333333332
5.9,4,6,2,1,0,1.74,1.24,1.01
5.4,2,7,2,1,0,0.38,1.46,0.9695833333333334
-7.7,3,8,2,1,0,0.49,1.55,0.9404166666666666
12.6,4,8,2,1,0,0.85,1.56,0.8904166666666667
25.2,2,9,2,1,0,0.36,1.63,0.8650000000000001
35.0,4,9,2,1,0,1.02,0.6,0.8795833333333333
35.8,3,10,2,1,0,0.95,0.66,0.9216666666666665
-7.3,1,10,2,1,0,1.67,1.39,0.8833333333333333
7.7,1,11,2,1,0,0.47,0.28,0.9525
-5.6,2,11,2,1,0,1.94,0.58,0.9633333333333333
29.4,4,13,2,1,0,0.84,0.7,0.9908333333333333
17.5,1,14,2,1,0,1.36,1.84,0.9874999999999999
-2.9,1,15,2,1,0,1.76,1.25,0.9874999999999999
26.0,5,17,2,1,0,1.25,0.75,1.0216666666666667
-8.8,4,18,2,1,0,1.57,0.95,0.9966666666666667
19.4,1,18,2,1,0,0.35,1.95,0.9495833333333333
10.0,4,19,2,1,0,0.82,0.32,0.9545833333333333
-3.5,1,22,2,1,0,0.44,0.6,0.9458333333333333
23.3,1,23,2,1,0,0.39,0.66,0.9291666666666667
22.0,2,23,2,1,0,0.26,0.23,0.9774999999999999
1.0,5,0,3,1,1,1.39,0.3,1.0245833333333332
38.2,1,0,3,1,1,1.43,1.19,1.0525
18.9,1,0,3,1,1,1.86,1.67,1.0658333333333332
-7.9,2,1,3,1,1,1.99,1.74,1.06375
23.2,4,2,3,1,1,1.69,0.38,1.075
2.6,1,2,3,1,1,0.65,0.49,1.1279166666666667
8.0,4,2,3,1,1,1.76,0.85,1.1279166666666667
35.0,3,2,3,1,1,0.85,0.36,1.1212499999999999
9.6,2,4,3,1,1,0.2,1.02,1.11875
8.8,2,5,3,1,1,0.96,0.95,1.0916666666666666
31.3,5,10,3,1,1,0.3,1.67,1.03875
21.2,1,10,3,1,1,0.4,0.47,1.0720833333333333
-8.0,5,11,3,1,1,1.27,1.94,1.0179166666666666
15.8,4,12,3,1,1,0.64,0.84,1.01875
21.9,2,12,3,1,1,0.86,1.36,0.9704166666666668
9.6,5,12,3,1,1,0.2,1.76,0.9158333333333334
21.8,3,12,3,1,1,0.45,1.25,0.9070833333333334
23.7,1,13,3,1,1,1.04,1.57,0.8933333333333334
30.6,4,13,3,1,1,1.24,0.35,0.9474999999999999
9.1,1,13,3,1,1,1.65,0.82,0.9329166666666667
3.2,4,13,3,1,1,0.47,0.44,0.9745833333333334
14.3,5,15,3,1,1,1.44,0.39,1.0308333333333333
-5.7,1,16,3,1,1,1.74,0.26,1.0466666666666666
18.9,3,16,3,1,1,0.64,1.39,1.0241666666666667
35.8,2,16,3,1,1,0.85,1.43,1.0225000000000002
3.1,4,17,3,1,1,1.39,1.86,0.9708333333333332
6.4,4,18,3,1,1,0.62,1.99,0.9470833333333334
16.1,3,19,3,1,1,1.42,1.69,0.9541666666666666
-9.4,5,19,3,1,1,1.86,0.65,0.955
10.0,2,19,3,1,1,0.67,1.76,0.9029166666666666
30.8,2,20,3,1,1,0.51,0.85,0.9416666666666668
3.7,3,22,3,1,1,1.78,0.2,0.9708333333333333
13.9,3,23,3,1,1,0.9,0.96,0.9558333333333334
20.7,5,23,3,1,1,0.6,0.3,1.0145833333333334
34.8,3,23,3,1,1,1.71,0.4,1.0079166666666668
16.4,1,0,4,1,2,0.24,1.27,0.9808333333333334
4.5,5,0,4,1,2,0.62,0.64,1.0258333333333334
25.4,4,1,4,1,2,1.72,0.86,1.0458333333333332
28.3,1,1,4,1,2,1.34,0.2,1.0483333333333333
-0.4,3,4,4,1,2,0.26,0.45,1.0754166666666667
24.9,5,4,4,1,2,1.1,1.04,1.1091666666666666
9.7,4,4,4,1,2,1.85,1.24,1.1120833333333333
14.4,1,4,4,1,2,1.31,1.65,1.0891666666666666
31.4,3,4,4,1,2,1.1,0.47,1.0929166666666668
15.6,1,5,4,1,2,0.56,1.44,1.0725
20.9,2,5,4,1,2,0.95,1.74,1.0616666666666668
21.5,1,6,4,1,2,1.48,0.64,1.0970833333333334
9.7,5,6,4,1,2,1.49,0.85,1.1341666666666665
32.6,3,7,4,1,2,1.74,1.39,1.1004166666666666
30.0,1,8,4,1,2,0.58,0.62,1.1079166666666667
2.7,4,9,4,1,2,0.8,1.42,1.0816666666666668
-1.3,3,9,4,1,2,0.79,1.86,1.0262499999999999
24.2,2,9,4,1,2,0.53,0.67,1.0695833333333333
34.8,1,10,4,1,2,1.71,0.51,1.12625
29.2,1,11,4,1,2,1.87,1.78,1.115
0.4,3,12,4,1,2,1.51,0.9,1.1341666666666668
36.4,1,15,4,1,2,1.36,0.6,1.1725
22.9,2,15,4,1,2,1.52,1.71,1.13
7.9,3,16,4,1,2,0.69,0.24,1.195
10.5,1,16,4,1,2,1.8,0.62,1.2329166666666667
17.7,3,17,4,1,2,1.53,1.72,1.1870833333333335
21.1,2,18,4,1,2,0.62,1.34,1.1512499999999999
20.0,5,20,4,1,2,0.48,0.26,1.1720833333333334
16.4,3,20,4,1,2,0.76,1.1,1.1929166666666668
9.1,4,21,4,1,2,1.6,1.85,1.1704166666666667
29.2,5,21,4,1,2,1.31,1.31,1.1495833333333334
10.0,2,22,4,1,2,0.81,1.1,1.1158333333333335
17.9,4,22,4,1,2,0.29,0.56,1.1554166666666668
24.2,3,22,4,1,2,1.51,0.95,1.1675000000000002
0.2,4,23,4,1,2,1.24,1.48,1.1495833333333334
-6.3,5,0,5,1,3,1.05,1.49,1.1366666666666667
20.1,4,2,5,1,3,1.18,1.74,1.1004166666666666
34.6,1,2,5,1,3,0.87,0.58,1.1195833333333332
-8.2,2,3,5,1,3,1.04,0.8,1.1316666666666668
8.7,5,3,5,1,3,1.09,0.79,1.1129166666666668
17.9,2,3,5,1,3,0.34,0.53,1.1470833333333335
-8.6,1,3,5,1,3,1.35,1.71,1.1470833333333335
1.5,2,4,5,1,3,1.71,1.87,1.1312499999999999
12.3,3,4,5,1,3,1.49,1.51,1.1004166666666668
8.4,1,5,5,1,3,0.77,1.36,1.0841666666666667
4.2,2,5,5,1,3,0.97,1.52,1.035
34.4,1,6,5,1,3,0.34,0.69,1.0583333333333333
25.0,2,7,5,1,3,1.25,1.8,0.9945833333333334
4.9,3,8,5,1,3,0.27,1.53,0.9791666666666666
36.8,2,10,5,1,3,1.16,0.62,1.0025
-9.0,4,10,5,1,3,1.18,0.48,1.0516666666666667
13.4,2,11,5,1,3,1.66,0.76,1.0579166666666666
36.9,3,11,5,1,3,0.91,1.6,1.06625
-4.3,1,11,5,1,3,1.8,1.31,1.0829166666666667
10.4,5,12,5,1,3,1.71,0.81,1.08125
9.5,1,13,5,1,3,0.77,0.29,1.15
10.9,3,13,5,1,3,1.94,1.51,1.1529166666666668
-8.8,5,14,5,1,3,1.58,1.24,1.1295833333333334
25.5,3,15,5,1,3,0.68,1.05,1.1295833333333334
29.5,3,17,5,1,3,1.05,1.18,1.135
26.4,2,19,5,1,3,1.31,0.87,1.1804166666666667
2.8,4,20,5,1,3,1.96,1.04,1.1558333333333333
31.5,2,20,5,1,3,0.45,1.09,1.1916666666666667
20.6,3,21,5,1,3,1.95,0.34,1.24875
0.3,2,21,5,1,3,1.71,1.35,1.2733333333333334
4.8,4,22,5,1,3,1.94,1.71,1.235
-7.0,2,23,5,1,3,0.79,1.49,1.2554166666666668
6.9,1,1,6,1,4,1.98,0.77,1.3025
39.1,5,2,6,1,4,1.9,0.97,1.2883333333333333
24.1,5,3,6,1,4,0.63,0.34,1.3520833333333335
14.3,4,5,6,1,4,1.87,1.25,1.345
17.0,1,6,6,1,4,1.08,0.27,1.3791666666666664
18.3,4,6,6,1,4,1.09,1.16,1.3658333333333335
35.5,2,7,6,1,4,0.84,1.18,1.3583333333333334
-3.9,3,7,6,1,4,1.0,1.66,1.3220833333333333
23.3,1,7,6,1,4,0.79,0.91,1.35625
-1.7,1,8,6,1,4,1.73,1.8,1.3462500000000002
39.2,2,8,6,1,4,1.56,1.71,1.3095833333333333
-8.4,4,8,6,1,4,0.83,0.77,1.33375
-2.5,5,9,6,1,4,1.35,1.94,1.33125
14.9,4,10,6,1,4,1.88,1.58,1.2870833333333334
9.0,5,10,6,1,4,0.52,0.68,1.3345833333333335
34.6,4,12,6,1,4,1.82,1.05,1.3366666666666667
33.5,4,13,6,1,4,1.1,1.31,1.3479166666666667
24.8,5,13,6,1,4,1.58,1.96,1.28125
-0.7,2,13,6,1,4,0.36,0.45,1.3116666666666668
9.2,2,13,6,1,4,1.18,1.95,1.24
10.9,2,14,6,1,4,0.23,1.71,1.2204166666666667
-3.3,2,14,6,1,4,1.24,1.94,1.1504166666666669
19.4,1,16,6,1,4,0.26,0.79,1.12625
9.0,2,17,6,1,4,0.21,1.98,1.1116666666666666
-0.6,1,17,6,1,4,1.63,1.9,1.065
30.3,5,17,6,1,4,0.78,0.63,1.04875
