Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
29.8,3,0,1,1,6,0.84,1.91,0.97625
22.7,3,1,1,1,6,1.68,1.33,0.9804166666666667
33.8,1,2,1,1,6,1.43,1.57,0.9833333333333334
-9.5,1,4,1,1,6,1.64,0.36,1.0208333333333333
-0.8,3,7,1,1,6,1.26,0.56,1.0416666666666667
-3.1,5,7,1,1,6,1.06,1.54,1.0445833333333334
13.9,3,7,1,1,6,1.61,1.56,1.0391666666666668
24.1,3,7,1,1,6,1.43,1.33,1.025
-7.1,3,7,1,1,6,0.99,0.76,1.0304166666666668
-4.7,4,8,1,1,6,0.89,0.22,1.03375
5.9,4,8,1,1,6,0.3,0.23,1.0995833333333331
29.9,4,9,1,1,6,1.81,0.25,1.1720833333333334
11.3,4,10,1,1,6,1.99,0.81,1.1516666666666666
-1.8,1,10,1,1,6,0.32,1.78,1.1229166666666666
35.9,5,10,1,1,6,1.09,0.93,1.1508333333333332
29.7,2,13,1,1,6,1.6,1.72,1.1408333333333334
6.7,3,16,1,1,6,1.48,0.45,1.1591666666666667
23.8,3,17,1,1,6,0.89,0.31,1.2245833333333331
17.7,3,17,1,1,6,1.88,0.3,1.2654166666666666
33.2,1,18,1,1,6,1.28,0.44,1.3116666666666668
9.5,1,18,1,1,6,1.55,1.91,1.2641666666666667
5.6,3,23,1,1,6,0.77,1.03,1.2587499999999998
-5.0,1,0,2,1,0,0.9,1.52,1.2679166666666666
33.9,3,0,2,1,0,1.74,0.84,1.3154166666666667
33.3,5,1,2,1,0,1.98,1.68,1.30875
1.2,4,1,2,1,0,1.52,1.43,1.3241666666666667
1.5,1,4,2,1,0,1.8,1.64,1.3204166666666666
4.6,5,4,2,1,0,1.55,1.26,1.3166666666666667
25.6,2,5,2,1,0,1.17,1.06,1.2820833333333332
12.7,5,6,2,1,0,0.23,1.61,1.265
2.8,5,6,2,1,0,1.2,1.43,1.2533333333333332
37.5,1,6,2,1,0,1.15,0.99,1.2733333333333332
18.3,4,9,2,1,0,1.47,0.89,1.3129166666666667
2.3,1,10,2,1,0,1.84,0.3,1.3095833333333333
-9.4,2,10,2,1,0,0.22,1.81,1.2566666666666666
11.0,4,11,2,1,0,0.54,1.99,1.2237500000000001
38.0,4,12,2,1,0,1.2,0.32,1.2770833333333333
16.1,2,12,2,1,0,1.6,1.09,1.2674999999999998
20.6,3,14,2,1,0,0.86,1.6,1.2625
35.3,1,15,2,1,0,1.48,1.48,1.2541666666666667
22.5,2,15,2,1,0,1.28,0.89,1.2279166666666665
4.7,5,15,2,1,0,0.26,1.88,1.18125
28.5,3,15,2,1,0,0.76,1.28,1.1841666666666668
9.8,5,18,2,1,0,1.35,1.55,1.1824999999999999
-5.4,3,18,2,1,0,1.51,0.77,1.2320833333333334
11.0,2,20,2,1,0,1.96,0.9,1.22625
2.9,4,21,2,1,0,0.76,1.74,1.1691666666666667
0.3,5,21,2,1,0,0.37,1.98,1.1112499999999998
29.4,1,22,2,1,0,0.59,1.52,1.1029166666666665
11.8,4,3,3,1,1,1.32,1.8,1.1079166666666667
28.0,5,3,3,1,1,1.92,1.55,1.05625
32.9,5,4,3,1,1,0.31,1.17,1.03875
1.6,5,4,3,1,1,0.75,0.23,1.105
22.0,3,6,3,1,1,1.82,1.2,1.0741666666666667
12.3,3,6,3,1,1,0.46,1.15,1.055
8.3,4,7,3,1,1,0.69,1.47,1.0570833333333334
1.3,1,9,3,1,1,1.52,1.84,1.0566666666666666
34.7,3,10,3,1,1,1.83,0.22,1.0562500000000001
19.6,1,12,3,1,1,0.21,0.54,1.1158333333333335
13.7,2,15,3,1,1,1.97,1.2,1.1345833333333333
25.5,1,17,3,1,1,1.65,1.6,1.1270833333333334
-9.4,5,17,3,1,1,1.42,0.86,1.1008333333333333
25.0,3,17,3,1,1,0.23,1.48,1.0983333333333334
2.7,2,18,3,1,1,1.42,1.28,1.0583333333333333
-5.7,2,19,3,1,1,0.32,0.26,1.0583333333333333
-6.6,4,21,3,1,1,0.26,0.76,1.1091666666666666
8.2,3,23,3,1,1,1.98,1.35,1.0758333333333334
18.3,1,23,3,1,1,0.55,1.51,1.05875
34.3,5,0,4,1,2,1.1,1.96,1.0291666666666666
39.4,4,0,4,1,2,1.25,0.76,1.0454166666666667
-7.1,2,1,4,1,2,1.15,0.37,1.0429166666666667
-0.6,1,6,4,1,2,0.31,0.59,1.0975
31.2,5,9,4,1,2,1.9,1.32,1.11125
38.1,1,10,4,1,2,1.65,1.92,1.05375
36.3,1,12,4,1,2,0.54,0.31,1.0716666666666665
26.0,5,12,4,1,2,0.74,0.75,1.1229166666666666
-4.7,3,13,4,1,2,1.98,1.82,1.1008333333333333
2.2,5,14,4,1,2,1.29,0.46,1.0925
-0.6,1,14,4,1,2,0.26,0.69,1.0879166666666666
1.5,4,16,4,1,2,0.58,1.52,1.0912499999999998
26.8,2,18,4,1,2,1.6,1.83,1.0791666666666666
3.5,1,19,4,1,2,1.54,0.21,1.12625
11.0,5,21,4,1,2,1.34,1.97,1.0866666666666667
-1.9,1,22,4,1,2,1.02,1.65,1.0716666666666665
39.1,1,23,4,1,2,1.29,1.42,1.0675000000000001
25.7,4,0,5,1,3,1.32,0.23,1.1354166666666667
3.8,3,1,5,1,3,1.86,1.42,1.1245833333333333
37.2,4,1,5,1,3,1.16,0.32,1.1470833333333335
-3.8,4,1,5,1,3,0.86,0.26,1.1758333333333333
31.4,3,1,5,1,3,0.95,1.98,1.1608333333333334
1.8,3,2,5,1,3,1.62,0.55,1.18875
0.3,3,3,5,1,3,1.22,1.1,1.2095833333333335
-6.1,3,3,5,1,3,1.6,1.25,1.18875
-0.4,4,4,5,1,3,0.75,1.15,1.1720833333333334
25.2,5,4,5,1,3,0.75,0.31,1.2241666666666666
3.3,4,6,5,1,3,1.56,1.9,1.1904166666666667
-5.3,2,7,5,1,3,1.09,1.65,1.17
39.9,3,10,5,1,3,1.16,0.54,1.1633333333333333
10.9,1,11,5,1,3,0.38,0.74,1.1416666666666666
39.0,1,12,5,1,3,0.22,1.98,1.1166666666666667
