Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
-8.5,1,3,1,1,6,0.5,1.69,0.9725
1.2,2,4,1,1,6,0.22,1.92,0.9716666666666666
20.5,5,4,1,1,6,1.9,1.17,0.9391666666666666
3.9,4,8,1,1,6,0.39,1.71,0.8970833333333332
30.7,1,8,1,1,6,0.7,1.69,0.8833333333333333
34.6,3,8,1,1,6,1.36,1.79,0.8904166666666665
15.5,3,8,1,1,6,1.96,0.45,0.92375
35.3,3,9,1,1,6,1.25,0.24,0.935
33.9,3,9,1,1,6,0.51,0.43,0.92875
9.7,2,11,1,1,6,0.28,1.12,0.9175
20.9,1,12,1,1,6,0.85,0.34,0.9229166666666667
6.0,5,13,1,1,6,0.47,1.38,0.9341666666666666
34.6,1,16,1,1,6,1.65,0.4,0.9758333333333332
17.7,5,17,1,1,6,1.4,0.42,1.0158333333333334
21.4,5,17,1,1,6,1.38,0.37,1.0458333333333334
29.5,5,17,1,1,6,1.09,0.91,1.0495833333333333
-1.5,2,18,1,1,6,1.0,1.72,1.0408333333333333
-6.8,2,18,1,1,6,1.51,0.47,1.0745833333333332
25.6,5,20,1,1,6,1.28,1.15,1.0704166666666668
34.6,4,22,1,1,6,1.05,1.46,1.0491666666666666
8.5,3,23,1,1,6,0.95,1.14,1.0558333333333334
37.7,3,23,1,1,6,1.3,0.64,1.1104166666666666
-4.6,4,23,1,1,6,1.95,1.7,1.1099999999999999
27.1,5,23,1,1,6,1.69,0.5,1.1416666666666666
32.5,3,1,2,1,0,1.26,0.22,1.1966666666666665
2.9,1,2,2,1,0,1.54,1.9,1.14
11.8,1,2,2,1,0,0.54,0.39,1.155
-9.4,2,3,2,1,0,0.75,0.7,1.1995833333333334
24.8,5,4,2,1,0,1.77,1.36,1.21875
38.3,5,4,2,1,0,1.82,1.96,1.1866666666666668
38.9,4,4,2,1,0,1.19,1.25,1.21625
-8.5,1,6,2,1,0,1.96,0.51,1.2645833333333332
0.1,3,6,2,1,0,1.67,0.28,1.2945833333333332
-1.0,2,6,2,1,0,1.0,0.85,1.3016666666666667
6.0,4,7,2,1,0,1.02,0.47,1.3179166666666666
22.7,1,7,2,1,0,0.86,1.65,1.2762499999999999
28.8,2,7,2,1,0,0.65,1.4,1.2504166666666667
16.6,3,7,2,1,0,0.78,1.38,1.25125
8.0,2,9,2,1,0,1.4,1.09,1.2541666666666667
34.0,4,9,2,1,0,1.16,1.0,1.28
23.0,3,11,2,1,0,1.62,1.51,1.2770833333333333
26.8,3,11,2,1,0,1.44,1.28,1.2325
25.3,3,11,2,1,0,0.21,1.05,1.2
3.0,2,11,2,1,0,0.27,0.95,1.17625
-1.8,1,11,2,1,0,0.38,1.3,1.17125
16.8,2,13,2,1,0,1.18,1.95,1.13625
-7.4,4,13,2,1,0,1.11,1.69,1.14125
1.7,3,13,2,1,0,1.81,1.26,1.1629166666666666
10.8,1,15,2,1,0,1.78,1.54,1.1820833333333334
18.0,3,17,2,1,0,2.0,0.54,1.1866666666666665
24.8,1,18,2,1,0,0.65,0.75,1.2379166666666666
2.6,1,18,2,1,0,1.98,1.77,1.1762499999999998
23.1,4,18,2,1,0,0.29,1.82,1.1483333333333332
-0.8,5,18,2,1,0,1.15,1.19,1.13625
-1.7,1,19,2,1,0,0.9,1.96,1.11
-4.9,3,19,2,1,0,1.33,1.67,1.0941666666666667
34.0,2,20,2,1,0,1.29,1.0,1.1191666666666669
35.9,3,20,2,1,0,1.6,1.02,1.1308333333333331
25.8,5,20,2,1,0,1.3,0.86,1.1091666666666666
4.6,4,20,2,1,0,0.34,0.65,1.1258333333333332
1.2,3,22,2,1,0,1.05,0.78,1.10625
16.2,3,22,2,1,0,0.31,1.4,1.0683333333333334
35.7,1,22,2,1,0,0.49,1.16,1.0433333333333332
7.1,2,0,3,1,1,0.56,1.62,1.0454166666666667
10.7,3,1,3,1,1,1.67,1.44,1.0491666666666666
21.3,4,1,3,1,1,1.53,0.21,1.0741666666666667
33.3,1,3,3,1,1,0.81,0.27,1.1208333333333333
26.1,4,3,3,1,1,1.39,0.38,1.145
23.4,2,3,3,1,1,0.96,1.18,1.1095833333333334
-3.3,2,4,3,1,1,0.33,1.11,1.1220833333333333
11.8,5,4,3,1,1,1.41,1.81,1.0754166666666667
5.8,4,5,3,1,1,0.69,1.78,1.0370833333333334
14.9,4,6,3,1,1,0.86,2.0,1.0125
-6.7,2,7,3,1,1,1.41,0.65,1.0004166666666667
14.5,5,9,3,1,1,0.36,1.98,0.9395833333333333
10.6,2,10,3,1,1,0.52,0.29,0.9408333333333334
32.3,3,11,3,1,1,0.32,1.15,0.9633333333333334
-3.6,1,11,3,1,1,1.69,0.9,0.9975
36.7,2,12,3,1,1,1.72,1.33,0.9829166666666667
3.0,4,12,3,1,1,0.98,1.29,0.9554166666666667
34.8,3,13,3,1,1,0.63,1.6,0.9095833333333333
1.3,3,14,3,1,1,0.5,1.3,0.8804166666666667
-3.4,2,14,3,1,1,0.6,0.34,0.9058333333333334
38.7,2,14,3,1,1,0.95,1.05,0.9095833333333334
34.7,4,16,3,1,1,1.14,0.31,0.9312499999999999
-0.8,4,18,3,1,1,0.83,0.49,0.9616666666666666
24.5,2,18,3,1,1,1.22,0.56,0.9666666666666665
19.4,5,19,3,1,1,0.68,1.67,0.9358333333333334
14.1,2,20,3,1,1,0.93,1.53,0.9058333333333333
16.9,2,20,3,1,1,0.81,0.81,0.8895833333333333
-9.8,3,23,3,1,1,0.42,1.39,0.855
-6.6,1,4,4,1,2,0.56,0.96,0.8258333333333332
28.7,5,4,4,1,2,0.26,0.33,0.8929166666666667
10.3,1,5,4,1,2,1.94,1.41,0.9166666666666666
32.7,5,5,4,1,2,1.98,0.69,0.9116666666666666
35.3,1,5,4,1,2,0.57,0.86,0.9233333333333333
33.8,2,6,4,1,2,1.14,1.41,0.9199999999999999
15.3,1,6,4,1,2,1.33,0.36,0.96125
37.4,3,8,4,1,2,1.35,0.52,0.9641666666666667
10.9,4,9,4,1,2,0.59,0.32,1.0262499999999999
31.5,1,10,4,1,2,1.81,1.69,0.9787499999999999
10.4,3,12,4,1,2,0.55,1.72,0.9795833333333333
29.0,5,13,4,1,2,1.74,0.98,0.9983333333333332
26.9,3,14,4,1,2,1.43,0.63,1.0320833333333332
20.6,4,14,4,1,2,1.44,0.5,1.0654166666666667
0.6,4,14,4,1,2,1.3,0.6,1.0758333333333332
20.6,2,16,4,1,2,0.85,0.95,1.0525
3.0,5,17,4,1,2,0.39,1.14,1.0399999999999998
2.5,3,18,4,1,2,0.84,0.83,1.0304166666666668
-9.4,1,19,4,1,2,0.6,1.22,1.0554166666666667
30.4,2,20,4,1,2,1.82,0.68,1.1029166666666668
7.1,1,20,4,1,2,1.82,0.93,1.1475
-9.6,3,20,4,1,2,2.0,0.81,1.1500000000000001
19.1,5,20,4,1,2,0.87,0.42,1.1620833333333334
38.0,1,21,4,1,2,0.71,0.56,1.1833333333333333
13.2,5,22,4,1,2,1.07,0.26,1.1845833333333333
-0.4,4,23,4,1,2,0.29,1.94,1.1816666666666666
24.3,4,0,5,1,3,1.87,1.98,1.1758333333333333
-1.5,2,0,5,1,3,1.84,0.57,1.2333333333333334
28.9,1,2,5,1,3,1.95,1.14,1.2049999999999998
-2.8,2,3,5,1,3,0.46,1.33,1.2170833333333333
24.6,2,4,5,1,3,1.62,1.35,1.2120833333333334
9.1,1,5,5,1,3,1.23,0.59,1.2129166666666666
26.6,2,5,5,1,3,0.61,1.81,1.1725
32.3,5,6,5,1,3,0.84,0.55,1.1591666666666667
14.8,3,10,5,1,3,0.23,1.74,1.1225
33.1,1,10,5,1,3,0.86,1.43,1.0758333333333334
23.4,4,10,5,1,3,0.31,1.44,1.0258333333333334
-4.3,4,10,5,1,3,0.24,1.3,0.9954166666666667
17.3,4,11,5,1,3,0.57,0.85,1.0275
-8.6,4,12,5,1,3,1.62,0.39,1.0870833333333334
34.2,2,13,5,1,3,1.82,0.84,1.0845833333333335
31.2,1,13,5,1,3,0.78,0.6,1.1375
19.6,5,13,5,1,3,1.87,1.82,1.1045833333333335
-3.6,3,13,5,1,3,1.03,1.82,1.07875
14.6,2,13,5,1,3,1.2,2.0,1.0754166666666667
10.5,3,13,5,1,3,1.92,0.87,1.0679166666666666
19.2,2,14,5,1,3,0.69,0.71,1.0541666666666667
-3.8,1,14,5,1,3,0.38,1.07,1.0225000000000002
36.8,4,15,5,1,3,0.31,0.29,1.0683333333333334
-6.3,3,15,5,1,3,1.39,1.87,1.0225
38.2,4,15,5,1,3,0.77,1.84,0.9787500000000001
22.3,1,18,5,1,3,0.79,1.95,0.92125
31.0,4,18,5,1,3,0.57,0.46,0.935
11.7,2,19,5,1,3,0.79,1.62,0.9466666666666667
4.5,1,20,5,1,3,1.9,1.23,0.9233333333333333
34.3,2,21,5,1,3,0.67,0.61,0.9216666666666667
39.3,1,22,5,1,3,0.57,0.84,0.9566666666666667
28.9,4,0,6,1,4,1.68,0.23,1.0016666666666667
12.4,5,0,6,1,4,1.31,0.86,0.9920833333333333
35.7,5,1,6,1,4,0.63,0.31,1.0150000000000001
38.4,1,1,6,1,4,0.86,0.24,1.0379166666666666
5.3,2,2,6,1,4,0.79,0.57,1.09
4.7,4,4,6,1,4,1.82,1.62,1.1004166666666666
12.9,4,4,6,1,4,1.87,1.82,1.1075
24.2,1,5,6,1,4,1.99,0.78,1.0958333333333334
10.0,3,5,6,1,4,0.5,1.87,1.0533333333333335
3.3,1,5,6,1,4,0.85,1.03,1.0329166666666667
36.3,3,6,6,1,4,0.54,1.2,1.0454166666666667
12.4,1,9,6,1,4,1.5,1.92,1.0204166666666667
23.3,5,11,6,1,4,1.32,0.69,1.0266666666666666
25.2,5,12,6,1,4,0.84,0.38,1.0325
31.6,2,13,6,1,4,0.52,0.31,1.0308333333333333
36.4,3,13,6,1,4,0.27,1.39,1.0229166666666667
17.2,1,13,6,1,4,1.2,0.77,1.0216666666666667
-9.9,3,13,6,1,4,0.74,0.79,1.0025
9.8,3,14,6,1,4,0.33,0.57,1.0591666666666666
34.3,1,14,6,1,4,1.93,0.79,1.0445833333333334
19.8,4,15,6,1,4,0.44,1.9,1.0066666666666666
18.7,1,17,6,1,4,0.99,0.67,1.0620833333333333
11.6,3,17,6,1,4,2.0,0.57,1.07625
10.3,2,18,6,1,4,0.91,1.68,1.0679166666666666
20.7,3,18,6,1,4,1.48,1.31,1.0308333333333335
30.9,2,18,6,1,4,0.42,0.63,1.0675000000000001
36.4,4,19,6,1,4,1.51,0.86,1.06125
39.1,4,20,6,1,4,0.71,0.79,1.095
38.3,1,21,6,1,4,1.6,1.82,1.0304166666666668
17.3,4,21,6,1,4,0.27,1.87,0.9654166666666666
6.4,2,21,6,1,4,0.31,1.99,0.9320833333333334
6.6,3,22,6,1,4,1.19,0.5,0.9575
-3.8,5,22,6,1,4,1.11,0.85,0.9699999999999999
-7.0,4,22,6,1,4,1.15,0.54,1.0008333333333332
5.0,3,23,6,1,4,1.28,1.5,0.9695833333333334
23.9,1,0,7,1,5,0.75,1.32,0.9920833333333333
12.0,4,2,7,1,5,1.86,0.84,0.9866666666666667
27.1,4,2,7,1,5,0.71,0.52,1.0191666666666668
-6.5,1,3,7,1,5,1.3,0.27,1.085
14.9,2,4,7,1,5,1.85,1.2,1.0608333333333333
-9.7,3,5,7,1,5,0.62,0.74,1.0533333333333332
23.3,4,5,7,1,5,0.56,0.33,1.0579166666666666
32.1,5,6,7,1,5,0.44,1.93,1.0054166666666668
2.2,3,7,7,1,5,0.67,0.44,1.0191666666666668
24.4,1,7,7,1,5,0.77,0.99,1.0316666666666667
14.9,4,8,7,1,5,1.29,2.0,0.9795833333333334
-9.4,1,8,7,1,5,0.75,0.91,1.0054166666666668
30.5,1,9,7,1,5,1.53,1.48,1.00125
-9.4,3,9,7,1,5,1.38,0.42,1.0083333333333333
21.2,3,10,7,1,5,0.59,1.51,1.0133333333333334
10.6,2,11,7,1,5,1.63,0.71,0.9929166666666666
39.1,2,11,7,1,5,0.22,1.6,0.9979166666666667
36.0,4,12,7,1,5,1.72,0.27,1.03
31.3,4,12,7,1,5,1.04,0.31,1.0379166666666666
37.1,1,13,7,1,5,0.5,1.19,1.0395833333333333
32.8,5,13,7,1,5,1.23,1.11,1.0154166666666666
22.4,3,14,7,1,5,0.53,1.15,1.0495833333333333
-5.7,5,15,7,1,5,1.97,1.28,1.0095833333333333
33.9,5,15,7,1,5,0.32,0.75,1.0320833333333332
13.8,4,15,7,1,5,1.29,1.86,1.0229166666666667
35.9,3,15,7,1,5,1.64,0.71,1.0279166666666666
-5.2,2,16,7,1,5,0.83,1.3,1.0104166666666667
10.8,2,17,7,1,5,0.88,1.85,0.9729166666666668
29.0,2,17,7,1,5,0.95,0.62,0.9720833333333333
6.0,2,18,7,1,5,0.6,0.56,1.0104166666666667
4.2,1,18,7,1,5,1.48,0.44,1.0129166666666667
14.2,1,19,7,1,5,0.5,0.67,1.0525
25.5,1,21,7,1,5,1.62,0.77,1.06625
37.9,4,21,7,1,5,1.1,1.29,1.0770833333333332
-9.3,1,21,7,1,5,1.55,0.75,1.0633333333333332
8.8,4,22,7,1,5,0.42,1.53,1.0604166666666666
0.3,1,22,7,1,5,1.46,1.38,1.0370833333333334
7.3,2,23,7,1,5,0.82,0.59,1.04
12.4,5,23,7,1,5,0.66,1.63,1.0374999999999999
36.2,5,23,7,1,5,1.57,0.22,1.0516666666666667
1.6,1,1,8,1,6,0.56,1.72,1.0554166666666667
37.7,5,1,8,1,6,1.81,1.04,1.0591666666666668
21.7,1,2,8,1,6,1.13,0.5,1.0766666666666667
-3.7,4,2,8,1,6,0.92,1.23,1.0525
1.7,4,3,8,1,6,0.65,0.53,1.0908333333333333
-6.2,1,4,8,1,6,1.45,1.97,1.02
-4.5,3,4,8,1,6,0.27,0.32,1.0354166666666667
5.2,5,5,8,1,6,0.69,1.29,1.0208333333333333
16.3,3,8,8,1,6,0.94,1.64,0.9704166666666666
9.4,4,10,8,1,6,0.43,0.83,0.9779166666666668
-2.0,5,11,8,1,6,1.01,0.88,0.9904166666666666
28.4,1,11,8,1,6,1.18,0.95,1.0095833333333333
9.2,1,11,8,1,6,1.41,0.6,1.0625
-3.9,2,12,8,1,6,1.87,1.48,1.06125
22.3,1,12,8,1,6,1.45,0.5,1.1079166666666667
37.7,4,12,8,1,6,1.62,1.62,1.0858333333333332
36.4,3,14,8,1,6,1.09,1.1,1.0895833333333333
31.4,3,14,8,1,6,1.19,1.55,1.05125
24.1,2,15,8,1,6,0.63,0.42,1.11
14.3,1,15,8,1,6,1.83,1.46,1.0695833333333333
29.3,1,16,8,1,6,0.49,0.82,1.1070833333333334
30.2,2,18,8,1,6,1.72,0.66,1.1445833333333333
13.2,5,18,8,1,6,1.56,1.57,1.0954166666666667
0.6,3,18,8,1,6,0.39,0.56,1.1191666666666666
38.3,5,18,8,1,6,1.13,1.81,1.06625
1.7,3,18,8,1,6,0.54,1.13,1.0916666666666668
22.0,4,19,8,1,6,1.74,0.92,1.08625
4.2,5,19,8,1,6,0.79,0.65,1.0845833333333335
20.8,2,20,8,1,6,0.61,1.45,1.09
13.8,2,21,8,1,6,1.58,0.27,1.115
11.9,1,22,8,1,6,0.87,0.69,1.1629166666666666
-7.6,3,23,8,1,6,1.84,0.94,1.18
32.0,1,0,9,1,0,1.35,0.43,1.17875
-8.6,2,0,9,1,0,0.4,1.01,1.2029166666666666
9.6,2,3,9,1,0,1.59,1.18,1.1829166666666666
16.4,5,5,9,1,0,0.7,1.41,1.1479166666666667
25.8,3,5,9,1,0,0.57,1.87,1.0791666666666668
30.7,4,5,9,1,0,0.22,1.45,1.0445833333333334
17.2,1,8,9,1,0,0.62,1.62,0.9912500000000001
18.6,5,9,9,1,0,0.34,1.09,1.0241666666666667
34.2,1,12,9,1,0,1.88,1.19,0.9891666666666667
15.1,4,13,9,1,0,0.35,0.63,1.0229166666666667
-6.9,5,13,9,1,0,1.44,1.83,1.0216666666666667
-9.3,2,14,9,1,0,1.8,0.49,1.0458333333333334
-9.5,1,14,9,1,0,1.07,1.72,1.0379166666666668
29.3,2,15,9,1,0,1.53,1.56,1.02125
-4.9,3,15,9,1,0,1.16,0.39,1.0791666666666666
30.0,3,16,9,1,0,1.78,1.13,1.105
38.6,4,18,9,1,0,1.75,0.54,1.0991666666666668
37.8,4,18,9,1,0,0.4,1.74,1.09
31.4,1,19,9,1,0,1.52,0.79,1.0675000000000001
26.5,5,20,9,1,0,0.25,0.61,1.0987500000000001
-4.0,4,20,9,1,0,1.36,1.58,1.0441666666666667
29.9,5,21,9,1,0,0.27,0.87,1.0683333333333334
26.9,3,22,9,1,0,1.45,1.84,1.0058333333333334
34.9,4,0,10,1,1,0.34,1.35,1.0208333333333333
33.2,2,0,10,1,1,1.71,0.4,1.0333333333333334
27.0,4,3,10,1,1,0.7,1.59,1.0195833333333335
-5.8,1,4,10,1,1,1.26,0.7,1.0408333333333333
24.3,1,4,10,1,1,1.21,0.57,1.0687499999999999
1.0,1,4,10,1,1,1.24,0.22,1.1275
14.7,2,5,10,1,1,1.63,0.62,1.1191666666666666
37.5,4,6,10,1,1,0.42,0.34,1.1316666666666666
14.4,1,8,10,1,1,0.64,1.88,1.1125
18.0,4,8,10,1,1,1.42,0.35,1.1341666666666665
-4.7,2,9,10,1,1,0.87,1.44,1.1566666666666667
35.2,4,12,10,1,1,1.98,1.8,1.1320833333333333
1.3,5,12,10,1,1,1.21,1.07,1.1433333333333333
15.4,1,13,10,1,1,1.34,1.53,1.1120833333333333
-3.7,4,13,10,1,1,0.78,1.16,1.1033333333333333
12.6,2,13,10,1,1,0.95,1.78,1.0779166666666666
36.9,2,13,10,1,1,1.17,1.75,1.0170833333333333
-4.0,4,14,10,1,1,0.29,0.4,1.01875
37.2,2,15,10,1,1,0.44,1.52,1.0208333333333333
33.3,3,15,10,1,1,1.57,0.25,1.0533333333333332
-7.1,1,16,10,1,1,1.03,1.36,1.0570833333333334
-3.2,3,16,10,1,1,1.45,0.27,1.06375
18.7,5,17,10,1,1,0.43,1.45,1.0233333333333334
