Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
36.3,5,1,1,1,6,1.39,1.36,1.0441666666666667
25.7,4,1,1,1,6,1.46,1.71,0.9995833333333333
32.7,1,1,1,1,6,0.64,1.82,1.0033333333333332
0.6,3,2,1,1,6,1.91,0.42,1.0304166666666668
17.9,1,2,1,1,6,1.07,1.31,1.0316666666666665
18.0,5,3,1,1,6,1.34,0.95,1.02375
32.3,1,4,1,1,6,0.76,1.5,1.04125
5.4,1,7,1,1,6,1.92,1.53,1.0162499999999999
0.5,5,8,1,1,6,0.93,0.21,1.0429166666666667
24.7,2,8,1,1,6,0.85,0.88,1.0741666666666665
24.8,1,8,1,1,6,1.63,1.57,1.0408333333333333
24.2,1,9,1,1,6,0.77,0.29,1.0695833333333333
10.6,1,9,1,1,6,0.98,1.24,1.0941666666666667
-9.2,2,9,1,1,6,1.83,0.63,1.1191666666666666
-9.9,2,10,1,1,6,1.23,0.47,1.1116666666666666
35.2,3,10,1,1,6,0.29,1.64,1.1229166666666666
6.1,5,11,1,1,6,1.91,0.58,1.1641666666666668
21.1,2,11,1,1,6,1.57,0.91,1.2095833333333335
23.4,1,13,1,1,6,2.0,0.75,1.2029166666666666
24.1,1,13,1,1,6,0.59,1.43,1.1633333333333333
-1.0,4,14,1,1,6,0.48,0.54,1.1629166666666666
37.0,2,15,1,1,6,0.53,0.99,1.17
15.2,5,15,1,1,6,1.16,0.84,1.1558333333333333
-4.7,4,16,1,1,6,0.5,1.39,1.1479166666666665
-6.9,5,16,1,1,6,1.2,1.46,1.1241666666666665
-3.4,4,16,1,1,6,0.89,0.64,1.1420833333333333
-6.8,4,17,1,1,6,1.07,1.91,1.1008333333333333
35.7,3,17,1,1,6,0.92,1.07,1.0783333333333334
36.7,2,19,1,1,6,0.53,1.34,1.1041666666666667
-0.1,2,20,1,1,6,1.96,0.76,1.0929166666666668
39.4,1,21,1,1,6,0.49,1.92,1.0925
7.9,3,23,1,1,6,1.91,0.93,1.0641666666666667
13.4,4,0,2,1,0,0.25,0.85,1.0983333333333334
39.8,1,0,2,1,0,1.67,1.63,1.0641666666666667
-7.3,4,3,2,1,0,0.81,0.77,1.0875000000000001
35.0,4,5,2,1,0,1.33,0.98,1.0966666666666667
7.5,5,6,2,1,0,1.2,1.83,1.0533333333333332
35.2,2,6,2,1,0,0.79,1.23,1.0204166666666665
17.6,3,6,2,1,0,0.44,0.29,1.05
4.5,4,8,2,1,0,1.0,1.91,1.00375
2.6,3,8,2,1,0,0.8,1.57,0.9545833333333333
36.7,2,8,2,1,0,0.39,2.0,0.8983333333333333
3.8,3,8,2,1,0,0.65,0.59,0.945
37.2,3,9,2,1,0,1.71,0.48,0.9791666666666666
17.0,4,10,2,1,0,1.3,0.53,0.9795833333333334
-4.3,2,11,2,1,0,0.54,1.16,0.94625
32.7,4,12,2,1,0,0.36,0.5,0.985
2.5,4,12,2,1,0,1.43,1.2,0.9625
19.7,1,12,2,1,0,0.66,0.89,0.9362500000000001
8.5,2,13,2,1,0,0.26,1.07,0.9345833333333333
26.5,1,15,2,1,0,1.03,0.92,0.9529166666666667
-8.5,3,15,2,1,0,1.36,0.53,0.9816666666666668
-4.7,5,17,2,1,0,1.22,1.96,0.9637500000000001
23.5,5,18,2,1,0,1.53,0.49,1.0241666666666667
25.4,1,19,2,1,0,1.94,1.91,0.9787499999999999
36.5,5,19,2,1,0,0.82,0.25,1.0075
-8.8,2,20,2,1,0,0.94,1.67,1.0175
29.7,3,20,2,1,0,1.91,0.81,1.0495833333333333
-6.8,3,21,2,1,0,1.58,1.33,1.0666666666666667
36.0,1,21,2,1,0,1.74,1.2,1.0304166666666668
14.4,5,4,3,1,1,0.33,0.79,1.0491666666666666
15.0,4,4,3,1,1,1.24,0.44,1.09625
35.8,4,4,3,1,1,1.57,1.0,1.10875
18.8,2,5,3,1,1,1.3,0.8,1.1308333333333334
38.4,1,5,3,1,1,1.33,0.39,1.1849999999999998
12.1,3,6,3,1,1,1.69,0.65,1.2120833333333334
20.5,5,6,3,1,1,1.3,1.71,1.2091666666666667
-2.1,2,8,3,1,1,1.64,1.3,1.2004166666666667
25.5,5,8,3,1,1,1.09,0.54,1.22875
4.6,1,8,3,1,1,1.22,0.36,1.2266666666666668
0.1,5,9,3,1,1,0.31,1.43,1.2129166666666666
4.9,1,10,3,1,1,1.1,0.66,1.2550000000000001
35.0,4,11,3,1,1,1.67,0.26,1.3070833333333332
6.9,5,12,3,1,1,1.51,1.03,1.3141666666666667
6.0,5,15,3,1,1,1.2,1.36,1.3324999999999998
-1.0,3,16,3,1,1,1.8,1.22,1.3420833333333333
34.9,5,17,3,1,1,1.45,1.53,1.3129166666666665
25.7,4,17,3,1,1,0.83,1.94,1.31375
34.8,2,20,3,1,1,1.96,0.82,1.3262500000000002
-2.7,2,23,3,1,1,1.12,0.94,1.3079166666666666
25.0,5,23,3,1,1,0.5,1.91,1.2708333333333333
36.8,4,0,4,1,2,1.02,1.58,1.2429166666666667
16.6,3,0,4,1,2,0.91,1.74,1.2254166666666666
37.4,1,1,4,1,2,1.32,0.33,1.2220833333333334
9.5,1,2,4,1,2,0.25,1.24,1.2179166666666668
9.1,5,2,4,1,2,1.14,1.57,1.1879166666666667
30.6,1,6,4,1,2,0.85,1.3,1.1679166666666667
28.1,4,7,4,1,2,0.82,1.33,1.1779166666666667
35.1,3,7,4,1,2,1.57,1.69,1.1466666666666667
36.4,3,7,4,1,2,0.94,1.3,1.1041666666666667
-4.4,5,7,4,1,2,0.28,1.64,1.0933333333333333
13.9,4,8,4,1,2,1.38,1.09,1.0645833333333334
30.2,2,8,4,1,2,0.4,1.22,1.0683333333333334
20.3,3,8,4,1,2,1.31,0.31,1.0829166666666665
8.4,3,9,4,1,2,0.66,1.1,1.0745833333333334
1.3,4,9,4,1,2,0.9,1.67,1.0574999999999999
-4.1,3,9,4,1,2,1.26,1.51,1.0775000000000001
-10.0,4,10,4,1,2,1.99,1.2,1.0883333333333332
37.1,1,11,4,1,2,1.46,1.8,1.0233333333333334
-8.1,2,11,4,1,2,0.24,1.45,1.0295833333333333
33.5,5,11,4,1,2,1.6,0.83,1.0391666666666668
29.5,4,11,4,1,2,1.06,1.96,1.0170833333333333
29.3,1,12,4,1,2,1.43,1.12,0.9804166666666666
-0.6,1,13,4,1,2,0.24,0.5,0.9745833333333332
-1.4,5,13,4,1,2,0.36,1.02,0.9937499999999999
