Outdoor Temperature (°C),Household Size,hour,day,month,week,lag_1,lag_24,rolling_mean_24
2.7,3,0,1,1,6,0.95,0.9,1.1504166666666666
5.0,2,1,1,1,6,1.12,1.51,1.17
-1.6,4,2,1,1,6,1.98,0.21,1.2308333333333332
38.9,4,2,1,1,6,1.67,0.63,1.2433333333333334
12.6,3,5,1,1,6,0.93,1.11,1.24
-5.6,3,5,1,1,6,1.03,0.46,1.2354166666666666
15.3,3,5,1,1,6,0.35,0.65,1.2470833333333333
-4.9,4,6,1,1,6,0.93,0.22,1.3058333333333334
11.3,5,6,1,1,6,1.63,1.63,1.2879166666666666
0.3,3,7,1,1,6,1.2,0.74,1.29
8.4,1,7,1,1,6,0.79,1.9,1.2483333333333333
26.2,2,7,1,1,6,0.9,1.64,1.26125
-6.7,4,8,1,1,6,1.95,0.68,1.2954166666666667
7.2,2,10,1,1,6,1.5,1.88,1.2670833333333333
27.5,4,10,1,1,6,1.2,1.08,1.2508333333333332
-4.8,1,10,1,1,6,0.69,0.92,1.2583333333333333
22.7,1,12,1,1,6,1.1,1.46,1.26125
10.2,2,12,1,1,6,1.53,1.5,1.25
36.8,4,13,1,1,6,1.23,1.88,1.1895833333333334
8.3,3,15,1,1,6,0.43,1.66,1.1329166666666666
-9.0,2,15,1,1,6,0.3,1.5,1.1033333333333333
32.4,1,15,1,1,6,0.79,1.67,1.0658333333333334
-1.9,4,16,1,1,6,0.77,0.61,1.0504166666666666
8.4,4,17,1,1,6,0.24,0.95,1.0195833333333333
-4.7,5,18,1,1,6,0.21,1.12,1.0129166666666667
26.3,2,21,1,1,6,0.96,1.98,0.9883333333333334
-1.7,1,22,1,1,6,1.39,1.67,0.9716666666666667
3.4,1,23,1,1,6,1.27,0.93,0.97625
37.3,5,23,1,1,6,1.04,1.03,0.9991666666666665
28.5,1,1,2,1,0,1.58,0.35,1.0529166666666667
30.4,5,2,2,1,0,1.64,0.93,1.06125
9.3,5,3,2,1,0,1.13,1.63,1.0616666666666665
32.5,4,4,2,1,0,1.64,1.2,1.0295833333333333
13.3,2,4,2,1,0,0.43,0.79,1.0341666666666667
28.6,3,5,2,1,0,0.9,0.9,1.0120833333333334
20.6,1,5,2,1,0,0.37,1.95,1.0133333333333334
-7.6,4,5,2,1,0,1.98,1.5,0.9691666666666666
11.1,3,6,2,1,0,0.44,1.2,0.9904166666666666
-9.3,3,7,2,1,0,1.71,0.69,1.0120833333333334
15.9,4,8,2,1,0,1.21,1.1,1.0325
-3.0,2,9,2,1,0,1.59,1.53,1.0333333333333332
20.3,3,9,2,1,0,1.55,1.23,1.055
22.4,3,10,2,1,0,1.75,0.43,1.1024999999999998
-1.2,3,11,2,1,0,1.57,0.3,1.1254166666666665
18.8,3,13,2,1,0,0.85,0.79,1.1424999999999998
31.4,2,14,2,1,0,1.2,0.77,1.16
-9.1,5,14,2,1,0,1.19,0.24,1.2245833333333334
29.1,5,15,2,1,0,1.79,0.21,1.2391666666666667
-4.8,1,16,2,1,0,0.56,0.96,1.2379166666666668
1.4,3,16,2,1,0,0.93,1.39,1.2104166666666665
16.9,2,17,2,1,0,0.73,1.27,1.1958333333333333
15.4,5,18,2,1,0,0.92,1.04,1.2175
0.3,1,21,2,1,0,1.56,1.58,1.2212500000000002
-2.7,5,0,3,1,1,1.67,1.64,1.1866666666666668
38.4,5,1,3,1,1,0.81,1.13,1.15875
-6.7,1,2,3,1,1,0.46,1.64,1.1729166666666668
25.8,2,2,3,1,1,1.98,0.43,1.2012500000000002
34.4,3,4,3,1,1,1.11,0.9,1.1870833333333333
25.9,3,4,3,1,1,0.56,0.37,1.215
38.2,5,6,3,1,1,1.04,1.98,1.1429166666666666
7.5,1,7,3,1,1,0.25,0.44,1.1683333333333332
33.5,4,8,3,1,1,1.05,1.71,1.1170833333333332
7.5,1,8,3,1,1,0.48,1.21,1.08125
30.6,3,9,3,1,1,0.35,1.59,1.02375
13.0,4,10,3,1,1,0.21,1.55,0.9783333333333335
4.6,5,11,3,1,1,0.46,1.75,0.9658333333333334
16.4,3,12,3,1,1,1.45,1.57,0.9595833333333333
14.8,4,13,3,1,1,1.42,0.85,0.9916666666666667
21.7,1,14,3,1,1,1.62,1.2,0.99625
-5.6,4,15,3,1,1,1.31,1.19,0.9770833333333333
