hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
6,30,0,10,14.6,5,0.2,0.2,0.2
0,10,4,11,34.0,2,0.2,0.2,0.2
14,3,6,12,-9.0,5,0.2,0.2,0.2
15,24,6,12,-2.9,2,0.2,0.2,0.2
17,4,2,1,39.6,1,0.2,0.2,0.2
3,16,0,1,9.2,4,0.21,0.2,0.2004166666666667
7,3,4,2,30.3,3,0.21,0.2,0.20083333333333334
13,17,4,2,3.4,3,0.21,0.2,0.20125
17,22,2,2,-2.3,5,0.21,0.2,0.2016666666666667
0,23,3,2,14.3,1,0.21,0.2,0.20208333333333336
18,27,0,2,10.1,1,0.21,0.2,0.2025
21,2,3,3,38.7,5,0.21,0.2,0.20291666666666666
8,3,4,3,0.4,3,0.21,0.2,0.20333333333333334
8,15,2,3,20.8,4,0.21,0.2,0.20375
14,17,4,3,-8.8,4,0.21,0.2,0.2041666666666667
6,22,2,3,-4.7,4,0.21,0.2,0.20458333333333334
15,22,2,3,33.1,3,0.21,0.2,0.205
3,26,6,3,7.4,4,0.21,0.2,0.20541666666666666
8,3,0,4,2.3,5,0.21,0.2,0.2058333333333333
2,7,4,4,-3.8,1,0.21,0.2,0.20625000000000002
17,16,6,4,20.9,3,0.21,0.2,0.20666666666666667
7,24,0,4,-5.7,1,0.21,0.2,0.2070833333333333
11,26,2,4,26.2,1,0.21,0.2,0.2075
7,27,3,4,33.1,2,0.21,0.2,0.20791666666666664
14,27,3,4,21.5,1,0.21,0.2,0.2083333333333333
8,28,4,4,22.0,2,0.21,0.2,0.20875
14,6,5,5,-4.7,1,0.21,0.2,0.20916666666666664
21,9,1,5,9.8,1,0.21,0.2,0.20958333333333332
8,15,0,5,-9.3,4,0.21,0.21,0.21
8,16,1,5,8.4,1,0.21,0.21,0.21
16,23,1,5,30.7,3,0.21,0.21,0.21
0,27,5,5,-9.4,5,0.21,0.21,0.21
0,1,3,6,34.6,3,0.21,0.21,0.21
17,4,6,6,5.0,3,0.21,0.21,0.21
13,23,4,6,19.8,5,0.21,0.21,0.21
7,27,1,6,27.8,1,0.21,0.21,0.21
19,27,1,6,30.8,4,0.21,0.21,0.21
13,30,4,6,28.4,4,0.21,0.21,0.21
18,30,4,6,2.1,4,0.21,0.21,0.21
23,3,0,7,11.2,4,0.21,0.21,0.21
14,5,2,7,14.5,1,0.21,0.21,0.21
13,19,2,7,13.5,1,0.21,0.21,0.21
8,22,5,7,38.5,3,0.21,0.21,0.21
15,24,0,7,36.9,5,0.21,0.21,0.21
14,3,3,8,-3.7,2,0.21,0.21,0.21
17,18,4,8,10.3,4,0.21,0.21,0.21
3,26,5,8,2.6,5,0.21,0.21,0.21
0,5,1,9,14.9,2,0.21,0.21,0.21
12,9,5,9,28.5,2,0.21,0.21,0.21
13,18,0,9,11.6,1,0.21,0.21,0.21
19,21,3,9,-5.0,2,0.21,0.21,0.21
13,23,5,9,13.3,1,0.21,0.21,0.21
4,25,0,9,-4.1,5,0.21,0.21,0.21
16,3,1,10,29.1,2,0.21,0.21,0.21
1,8,6,10,27.4,2,0.21,0.21,0.21
8,20,4,10,26.5,5,0.21,0.21,0.21
9,23,0,10,12.8,4,0.21,0.21,0.21
13,23,0,10,38.2,5,0.21,0.21,0.21
10,27,4,10,5.7,1,0.21,0.21,0.21
0,28,5,10,8.2,5,0.21,0.21,0.21
17,30,0,10,15.7,5,0.21,0.21,0.21
18,1,2,11,27.8,3,0.21,0.21,0.21
16,20,0,11,13.9,1,0.21,0.21,0.21
4,28,1,11,16.0,2,0.21,0.21,0.21
23,7,3,12,4.9,2,0.21,0.21,0.21
12,11,0,12,31.5,2,0.21,0.21,0.21
23,22,4,12,13.1,3,0.21,0.21,0.21
23,30,5,12,27.3,5,0.21,0.21,0.21
7,3,1,1,4.3,1,0.21,0.21,0.21
4,4,2,1,37.0,4,0.22,0.21,0.21041666666666667
6,25,2,1,38.9,4,0.22,0.21,0.21083333333333332
12,26,3,1,24.7,3,0.22,0.21,0.21125000000000002
15,29,6,1,38.1,4,0.22,0.21,0.21166666666666667
1,31,1,1,28.7,4,0.22,0.21,0.21208333333333332
16,12,6,2,21.3,3,0.22,0.21,0.2125
2,13,0,2,7.7,5,0.22,0.21,0.21291666666666667
23,16,3,2,37.4,2,0.22,0.21,0.21333333333333335
5,24,4,2,38.8,4,0.22,0.21,0.21375
9,24,4,2,19.2,2,0.22,0.21,0.2141666666666667
6,8,2,3,36.3,2,0.22,0.21,0.21458333333333335
9,9,1,5,23.6,5,0.22,0.21,0.215
7,13,5,5,14.4,2,0.22,0.21,0.21541666666666667
0,18,3,5,5.1,2,0.22,0.21,0.21583333333333335
1,3,5,6,26.3,5,0.22,0.21,0.21625000000000003
15,3,5,6,37.4,2,0.22,0.21,0.21666666666666667
1,6,1,6,7.3,5,0.22,0.21,0.21708333333333332
6,15,3,6,25.7,5,0.22,0.21,0.2175
12,16,4,6,1.2,2,0.22,0.21,0.21791666666666665
13,20,1,6,-5.5,5,0.22,0.21,0.2183333333333333
0,26,0,6,3.1,3,0.22,0.21,0.21875
2,3,0,7,9.9,5,0.22,0.21,0.21916666666666665
9,4,1,7,4.0,2,0.22,0.21,0.21958333333333332
20,17,0,7,29.1,4,0.22,0.22,0.22
12,23,6,7,6.7,5,0.22,0.22,0.22
11,28,4,7,9.1,2,0.22,0.22,0.22
7,31,0,7,-7.4,1,0.22,0.22,0.22
12,6,6,8,0.0,2,0.22,0.22,0.22
14,14,0,8,16.4,5,0.22,0.22,0.22
6,17,3,8,-1.1,5,0.22,0.22,0.22
18,24,3,8,30.4,1,0.22,0.22,0.22
3,25,4,8,8.3,3,0.22,0.22,0.22
9,29,1,8,14.4,2,0.22,0.22,0.22
17,1,4,9,-1.6,1,0.22,0.22,0.22
11,4,0,9,26.9,4,0.22,0.22,0.22
23,11,0,9,27.7,5,0.22,0.22,0.22
21,14,3,9,38.8,4,0.22,0.22,0.22
2,26,1,9,-7.7,3,0.22,0.22,0.22
19,12,3,10,3.7,1,0.22,0.22,0.22
4,21,5,10,39.5,3,0.22,0.22,0.22
23,27,4,10,-6.9,3,0.22,0.22,0.22
14,2,3,11,25.8,3,0.22,0.22,0.22
20,26,6,11,16.8,3,0.22,0.22,0.22
9,30,3,11,34.4,5,0.22,0.22,0.22
10,5,1,12,11.0,1,0.22,0.22,0.22
14,7,3,12,1.5,4,0.22,0.22,0.22
0,16,5,12,8.6,4,0.22,0.22,0.22
20,18,0,12,5.9,2,0.22,0.22,0.22
11,24,6,12,33.2,2,0.22,0.22,0.22
18,25,0,12,10.1,5,0.22,0.22,0.22
11,27,2,12,23.1,5,0.22,0.22,0.22
7,30,0,1,16.1,1,0.22,0.22,0.22
16,31,1,1,-0.5,5,0.23,0.22,0.22041666666666668
8,3,4,2,-3.8,5,0.23,0.22,0.22083333333333333
18,5,6,2,16.7,5,0.23,0.22,0.22125000000000003
15,12,6,2,24.8,3,0.23,0.22,0.22166666666666668
16,26,6,2,27.9,4,0.23,0.22,0.22208333333333333
1,7,1,3,12.4,4,0.23,0.22,0.22250000000000003
9,6,3,4,8.0,3,0.23,0.22,0.22291666666666665
22,11,1,4,5.0,2,0.23,0.22,0.22333333333333336
14,12,2,4,19.5,1,0.23,0.22,0.22375
23,15,5,4,11.2,4,0.23,0.22,0.2241666666666667
19,18,1,4,39.7,2,0.23,0.22,0.22458333333333333
5,19,2,4,16.2,3,0.23,0.22,0.225
13,23,6,4,8.5,3,0.23,0.22,0.22541666666666668
1,28,4,4,10.2,5,0.23,0.22,0.22583333333333333
19,1,0,5,17.4,3,0.23,0.22,0.22624999999999998
19,10,2,5,29.8,2,0.23,0.22,0.22666666666666668
4,12,4,5,13.2,2,0.23,0.22,0.22708333333333333
19,13,5,5,3.0,5,0.23,0.22,0.2275
22,15,0,5,-6.8,5,0.23,0.22,0.22791666666666666
5,24,2,5,8.9,2,0.23,0.22,0.22833333333333336
