hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
16,27,0,2,39.1,5,0.1,0.1,0.1
2,28,1,2,-7.0,4,0.1,0.1,0.1
7,1,2,3,7.4,4,0.1,0.1,0.1
15,2,3,3,32.7,2,0.1,0.1,0.1
20,5,6,3,-7.1,4,0.1,0.1,0.1
2,18,5,3,29.4,1,0.1,0.1,0.1
14,20,0,3,39.6,1,0.1,0.1,0.1
16,22,2,3,-9.0,4,0.1,0.1,0.1
22,22,2,3,-3.9,3,0.1,0.1,0.1
15,28,1,3,9.3,2,0.1,0.1,0.1
21,29,2,3,35.9,2,0.1,0.1,0.1
21,29,2,3,-8.1,4,0.1,0.1,0.1
21,31,4,3,31.5,4,0.1,0.1,0.1
23,4,1,4,23.5,3,0.1,0.1,0.1
6,5,2,4,13.2,3,0.1,0.1,0.1
12,9,6,4,2.5,5,0.1,0.1,0.1
16,10,0,4,4.5,4,0.1,0.1,0.1
12,11,1,4,12.6,3,0.1,0.1,0.1
23,11,1,4,38.0,2,0.1,0.1,0.1
1,12,2,4,23.6,5,0.1,0.1,0.1
0,15,5,4,25.8,5,0.1,0.1,0.1
16,15,5,4,8.3,1,0.1,0.1,0.1
5,18,1,4,3.8,3,0.1,0.1,0.1
8,22,5,4,8.3,3,0.1,0.1,0.1
5,25,1,4,28.8,5,0.1,0.1,0.1
13,26,2,4,27.1,4,0.1,0.1,0.1
16,27,3,4,34.3,2,0.1,0.1,0.1
17,27,3,4,-1.1,4,0.1,0.1,0.1
8,28,4,4,-3.1,2,0.1,0.1,0.1
18,1,0,5,8.4,2,0.1,0.1,0.1
20,9,1,5,8.4,4,0.1,0.1,0.1
12,14,6,5,9.1,3,0.1,0.1,0.1
15,15,0,5,-9.2,2,0.1,0.1,0.1
11,16,1,5,39.2,5,0.1,0.1,0.1
1,17,2,5,22.1,4,0.1,0.1,0.1
14,25,3,5,5.0,3,0.1,0.1,0.1
0,26,4,5,17.1,5,0.1,0.1,0.1
2,27,5,5,31.9,3,0.1,0.1,0.1
18,5,0,6,23.6,2,0.1,0.1,0.1
14,11,6,6,-2.9,1,0.1,0.1,0.1
4,12,0,6,8.3,1,0.1,0.1,0.1
15,12,0,6,-1.1,3,0.1,0.1,0.1
8,13,1,6,13.7,5,0.1,0.1,0.1
6,16,4,6,17.4,1,0.1,0.1,0.1
11,17,5,6,-5.6,2,0.1,0.1,0.1
17,19,0,6,-1.9,1,0.1,0.1,0.1
20,19,0,6,11.7,1,0.1,0.1,0.1
17,23,4,6,8.2,2,0.1,0.1,0.1
12,25,6,6,34.6,1,0.1,0.1,0.1
16,2,6,7,15.1,4,0.1,0.1,0.1
