hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
8,6,3,4,37.1,5,2.01,2.0,2.004583333333333
9,18,1,4,31.0,5,2.01,2.0,2.005
22,15,0,5,30.9,3,2.01,2.0,2.0054166666666666
23,19,4,5,35.3,1,2.01,2.0,2.0058333333333334
14,20,5,5,-1.7,5,2.01,2.0,2.00625
20,12,0,6,21.7,1,2.01,2.0,2.0066666666666664
22,29,3,6,-9.2,4,2.01,2.0,2.007083333333333
11,2,6,7,39.2,3,2.01,2.0,2.0075
12,17,0,7,-2.0,2,2.01,2.0,2.0079166666666666
6,21,4,7,37.6,2,2.01,2.0,2.0083333333333333
17,20,6,8,22.7,4,2.01,2.0,2.0087499999999996
4,29,1,8,21.0,5,2.01,2.0,2.0091666666666668
8,15,4,9,38.6,1,2.01,2.0,2.009583333333333
9,29,4,9,33.6,2,2.01,2.01,2.01
19,13,4,10,38.0,5,2.01,2.01,2.01
19,25,2,10,27.3,2,2.01,2.01,2.01
1,6,0,11,36.9,3,2.01,2.01,2.01
23,7,1,11,38.8,5,2.01,2.01,2.01
12,18,5,11,-10.0,1,2.01,2.01,2.01
16,9,5,12,33.2,1,2.01,2.01,2.01
22,11,2,1,2.5,5,2.01,2.01,2.01
13,20,4,1,30.7,2,2.02,2.01,2.0104166666666665
18,1,2,2,29.8,3,2.02,2.01,2.0108333333333333
4,3,4,2,4.0,1,2.02,2.01,2.01125
2,16,3,2,34.3,4,2.02,2.01,2.0116666666666663
1,8,2,3,17.4,3,2.02,2.01,2.0120833333333334
12,12,6,3,9.2,3,2.02,2.01,2.0124999999999997
1,15,2,3,-2.0,3,2.02,2.01,2.0129166666666665
9,23,3,3,9.6,3,2.02,2.01,2.013333333333333
15,4,1,4,12.2,1,2.02,2.01,2.01375
14,5,2,4,16.5,2,2.02,2.01,2.0141666666666667
13,7,4,4,36.0,2,2.02,2.01,2.0145833333333334
9,13,3,4,26.4,2,2.02,2.01,2.015
16,15,5,4,7.0,3,2.02,2.01,2.0154166666666664
3,20,3,4,29.5,1,2.02,2.01,2.0158333333333336
17,13,5,5,-9.3,1,2.02,2.01,2.01625
20,16,1,5,14.3,2,2.02,2.01,2.0166666666666666
14,31,2,5,39.4,1,2.02,2.01,2.0170833333333333
18,3,5,6,28.9,5,2.02,2.01,2.0175
23,10,5,6,36.6,1,2.02,2.01,2.0179166666666664
13,12,0,6,7.8,1,2.02,2.01,2.018333333333333
11,20,1,6,-3.2,4,2.02,2.01,2.0187500000000003
17,23,4,6,-9.9,4,2.02,2.01,2.0191666666666666
8,8,5,7,0.1,4,2.02,2.01,2.0195833333333337
17,11,1,7,9.5,4,2.02,2.02,2.02
2,21,4,7,27.5,4,2.02,2.02,2.02
16,24,0,7,34.9,5,2.02,2.02,2.02
4,18,4,8,12.2,1,2.02,2.02,2.02
20,30,2,8,15.8,1,2.02,2.02,2.02
4,2,0,10,23.1,5,2.02,2.02,2.02
0,14,5,10,-8.8,3,2.02,2.02,2.02
3,18,2,10,35.0,2,2.02,2.02,2.02
8,31,1,10,24.5,1,2.02,2.02,2.02
7,11,5,11,28.1,3,2.02,2.02,2.02
12,16,3,11,-9.3,1,2.02,2.02,2.02
4,27,0,11,-7.7,2,2.02,2.02,2.02
4,5,1,12,18.6,5,2.02,2.02,2.02
23,14,3,12,17.6,4,2.02,2.02,2.02
7,19,1,12,24.0,4,2.02,2.02,2.02
0,23,5,12,-4.5,4,2.02,2.02,2.02
7,25,0,12,-5.1,2,2.02,2.02,2.02
18,1,6,1,33.0,5,2.02,2.02,2.02
4,7,5,1,8.3,5,2.03,2.02,2.0204166666666667
7,1,2,2,20.3,4,2.03,2.02,2.0208333333333335
12,10,4,2,2.8,5,2.03,2.02,2.0212499999999998
13,16,3,2,-8.7,2,2.03,2.02,2.0216666666666665
0,22,2,2,1.9,2,2.03,2.02,2.0220833333333332
2,2,3,3,-6.9,3,2.03,2.02,2.0225
20,5,6,3,7.1,1,2.03,2.02,2.0229166666666667
17,13,0,3,27.7,5,2.03,2.02,2.023333333333333
2,10,0,4,12.5,4,2.03,2.02,2.02375
0,11,1,4,-5.0,1,2.03,2.02,2.0241666666666664
22,17,0,4,10.4,1,2.03,2.02,2.0245833333333336
0,26,2,4,-6.0,2,2.03,2.02,2.025
22,10,2,5,10.5,3,2.03,2.02,2.025416666666666
11,17,2,5,11.9,2,2.03,2.02,2.0258333333333334
16,5,0,6,15.3,5,2.03,2.02,2.0262499999999997
13,16,4,6,-9.4,3,2.03,2.02,2.026666666666667
5,1,5,7,-2.0,1,2.03,2.02,2.027083333333333
10,5,2,7,37.0,1,2.03,2.02,2.0275
19,19,2,7,34.5,2,2.03,2.02,2.0279166666666666
3,26,2,7,-3.9,4,2.03,2.02,2.028333333333333
3,16,2,8,-1.3,4,2.03,2.02,2.02875
6,19,5,8,-6.6,1,2.03,2.02,2.0291666666666663
9,4,0,9,6.7,5,2.03,2.02,2.029583333333333
19,17,6,9,35.7,2,2.03,2.03,2.03
9,29,4,9,39.7,2,2.03,2.03,2.03
12,6,4,10,-3.2,3,2.03,2.03,2.03
0,15,6,10,7.8,1,2.03,2.03,2.03
23,21,5,10,-7.1,5,2.03,2.03,2.03
10,18,5,11,34.0,4,2.03,2.03,2.03
12,20,0,11,14.1,1,2.03,2.03,2.03
23,24,4,11,2.3,2,2.03,2.03,2.03
5,14,3,12,11.1,3,2.03,2.03,2.03
1,7,5,1,-5.1,4,2.03,2.03,2.03
13,16,0,1,35.1,1,2.04,2.03,2.0304166666666665
22,25,2,1,21.7,5,2.04,2.03,2.0308333333333333
13,27,0,2,22.5,2,2.04,2.03,2.0312499999999996
16,28,1,2,34.7,1,2.04,2.03,2.0316666666666667
15,6,0,3,39.2,4,2.04,2.03,2.032083333333333
8,7,1,3,-9.8,4,2.04,2.03,2.0324999999999998
1,9,3,3,36.9,1,2.04,2.03,2.0329166666666665
3,13,0,3,1.9,4,2.04,2.03,2.033333333333333
13,25,5,3,38.9,4,2.04,2.03,2.03375
7,26,6,3,31.0,3,2.04,2.03,2.0341666666666667
9,26,6,3,10.2,2,2.04,2.03,2.0345833333333334
23,3,0,4,34.4,4,2.04,2.03,2.0349999999999997
8,9,6,4,28.1,1,2.04,2.03,2.0354166666666664
6,25,1,4,13.4,4,2.04,2.03,2.035833333333333
8,4,3,5,-5.1,2,2.04,2.03,2.0362500000000003
7,6,5,5,1.1,3,2.04,2.03,2.0366666666666666
18,11,3,5,21.4,5,2.04,2.03,2.0370833333333334
22,28,6,5,-5.9,3,2.04,2.03,2.0375
11,10,5,6,23.7,2,2.04,2.03,2.0379166666666664
15,11,6,6,25.5,4,2.04,2.03,2.0383333333333336
6,14,2,6,28.1,4,2.04,2.03,2.03875
21,20,1,6,-9.2,1,2.04,2.03,2.0391666666666666
11,25,6,6,-7.6,4,2.04,2.03,2.0395833333333333
5,13,3,7,-1.0,3,2.04,2.04,2.04
12,11,4,8,-4.4,3,2.04,2.04,2.04
10,18,4,8,33.4,5,2.04,2.04,2.04
10,25,4,8,-0.8,3,2.04,2.04,2.04
6,6,2,9,29.8,1,2.04,2.04,2.04
13,18,0,9,17.5,1,2.04,2.04,2.04
