hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
18,14,5,1,1.8,3,0.21,0.2,0.2004166666666667
4,26,3,1,14.5,3,0.21,0.2,0.20083333333333334
21,26,3,1,14.2,5,0.21,0.2,0.20125
7,9,3,2,8.6,3,0.21,0.2,0.2016666666666667
21,11,5,2,-6.5,3,0.21,0.2,0.20208333333333336
23,21,1,2,-4.2,3,0.21,0.2,0.2025
17,22,2,2,-6.3,1,0.21,0.2,0.20291666666666666
14,10,4,3,19.9,3,0.21,0.2,0.20333333333333334
7,12,6,3,15.5,3,0.21,0.2,0.20375
21,13,0,3,-5.8,1,0.21,0.2,0.2041666666666667
18,17,4,3,30.0,1,0.21,0.2,0.20458333333333334
3,22,2,3,-0.3,3,0.21,0.2,0.205
18,30,3,3,-1.2,3,0.21,0.2,0.20541666666666666
20,31,4,3,-7.5,4,0.21,0.2,0.2058333333333333
12,10,0,4,35.0,5,0.21,0.2,0.20625000000000002
2,14,4,4,35.4,5,0.21,0.2,0.20666666666666667
0,17,0,4,7.5,4,0.21,0.2,0.2070833333333333
4,12,4,5,-9.5,4,0.21,0.2,0.2075
11,13,5,5,1.2,5,0.21,0.2,0.20791666666666664
22,15,0,5,32.9,2,0.21,0.2,0.20833333333333334
10,30,1,5,36.0,1,0.21,0.2,0.20875
13,4,6,6,7.4,5,0.21,0.2,0.20916666666666664
20,7,2,6,1.6,2,0.21,0.2,0.20958333333333332
14,10,5,6,-4.9,5,0.21,0.21,0.21
15,19,0,6,22.9,4,0.21,0.21,0.21
16,19,0,6,-5.6,3,0.21,0.21,0.21
1,22,3,6,6.1,5,0.21,0.21,0.21
12,11,1,7,5.3,4,0.21,0.21,0.21
8,13,3,7,-1.3,2,0.21,0.21,0.21
3,17,0,7,17.7,2,0.21,0.21,0.21
5,19,2,7,-1.2,5,0.21,0.21,0.21
23,19,2,7,20.9,1,0.21,0.21,0.21
3,21,0,8,19.9,4,0.21,0.21,0.21
8,11,0,9,-2.2,5,0.21,0.21,0.21
15,18,0,9,17.9,3,0.21,0.21,0.21
16,19,1,9,1.1,1,0.21,0.21,0.21
3,21,3,9,1.7,1,0.21,0.21,0.21
18,21,3,9,17.1,1,0.21,0.21,0.21
8,1,6,10,18.3,3,0.21,0.21,0.21
23,24,1,10,35.4,5,0.21,0.21,0.21
22,30,0,10,-3.8,4,0.21,0.21,0.21
17,1,2,11,29.1,4,0.21,0.21,0.21
2,2,3,11,39.3,3,0.21,0.21,0.21
1,9,3,11,5.7,3,0.21,0.21,0.21
4,14,1,11,34.6,4,0.21,0.21,0.21
4,16,3,11,-9.5,2,0.21,0.21,0.21
5,16,3,11,-9.1,4,0.21,0.21,0.21
19,25,5,11,7.8,1,0.21,0.21,0.21
2,28,1,11,36.4,4,0.21,0.21,0.21
10,7,3,12,22.8,4,0.21,0.21,0.21
1,19,1,12,-3.4,1,0.21,0.21,0.21
8,26,1,12,16.5,2,0.21,0.21,0.21
21,18,2,1,17.4,5,0.21,0.21,0.21
12,19,3,1,5.4,5,0.22,0.21,0.21041666666666667
3,20,4,1,7.5,2,0.22,0.21,0.21083333333333332
16,28,5,1,17.8,4,0.22,0.21,0.21124999999999997
8,30,0,1,-7.4,5,0.22,0.21,0.21166666666666664
21,31,1,1,-5.2,5,0.22,0.21,0.21208333333333332
17,7,1,2,3.2,2,0.22,0.21,0.2125
18,21,1,2,38.8,5,0.22,0.21,0.21291666666666664
23,24,4,2,-2.0,3,0.22,0.21,0.21333333333333335
20,27,0,2,2.8,5,0.22,0.21,0.21375
0,1,2,3,11.1,4,0.22,0.21,0.21416666666666664
22,8,2,3,28.8,5,0.22,0.21,0.21458333333333332
23,18,5,3,38.9,3,0.22,0.21,0.215
7,21,1,3,-8.5,1,0.22,0.21,0.21541666666666667
8,24,4,3,9.1,4,0.22,0.21,0.21583333333333332
2,26,6,3,30.8,4,0.22,0.21,0.21625000000000003
1,27,0,3,38.8,4,0.22,0.21,0.21666666666666667
1,28,1,3,-1.2,1,0.22,0.21,0.21708333333333332
7,28,1,3,9.6,1,0.22,0.21,0.2175
2,25,1,4,-8.0,3,0.22,0.21,0.21791666666666668
14,7,6,5,3.6,5,0.22,0.21,0.21833333333333335
18,14,6,5,20.6,4,0.22,0.21,0.21875
18,15,0,5,-5.3,5,0.22,0.21,0.2191666666666667
7,23,1,5,13.9,2,0.22,0.21,0.21958333333333335
13,27,5,5,2.1,4,0.22,0.22,0.22
21,1,3,6,10.9,2,0.22,0.22,0.22
10,6,1,6,3.3,3,0.22,0.22,0.22
5,7,2,6,2.6,1,0.22,0.22,0.22
6,13,1,6,-0.1,5,0.22,0.22,0.22
12,18,6,6,-6.5,2,0.22,0.22,0.22
13,18,6,6,9.2,4,0.22,0.22,0.22
5,5,2,7,4.5,4,0.22,0.22,0.22
19,10,0,7,28.9,3,0.22,0.22,0.22
14,14,4,7,38.4,3,0.22,0.22,0.22
4,15,5,7,1.3,4,0.22,0.22,0.22
0,25,1,7,22.2,5,0.22,0.22,0.22
14,2,2,8,20.6,5,0.22,0.22,0.22
4,8,1,8,-7.2,1,0.22,0.22,0.22
22,17,3,8,29.4,3,0.22,0.22,0.22
9,18,4,8,38.4,4,0.22,0.22,0.22
7,23,2,8,-7.5,3,0.22,0.22,0.22
12,24,3,8,30.7,3,0.22,0.22,0.22
12,25,4,8,18.7,2,0.22,0.22,0.22
10,28,0,8,1.1,4,0.22,0.22,0.22
22,30,2,8,33.0,5,0.22,0.22,0.22
22,5,1,9,20.6,4,0.22,0.22,0.22
18,13,2,9,12.1,2,0.22,0.22,0.22
4,14,3,9,14.1,4,0.22,0.22,0.22
8,19,1,9,6.0,5,0.22,0.22,0.22
0,20,2,9,37.9,2,0.22,0.22,0.22
23,25,0,9,6.2,2,0.22,0.22,0.22
1,4,2,10,21.2,4,0.22,0.22,0.22
18,4,2,10,-5.6,1,0.22,0.22,0.22
2,9,0,10,29.6,4,0.22,0.22,0.22
7,9,0,10,-7.8,5,0.22,0.22,0.22
20,9,0,10,8.1,2,0.22,0.22,0.22
9,11,2,10,26.4,2,0.22,0.22,0.22
15,1,2,11,15.6,1,0.22,0.22,0.22
5,18,5,11,31.7,3,0.22,0.22,0.22
8,22,2,11,10.0,1,0.22,0.22,0.22
11,27,0,11,23.7,5,0.22,0.22,0.22
6,1,4,12,27.0,4,0.22,0.22,0.22
11,7,3,12,23.6,5,0.22,0.22,0.22
14,16,5,12,-9.6,3,0.22,0.22,0.22
6,1,0,1,26.5,4,0.22,0.22,0.22
4,2,0,1,3.3,4,0.22,0.22,0.22
13,6,4,1,9.2,2,0.23,0.22,0.22041666666666668
20,17,1,1,-0.6,3,0.23,0.22,0.22083333333333335
22,21,5,1,16.2,3,0.23,0.22,0.22124999999999997
19,27,4,1,19.4,4,0.23,0.22,0.22166666666666668
16,3,4,2,17.8,3,0.23,0.22,0.22208333333333333
5,4,5,2,21.6,5,0.23,0.22,0.2225
2,5,6,2,14.7,5,0.23,0.22,0.22291666666666665
3,7,1,2,23.5,2,0.23,0.22,0.22333333333333336
10,7,1,2,38.4,4,0.23,0.22,0.22375
5,10,4,2,20.0,2,0.23,0.22,0.22416666666666665
17,14,1,2,15.8,1,0.23,0.22,0.22458333333333333
20,20,0,2,36.6,5,0.23,0.22,0.225
6,2,3,3,12.3,1,0.23,0.22,0.22541666666666668
18,5,6,3,14.3,2,0.23,0.22,0.22583333333333333
16,14,1,3,39.2,2,0.23,0.22,0.22625000000000003
19,22,2,3,12.8,5,0.23,0.22,0.22666666666666668
13,29,2,3,4.9,4,0.23,0.22,0.22708333333333333
15,31,4,3,6.7,3,0.23,0.22,0.2275
10,10,0,4,9.2,3,0.23,0.22,0.22791666666666668
1,12,2,4,38.3,2,0.23,0.22,0.2283333333333333
19,17,0,4,0.4,5,0.23,0.22,0.22875
15,24,0,4,-9.2,1,0.23,0.22,0.22916666666666666
7,26,2,4,25.9,5,0.23,0.22,0.22958333333333336
10,27,3,4,8.3,5,0.23,0.23,0.23
10,27,3,4,-0.8,1,0.23,0.23,0.23
19,1,0,5,5.1,4,0.23,0.23,0.23
11,13,5,5,21.2,3,0.23,0.23,0.23
3,14,6,5,-5.3,5,0.23,0.23,0.23
9,26,4,5,11.4,1,0.23,0.23,0.23
14,7,2,6,-1.5,2,0.23,0.23,0.23
9,8,3,6,29.2,3,0.23,0.23,0.23
20,14,2,6,31.7,1,0.23,0.23,0.23
21,20,1,6,28.8,1,0.23,0.23,0.23
21,26,0,6,8.8,4,0.23,0.23,0.23
23,26,0,6,8.9,3,0.23,0.23,0.23
4,2,6,7,11.3,5,0.23,0.23,0.23
22,4,1,7,6.3,1,0.23,0.23,0.23
19,20,3,7,17.0,4,0.23,0.23,0.23
11,25,1,7,23.9,3,0.23,0.23,0.23
11,27,3,7,0.7,4,0.23,0.23,0.23
3,4,4,8,36.7,1,0.23,0.23,0.23
14,30,2,8,-5.4,4,0.23,0.23,0.23
7,31,3,8,2.9,3,0.23,0.23,0.23
20,9,5,9,9.9,3,0.23,0.23,0.23
11,14,3,9,29.0,4,0.23,0.23,0.23
1,26,1,9,-9.8,1,0.23,0.23,0.23
6,27,2,9,36.4,5,0.23,0.23,0.23
17,3,1,10,35.6,5,0.23,0.23,0.23
18,6,4,10,37.8,2,0.23,0.23,0.23
6,7,5,10,9.8,4,0.23,0.23,0.23
14,8,6,10,5.1,1,0.23,0.23,0.23
