hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
5,9,0,10,-3.0,4,0.2,0.2,0.2
18,16,3,11,3.2,4,0.2,0.2,0.2
3,9,5,12,3.7,5,0.2,0.2,0.2
15,29,4,12,18.3,4,0.2,0.2,0.2
10,3,1,1,34.7,3,0.2,0.2,0.2
6,14,5,1,15.2,5,0.21,0.2,0.2004166666666667
20,21,5,1,0.0,5,0.21,0.2,0.20083333333333334
23,23,0,1,18.4,1,0.21,0.2,0.20125
4,28,5,1,34.7,3,0.21,0.2,0.2016666666666667
11,5,6,2,0.7,3,0.21,0.2,0.20208333333333336
7,9,3,2,-0.5,1,0.21,0.2,0.2025
19,11,5,2,24.5,2,0.21,0.2,0.20291666666666666
1,12,6,2,8.1,2,0.21,0.2,0.20333333333333334
23,21,1,2,7.7,2,0.21,0.2,0.20375
4,24,4,2,26.4,2,0.21,0.2,0.2041666666666667
10,25,5,2,17.2,3,0.21,0.2,0.20458333333333334
10,11,5,3,16.5,5,0.21,0.2,0.205
9,15,2,3,11.7,4,0.21,0.2,0.20541666666666666
3,27,0,3,6.9,1,0.21,0.2,0.2058333333333333
18,2,6,4,26.5,3,0.21,0.2,0.20625000000000002
2,13,3,4,-4.7,2,0.21,0.2,0.20666666666666667
12,15,5,4,-9.7,5,0.21,0.2,0.2070833333333333
4,26,2,4,-9.8,3,0.21,0.2,0.2075
5,30,6,4,-0.6,4,0.21,0.2,0.20791666666666664
7,8,0,5,-7.3,5,0.21,0.2,0.2083333333333333
1,15,0,5,3.9,5,0.21,0.2,0.20875
17,30,4,6,31.7,2,0.21,0.2,0.20916666666666664
4,10,0,7,11.3,5,0.21,0.2,0.20958333333333332
3,20,3,7,12.6,2,0.21,0.21,0.21
12,20,3,7,13.5,1,0.21,0.21,0.21
21,27,3,7,-7.6,1,0.21,0.21,0.21
10,29,5,7,38.7,1,0.21,0.21,0.21
18,8,1,8,27.2,4,0.21,0.21,0.21
15,10,3,8,-1.7,5,0.21,0.21,0.21
22,13,6,8,0.1,4,0.21,0.21,0.21
1,14,0,8,4.5,1,0.21,0.21,0.21
9,27,6,8,12.8,3,0.21,0.21,0.21
15,4,0,9,35.4,3,0.21,0.21,0.21
2,17,6,9,25.0,3,0.21,0.21,0.21
15,20,2,9,12.9,2,0.21,0.21,0.21
11,27,2,9,-4.3,5,0.21,0.21,0.21
20,29,4,9,6.4,5,0.21,0.21,0.21
22,29,4,9,-8.5,3,0.21,0.21,0.21
