hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
1,7,3,12,13.8,1,0.2,0.2,0.2
0,8,4,12,17.2,1,0.2,0.2,0.2
4,24,6,12,17.0,4,0.2,0.2,0.2
11,2,0,1,26.8,3,0.2,0.2,0.2
14,19,3,1,34.1,1,0.21,0.2,0.2004166666666667
14,24,1,1,-3.0,2,0.21,0.2,0.20083333333333334
17,31,1,1,13.8,3,0.21,0.2,0.20125
15,9,3,2,0.4,4,0.21,0.2,0.20166666666666666
3,14,1,2,2.1,4,0.21,0.2,0.20208333333333336
3,17,4,2,27.8,4,0.21,0.2,0.2025
3,24,4,2,14.9,3,0.21,0.2,0.20291666666666666
21,26,6,2,3.5,4,0.21,0.2,0.20333333333333334
2,28,1,2,0.1,4,0.21,0.2,0.20375
17,8,2,3,0.4,4,0.21,0.2,0.20416666666666664
0,22,2,3,8.3,5,0.21,0.2,0.20458333333333334
23,29,2,3,35.5,3,0.21,0.2,0.205
20,6,3,4,15.9,4,0.21,0.2,0.20541666666666666
13,9,6,4,36.8,5,0.21,0.2,0.2058333333333333
5,16,6,4,-7.2,3,0.21,0.2,0.20624999999999996
7,16,6,4,22.9,3,0.21,0.2,0.20666666666666667
12,25,1,4,37.4,2,0.21,0.2,0.2070833333333333
12,19,4,5,0.3,1,0.21,0.2,0.20750000000000002
14,19,4,5,-1.4,5,0.21,0.2,0.20791666666666667
7,24,2,5,14.8,5,0.21,0.2,0.20833333333333334
2,28,6,5,33.0,3,0.21,0.2,0.20875000000000002
9,8,3,6,3.0,5,0.21,0.2,0.2091666666666667
19,8,3,6,36.8,4,0.21,0.2,0.20958333333333334
2,29,3,6,-7.1,1,0.21,0.21,0.21
8,3,0,7,20.1,2,0.21,0.21,0.21
20,10,0,7,39.5,2,0.21,0.21,0.21
23,13,3,7,9.9,3,0.21,0.21,0.21
19,27,3,7,-3.8,3,0.21,0.21,0.21
9,30,6,7,12.2,4,0.21,0.21,0.21
3,2,2,8,8.4,3,0.21,0.21,0.21
17,5,5,8,38.5,3,0.21,0.21,0.21
10,18,4,8,-3.1,1,0.21,0.21,0.21
