Appliance Type,timestamp,Energy Consumption (kWh)
Air Conditioning,2023-01-01 00:00:00,4.42
Air Conditioning,2023-01-01 01:00:00,7.61
Air Conditioning,2023-01-01 02:00:00,14.8
Air Conditioning,2023-01-01 03:00:00,4.19
Air Conditioning,2023-01-01 04:00:00,10.68
Air Conditioning,2023-01-01 05:00:00,6.9399999999999995
Air Conditioning,2023-01-01 06:00:00,0.0
Air Conditioning,2023-01-01 07:00:00,0.0
Air Conditioning,2023-01-01 08:00:00,4.95
Air Conditioning,2023-01-01 09:00:00,2.17
Air Conditioning,2023-01-01 10:00:00,5.83
Air Conditioning,2023-01-01 11:00:00,2.63
Air Conditioning,2023-01-01 12:00:00,7.66
Air Conditioning,2023-01-01 13:00:00,0.0
Air Conditioning,2023-01-01 14:00:00,12.129999999999999
Air Conditioning,2023-01-01 15:00:00,2.89
Air Conditioning,2023-01-01 16:00:00,0.0
Air Conditioning,2023-01-01 17:00:00,2.81
Air Conditioning,2023-01-01 18:00:00,7.57
Air Conditioning,2023-01-01 19:00:00,2.74
Air Conditioning,2023-01-01 20:00:00,0.0
Air Conditioning,2023-01-01 21:00:00,3.49
Air Conditioning,2023-01-01 22:00:00,0.0
Air Conditioning,2023-01-01 23:00:00,4.76
Air Conditioning,2023-01-02 00:00:00,3.51
Air Conditioning,2023-01-02 01:00:00,4.41
Air Conditioning,2023-01-02 02:00:00,2.11
Air Conditioning,2023-01-02 03:00:00,3.47
Air Conditioning,2023-01-02 04:00:00,9.11
Air Conditioning,2023-01-02 05:00:00,0.0
Air Conditioning,2023-01-02 06:00:00,4.19
Air Conditioning,2023-01-02 07:00:00,6.29
Air Conditioning,2023-01-02 08:00:00,0.0
Air Conditioning,2023-01-02 09:00:00,4.61
Air Conditioning,2023-01-02 10:00:00,5.95
Air Conditioning,2023-01-02 11:00:00,9.55
Air Conditioning,2023-01-02 12:00:00,0.0
Air Conditioning,2023-01-02 13:00:00,4.58
Air Conditioning,2023-01-02 14:00:00,16.259999999999998
Air Conditioning,2023-01-02 15:00:00,4.84
Air Conditioning,2023-01-02 16:00:00,0.0
Air Conditioning,2023-01-02 17:00:00,0.0
Air Conditioning,2023-01-02 18:00:00,10.04
Air Conditioning,2023-01-02 19:00:00,0.0
Air Conditioning,2023-01-02 20:00:00,6.51
Air Conditioning,2023-01-02 21:00:00,3.5
Air Conditioning,2023-01-02 22:00:00,0.0
Air Conditioning,2023-01-02 23:00:00,3.05
Air Conditioning,2023-01-03 00:00:00,4.83
Air Conditioning,2023-01-03 01:00:00,0.0
Air Conditioning,2023-01-03 02:00:00,11.389999999999999
Air Conditioning,2023-01-03 03:00:00,7.37
Air Conditioning,2023-01-03 04:00:00,0.0
Air Conditioning,2023-01-03 05:00:00,0.0
Air Conditioning,2023-01-03 06:00:00,0.0
Air Conditioning,2023-01-03 07:00:00,0.0
Air Conditioning,2023-01-03 08:00:00,0.0
Air Conditioning,2023-01-03 09:00:00,0.0
Air Conditioning,2023-01-03 10:00:00,5.45
Air Conditioning,2023-01-03 11:00:00,9.42
Air Conditioning,2023-01-03 12:00:00,3.85
Air Conditioning,2023-01-03 13:00:00,8.29
Air Conditioning,2023-01-03 14:00:00,0.0
Air Conditioning,2023-01-03 15:00:00,3.11
Air Conditioning,2023-01-03 16:00:00,0.0
Air Conditioning,2023-01-03 17:00:00,0.0
Air Conditioning,2023-01-03 18:00:00,5.73
Air Conditioning,2023-01-03 19:00:00,2.29
Air Conditioning,2023-01-03 20:00:00,9.57
Air Conditioning,2023-01-03 21:00:00,3.71
Air Conditioning,2023-01-03 22:00:00,0.0
Air Conditioning,2023-01-03 23:00:00,0.0
Air Conditioning,2023-01-04 00:00:00,0.0
Air Conditioning,2023-01-04 01:00:00,4.21
Air Conditioning,2023-01-04 02:00:00,8.15
Air Conditioning,2023-01-04 03:00:00,0.0
Air Conditioning,2023-01-04 04:00:00,4.77
Air Conditioning,2023-01-04 05:00:00,2.99
Air Conditioning,2023-01-04 06:00:00,6.54
Air Conditioning,2023-01-04 07:00:00,8.06
Air Conditioning,2023-01-04 08:00:00,11.370000000000001
Air Conditioning,2023-01-04 09:00:00,3.29
Air Conditioning,2023-01-04 10:00:00,0.0
