Home ID,Appliance Type,Energy Consumption (kWh),Outdoor Temperature,Season,Household Size,Timestamp,Month,Year,Month_Name
399,Air Conditioning,4.47,-9.0,Summer,4,2023-07-01 23:32:00,2023-07,2023,Jul
378,Air Conditioning,4.2,14.0,Summer,4,2023-08-24 01:43:00,2023-08,2023,Aug
421,Air Conditioning,2.25,34.8,Summer,4,2023-08-24 01:36:00,2023-08,2023,Aug
204,Air Conditioning,4.72,17.7,Spring,2,2023-05-06 10:47:00,2023-05,2023,May
419,Air Conditioning,4.85,30.0,Winter,4,2023-01-29 22:39:00,2023-01,2023,Jan
254,Air Conditioning,4.08,18.0,Summer,2,2023-08-24 01:00:00,2023-08,2023,Aug
377,Air Conditioning,3.91,26.0,Summer,5,2023-08-23 22:03:00,2023-08,2023,Aug
316,Air Conditioning,2.76,-0.3,Summer,1,2023-08-23 21:43:00,2023-08,2023,Aug
132,Air Conditioning,4.38,18.3,Spring,3,2023-05-06 11:16:00,2023-05,2023,May
68,Air Conditioning,4.68,35.2,Spring,1,2023-05-06 11:36:00,2023-05,2023,May
53,Air Conditioning,4.13,23.3,Summer,1,2023-08-23 18:18:00,2023-08,2023,Aug
435,Air Conditioning,3.62,11.5,Summer,2,2023-08-23 18:00:00,2023-08,2023,Aug
189,Air Conditioning,3.7,28.5,Summer,1,2023-08-23 17:59:00,2023-08,2023,Aug
302,Air Conditioning,5.0,28.3,Summer,5,2023-08-23 17:40:00,2023-08,2023,Aug
432,Air Conditioning,3.34,30.3,Summer,2,2023-08-23 17:31:00,2023-08,2023,Aug
382,Air Conditioning,3.36,19.1,Summer,2,2023-08-23 17:26:00,2023-08,2023,Aug
470,Air Conditioning,4.66,39.3,Summer,5,2023-08-23 17:23:00,2023-08,2023,Aug
104,Air Conditioning,2.3,26.2,Winter,3,2023-01-29 23:32:00,2023-01,2023,Jan
189,Air Conditioning,2.11,-7.5,Spring,4,2023-05-06 10:30:00,2023-05,2023,May
300,Air Conditioning,2.12,38.4,Summer,2,2023-08-24 02:02:00,2023-08,2023,Aug
210,Air Conditioning,2.54,36.1,Summer,2,2023-08-24 02:03:00,2023-08,2023,Aug
462,Air Conditioning,2.12,4.1,Winter,2,2023-02-23 06:03:00,2023-02,2023,Feb
27,Air Conditioning,3.64,-6.4,Summer,1,2023-08-24 12:44:00,2023-08,2023,Aug
293,Air Conditioning,4.19,20.1,Spring,4,2023-05-06 03:48:00,2023-05,2023,May
371,Air Conditioning,4.7,21.7,Summer,1,2023-08-24 11:53:00,2023-08,2023,Aug
