hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
17,1,6,1,28.4,4,2.89,4.42,3.6208333333333336
18,1,6,1,5.7,1,2.81,4.37,3.5537499999999995
18,1,6,1,12.9,3,3.91,3.24,3.5345833333333334
19,1,6,1,6.6,4,3.66,3.75,3.5520833333333335
21,1,6,1,2.1,3,2.74,4.22,3.51
23,1,6,1,-3.8,4,3.49,2.49,3.4795833333333337
0,2,0,1,6.8,3,4.76,4.34,3.5741666666666667
1,2,0,1,36.5,3,3.51,4.19,3.5395833333333333
2,2,0,1,4.9,2,4.41,4.0,3.54875
3,2,0,1,13.1,5,2.11,4.48,3.47
4,2,0,1,-10.0,5,3.47,2.2,3.4279166666666665
4,2,0,1,19.3,4,4.74,4.12,3.53375
6,2,0,1,19.3,5,4.37,2.82,3.544166666666666
7,2,0,1,29.2,3,4.19,4.95,3.6012500000000003
7,2,0,1,22.8,1,2.75,2.17,3.5095833333333335
9,2,0,1,27.2,2,3.54,3.48,3.5666666666666664
10,2,0,1,25.8,5,4.61,2.35,3.61375
10,2,0,1,-1.8,1,2.02,2.63,3.6
11,2,0,1,33.9,1,3.93,3.07,3.654166666666667
11,2,0,1,16.5,1,4.9,4.59,3.7304166666666667
13,2,0,1,-2.5,3,4.65,4.47,3.7329166666666667
14,2,0,1,25.3,4,4.58,3.13,3.7375000000000003
14,2,0,1,2.8,3,3.84,4.53,3.7670833333333333
14,2,0,1,28.3,4,4.12,2.89,3.75
14,2,0,1,23.2,5,3.71,2.81,3.7841666666666662
14,2,0,1,39.3,4,2.25,3.91,3.760833333333333
15,2,0,1,29.4,4,2.34,3.66,3.6954166666666666
18,2,0,1,5.8,3,4.84,2.74,3.7445833333333334
18,2,0,1,33.0,4,2.84,3.49,3.7487500000000007
18,2,0,1,-5.8,2,4.1,4.76,3.7741666666666664
20,2,0,1,22.8,3,3.1,3.51,3.705
20,2,0,1,3.3,3,3.94,4.41,3.7229166666666664
21,2,0,1,35.1,3,2.57,2.11,3.64625
23,2,0,1,14.1,4,3.5,3.47,3.704166666666667
0,3,1,1,38.2,1,3.05,4.74,3.686666666666667
2,3,1,1,20.6,2,4.83,4.37,3.6904166666666662
2,3,1,1,19.3,1,3.76,4.19,3.6650000000000005
2,3,1,1,10.9,3,4.77,2.75,3.6891666666666665
3,3,1,1,3.0,3,2.86,3.54,3.6937499999999996
3,3,1,1,5.3,5,3.33,4.61,3.685
10,3,1,1,-0.5,3,4.04,2.02,3.6612500000000003
10,3,1,1,20.9,2,2.33,3.93,3.6741666666666664
11,3,1,1,-9.2,3,3.12,4.9,3.640416666666667
11,3,1,1,34.7,4,4.55,4.65,3.625833333333333
12,3,1,1,0.0,1,4.87,4.58,3.6350000000000002
13,3,1,1,-9.3,3,3.85,3.84,3.6045833333333337
13,3,1,1,2.7,5,4.31,4.12,3.624166666666667
15,3,1,1,2.1,2,3.98,3.71,3.6183333333333327
18,3,1,1,-0.4,5,3.11,2.25,3.5933333333333337
18,3,1,1,26.5,3,2.4,2.34,3.5995833333333334
19,3,1,1,1.9,3,3.33,4.84,3.640833333333333
20,3,1,1,-1.6,5,2.29,2.84,3.5345833333333334
20,3,1,1,7.7,3,3.87,4.1,3.5774999999999992
20,3,1,1,25.1,1,2.75,3.1,3.5212499999999998
21,3,1,1,17.3,4,2.95,3.94,3.515
1,4,2,1,29.8,2,3.71,2.57,3.5054166666666666
2,4,2,1,33.1,5,4.21,3.5,3.57375
2,4,2,1,16.5,2,3.2,3.05,3.56125
4,4,2,1,17.4,1,4.95,4.83,3.640416666666667
5,4,2,1,-7.1,4,4.77,3.76,3.637916666666667
6,4,2,1,-9.1,1,2.99,4.77,3.605833333333333
6,4,2,1,9.2,1,2.75,2.86,3.5216666666666665
7,4,2,1,39.5,2,3.79,3.33,3.560416666666667
7,4,2,1,-3.8,4,4.25,4.04,3.5987500000000003
8,4,2,1,38.1,3,3.81,2.33,3.589166666666667
8,4,2,1,31.7,5,4.28,3.12,3.6704166666666667
8,4,2,1,15.5,5,3.14,4.55,3.67125
9,4,2,1,1.2,4,3.95,4.87,3.64625
12,4,2,1,-3.5,4,3.29,3.85,3.5804166666666664
12,4,2,1,24.1,2,2.98,4.31,3.544166666666667
14,4,2,1,5.4,2,2.96,3.98,3.4879166666666666
14,4,2,1,-6.2,3,4.27,3.11,3.5
14,4,2,1,35.4,5,3.7,2.4,3.5245833333333327
14,4,2,1,39.2,2,2.55,3.33,3.5308333333333337
15,4,2,1,2.1,5,3.12,2.29,3.5220833333333332
15,4,2,1,21.6,5,3.79,3.87,3.5845833333333332
16,4,2,1,19.1,2,3.19,2.75,3.5562500000000004
16,4,2,1,28.9,3,4.9,2.95,3.6458333333333335
18,4,2,1,2.6,3,4.15,3.71,3.6958333333333333
19,4,2,1,4.6,5,3.0,4.21,3.66625
19,4,2,1,27.0,5,2.05,3.2,3.57625
20,4,2,1,15.6,3,4.94,4.95,3.6487499999999997
21,4,2,1,18.2,4,2.52,4.77,3.5475
23,4,2,1,-2.6,2,2.76,2.99,3.4637499999999997
23,4,2,1,4.9,3,3.27,2.75,3.4754166666666673
23,4,2,1,0.2,1,3.46,3.79,3.5050000000000003
0,5,3,1,35.0,5,4.56,4.25,3.5370833333333334
1,5,3,1,21.8,4,4.64,3.81,3.5533333333333332
2,5,3,1,9.1,2,2.97,4.28,3.518333333333333
3,5,3,1,11.9,1,4.99,3.14,3.547916666666666
5,5,3,1,25.7,5,2.4,3.95,3.5170833333333333
5,5,3,1,33.9,2,3.41,3.29,3.494583333333333
6,5,3,1,9.7,3,2.31,2.98,3.45375
6,5,3,1,19.5,2,4.02,2.96,3.497083333333333
7,5,3,1,-4.2,3,2.34,4.27,3.47125
7,5,3,1,30.2,1,3.35,3.7,3.432916666666666
7,5,3,1,0.1,2,2.02,2.55,3.362916666666667
8,5,3,1,1.6,1,2.75,3.12,3.37125
8,5,3,1,13.3,4,3.38,3.79,3.3820833333333336
