hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
0,2,0,1,14.7,4,0.92,1.79,1.1408333333333334
4,2,0,1,8.5,4,0.57,1.52,1.09
5,2,0,1,36.8,4,1.4,1.93,1.0850000000000002
7,2,0,1,-5.9,4,1.69,1.83,1.075
7,2,0,1,14.1,3,0.98,1.46,1.0395833333333333
9,2,0,1,19.3,1,1.41,0.77,1.0374999999999999
10,2,0,1,-8.6,2,1.83,0.62,1.0816666666666668
11,2,0,1,39.6,2,1.08,1.52,1.1008333333333333
12,2,0,1,10.9,2,1.59,0.93,1.10375
12,2,0,1,5.6,3,1.8,0.99,1.14
12,2,0,1,1.0,4,0.71,0.84,1.1283333333333334
12,2,0,1,24.0,5,1.05,1.34,1.1370833333333332
15,2,0,1,3.8,3,1.7,0.63,1.1520833333333333
15,2,0,1,-0.1,1,1.32,1.27,1.1808333333333334
15,2,0,1,11.0,3,1.5,1.33,1.1904166666666667
16,2,0,1,-4.7,5,1.53,0.82,1.19875
18,2,0,1,38.8,3,1.18,0.33,1.2137499999999999
19,2,0,1,29.6,2,1.72,0.5,1.2716666666666667
19,2,0,1,39.7,4,1.32,1.39,1.3058333333333334
19,2,0,1,14.6,3,0.75,0.37,1.2791666666666668
20,2,0,1,9.2,4,1.63,0.97,1.3316666666666668
20,2,0,1,8.2,2,1.54,1.58,1.3554166666666667
20,2,0,1,31.2,3,0.67,1.73,1.3175000000000001
21,2,0,1,37.2,3,1.84,0.92,1.3220833333333333
0,3,1,1,28.7,5,1.63,0.57,1.3516666666666666
1,3,1,1,13.8,4,0.65,1.4,1.3550000000000002
2,3,1,1,11.8,4,1.46,1.69,1.3575
2,3,1,1,29.3,4,0.26,0.98,1.2979166666666668
6,3,1,1,23.1,1,1.52,1.41,1.3204166666666668
7,3,1,1,4.3,1,1.68,1.83,1.3316666666666668
7,3,1,1,22.1,5,0.22,1.08,1.2645833333333334
8,3,1,1,37.3,4,1.71,1.59,1.2908333333333333
8,3,1,1,-1.0,3,1.61,1.8,1.2916666666666667
9,3,1,1,28.2,4,0.81,0.71,1.2504166666666665
10,3,1,1,33.1,1,1.04,1.05,1.2641666666666667
10,3,1,1,31.9,4,1.97,1.7,1.3025
11,3,1,1,-6.2,5,1.6,1.32,1.2983333333333333
11,3,1,1,-1.2,4,1.14,1.5,1.2908333333333333
11,3,1,1,35.2,1,1.03,1.53,1.27125
12,3,1,1,0.8,4,0.41,1.18,1.2245833333333334
12,3,1,1,-2.2,1,1.56,1.72,1.2404166666666667
13,3,1,1,8.9,1,1.54,1.32,1.2329166666666667
13,3,1,1,23.7,1,1.19,0.75,1.2274999999999998
14,3,1,1,36.5,5,0.79,1.63,1.2291666666666667
17,3,1,1,17.1,4,0.81,1.54,1.195
18,3,1,1,16.0,5,1.85,0.67,1.2079166666666667
18,3,1,1,4.1,1,1.73,1.84,1.2520833333333332
18,3,1,1,16.1,4,1.51,1.63,1.2383333333333333
20,3,1,1,22.3,1,1.5,0.65,1.2329166666666667
21,3,1,1,-3.8,3,0.69,1.46,1.2345833333333334
23,3,1,1,0.4,4,0.41,0.26,1.1908333333333334
23,3,1,1,8.7,3,1.93,1.52,1.2604166666666667
23,3,1,1,22.6,1,1.55,1.68,1.2616666666666665
23,3,1,1,8.8,5,0.41,0.22,1.20875
0,4,2,1,31.1,3,1.3,1.71,1.25375
1,4,2,1,-4.3,1,1.91,1.61,1.2620833333333332
2,4,2,1,30.3,1,1.91,0.81,1.2745833333333334
4,4,2,1,37.0,4,1.86,1.04,1.3183333333333334
5,4,2,1,-5.8,2,0.22,1.97,1.2841666666666667
5,4,2,1,10.3,4,0.38,1.6,1.2179166666666668
7,4,2,1,25.4,2,1.39,1.14,1.2091666666666667
8,4,2,1,35.9,4,1.57,1.03,1.2270833333333335
8,4,2,1,26.8,3,0.94,0.41,1.2233333333333334
9,4,2,1,-4.9,5,0.44,1.56,1.2245833333333334
9,4,2,1,30.4,1,0.5,1.54,1.1804166666666667
9,4,2,1,-5.8,3,0.91,1.19,1.1541666666666666
9,4,2,1,17.5,3,1.72,0.79,1.17625
10,4,2,1,7.1,3,1.07,0.81,1.1879166666666665
11,4,2,1,8.9,2,1.78,1.85,1.2283333333333333
11,4,2,1,-8.3,1,1.83,1.73,1.2275
12,4,2,1,-9.4,4,1.45,1.51,1.2158333333333333
12,4,2,1,-7.0,5,0.61,1.5,1.1783333333333335
13,4,2,1,30.8,2,1.6,0.69,1.1824999999999999
14,4,2,1,8.0,2,1.62,0.41,1.22125
15,4,2,1,22.1,1,1.55,1.93,1.26875
16,4,2,1,7.5,4,1.51,1.55,1.25125
17,4,2,1,14.4,1,0.69,0.41,1.2154166666666668
17,4,2,1,39.6,1,1.7,1.3,1.2691666666666668
19,4,2,1,4.8,5,0.21,1.91,1.2237500000000001
19,4,2,1,24.8,3,0.75,1.91,1.1754166666666668
20,4,2,1,13.8,3,1.21,1.86,1.14625
20,4,2,1,-4.0,2,1.72,0.22,1.1404166666666666
22,4,2,1,11.4,3,1.58,0.38,1.1970833333333333
22,4,2,1,-6.4,1,1.64,1.39,1.2495833333333333
23,4,2,1,17.3,4,1.74,1.57,1.2641666666666667
0,5,3,1,2.3,4,1.41,0.94,1.2575
0,5,3,1,-6.5,1,1.37,0.44,1.2754166666666666
2,5,3,1,11.6,5,1.13,0.5,1.3041666666666667
2,5,3,1,20.8,3,1.19,0.91,1.3329166666666665
2,5,3,1,1.3,3,0.63,1.72,1.32125
4,5,3,1,28.4,4,0.75,1.07,1.2808333333333335
7,5,3,1,-7.4,3,0.89,1.78,1.2733333333333332
8,5,3,1,-6.1,1,0.64,1.83,1.2258333333333333
10,5,3,1,1.2,1,0.46,1.45,1.16875
11,5,3,1,13.8,2,0.58,0.61,1.1325
14,5,3,1,18.7,3,1.55,1.6,1.1716666666666666
14,5,3,1,-9.0,5,0.99,1.62,1.14625
14,5,3,1,-5.5,1,0.97,1.55,1.1191666666666666
16,5,3,1,11.1,4,1.13,1.51,1.1016666666666666
16,5,3,1,38.4,1,1.98,0.69,1.12125
18,5,3,1,37.3,4,1.08,1.7,1.1375
19,5,3,1,36.3,5,1.76,0.21,1.14
19,5,3,1,22.3,4,0.27,0.75,1.1424999999999998
19,5,3,1,6.5,4,0.66,1.21,1.13875
20,5,3,1,20.2,4,1.7,1.72,1.1591666666666667
20,5,3,1,20.5,2,1.83,1.58,1.16375
21,5,3,1,-0.5,3,1.23,1.64,1.1491666666666667
22,5,3,1,-8.3,3,1.1,1.74,1.1266666666666667
23,5,3,1,7.7,2,1.69,1.41,1.1245833333333333
23,5,3,1,38.2,3,0.71,1.37,1.0954166666666667
1,6,4,1,29.7,5,1.26,1.13,1.0908333333333333
1,6,4,1,5.8,3,1.78,1.19,1.1179166666666667
2,6,4,1,9.7,1,0.5,0.63,1.0891666666666666
2,6,4,1,7.3,2,1.95,0.75,1.1441666666666666
2,6,4,1,-2.3,2,1.13,0.89,1.16
2,6,4,1,6.0,4,0.47,0.64,1.1425
2,6,4,1,39.0,3,1.22,0.46,1.1666666666666667
4,6,4,1,0.8,4,0.65,0.58,1.1745833333333333
5,6,4,1,34.0,5,1.65,1.55,1.2191666666666665
