hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
21,1,6,1,8.6,5,0.29,0.3,0.3129166666666667
21,1,6,1,-4.0,1,0.28,0.5,0.3120833333333333
22,1,6,1,27.8,1,0.46,0.32,0.3104166666666667
22,1,6,1,-8.3,3,0.4,0.17,0.31375000000000003
23,1,6,1,13.6,3,0.39,0.21,0.3229166666666667
2,2,0,1,9.9,2,0.49,0.47,0.3345833333333333
3,2,0,1,-9.9,4,0.36,0.46,0.33
5,2,0,1,20.4,2,0.32,0.24,0.32416666666666666
5,2,0,1,28.0,2,0.31,0.29,0.32708333333333334
5,2,0,1,7.9,2,0.16,0.36,0.32166666666666666
5,2,0,1,7.6,2,0.22,0.14,0.31583333333333335
5,2,0,1,36.2,2,0.28,0.35,0.32166666666666666
7,2,0,1,25.7,3,0.38,0.46,0.3229166666666667
8,2,0,1,36.4,1,0.44,0.3,0.32208333333333333
8,2,0,1,16.2,3,0.36,0.28,0.32458333333333333
9,2,0,1,30.2,3,0.44,0.39,0.33125
9,2,0,1,15.5,2,0.24,0.12,0.325
9,2,0,1,3.5,2,0.42,0.4,0.33749999999999997
10,2,0,1,20.0,5,0.1,0.48,0.325
10,2,0,1,11.1,3,0.25,0.17,0.3154166666666667
11,2,0,1,15.2,1,0.48,0.35,0.3283333333333333
12,2,0,1,23.9,4,0.46,0.33,0.3329166666666667
12,2,0,1,33.1,1,0.47,0.13,0.33875000000000005
13,2,0,1,-2.0,3,0.4,0.29,0.3499999999999999
15,2,0,1,33.9,5,0.29,0.28,0.35000000000000003
16,2,0,1,36.8,4,0.47,0.46,0.3579166666666667
17,2,0,1,34.4,4,0.43,0.4,0.3566666666666667
17,2,0,1,16.2,5,0.4,0.39,0.3566666666666667
18,2,0,1,13.7,2,0.21,0.49,0.3491666666666666
19,2,0,1,32.4,5,0.11,0.36,0.3333333333333333
19,2,0,1,20.3,3,0.17,0.32,0.3254166666666667
20,2,0,1,6.9,1,0.19,0.31,0.32
21,2,0,1,15.4,3,0.11,0.16,0.31166666666666665
21,2,0,1,0.2,2,0.4,0.22,0.3216666666666667
22,2,0,1,5.4,5,0.35,0.28,0.32708333333333334
22,2,0,1,31.4,3,0.32,0.38,0.32875000000000004
22,2,0,1,-5.5,3,0.16,0.44,0.31958333333333333
