hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
16,1,6,1,-4.9,5,4.36,3.69,3.36375
17,1,6,1,24.1,5,4.42,2.43,3.394166666666667
17,1,6,1,26.7,2,4.04,3.28,3.4612499999999997
17,1,6,1,-1.6,5,3.26,2.87,3.4604166666666667
17,1,6,1,0.7,1,2.39,4.12,3.440416666666667
18,1,6,1,33.0,5,2.24,2.97,3.362083333333333
19,1,6,1,10.9,2,2.03,3.87,3.3229166666666665
20,1,6,1,-3.2,2,2.5,2.33,3.265833333333333
20,1,6,1,16.2,4,4.64,4.36,3.362083333333333
20,1,6,1,-6.0,3,4.41,3.95,3.3641666666666663
21,1,6,1,23.0,5,3.5,2.29,3.3454166666666665
21,1,6,1,-4.8,1,3.74,4.45,3.4058333333333337
22,1,6,1,29.7,4,2.49,2.63,3.3241666666666667
23,1,6,1,21.3,4,3.28,2.79,3.3512500000000003
23,1,6,1,-9.9,2,2.33,2.91,3.3320833333333333
23,1,6,1,8.9,3,3.02,2.86,3.3366666666666664
23,1,6,1,34.2,2,3.2,4.45,3.3508333333333336
23,1,6,1,26.3,3,2.31,3.73,3.2616666666666667
0,2,0,1,1.7,5,2.26,4.13,3.200416666666667
1,2,0,1,8.1,1,3.86,2.1,3.189166666666667
1,2,0,1,20.5,5,3.11,4.03,3.2312499999999997
6,2,0,1,25.9,2,3.0,2.15,3.188333333333334
8,2,0,1,8.4,4,3.98,3.98,3.264583333333333
8,2,0,1,28.0,1,2.41,4.36,3.1991666666666667
10,2,0,1,21.0,1,4.04,4.42,3.185833333333333
15,2,0,1,26.6,4,3.3,4.04,3.1391666666666667
15,2,0,1,26.0,1,4.03,3.26,3.13875
16,2,0,1,1.8,2,3.66,2.39,3.155416666666667
17,2,0,1,19.3,1,4.01,2.24,3.2229166666666664
17,2,0,1,11.7,3,4.4,2.03,3.3129166666666667
19,2,0,1,33.8,3,2.8,2.5,3.345
19,2,0,1,-0.5,5,2.46,4.64,3.3433333333333337
20,2,0,1,21.0,3,2.77,4.41,3.265416666666667
21,2,0,1,24.1,3,4.59,3.5,3.272916666666667
21,2,0,1,-1.4,1,4.29,3.74,3.3058333333333336
21,2,0,1,-6.6,4,3.65,2.49,3.3020833333333335
22,2,0,1,33.9,4,3.7,3.28,3.3525000000000005
23,2,0,1,36.4,3,2.93,2.33,3.3379166666666666
0,3,1,1,11.5,2,2.21,3.02,3.332916666666667
0,3,1,1,30.9,3,4.28,3.2,3.3854166666666665
0,3,1,1,33.6,2,4.23,2.31,3.4283333333333332
0,3,1,1,-0.2,5,4.01,2.26,3.499166666666667
1,3,1,1,19.5,5,3.38,3.86,3.545833333333333
2,3,1,1,15.8,2,3.23,3.11,3.5195833333333333
3,3,1,1,25.6,2,4.24,3.0,3.5666666666666664
4,3,1,1,15.4,1,4.69,3.98,3.637083333333333
7,3,1,1,10.6,3,3.36,2.41,3.61125
10,3,1,1,10.4,4,4.78,4.04,3.7099999999999995
10,3,1,1,8.1,4,4.28,3.3,3.72
12,3,1,1,39.6,2,3.4,4.03,3.7241666666666666
13,3,1,1,2.9,4,3.65,3.66,3.7083333333333335
13,3,1,1,28.6,5,4.18,4.01,3.73
13,3,1,1,19.2,1,3.36,4.4,3.702916666666667
17,3,1,1,3.4,4,3.11,2.8,3.6491666666666664
17,3,1,1,-5.3,5,4.77,2.46,3.7312499999999997
17,3,1,1,13.8,4,3.8,2.77,3.787083333333333
17,3,1,1,13.8,2,2.56,4.59,3.778333333333333
17,3,1,1,26.8,2,2.25,4.29,3.6808333333333327
18,3,1,1,38.6,5,4.87,3.65,3.705
18,3,1,1,25.7,1,3.45,3.7,3.6966666666666668
19,3,1,1,-7.2,1,2.62,2.93,3.651666666666666
19,3,1,1,4.0,1,4.5,2.21,3.7170833333333335
20,3,1,1,12.8,4,3.87,4.28,3.7862499999999994
