hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
1,2,0,1,33.3,5,1.98,1.68,1.3154166666666667
1,2,0,1,1.2,4,1.52,1.43,1.30875
4,2,0,1,1.5,1,1.8,1.64,1.3241666666666667
4,2,0,1,4.6,5,1.55,1.26,1.3204166666666668
5,2,0,1,25.6,2,1.17,1.06,1.3166666666666667
6,2,0,1,12.7,5,0.23,1.61,1.2820833333333332
6,2,0,1,2.8,5,1.2,1.43,1.265
6,2,0,1,37.5,1,1.15,0.99,1.2533333333333334
9,2,0,1,18.3,4,1.47,0.89,1.2733333333333332
10,2,0,1,2.3,1,1.84,0.3,1.3129166666666667
10,2,0,1,-9.4,2,0.22,1.81,1.3095833333333333
11,2,0,1,11.0,4,0.54,1.99,1.2566666666666666
12,2,0,1,38.0,4,1.2,0.32,1.2237500000000001
12,2,0,1,16.1,2,1.6,1.09,1.2770833333333333
14,2,0,1,20.6,3,0.86,1.6,1.2675
15,2,0,1,35.3,1,1.48,1.48,1.2625
15,2,0,1,22.5,2,1.28,0.89,1.2541666666666667
15,2,0,1,4.7,5,0.26,1.88,1.2279166666666668
15,2,0,1,28.5,3,0.76,1.28,1.18125
18,2,0,1,9.8,5,1.35,1.55,1.1841666666666668
18,2,0,1,-5.4,3,1.51,0.77,1.1825
20,2,0,1,11.0,2,1.96,0.9,1.2320833333333334
21,2,0,1,2.9,4,0.76,1.74,1.22625
21,2,0,1,0.3,5,0.37,1.98,1.1691666666666667
22,2,0,1,29.4,1,0.59,1.52,1.11125
3,3,1,1,11.8,4,1.32,1.8,1.1029166666666665
3,3,1,1,28.0,5,1.92,1.55,1.1079166666666667
4,3,1,1,32.9,5,0.31,1.17,1.05625
4,3,1,1,1.6,5,0.75,0.23,1.03875
6,3,1,1,22.0,3,1.82,1.2,1.105
6,3,1,1,12.3,3,0.46,1.15,1.0741666666666667
7,3,1,1,8.3,4,0.69,1.47,1.055
9,3,1,1,1.3,1,1.52,1.84,1.0570833333333334
10,3,1,1,34.7,3,1.83,0.22,1.0566666666666666
12,3,1,1,19.6,1,0.21,0.54,1.0562500000000001
15,3,1,1,13.7,2,1.97,1.2,1.1158333333333332
17,3,1,1,25.5,1,1.65,1.6,1.1345833333333333
17,3,1,1,-9.4,5,1.42,0.86,1.1270833333333334
17,3,1,1,25.0,3,0.23,1.48,1.1008333333333333
18,3,1,1,2.7,2,1.42,1.28,1.0983333333333334
19,3,1,1,-5.7,2,0.32,0.26,1.0583333333333333
21,3,1,1,-6.6,4,0.26,0.76,1.0583333333333333
23,3,1,1,8.2,3,1.98,1.35,1.1091666666666666
23,3,1,1,18.3,1,0.55,1.51,1.0758333333333334
0,4,2,1,34.3,5,1.1,1.96,1.05875
0,4,2,1,39.4,4,1.25,0.76,1.0291666666666666
1,4,2,1,-7.1,2,1.15,0.37,1.0454166666666667
6,4,2,1,-0.6,1,0.31,0.59,1.0429166666666665
9,4,2,1,31.2,5,1.9,1.32,1.0975
10,4,2,1,38.1,1,1.65,1.92,1.11125
12,4,2,1,36.3,1,0.54,0.31,1.05375
12,4,2,1,26.0,5,0.74,0.75,1.0716666666666668
13,4,2,1,-4.7,3,1.98,1.82,1.1229166666666668
14,4,2,1,2.2,5,1.29,0.46,1.1008333333333333
14,4,2,1,-0.6,1,0.26,0.69,1.0925
16,4,2,1,1.5,4,0.58,1.52,1.0879166666666666
