hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
1,2,0,1,32.5,3,1.26,0.22,1.1416666666666666
2,2,0,1,2.9,1,1.54,1.9,1.1966666666666665
2,2,0,1,11.8,1,0.54,0.39,1.14
3,2,0,1,-9.4,2,0.75,0.7,1.155
4,2,0,1,24.8,5,1.77,1.36,1.1995833333333332
4,2,0,1,38.3,5,1.82,1.96,1.21875
4,2,0,1,38.9,4,1.19,1.25,1.1866666666666665
6,2,0,1,-8.5,1,1.96,0.51,1.2162499999999998
6,2,0,1,0.1,3,1.67,0.28,1.2645833333333334
6,2,0,1,-1.0,2,1.0,0.85,1.2945833333333334
7,2,0,1,6.0,4,1.02,0.47,1.3016666666666667
7,2,0,1,22.7,1,0.86,1.65,1.3179166666666666
7,2,0,1,28.8,2,0.65,1.4,1.2762499999999999
7,2,0,1,16.6,3,0.78,1.38,1.2504166666666665
9,2,0,1,8.0,2,1.4,1.09,1.25125
9,2,0,1,34.0,4,1.16,1.0,1.2541666666666667
11,2,0,1,23.0,3,1.62,1.51,1.28
11,2,0,1,26.8,3,1.44,1.28,1.2770833333333333
11,2,0,1,25.3,3,0.21,1.05,1.2325000000000002
11,2,0,1,3.0,2,0.27,0.95,1.2
11,2,0,1,-1.8,1,0.38,1.3,1.17625
13,2,0,1,16.8,2,1.18,1.95,1.17125
13,2,0,1,-7.4,4,1.11,1.69,1.13625
13,2,0,1,1.7,3,1.81,1.26,1.14125
15,2,0,1,10.8,1,1.78,1.54,1.1629166666666666
17,2,0,1,18.0,3,2.0,0.54,1.1820833333333332
18,2,0,1,24.8,1,0.65,0.75,1.1866666666666668
18,2,0,1,2.6,1,1.98,1.77,1.2379166666666668
18,2,0,1,23.1,4,0.29,1.82,1.17625
18,2,0,1,-0.8,5,1.15,1.19,1.1483333333333332
19,2,0,1,-1.7,1,0.9,1.96,1.1362500000000002
19,2,0,1,-4.9,3,1.33,1.67,1.11
20,2,0,1,34.0,2,1.29,1.0,1.0941666666666665
20,2,0,1,35.9,3,1.6,1.02,1.1191666666666666
20,2,0,1,25.8,5,1.3,0.86,1.1308333333333334
20,2,0,1,4.6,4,0.34,0.65,1.1091666666666666
22,2,0,1,1.2,3,1.05,0.78,1.1258333333333335
22,2,0,1,16.2,3,0.31,1.4,1.10625
22,2,0,1,35.7,1,0.49,1.16,1.0683333333333334
0,3,1,1,7.1,2,0.56,1.62,1.0433333333333334
1,3,1,1,10.7,3,1.67,1.44,1.0454166666666667
1,3,1,1,21.3,4,1.53,0.21,1.0491666666666666
3,3,1,1,33.3,1,0.81,0.27,1.0741666666666665
3,3,1,1,26.1,4,1.39,0.38,1.1208333333333333
3,3,1,1,23.4,2,0.96,1.18,1.145
4,3,1,1,-3.3,2,0.33,1.11,1.1095833333333334
4,3,1,1,11.8,5,1.41,1.81,1.1220833333333333
5,3,1,1,5.8,4,0.69,1.78,1.0754166666666667
6,3,1,1,14.9,4,0.86,2.0,1.0370833333333334
7,3,1,1,-6.7,2,1.41,0.65,1.0125
9,3,1,1,14.5,5,0.36,1.98,1.0004166666666665
10,3,1,1,10.6,2,0.52,0.29,0.9395833333333333
11,3,1,1,32.3,3,0.32,1.15,0.9408333333333333
11,3,1,1,-3.6,1,1.69,0.9,0.9633333333333334
12,3,1,1,36.7,2,1.72,1.33,0.9974999999999999
12,3,1,1,3.0,4,0.98,1.29,0.9829166666666667
13,3,1,1,34.8,3,0.63,1.6,0.9554166666666667
14,3,1,1,1.3,3,0.5,1.3,0.9095833333333333
14,3,1,1,-3.4,2,0.6,0.34,0.8804166666666666
14,3,1,1,38.7,2,0.95,1.05,0.9058333333333333
16,3,1,1,34.7,4,1.14,0.31,0.9095833333333333
18,3,1,1,-0.8,4,0.83,0.49,0.9312499999999999
18,3,1,1,24.5,2,1.22,0.56,0.9616666666666668
19,3,1,1,19.4,5,0.68,1.67,0.9666666666666667
20,3,1,1,14.1,2,0.93,1.53,0.9358333333333334
20,3,1,1,16.9,2,0.81,0.81,0.9058333333333333
23,3,1,1,-9.8,3,0.42,1.39,0.8895833333333334
4,4,2,1,-6.6,1,0.56,0.96,0.855
4,4,2,1,28.7,5,0.26,0.33,0.8258333333333333
5,4,2,1,10.3,1,1.94,1.41,0.8929166666666667
5,4,2,1,32.7,5,1.98,0.69,0.9166666666666666
5,4,2,1,35.3,1,0.57,0.86,0.9116666666666666
6,4,2,1,33.8,2,1.14,1.41,0.9233333333333333
6,4,2,1,15.3,1,1.33,0.36,0.9199999999999999
8,4,2,1,37.4,3,1.35,0.52,0.96125
9,4,2,1,10.9,4,0.59,0.32,0.9641666666666667
10,4,2,1,31.5,1,1.81,1.69,1.0262499999999999
12,4,2,1,10.4,3,0.55,1.72,0.9787499999999999
13,4,2,1,29.0,5,1.74,0.98,0.9795833333333334
14,4,2,1,26.9,3,1.43,0.63,0.9983333333333334
14,4,2,1,20.6,4,1.44,0.5,1.0320833333333332
14,4,2,1,0.6,4,1.3,0.6,1.0654166666666667
16,4,2,1,20.6,2,0.85,0.95,1.0758333333333334
17,4,2,1,3.0,5,0.39,1.14,1.0525
18,4,2,1,2.5,3,0.84,0.83,1.04
19,4,2,1,-9.4,1,0.6,1.22,1.0304166666666668
20,4,2,1,30.4,2,1.82,0.68,1.0554166666666667
20,4,2,1,7.1,1,1.82,0.93,1.1029166666666665
20,4,2,1,-9.6,3,2.0,0.81,1.1475
20,4,2,1,19.1,5,0.87,0.42,1.1500000000000001
21,4,2,1,38.0,1,0.71,0.56,1.1620833333333331
22,4,2,1,13.2,5,1.07,0.26,1.1833333333333333
23,4,2,1,-0.4,4,0.29,1.94,1.1845833333333333
0,5,3,1,24.3,4,1.87,1.98,1.1816666666666666
0,5,3,1,-1.5,2,1.84,0.57,1.1758333333333333
2,5,3,1,28.9,1,1.95,1.14,1.2333333333333334
3,5,3,1,-2.8,2,0.46,1.33,1.2049999999999998
4,5,3,1,24.6,2,1.62,1.35,1.2170833333333333
5,5,3,1,9.1,1,1.23,0.59,1.2120833333333334
5,5,3,1,26.6,2,0.61,1.81,1.2129166666666666
6,5,3,1,32.3,5,0.84,0.55,1.1725
10,5,3,1,14.8,3,0.23,1.74,1.1591666666666667
10,5,3,1,33.1,1,0.86,1.43,1.1224999999999998
10,5,3,1,23.4,4,0.31,1.44,1.0758333333333334
10,5,3,1,-4.3,4,0.24,1.3,1.0258333333333334
11,5,3,1,17.3,4,0.57,0.85,0.9954166666666667
12,5,3,1,-8.6,4,1.62,0.39,1.0275
13,5,3,1,34.2,2,1.82,0.84,1.0870833333333334
13,5,3,1,31.2,1,0.78,0.6,1.0845833333333332
13,5,3,1,19.6,5,1.87,1.82,1.1375
13,5,3,1,-3.6,3,1.03,1.82,1.1045833333333335
13,5,3,1,14.6,2,1.2,2.0,1.07875
13,5,3,1,10.5,3,1.92,0.87,1.0754166666666667
14,5,3,1,19.2,2,0.69,0.71,1.0679166666666666
14,5,3,1,-3.8,1,0.38,1.07,1.0541666666666667
