hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
16,1,6,1,-6.9,5,1.2,1.46,1.1479166666666667
16,1,6,1,-3.4,4,0.89,0.64,1.1241666666666668
17,1,6,1,-6.8,4,1.07,1.91,1.1420833333333331
17,1,6,1,35.7,3,0.92,1.07,1.1008333333333333
19,1,6,1,36.7,2,0.53,1.34,1.0783333333333334
20,1,6,1,-0.1,2,1.96,0.76,1.1041666666666667
21,1,6,1,39.4,1,0.49,1.92,1.0929166666666668
23,1,6,1,7.9,3,1.91,0.93,1.0925
0,2,0,1,13.4,4,0.25,0.85,1.0641666666666667
0,2,0,1,39.8,1,1.67,1.63,1.0983333333333334
3,2,0,1,-7.3,4,0.81,0.77,1.0641666666666667
5,2,0,1,35.0,4,1.33,0.98,1.0875
6,2,0,1,7.5,5,1.2,1.83,1.0966666666666665
6,2,0,1,35.2,2,0.79,1.23,1.0533333333333335
6,2,0,1,17.6,3,0.44,0.29,1.0204166666666665
8,2,0,1,4.5,4,1.0,1.91,1.05
8,2,0,1,2.6,3,0.8,1.57,1.00375
8,2,0,1,36.7,2,0.39,2.0,0.9545833333333333
8,2,0,1,3.8,3,0.65,0.59,0.8983333333333333
9,2,0,1,37.2,3,1.71,0.48,0.945
10,2,0,1,17.0,4,1.3,0.53,0.9791666666666666
11,2,0,1,-4.3,2,0.54,1.16,0.9795833333333333
12,2,0,1,32.7,4,0.36,0.5,0.94625
12,2,0,1,2.5,4,1.43,1.2,0.985
12,2,0,1,19.7,1,0.66,0.89,0.9624999999999999
13,2,0,1,8.5,2,0.26,1.07,0.9362499999999999
15,2,0,1,26.5,1,1.03,0.92,0.9345833333333333
15,2,0,1,-8.5,3,1.36,0.53,0.9529166666666667
17,2,0,1,-4.7,5,1.22,1.96,0.9816666666666666
18,2,0,1,23.5,5,1.53,0.49,0.9637500000000001
19,2,0,1,25.4,1,1.94,1.91,1.0241666666666667
19,2,0,1,36.5,5,0.82,0.25,0.9787499999999999
20,2,0,1,-8.8,2,0.94,1.67,1.0075
20,2,0,1,29.7,3,1.91,0.81,1.0175
21,2,0,1,-6.8,3,1.58,1.33,1.0495833333333333
21,2,0,1,36.0,1,1.74,1.2,1.0666666666666667
4,3,1,1,14.4,5,0.33,0.79,1.0304166666666668
4,3,1,1,15.0,4,1.24,0.44,1.0491666666666666
4,3,1,1,35.8,4,1.57,1.0,1.0962500000000002
5,3,1,1,18.8,2,1.3,0.8,1.10875
5,3,1,1,38.4,1,1.33,0.39,1.1308333333333334
6,3,1,1,12.1,3,1.69,0.65,1.185
6,3,1,1,20.5,5,1.3,1.71,1.2120833333333334
8,3,1,1,-2.1,2,1.64,1.3,1.2091666666666667
8,3,1,1,4.6,1,1.09,0.54,1.2004166666666667
8,3,1,1,25.5,5,0.31,0.36,1.1908333333333334
9,3,1,1,0.1,5,1.22,1.43,1.2266666666666668
10,3,1,1,4.9,1,1.1,0.66,1.2129166666666669
11,3,1,1,35.0,4,1.67,0.26,1.2550000000000001
12,3,1,1,6.9,5,1.51,1.03,1.3070833333333334
15,3,1,1,6.0,5,1.2,1.36,1.3141666666666667
16,3,1,1,-1.0,3,1.8,1.22,1.3325
17,3,1,1,34.9,5,1.45,1.53,1.3420833333333333
17,3,1,1,25.7,4,0.83,1.94,1.3129166666666665
20,3,1,1,34.8,2,1.96,0.82,1.31375
23,3,1,1,-2.7,2,1.12,0.94,1.3262500000000002
23,3,1,1,25.0,5,0.5,1.91,1.3079166666666666
0,4,2,1,36.8,4,1.02,1.58,1.2708333333333333
0,4,2,1,16.6,3,0.91,1.74,1.2429166666666667
1,4,2,1,37.4,1,1.32,0.33,1.2254166666666666
2,4,2,1,9.5,1,0.25,1.24,1.2220833333333334
2,4,2,1,9.1,5,1.14,1.57,1.2179166666666668
6,4,2,1,30.6,1,0.85,1.3,1.1879166666666665
7,4,2,1,28.1,4,0.82,1.33,1.1679166666666667
7,4,2,1,35.1,3,1.57,1.69,1.1779166666666667
7,4,2,1,36.4,3,0.94,1.3,1.1466666666666667
7,4,2,1,-4.4,5,0.28,1.64,1.1041666666666667
8,4,2,1,13.9,4,1.38,1.09,1.0933333333333335
8,4,2,1,30.2,2,0.4,0.31,1.0645833333333334
8,4,2,1,20.3,3,1.31,1.22,1.10625
9,4,2,1,8.4,3,0.66,1.1,1.0829166666666665
9,4,2,1,1.3,4,0.9,1.67,1.0745833333333332
9,4,2,1,-4.1,3,1.26,1.51,1.0574999999999999
10,4,2,1,-10.0,4,1.99,1.2,1.0775
11,4,2,1,37.1,1,1.46,1.8,1.0883333333333334
11,4,2,1,-8.1,2,0.24,1.45,1.0233333333333332
11,4,2,1,33.5,5,1.6,0.83,1.0295833333333333
11,4,2,1,29.5,4,1.06,1.96,1.0391666666666668
12,4,2,1,29.3,1,1.43,1.12,1.0170833333333333
13,4,2,1,-0.6,1,0.24,0.5,0.9804166666666667
13,4,2,1,-1.4,5,0.36,1.02,0.9745833333333334
13,4,2,1,19.5,4,1.48,0.91,0.99375
14,4,2,1,-5.2,3,0.64,1.32,0.9824999999999999
15,4,2,1,4.4,5,1.49,0.25,0.9895833333333334
16,4,2,1,36.5,4,1.44,1.14,1.0391666666666666
17,4,2,1,24.1,1,1.77,0.85,1.0654166666666667
19,4,2,1,12.9,5,0.36,0.82,1.0450000000000002
20,4,2,1,19.1,4,1.92,1.57,1.0908333333333333
20,4,2,1,7.1,4,1.54,0.94,1.0895833333333333
0,5,3,1,37.9,4,0.98,0.28,1.0912499999999998
0,5,3,1,5.6,1,1.77,1.38,1.1533333333333333
2,5,3,1,33.9,3,0.88,0.4,1.1325
2,5,3,1,20.1,3,0.7,1.31,1.145
4,5,3,1,15.8,2,1.52,0.66,1.15375
5,5,3,1,26.1,4,1.6,0.9,1.1929166666666668
6,5,3,1,25.0,4,0.8,1.26,1.18875
7,5,3,1,3.7,1,1.06,1.99,1.1804166666666667
9,5,3,1,-3.3,5,1.4,1.46,1.1558333333333333
9,5,3,1,-9.3,3,1.86,0.24,1.1725
9,5,3,1,3.1,1,0.26,1.6,1.1733333333333333
10,5,3,1,29.1,5,1.11,1.06,1.1529166666666666
11,5,3,1,11.5,1,0.84,1.43,1.14375
11,5,3,1,-0.1,5,0.54,0.24,1.1066666666666667
13,5,3,1,-1.8,5,0.93,0.36,1.1354166666666667
13,5,3,1,39.0,5,0.97,1.48,1.1608333333333334
19,5,3,1,-2.3,3,0.86,0.64,1.135
22,5,3,1,-5.0,4,0.84,1.49,1.1433333333333333
22,5,3,1,39.4,2,1.94,1.44,1.1620833333333334
23,5,3,1,31.9,1,0.25,1.77,1.1125
23,5,3,1,-6.3,4,1.39,0.36,1.0966666666666667
2,6,4,1,26.8,3,0.83,1.92,1.11625
2,6,4,1,20.8,1,1.81,1.54,1.1116666666666666
4,6,4,1,21.7,4,1.56,0.98,1.1125
5,6,4,1,18.6,2,1.54,1.77,1.1358333333333335
6,6,4,1,36.6,3,1.26,0.88,1.1145833333333335
6,6,4,1,32.6,1,1.66,0.7,1.1470833333333335
8,6,4,1,-6.6,5,1.43,1.52,1.1775
8,6,4,1,-2.9,4,1.89,1.6,1.1929166666666666
8,6,4,1,8.9,3,0.75,0.8,1.1575
10,6,4,1,0.6,1,1.98,1.06,1.2066666666666666
10,6,4,1,-1.6,4,1.63,1.4,1.2304166666666667
10,6,4,1,36.5,5,0.89,1.86,1.2091666666666667
11,6,4,1,7.9,5,1.98,0.26,1.2141666666666666
11,6,4,1,36.3,4,1.28,1.11,1.2566666666666666
11,6,4,1,30.0,5,1.25,0.84,1.2625
12,6,4,1,17.0,2,0.42,0.54,1.2449999999999999
15,6,4,1,20.9,1,0.92,0.93,1.2608333333333333
16,6,4,1,21.1,4,0.38,0.97,1.2379166666666666
16,6,4,1,2.8,5,0.73,0.86,1.2279166666666665
18,6,4,1,5.9,3,0.61,0.84,1.2175
19,6,4,1,27.7,2,1.9,1.94,1.2616666666666667
20,6,4,1,8.3,2,0.29,0.25,1.1929166666666666
22,6,4,1,19.6,5,1.86,1.39,1.26
22,6,4,1,1.0,4,0.85,0.83,1.2375
22,6,4,1,22.3,4,0.28,1.81,1.2145833333333333
0,7,5,1,2.3,4,1.43,1.56,1.1987500000000002
0,7,5,1,-4.2,5,0.95,1.54,1.1733333333333333
0,7,5,1,-2.9,4,0.37,1.26,1.1245833333333333
1,7,5,1,27.7,1,1.37,1.66,1.1291666666666667
2,7,5,1,26.3,4,1.17,1.43,1.10875
3,7,5,1,11.0,3,1.31,1.89,1.10375
3,7,5,1,28.0,3,1.51,0.75,1.0879166666666669
4,7,5,1,12.9,3,0.62,1.98,1.0825
5,7,5,1,8.1,3,1.24,1.63,1.0516666666666667
5,7,5,1,17.1,5,0.81,0.89,1.0174999999999998
5,7,5,1,6.4,4,0.86,1.98,1.01625
5,7,5,1,11.4,5,0.38,1.28,0.9495833333333334
6,7,5,1,2.4,1,0.74,1.25,0.9270833333333334
8,7,5,1,28.8,5,0.58,0.42,0.8991666666666666
8,7,5,1,18.2,3,1.29,0.92,0.9354166666666668
8,7,5,1,2.5,3,0.73,0.38,0.9275000000000001
9,7,5,1,13.6,1,1.55,0.73,0.97625
9,7,5,1,10.8,4,1.77,0.61,1.0195833333333335
9,7,5,1,-2.1,1,0.74,1.9,1.0250000000000001
10,7,5,1,13.9,3,1.27,0.29,0.9987499999999999
10,7,5,1,-6.0,3,0.79,1.86,1.0195833333333333
11,7,5,1,40.0,5,1.68,0.85,1.0120833333333332
12,7,5,1,11.8,5,1.62,0.28,1.0441666666666667
13,7,5,1,14.2,1,0.34,1.43,1.0466666666666666
14,7,5,1,27.0,2,1.33,0.95,1.0425
14,7,5,1,-1.9,5,1.55,0.37,1.0675000000000001
14,7,5,1,-8.5,5,0.7,1.37,1.08125
15,7,5,1,15.3,1,1.52,1.17,1.0875000000000001
15,7,5,1,26.6,5,1.19,1.31,1.0883333333333332
17,7,5,1,30.9,5,0.44,1.51,1.0520833333333333
17,7,5,1,7.3,4,1.89,0.62,1.0679166666666666
18,7,5,1,0.7,5,0.26,1.24,1.0529166666666667
18,7,5,1,18.5,5,1.24,0.81,1.0529166666666667
20,7,5,1,30.9,1,1.94,0.86,1.1
21,7,5,1,34.0,4,0.88,0.38,1.1008333333333333
21,7,5,1,-8.1,3,1.68,0.74,1.155
22,7,5,1,23.3,5,0.52,0.58,1.1458333333333333
22,7,5,1,14.4,3,1.12,1.29,1.1683333333333334
22,7,5,1,16.1,5,0.9,0.73,1.1520833333333333
22,7,5,1,20.2,5,0.44,1.55,1.14
23,7,5,1,17.8,2,1.95,1.77,1.1566666666666667
23,7,5,1,-3.0,1,1.11,0.74,1.1291666666666667
1,8,6,1,4.8,5,1.4,1.27,1.1566666666666667
3,8,6,1,17.1,3,0.27,0.79,1.115
5,8,6,1,9.5,1,0.77,1.68,1.1141666666666667
