hour,day,weekday,month,Outdoor Temperature,Household Size,lag_1,lag_24,rolling_mean_24
18,1,6,1,-4.7,5,0.21,1.12,1.0195833333333333
21,1,6,1,26.3,2,0.96,1.98,1.0129166666666667
22,1,6,1,-1.7,1,1.39,1.67,0.9883333333333333
23,1,6,1,3.4,1,1.27,0.93,0.9716666666666667
23,1,6,1,37.3,5,1.04,1.03,0.97625
1,2,0,1,28.5,1,1.58,0.35,0.9991666666666666
2,2,0,1,30.4,5,1.64,0.93,1.0529166666666667
3,2,0,1,9.3,5,1.13,1.63,1.06125
4,2,0,1,32.5,4,1.64,1.2,1.0616666666666668
4,2,0,1,13.3,2,0.43,0.79,1.0295833333333333
5,2,0,1,28.6,3,0.9,0.9,1.0341666666666667
5,2,0,1,20.6,1,0.37,1.95,1.0120833333333332
5,2,0,1,-7.6,4,1.98,1.5,1.0133333333333334
6,2,0,1,11.1,3,0.44,1.2,0.9691666666666666
7,2,0,1,-9.3,3,1.71,0.69,0.9904166666666666
8,2,0,1,15.9,4,1.21,1.1,1.0120833333333332
9,2,0,1,-3.0,2,1.59,1.53,1.0325
9,2,0,1,20.3,3,1.55,1.23,1.0333333333333334
10,2,0,1,22.4,3,1.75,0.43,1.055
11,2,0,1,-1.2,3,1.57,0.3,1.1025
13,2,0,1,18.8,3,0.85,0.79,1.1254166666666665
14,2,0,1,31.4,2,1.2,0.77,1.1425
14,2,0,1,-9.1,5,1.19,0.24,1.16
15,2,0,1,29.1,5,1.79,0.21,1.2245833333333331
16,2,0,1,-4.8,1,0.56,0.96,1.2391666666666667
16,2,0,1,1.4,3,0.93,1.39,1.2379166666666668
17,2,0,1,16.9,2,0.73,1.27,1.2104166666666667
18,2,0,1,15.4,5,0.92,1.04,1.1958333333333333
21,2,0,1,0.3,1,1.56,1.58,1.2175
0,3,1,1,-2.7,5,1.67,1.64,1.22125
1,3,1,1,38.4,5,0.81,1.13,1.1866666666666665
2,3,1,1,-6.7,1,0.46,1.64,1.15875
2,3,1,1,25.8,2,1.98,0.43,1.1729166666666666
4,3,1,1,34.4,3,1.11,0.9,1.20125
4,3,1,1,25.9,3,0.56,0.37,1.1870833333333335
6,3,1,1,38.2,5,1.04,1.98,1.215
7,3,1,1,7.5,1,0.25,0.44,1.1429166666666666
8,3,1,1,33.5,4,1.05,1.71,1.1683333333333334
8,3,1,1,7.5,1,0.48,1.21,1.1170833333333334
9,3,1,1,30.6,3,0.35,1.59,1.08125
10,3,1,1,13.0,4,0.21,1.55,1.02375
11,3,1,1,4.6,5,0.46,1.75,0.9783333333333334
12,3,1,1,16.4,3,1.45,1.57,0.9658333333333333
13,3,1,1,14.8,4,1.42,0.85,0.9595833333333332
14,3,1,1,21.7,1,1.62,1.2,0.9916666666666667
15,3,1,1,-5.6,4,1.31,1.19,0.9962500000000002
15,3,1,1,24.7,3,0.73,1.79,0.9770833333333333
15,3,1,1,32.3,1,1.15,0.56,0.9504166666666668
15,3,1,1,7.8,2,0.68,0.93,0.9554166666666667
17,3,1,1,-3.5,4,0.49,0.73,0.9370833333333333
19,3,1,1,13.5,2,1.92,0.92,0.9866666666666667
21,3,1,1,33.0,4,1.93,1.56,1.02875
22,3,1,1,33.2,2,1.64,1.67,1.0320833333333332
23,3,1,1,20.9,5,0.44,0.81,0.9808333333333333
23,3,1,1,3.4,5,1.37,0.46,1.0041666666666667
0,4,2,1,-7.2,4,1.64,1.98,1.0533333333333335
3,4,2,1,26.4,5,0.29,1.11,0.9829166666666667
4,4,2,1,2.6,4,1.21,0.56,0.9870833333333334
4,4,2,1,19.1,2,0.74,1.04,0.9945833333333333
4,4,2,1,14.7,2,1.42,0.25,1.0104166666666667
5,4,2,1,29.4,5,0.93,1.05,1.03875
7,4,2,1,18.5,2,0.89,0.48,1.0320833333333332
7,4,2,1,37.9,5,1.6,0.35,1.0787499999999999
8,4,2,1,0.9,3,0.87,0.21,1.1004166666666666
9,4,2,1,6.7,3,0.41,0.46,1.10875
10,4,2,1,30.7,1,1.02,1.45,1.1320833333333333
12,4,2,1,-4.8,1,1.44,1.42,1.1316666666666666
12,4,2,1,33.6,4,0.83,1.62,1.1070833333333334
14,4,2,1,29.9,3,1.02,1.31,1.0820833333333333
15,4,2,1,0.6,5,0.79,0.73,1.0604166666666666
18,4,2,1,9.7,5,1.21,1.15,1.0804166666666666
19,4,2,1,16.5,3,0.94,0.68,1.0716666666666665
19,4,2,1,30.9,3,0.81,0.49,1.0770833333333334
21,4,2,1,1.0,3,1.29,1.92,1.1104166666666668
21,4,2,1,37.5,2,0.36,1.93,1.0454166666666667
21,4,2,1,31.8,5,0.48,1.64,0.985
23,4,2,1,10.1,4,1.4,0.44,0.975
2,5,3,1,-0.2,2,1.03,1.37,0.9995833333333334
3,5,3,1,30.4,2,0.61,1.64,0.9679166666666666
5,5,3,1,-3.1,2,1.47,0.29,0.9608333333333333
5,5,3,1,16.0,1,1.96,1.21,1.0304166666666668
5,5,3,1,38.2,5,1.46,0.74,1.0408333333333333
6,5,3,1,-3.4,5,0.89,1.42,1.0470833333333334
7,5,3,1,3.1,2,1.76,0.93,1.06125
7,5,3,1,-4.7,2,0.92,0.89,1.0608333333333333
9,5,3,1,-6.2,4,1.01,1.6,1.0658333333333332
11,5,3,1,17.8,3,1.62,0.87,1.0666666666666667
11,5,3,1,-1.1,3,0.22,0.41,1.0395833333333333
13,5,3,1,7.4,3,0.33,1.02,1.0362500000000001
14,5,3,1,-5.5,3,0.54,1.44,1.01625
17,5,3,1,33.0,2,0.5,0.83,0.9770833333333333
17,5,3,1,28.2,3,1.78,1.02,1.0166666666666668
18,5,3,1,-6.6,1,1.21,0.79,1.0245833333333334
18,5,3,1,3.2,5,1.68,1.21,1.0616666666666668
20,5,3,1,-1.1,2,1.65,0.94,1.08
21,5,3,1,16.9,4,1.89,0.81,1.1195833333333334
23,5,3,1,16.1,3,0.55,1.29,1.1087500000000001
0,6,4,1,15.4,1,1.37,0.36,1.1120833333333333
