Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
495,32.2,Spring,1.0,14,17,2,5,2.29,4.86,1.7054166666666666
290,-5.9,Winter,5.0,7,20,0,2,4.25,4.36,1.4279166666666665
149,29.2,Fall,1.0,2,13,2,12,3.42,2.7,1.7745833333333334
65,7.1,Fall,2.0,17,14,5,10,3.09,2.05,1.2854166666666669
15,28.2,Spring,1.0,3,9,6,4,2.27,2.33,1.895
228,12.5,Summer,4.0,18,8,4,9,4.71,4.92,1.892083333333333
143,-3.3,Summer,4.0,12,29,5,7,2.43,3.6,1.2758333333333334
248,10.3,Summer,4.0,23,24,6,9,4.59,2.83,1.5266666666666666
367,16.6,Summer,1.0,17,3,6,9,3.15,4.27,1.5125000000000002
317,4.9,Winter,3.0,20,8,6,1,2.46,2.05,1.615
125,34.9,Spring,1.0,12,8,5,4,2.4,2.78,1.4775
116,19.9,Spring,5.0,11,19,2,4,3.3,4.89,1.86875
10,10.8,Summer,2.0,9,11,1,7,4.61,4.62,1.4420833333333334
395,9.3,Winter,2.0,19,13,0,3,2.55,4.94,1.6979166666666667
431,35.9,Summer,4.0,5,3,6,9,3.65,3.34,1.9520833333333332
27,-9.1,Spring,4.0,17,13,3,4,3.71,4.43,1.25
108,33.2,Fall,4.0,21,8,4,12,3.27,3.41,1.52125
107,39.6,Summer,2.0,21,6,3,7,4.02,2.65,1.842083333333333
375,-5.7,Spring,5.0,1,17,5,6,3.12,2.03,1.49375
324,15.7,Spring,4.0,0,1,5,4,3.46,3.35,1.5962499999999995
297,24.3,Spring,5.0,17,16,1,5,4.83,3.14,1.30625
357,-9.1,Summer,5.0,14,13,2,9,3.49,4.99,1.080833333333333
144,-1.8,Summer,5.0,7,12,1,9,3.89,2.58,1.7633333333333334
316,37.8,Spring,1.0,12,22,0,5,3.09,2.67,1.5175
493,16.9,Fall,1.0,9,4,0,12,4.82,3.47,1.843333333333333
126,12.2,Fall,4.0,0,26,6,11,4.2,4.46,1.6762499999999998
20,17.0,Winter,5.0,2,13,0,3,4.38,2.01,1.758333333333333
354,-10.0,Winter,2.0,17,22,2,2,4.61,2.06,1.5054166666666664
29,35.0,Spring,2.0,20,12,4,5,4.89,2.35,1.5979166666666669
102,15.6,Spring,4.0,15,26,2,4,4.01,2.44,1.3041666666666665
236,25.4,Spring,1.0,8,4,6,6,4.34,3.99,2.119166666666666
252,17.1,Winter,4.0,9,27,0,3,4.22,3.38,1.405
394,-0.5,Summer,1.0,7,27,2,9,4.47,2.98,1.622083333333333
256,12.0,Spring,3.0,4,17,5,6,3.23,3.32,1.5470833333333334
220,31.8,Spring,5.0,15,11,1,4,3.39,4.51,1.3666666666666665
161,-9.3,Winter,5.0,8,22,2,3,2.25,4.27,1.559583333333333
327,31.1,Winter,3.0,21,9,0,1,3.61,4.19,1.7095833333333337
433,11.9,Summer,4.0,2,5,1,9,2.1,4.4,1.4179166666666667
54,-0.2,Summer,5.0,3,6,2,9,3.25,3.16,1.413333333333333
151,-9.2,Winter,5.0,14,26,6,3,2.12,2.42,1.4154166666666663
150,1.9,Spring,4.0,11,18,3,5,2.67,2.98,1.5683333333333331
130,4.2,Fall,4.0,6,18,0,12,2.93,3.03,1.81375
395,3.5,Winter,3.0,3,20,4,1,2.44,4.19,1.5066666666666666
418,29.7,Winter,3.0,7,12,6,3,2.21,2.86,1.1537499999999998
138,5.2,Summer,4.0,5,6,2,9,4.02,3.4,1.475833333333333
289,35.9,Winter,2.0,6,11,2,1,3.97,3.09,1.3795833333333334
442,32.0,Spring,1.0,17,11,1,4,2.98,4.5,1.5620833333333335
160,37.8,Summer,5.0,1,25,0,9,3.16,2.71,1.5404166666666663
403,27.1,Spring,1.0,11,7,4,4,2.14,3.2,1.9554166666666664
448,14.4,Fall,1.0,20,16,3,11,3.87,3.35,1.7391666666666667
179,-3.8,Summer,4.0,11,12,1,9,2.43,4.87,1.7516666666666667
230,32.8,Winter,2.0,3,23,3,3,2.42,3.54,1.4683333333333335
86,22.0,Fall,1.0,1,12,1,12,4.44,3.92,1.3241666666666667
135,20.9,Summer,3.0,22,14,0,8,3.12,2.94,1.6554166666666663
41,-1.8,Winter,3.0,5,4,5,2,4.76,4.72,1.27375
474,39.2,Winter,4.0,6,11,5,2,4.52,4.97,1.382083333333333
481,35.4,Fall,1.0,16,5,3,10,4.65,4.96,1.7283333333333333
401,3.8,Summer,4.0,7,23,5,9,3.09,4.02,1.7212499999999995
