Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
134,10.6,Fall,4.0,23,3,4,11,0.88,1.14,1.8445833333333332
323,-7.6,Fall,3.0,18,19,3,10,1.9,1.27,1.539583333333333
179,38.3,Fall,4.0,18,26,1,12,0.99,1.09,1.30375
235,10.6,Summer,1.0,23,14,3,9,1.61,1.26,1.3245833333333332
291,28.9,Fall,4.0,12,13,4,10,1.11,1.93,1.35625
497,-9.9,Fall,4.0,16,26,3,10,0.65,1.75,1.7325000000000002
10,3.6,Winter,5.0,9,5,6,2,1.71,1.6,1.68875
398,4.9,Fall,4.0,20,12,6,11,0.34,1.83,1.2066666666666666
42,35.9,Summer,4.0,0,6,6,8,1.17,0.24,1.53125
207,34.1,Spring,4.0,17,16,1,5,1.59,1.0,1.1108333333333331
234,16.9,Fall,3.0,15,26,3,10,1.11,0.36,1.7108333333333334
451,-4.1,Winter,2.0,13,26,3,1,0.77,0.32,1.2595833333333333
266,-10.0,Summer,1.0,2,14,4,7,0.88,0.24,1.5204166666666667
217,19.9,Winter,2.0,1,15,2,3,1.06,1.76,1.625
231,6.5,Spring,4.0,13,19,0,6,1.01,1.16,1.9095833333333327
51,5.0,Summer,4.0,21,18,0,9,0.46,1.61,1.3404166666666664
498,38.5,Winter,3.0,12,12,3,1,0.65,1.76,1.27125
324,39.9,Fall,1.0,3,27,4,10,0.54,1.34,1.4029166666666668
499,27.2,Spring,2.0,11,8,5,4,1.75,1.88,1.4570833333333333
34,-5.1,Winter,1.0,20,2,3,3,0.37,0.76,1.31375
9,-1.3,Winter,5.0,1,30,3,3,1.96,1.42,1.2104166666666667
161,39.5,Winter,5.0,11,16,3,3,0.21,0.62,1.0108333333333337
244,35.6,Winter,4.0,21,8,2,2,0.25,1.99,1.2441666666666666
464,0.9,Fall,3.0,5,16,0,10,0.74,1.39,1.4887500000000002
388,32.4,Spring,3.0,13,16,6,4,0.81,0.55,1.3004166666666668
231,18.4,Fall,2.0,19,23,5,12,1.61,1.72,1.7166666666666666
249,-0.2,Winter,5.0,22,1,2,3,1.1,1.79,1.2195833333333332
407,30.0,Spring,3.0,9,23,6,4,1.68,1.25,1.0416666666666667
409,22.5,Summer,2.0,10,26,5,8,1.65,1.38,1.2108333333333334
305,26.5,Winter,3.0,6,20,0,2,1.34,1.16,1.285
6,36.1,Spring,1.0,23,12,2,4,0.62,0.59,1.497083333333333
78,25.9,Summer,1.0,4,28,3,9,1.29,0.65,1.5570833333333332
168,23.9,Fall,5.0,18,17,1,10,1.24,1.6,1.46
270,27.1,Winter,1.0,17,16,0,1,1.12,0.34,1.2145833333333331
483,18.2,Summer,1.0,2,24,3,8,0.75,1.28,1.49625
483,13.0,Spring,5.0,6,16,6,4,0.96,0.42,0.835
451,-4.1,Summer,1.0,12,20,2,9,0.3,0.45,1.3075
180,-4.7,Spring,3.0,13,13,5,5,1.65,0.58,1.35125
287,15.7,Fall,2.0,20,9,0,10,0.68,0.75,1.8166666666666664
410,2.1,Fall,3.0,12,2,3,11,0.75,0.69,1.72
225,21.0,Summer,5.0,21,23,5,9,1.5,1.79,1.5775
467,39.2,Fall,1.0,9,16,0,10,0.95,1.19,1.6641666666666668
149,38.1,Spring,3.0,6,17,0,4,0.81,0.6,1.2354166666666666
207,-1.7,Spring,5.0,13,24,5,6,1.8,1.18,1.647916666666667
268,24.2,Summer,5.0,18,5,2,7,0.32,1.08,1.89625
481,27.3,Fall,5.0,4,29,6,10,1.11,0.65,1.5199999999999998
98,-5.6,Fall,3.0,20,22,2,11,1.43,1.69,1.8754166666666665
245,6.3,Fall,2.0,9,15,4,12,1.28,0.6,1.3525
126,1.3,Spring,5.0,12,28,2,6,0.55,1.64,1.6258333333333337
265,8.9,Fall,4.0,15,14,3,12,0.39,0.21,1.32375
34,19.1,Winter,5.0,19,29,2,3,0.73,1.07,1.56125
380,18.3,Summer,3.0,18,20,6,8,0.76,1.31,1.54625
265,19.0,Fall,2.0,11,15,6,10,0.97,0.76,1.36625
114,6.1,Fall,4.0,22,21,5,10,1.75,1.26,1.4741666666666664
171,-7.9,Fall,3.0,1,3,4,11,1.42,0.38,1.7495833333333335
429,12.1,Spring,5.0,20,28,6,5,1.76,0.47,1.9837500000000003
303,23.6,Summer,1.0,16,5,5,8,1.54,1.59,1.5583333333333331
197,17.2,Spring,4.0,15,15,5,4,0.68,1.17,1.43625
76,-3.7,Summer,5.0,7,29,4,9,1.4,0.24,1.37375
314,-9.8,Spring,1.0,20,7,6,5,1.99,1.61,1.4854166666666666
85,24.6,Spring,2.0,2,29,3,6,0.94,1.7,1.6091666666666666
338,-6.3,Winter,4.0,23,19,6,2,0.41,0.74,1.1875
437,8.5,Spring,2.0,14,18,6,6,0.65,1.92,1.5945833333333337
137,32.5,Summer,2.0,9,9,6,7,1.81,0.77,1.3262500000000002
298,4.7,Winter,1.0,0,17,4,2,1.03,1.46,1.3845833333333333
170,-5.3,Summer,1.0,13,19,2,7,1.27,1.75,1.54625
115,14.4,Fall,2.0,14,7,3,12,1.03,0.34,1.7133333333333336
257,31.7,Spring,5.0,1,17,2,5,0.33,0.68,1.268333333333333
156,-6.5,Spring,4.0,20,8,0,5,1.86,1.55,2.012083333333333
14,18.0,Fall,4.0,18,30,3,11,1.8,1.29,1.3604166666666666
354,5.8,Spring,5.0,23,18,1,4,0.44,1.33,1.7479166666666666
223,35.2,Winter,3.0,7,10,4,3,1.43,0.3,1.424583333333333
209,9.5,Summer,4.0,15,17,0,7,1.92,0.6,1.2933333333333334
332,25.7,Summer,1.0,3,24,3,8,0.88,1.34,1.4475
107,-8.8,Spring,1.0,15,19,4,5,1.71,1.7,1.6629166666666668
66,16.2,Spring,4.0,17,8,3,6,0.98,1.58,1.5141666666666664
229,14.9,Spring,5.0,0,10,0,4,1.96,1.65,1.61
334,38.5,Spring,3.0,8,18,6,6,1.6,0.21,1.6654166666666663
419,-1.8,Winter,3.0,17,17,1,1,1.72,1.65,1.22875
279,31.4,Spring,1.0,2,5,4,5,0.67,1.94,1.16375
497,18.5,Winter,5.0,16,19,6,2,0.44,1.91,1.28625
404,1.0,Winter,2.0,20,13,4,1,1.33,1.23,1.7029166666666666
68,19.9,Winter,3.0,4,9,3,2,0.4,1.71,1.8175
235,37.9,Summer,4.0,0,11,4,8,1.08,0.75,1.63875
215,6.2,Spring,5.0,23,6,5,5,1.5,0.21,1.5970833333333332
418,4.1,Winter,1.0,4,3,4,3,1.26,1.56,1.2079166666666667
33,-2.2,Summer,5.0,0,13,2,9,0.22,1.92,1.48125
277,-1.5,Fall,1.0,18,23,5,12,1.07,1.09,1.6370833333333332
148,-8.2,Fall,2.0,10,24,1,10,1.25,1.07,1.2804166666666663
46,23.9,Summer,3.0,5,31,3,8,0.71,1.65,1.5508333333333333
278,28.0,Winter,1.0,2,1,2,3,1.53,0.34,1.3375
294,-7.7,Summer,3.0,18,23,6,7,0.71,1.77,1.61
37,34.3,Spring,2.0,15,26,0,6,1.05,1.68,1.1795833333333332
268,31.4,Spring,5.0,3,23,4,6,0.68,0.44,1.1220833333333335
33,2.4,Spring,4.0,5,18,3,5,0.61,1.01,1.4854166666666666
428,9.2,Winter,1.0,22,18,5,3,1.6,0.92,1.6358333333333337
111,14.5,Spring,5.0,22,16,6,4,1.04,1.25,2.0779166666666664
497,25.2,Spring,3.0,13,22,5,4,0.82,0.81,1.4520833333333334
208,13.8,Fall,3.0,23,29,4,12,1.14,1.84,1.4087499999999995
402,-0.6,Summer,3.0,21,7,3,9,0.6,0.46,1.3883333333333334
61,34.1,Winter,3.0,4,5,6,3,1.59,0.55,1.6762499999999998
124,18.1,Winter,5.0,10,15,2,3,1.96,0.35,1.51375
205,15.4,Summer,5.0,0,29,4,9,1.32,1.21,1.3558333333333332
151,35.2,Winter,2.0,10,24,4,2,0.42,1.71,1.3770833333333332
440,-4.9,Spring,1.0,8,1,0,5,1.33,0.58,1.867916666666667
131,23.7,Spring,2.0,5,9,4,6,0.89,0.54,1.41125
76,-9.8,Summer,5.0,22,30,2,8,1.85,1.27,1.5625
489,14.3,Winter,4.0,1,31,1,1,0.97,1.78,1.1625
111,29.9,Spring,4.0,2,23,1,5,0.7,0.61,1.31625
46,15.7,Winter,2.0,2,6,4,1,0.51,1.58,1.8595833333333331
9,-9.4,Summer,3.0,12,29,1,8,0.99,1.78,1.50375
362,14.6,Winter,4.0,10,4,5,3,1.43,1.19,1.1704166666666669
393,21.0,Spring,4.0,13,3,2,5,1.2,0.47,1.7358333333333336
84,19.2,Winter,5.0,6,20,0,2,1.52,1.14,1.288333333333333
256,-9.5,Winter,5.0,12,12,6,3,1.71,0.76,1.4204166666666664
250,0.7,Summer,1.0,22,31,3,8,0.82,0.38,1.4549999999999998
207,29.9,Winter,5.0,23,20,0,3,1.46,0.21,1.2820833333333332
113,12.2,Winter,3.0,23,20,0,2,0.56,1.37,1.3033333333333337
10,-3.7,Winter,5.0,8,17,4,2,0.82,1.87,1.2725
52,11.6,Spring,3.0,20,29,5,4,0.91,1.62,1.2674999999999998
