Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
9,25.0,Fall,2.0,11,1,2,11,1.34,1.61,1.265
199,-1.6,Fall,1.0,21,29,4,12,0.59,0.71,1.5008333333333337
334,-6.0,Winter,1.0,15,6,0,2,0.39,1.49,1.5795833333333331
403,-3.5,Spring,4.0,0,3,2,5,0.77,1.28,1.3962500000000002
44,20.5,Winter,2.0,19,28,1,3,1.64,1.2,1.11875
27,12.8,Spring,2.0,7,19,4,5,1.2,0.72,1.6216666666666664
325,16.8,Fall,3.0,20,26,6,11,0.37,1.3,1.8441666666666665
484,32.9,Spring,3.0,17,20,1,6,0.91,1.37,1.4270833333333333
479,5.7,Summer,3.0,19,31,0,7,1.53,1.01,1.3483333333333334
450,1.8,Summer,2.0,11,26,1,9,1.26,1.06,1.194583333333333
487,39.1,Winter,5.0,16,11,5,2,0.96,1.79,1.9195833333333332
461,31.3,Spring,2.0,13,10,5,6,0.86,1.33,1.3420833333333333
362,-3.3,Fall,4.0,7,26,1,12,1.63,0.58,1.3808333333333334
66,12.4,Winter,4.0,1,7,1,3,0.55,0.28,1.388333333333333
146,10.6,Fall,5.0,7,15,2,11,0.53,0.51,1.3425
259,5.8,Summer,2.0,15,5,2,7,1.56,0.3,1.8179166666666668
390,14.1,Fall,3.0,8,27,0,11,1.22,0.42,1.1
8,9.6,Spring,1.0,0,6,3,4,0.34,1.83,1.6933333333333334
188,-8.6,Summer,4.0,16,14,4,7,1.45,1.27,1.2108333333333334
186,12.0,Spring,3.0,5,17,5,6,0.93,0.77,1.475
92,4.4,Winter,4.0,0,16,0,1,1.08,0.55,1.5783333333333334
93,6.2,Winter,5.0,11,15,2,3,0.93,1.07,1.39125
269,36.4,Fall,3.0,22,3,6,12,1.74,0.33,1.895
329,-4.7,Winter,5.0,11,26,6,3,0.75,1.99,1.3695833333333332
454,12.4,Fall,1.0,23,20,0,11,1.66,1.03,1.8404166666666668
106,6.8,Winter,3.0,2,18,2,1,0.2,0.46,1.4691666666666665
431,-3.1,Fall,1.0,7,4,2,10,1.14,1.39,1.6479166666666665
265,39.9,Summer,1.0,15,28,0,8,0.83,1.15,1.4675
2,-3.9,Summer,1.0,13,18,1,7,1.3,1.37,1.4958333333333331
325,8.0,Winter,5.0,11,1,2,2,0.27,1.16,2.007083333333333
