Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
60,-4.1,Spring,1.0,2,7,4,4,0.31,0.4,1.5258333333333336
195,30.9,Summer,4.0,21,10,3,8,0.1,0.38,1.5300000000000002
276,10.4,Winter,4.0,0,24,4,2,0.32,0.13,1.08625
389,-2.9,Winter,3.0,4,19,6,3,0.49,0.32,1.7766666666666666
363,-2.4,Spring,3.0,9,20,5,5,0.17,0.5,1.6641666666666666
310,26.3,Spring,4.0,2,16,6,4,0.19,0.46,1.2270833333333333
120,25.3,Fall,4.0,13,22,6,10,0.16,0.31,0.975
344,35.6,Spring,4.0,2,5,2,4,0.37,0.15,0.9891666666666667
427,2.6,Fall,1.0,0,26,1,12,0.29,0.46,1.4029166666666664
154,32.6,Fall,4.0,20,10,4,11,0.15,0.2,1.8420833333333333
97,12.7,Summer,3.0,11,16,5,9,0.14,0.32,1.4595833333333337
196,20.0,Fall,2.0,2,28,5,10,0.28,0.27,1.1995833333333332
413,9.2,Winter,2.0,7,3,4,2,0.4,0.41,1.7870833333333331
434,27.7,Spring,4.0,4,5,2,4,0.26,0.11,0.9458333333333332
108,15.7,Fall,3.0,0,12,6,11,0.32,0.13,1.1470833333333332
470,24.6,Summer,2.0,6,24,6,9,0.41,0.31,1.737083333333333
179,30.0,Fall,5.0,1,25,2,10,0.13,0.3,1.4295833333333334
338,34.4,Winter,5.0,7,24,1,1,0.44,0.5,1.2345833333333334
185,38.2,Spring,4.0,6,28,2,6,0.2,0.31,1.31
121,2.1,Winter,5.0,23,11,5,3,0.26,0.47,1.5408333333333333
285,14.2,Spring,3.0,21,28,6,5,0.15,0.19,1.9079166666666667
31,30.8,Fall,1.0,7,26,6,11,0.31,0.4,1.5941666666666665
199,38.1,Winter,5.0,4,10,1,1,0.26,0.33,1.5379166666666666
472,16.1,Fall,2.0,13,26,1,12,0.12,0.14,1.4470833333333335
204,17.1,Spring,2.0,2,8,5,4,0.11,0.43,1.6475
305,9.4,Winter,2.0,15,1,2,3,0.48,0.25,1.0304166666666668
73,33.6,Fall,2.0,11,6,4,10,0.29,0.34,1.0658333333333332
348,-4.1,Winter,5.0,12,13,0,3,0.31,0.11,1.1229166666666666
281,-8.2,Winter,4.0,3,5,6,2,0.22,0.31,1.7733333333333334
317,37.8,Spring,5.0,2,13,3,4,0.44,0.16,1.5408333333333333
79,22.1,Fall,2.0,12,8,4,12,0.46,0.3,1.1825
168,7.8,Fall,1.0,16,17,4,11,0.49,0.39,1.352083333333333
137,-7.0,Winter,4.0,2,28,1,2,0.2,0.39,1.4591666666666667
281,-7.5,Spring,5.0,6,3,0,4,0.34,0.2,1.2633333333333334
