Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
7,-9.0,Fall,3.0,14,18,2,10,2.69,3.39,1.5945833333333337
134,11.7,Spring,3.0,10,6,3,4,3.77,2.49,1.8033333333333332
470,12.8,Summer,4.0,9,18,4,8,2.02,3.32,1.262916666666667
343,8.0,Spring,3.0,9,11,1,4,2.9,4.9,1.3516666666666666
153,32.1,Summer,3.0,18,31,0,7,3.92,2.34,1.2333333333333334
133,2.5,Winter,4.0,9,7,5,1,3.87,4.18,1.37625
383,-6.5,Fall,5.0,15,8,6,10,4.96,2.53,1.83125
216,16.7,Fall,4.0,20,25,0,12,4.16,2.23,1.4416666666666669
191,19.5,Fall,1.0,18,8,4,12,2.28,2.97,1.4766666666666666
427,-3.8,Winter,3.0,20,9,3,3,3.25,2.42,1.83875
495,2.1,Summer,3.0,12,1,1,8,4.05,4.22,1.6454166666666667
420,-9.1,Fall,4.0,0,19,3,10,2.64,3.9,1.742916666666667
250,36.2,Summer,5.0,2,20,3,7,4.96,3.26,1.4683333333333335
4,21.2,Fall,5.0,7,3,1,10,4.05,4.44,1.569583333333333
44,14.0,Fall,3.0,20,20,4,10,2.84,2.26,1.2320833333333334
428,16.9,Winter,3.0,14,25,5,3,3.54,2.37,1.5366666666666664
44,34.7,Spring,1.0,23,18,3,5,3.65,2.21,1.10125
93,7.2,Fall,3.0,15,26,6,11,4.24,2.26,1.778333333333333
289,24.6,Spring,5.0,0,29,5,4,2.62,4.45,1.99625
166,26.0,Spring,5.0,0,23,1,5,4.64,2.64,1.1675
60,9.3,Summer,1.0,18,3,0,7,3.93,2.33,1.6520833333333331
132,6.4,Fall,4.0,0,22,4,12,2.91,3.11,1.4887500000000002
23,31.4,Winter,3.0,17,8,2,3,3.68,2.74,1.52375
384,32.2,Winter,2.0,1,16,3,2,4.73,3.37,2.0204166666666667
496,12.7,Summer,1.0,4,28,3,9,4.18,2.06,1.3870833333333332
446,35.3,Summer,1.0,14,17,3,8,2.5,2.63,1.860833333333333
346,25.5,Spring,4.0,3,13,3,4,3.38,4.07,1.6983333333333333
317,11.9,Summer,2.0,2,5,5,8,4.75,3.15,1.6370833333333332
77,7.8,Fall,2.0,18,13,2,12,2.78,4.54,1.7924999999999998
232,35.0,Spring,3.0,9,6,1,6,3.21,3.86,1.0845833333333337
420,10.4,Winter,1.0,12,17,4,3,4.28,2.34,1.3120833333333333
347,32.9,Winter,2.0,23,7,5,1,3.03,2.9,1.6554166666666663
128,12.0,Summer,5.0,19,3,6,9,4.74,3.5,1.6158333333333337
65,12.4,Winter,5.0,14,21,1,3,2.54,2.67,1.3995833333333334
26,-8.0,Fall,1.0,15,17,1,10,2.2,3.26,1.5599999999999998
493,38.2,Fall,5.0,19,30,3,11,3.42,2.21,1.5745833333333332
