Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
119,-9.7,Winter,2.0,7,7,1,2,0.53,0.71,2.174166666666667
385,25.4,Winter,3.0,20,10,1,1,1.26,0.21,1.6933333333333334
212,-8.5,Winter,5.0,12,2,3,2,1.98,0.37,1.56625
260,26.3,Fall,3.0,11,3,4,11,0.23,1.41,1.6224999999999998
258,35.8,Spring,2.0,1,1,0,5,0.45,1.54,1.9570833333333333
151,4.2,Spring,2.0,7,19,0,6,1.1,1.11,1.7633333333333334
16,-3.5,Winter,4.0,16,26,6,2,0.36,0.31,1.625
349,-5.0,Fall,3.0,17,24,4,11,0.27,1.56,1.637916666666667
277,12.1,Spring,1.0,18,19,2,4,1.0,0.72,2.0420833333333337
2,39.6,Summer,4.0,21,14,4,7,1.94,1.58,1.3391666666666666
473,26.5,Winter,2.0,16,11,2,1,0.65,0.62,1.7987499999999998
53,-0.5,Winter,3.0,19,12,3,1,1.77,1.89,1.5904166666666668
458,34.4,Spring,3.0,9,14,6,5,1.77,0.67,1.4858333333333336
399,24.8,Fall,3.0,5,23,3,11,1.74,1.8,1.3445833333333332
492,9.8,Summer,5.0,13,20,3,7,0.32,1.61,1.9420833333333332
118,-9.8,Spring,4.0,8,29,5,4,0.74,0.65,1.72625
13,25.1,Spring,3.0,21,8,0,5,1.91,0.32,1.7699999999999998
12,30.3,Summer,2.0,14,18,0,9,0.27,0.67,1.6266666666666667
416,-6.2,Fall,4.0,2,8,6,10,0.88,1.84,1.1716666666666666
62,4.9,Summer,3.0,12,17,0,7,0.41,1.94,1.345
206,26.5,Winter,3.0,2,31,1,1,0.89,1.74,1.1520833333333331
472,-4.1,Summer,3.0,3,14,3,9,0.35,0.74,1.2837500000000002
486,14.2,Spring,4.0,16,10,5,6,0.21,1.84,1.3333333333333333
32,-9.9,Fall,1.0,15,18,2,10,0.74,0.44,1.6258333333333337
500,27.8,Summer,3.0,18,12,2,7,0.86,1.6,1.5329166666666667
72,12.3,Summer,3.0,18,2,5,9,0.29,1.64,1.1541666666666666
246,13.1,Summer,2.0,18,8,4,9,1.16,1.75,1.755
56,25.1,Winter,2.0,12,17,4,2,0.49,1.72,1.20875
104,12.4,Summer,1.0,6,11,0,9,1.99,0.44,1.5616666666666663
488,26.9,Fall,4.0,1,13,4,10,1.87,1.09,1.43
17,13.0,Winter,4.0,7,18,5,3,1.51,0.54,1.6833333333333331
11,11.6,Fall,5.0,11,22,2,11,0.87,1.22,1.6362499999999998
277,17.6,Spring,5.0,22,13,3,4,0.48,1.02,1.23375
106,0.9,Spring,5.0,4,25,3,5,0.49,1.18,1.3441666666666665
3,30.1,Summer,4.0,8,20,2,9,1.97,0.43,1.2670833333333331
192,-8.6,Summer,1.0,23,2,6,7,1.71,0.43,1.200416666666667
247,3.7,Fall,1.0,23,30,3,11,0.46,1.76,1.3658333333333337
447,29.2,Summer,1.0,17,1,1,8,1.77,1.86,1.755
317,14.3,Winter,4.0,5,6,4,1,1.87,0.47,1.6975
344,-1.2,Spring,2.0,5,28,4,4,1.99,1.86,1.53
260,36.7,Fall,4.0,18,20,4,10,1.51,0.3,1.1366666666666667
495,-8.1,Fall,1.0,21,20,0,11,1.29,1.15,1.4475
126,10.7,Summer,1.0,11,15,5,7,1.97,1.39,1.5570833333333336
78,13.6,Winter,3.0,6,10,4,3,0.58,0.25,1.5025000000000002
305,0.3,Summer,1.0,21,3,3,8,0.48,1.19,1.1525
229,0.4,Spring,5.0,19,17,0,4,1.42,0.32,1.4233333333333331
119,33.6,Fall,1.0,15,29,2,11,0.9,0.64,1.430416666666667
462,-8.4,Winter,5.0,20,30,3,3,0.82,0.91,1.455833333333333
96,-5.6,Spring,2.0,12,1,5,4,2.0,1.38,1.9620833333333327
244,11.3,Winter,5.0,15,14,5,1,0.34,0.38,1.1308333333333334
339,-0.3,Winter,3.0,3,22,2,3,0.54,0.27,1.5254166666666666
272,29.0,Spring,2.0,21,15,3,6,1.87,0.21,1.3145833333333334
164,36.1,Spring,1.0,8,19,4,5,1.91,1.06,1.68125
368,-6.3,Fall,1.0,11,15,6,10,1.86,0.85,1.3625
322,14.8,Spring,2.0,10,22,3,6,0.27,0.54,0.875
98,38.3,Summer,3.0,2,17,6,9,1.52,0.92,1.4725
425,-1.9,Fall,4.0,2,21,1,11,0.68,1.14,1.553333333333333
23,35.3,Summer,1.0,0,6,2,9,1.2,0.54,1.5016666666666667
469,30.0,Winter,4.0,13,8,2,3,1.52,0.39,1.2804166666666668
171,3.6,Winter,2.0,12,18,5,2,1.71,0.82,1.77625
349,30.9,Summer,5.0,5,1,4,9,1.5,0.22,1.155
345,-8.0,Summer,5.0,10,2,6,7,0.94,0.78,1.659166666666667
63,16.8,Summer,2.0,22,15,5,7,0.84,0.61,1.4800000000000002
488,25.4,Fall,1.0,15,14,3,12,1.66,1.09,1.32875
270,37.7,Winter,4.0,0,23,3,3,0.37,1.45,1.4054166666666668
374,18.5,Spring,2.0,4,25,3,5,0.36,1.06,1.5266666666666664
161,31.0,Spring,2.0,20,30,1,5,0.44,0.65,1.6404166666666666
64,21.5,Spring,4.0,21,16,6,4,0.72,0.48,2.216666666666667
91,37.9,Winter,3.0,12,16,3,3,0.61,1.4,1.007083333333333
54,30.5,Fall,1.0,9,29,2,11,0.91,1.9,1.375
217,-4.1,Winter,4.0,22,21,1,3,0.67,1.98,1.5795833333333331
