Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
82,12.1,Winter,3.0,3,31,4,3,1.69,0.38,1.778333333333333
389,9.9,Summer,5.0,1,17,6,9,0.31,1.59,1.467083333333333
257,-3.0,Spring,2.0,14,22,0,5,1.61,1.49,1.8158333333333327
455,1.8,Summer,3.0,12,8,1,8,0.31,1.74,1.5970833333333332
179,15.1,Fall,2.0,5,4,0,12,1.01,0.73,1.6204166666666664
163,35.1,Fall,2.0,12,7,1,11,1.13,0.85,1.5266666666666666
308,4.9,Winter,2.0,5,17,4,2,1.12,1.93,1.3616666666666666
424,39.4,Spring,5.0,5,18,1,4,0.23,1.61,1.528333333333333
111,0.3,Fall,2.0,17,25,0,12,0.75,0.99,1.365
126,-5.1,Winter,5.0,7,9,3,3,0.56,1.33,1.9704166666666667
468,9.8,Fall,3.0,22,15,2,11,0.7,1.55,1.7349999999999997
418,1.3,Summer,4.0,4,10,0,7,1.12,0.73,1.4516666666666669
170,4.8,Spring,2.0,15,20,5,5,0.45,0.5,1.2516666666666667
366,32.6,Fall,2.0,7,28,5,10,0.44,1.55,1.340833333333333
43,3.3,Fall,2.0,6,7,1,11,1.03,1.48,1.5529166666666665
28,1.2,Summer,5.0,16,20,3,7,0.5,1.61,1.6170833333333334
369,18.1,Winter,4.0,5,22,6,1,1.34,0.97,1.7133333333333332
395,-5.9,Winter,1.0,22,20,0,3,1.36,1.88,1.3716666666666668
294,-4.7,Spring,1.0,6,20,1,6,0.93,0.26,1.425
12,38.8,Fall,2.0,15,17,1,10,0.88,0.68,1.4875
257,32.3,Summer,5.0,22,28,0,8,1.73,1.5,1.492916666666667
207,37.8,Winter,1.0,11,24,1,1,1.93,1.91,1.294166666666667
241,24.0,Fall,3.0,22,30,3,11,1.76,0.31,1.4349999999999998
278,15.9,Winter,4.0,13,1,0,1,1.69,0.34,1.7954166666666664
496,9.7,Winter,4.0,14,6,0,2,1.17,0.5,1.4529166666666666
269,-5.9,Spring,5.0,6,8,0,5,1.59,0.48,1.2716666666666667
54,-7.6,Summer,3.0,19,25,0,9,1.73,0.52,1.3258333333333332
14,-1.2,Winter,5.0,20,26,6,3,1.52,1.33,1.5845833333333337
145,-5.0,Spring,4.0,15,8,0,5,0.21,1.74,1.5412499999999998
143,39.0,Winter,2.0,13,9,3,3,0.96,1.35,1.9375
453,-1.7,Fall,2.0,18,26,1,12,1.0,0.9,1.4541666666666666
315,30.6,Summer,1.0,12,16,5,9,0.39,0.28,1.1516666666666666
292,23.8,Fall,2.0,18,24,4,11,1.78,0.63,1.4225
149,-5.4,Summer,1.0,4,30,6,7,0.64,0.24,1.9883333333333333
365,23.9,Fall,4.0,22,20,2,12,0.6,0.8,1.1879166666666667
306,7.7,Spring,4.0,13,14,4,4,1.61,0.29,1.59375
34,35.1,Winter,5.0,13,19,3,1,1.4,0.87,1.2670833333333331
194,2.7,Fall,5.0,3,13,4,10,1.91,1.15,1.5304166666666663
188,-2.0,Spring,4.0,5,6,3,4,1.72,0.58,1.4645833333333331
261,38.4,Spring,2.0,9,23,6,4,0.84,1.56,0.9533333333333333
416,3.7,Winter,3.0,22,27,0,2,1.76,0.86,1.4645833333333331
238,-6.0,Spring,2.0,2,4,3,5,0.36,1.72,1.5058333333333334
421,-7.8,Winter,3.0,15,24,1,1,0.39,0.94,1.5808333333333335
345,33.3,Winter,5.0,9,15,2,2,1.23,1.14,1.3925
387,13.9,Fall,5.0,7,30,3,11,0.57,0.77,1.3883333333333334
479,12.1,Spring,1.0,20,2,6,4,0.7,1.46,1.99375
458,15.1,Summer,5.0,23,12,5,8,0.22,1.47,1.5333333333333332
326,15.5,Winter,4.0,13,21,1,3,1.01,1.75,1.4379166666666665
360,28.2,Fall,4.0,9,24,1,10,0.32,1.23,1.2804166666666668
249,19.7,Fall,4.0,22,22,6,10,1.45,1.7,1.6375
489,18.4,Winter,4.0,18,25,5,3,1.81,1.63,1.53625
428,21.3,Spring,4.0,14,25,3,5,1.77,1.11,1.450416666666667
393,10.1,Summer,4.0,18,19,5,8,0.75,0.29,1.376666666666667
166,19.9,Winter,5.0,8,16,3,3,0.47,0.32,1.1025
52,7.7,Spring,2.0,22,23,6,4,0.73,1.87,1.5766666666666669
210,25.5,Summer,5.0,18,31,3,8,1.15,0.64,1.6183333333333332
373,33.4,Winter,1.0,14,15,6,1,1.17,0.65,1.538333333333333
459,20.5,Summer,2.0,3,6,6,8,1.05,1.32,1.4470833333333333
273,33.0,Fall,3.0,7,23,0,10,1.4,1.53,1.335416666666667
334,-6.4,Fall,5.0,23,6,4,10,1.78,0.63,1.629583333333333
458,28.6,Spring,1.0,13,20,5,5,1.19,0.23,1.399166666666667
15,3.1,Summer,4.0,7,1,5,7,1.03,1.74,1.82375
149,27.3,Fall,2.0,5,22,2,11,1.03,0.58,1.77625
404,20.9,Fall,2.0,0,21,1,11,1.13,1.74,1.8575
387,14.1,Summer,4.0,23,13,3,7,0.68,1.99,1.4258333333333335
389,9.0,Fall,3.0,14,21,1,11,0.85,1.01,1.3724999999999998
152,25.5,Fall,3.0,22,2,3,11,1.56,1.81,1.6674999999999998
150,32.3,Spring,1.0,10,19,4,5,0.77,1.45,1.7129166666666666
499,0.6,Summer,1.0,5,7,3,9,0.84,0.74,1.7870833333333334
413,-8.6,Fall,5.0,3,30,3,11,1.55,0.24,1.1841666666666666
162,2.6,Winter,5.0,0,8,2,3,0.91,1.45,1.2229166666666669
490,25.3,Winter,4.0,7,19,3,1,1.97,0.92,1.47375
277,27.0,Summer,4.0,23,29,1,8,0.65,1.62,1.3541666666666667
118,29.7,Fall,1.0,7,19,3,10,1.63,0.44,1.14625
122,31.0,Winter,1.0,14,7,1,2,1.45,1.54,1.5275
123,-3.7,Winter,5.0,11,28,1,2,1.38,1.41,1.8625
321,32.0,Summer,3.0,18,7,3,9,0.7,0.92,1.3233333333333337
355,9.8,Fall,1.0,0,11,0,12,1.68,0.84,1.485
293,-4.8,Winter,4.0,13,9,3,3,1.92,1.74,1.905833333333333
430,-5.6,Winter,5.0,2,27,4,1,1.51,1.27,1.7516666666666667
477,33.5,Spring,5.0,2,16,1,5,1.36,0.84,1.6266666666666667
403,13.1,Fall,3.0,4,8,6,10,1.46,0.57,1.627916666666667
22,17.6,Summer,4.0,0,9,5,9,1.07,1.0,1.8091666666666668
331,26.6,Summer,5.0,12,5,2,7,0.9,0.35,1.7079166666666663
31,24.2,Winter,2.0,1,23,3,2,0.9,0.54,1.2041666666666666
406,19.5,Summer,3.0,14,22,4,9,0.4,1.54,1.5804166666666666
51,14.0,Spring,1.0,13,5,2,4,0.58,0.32,1.1679166666666667
467,20.9,Fall,4.0,23,11,5,11,1.41,1.49,1.1958333333333333
122,32.8,Summer,5.0,2,13,6,8,0.97,0.33,1.3816666666666666
131,30.1,Fall,5.0,5,8,6,10,1.92,1.33,1.593333333333333
162,32.4,Fall,4.0,9,1,2,11,0.93,1.82,1.19125
388,20.2,Spring,4.0,15,20,3,4,1.03,0.54,1.49625
296,-5.8,Summer,3.0,1,26,5,8,1.5,1.87,1.2808333333333333
408,16.5,Winter,3.0,7,28,1,2,0.28,1.59,1.275
443,34.8,Spring,4.0,19,7,4,4,1.89,0.63,1.8575
257,33.1,Spring,3.0,5,9,4,6,0.83,1.67,1.405
