Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
498,30.5,Summer,4.0,4,13,2,9,0.8,0.94,1.340833333333333
248,0.6,Winter,1.0,21,30,0,1,0.29,1.67,1.440416666666667
466,28.7,Fall,4.0,1,4,5,11,1.85,1.85,1.78125
364,1.2,Summer,1.0,3,25,0,9,0.34,1.36,1.580833333333333
348,-7.2,Spring,5.0,12,12,2,4,0.82,1.07,1.7920833333333333
298,6.1,Summer,2.0,9,13,6,8,0.48,1.64,1.17
219,8.7,Fall,4.0,13,28,3,12,0.47,0.69,1.444583333333333
192,-2.7,Winter,4.0,9,16,3,2,1.58,1.4,1.6295833333333334
161,21.7,Summer,1.0,2,17,6,9,1.21,0.37,1.4183333333333332
92,16.7,Winter,4.0,22,22,2,3,1.18,1.0,1.2833333333333334
378,35.5,Fall,2.0,0,23,3,11,0.7,1.46,1.6358333333333333
122,1.9,Fall,3.0,11,28,5,10,0.97,1.41,1.4495833333333332
329,20.5,Spring,4.0,1,9,4,6,0.61,1.48,1.5683333333333334
433,-0.9,Spring,1.0,19,7,6,5,1.38,1.09,1.4025
144,17.5,Spring,2.0,22,14,2,6,0.72,1.74,1.9845833333333327
152,11.7,Summer,5.0,8,8,1,8,1.21,0.96,1.8670833333333328
376,18.0,Winter,4.0,8,10,1,1,1.42,1.9,1.2691666666666666
37,-0.0,Spring,4.0,18,12,2,4,0.98,1.03,1.5933333333333335
95,9.4,Fall,3.0,21,9,5,12,1.04,1.16,1.3004166666666668
217,35.1,Fall,3.0,13,21,1,11,0.59,1.76,1.3304166666666666
390,10.2,Winter,1.0,18,11,5,3,1.16,0.89,1.58875
40,11.0,Summer,1.0,12,9,2,8,1.42,1.75,1.2970833333333334
234,7.5,Spring,1.0,10,19,2,4,1.46,1.12,1.8058333333333332
270,14.4,Spring,3.0,5,17,5,6,1.41,1.04,1.47375
404,5.0,Fall,4.0,2,2,0,10,1.8,1.07,1.1883333333333332
249,16.6,Spring,4.0,4,5,2,4,0.83,0.24,0.9708333333333332
358,39.5,Spring,1.0,2,28,2,6,1.12,1.82,1.0845833333333332
425,11.6,Winter,4.0,17,26,6,3,1.96,1.69,1.4833333333333334
225,-8.0,Fall,2.0,23,19,3,10,1.63,1.71,1.8558333333333328
459,35.5,Spring,5.0,20,26,4,5,1.8,1.55,1.505
353,20.7,Summer,3.0,21,7,0,8,0.49,0.39,1.5750000000000002
440,-5.3,Spring,5.0,5,14,6,5,0.67,1.79,1.3479166666666669
176,31.3,Fall,4.0,21,20,0,11,1.44,1.97,1.4783333333333333
350,-7.1,Summer,3.0,12,15,5,7,1.53,0.82,1.4249999999999998
342,29.2,Summer,4.0,3,9,5,9,0.94,1.0,1.5420833333333333
220,25.9,Winter,4.0,16,9,3,3,1.08,0.58,1.9275
371,27.5,Winter,3.0,17,19,6,2,0.44,1.9,1.2091666666666667
30,24.0,Spring,3.0,23,11,6,6,1.74,0.95,1.4920833333333334
275,-6.0,Fall,3.0,15,7,3,12,1.44,0.68,1.7795833333333333
169,1.8,Spring,4.0,8,22,5,4,0.38,1.91,1.5016666666666667
328,6.1,Winter,2.0,3,27,0,3,1.26,1.64,1.5908333333333335
428,22.4,Summer,4.0,16,20,6,8,1.15,0.37,1.4904166666666665
239,-7.2,Summer,3.0,13,22,5,7,1.03,0.51,1.3637499999999998
420,27.3,Spring,2.0,20,17,0,4,1.31,1.59,1.3525
121,22.6,Winter,3.0,7,21,1,3,1.29,1.25,1.4829166666666669
284,15.6,Spring,3.0,23,25,3,5,1.85,1.48,1.3570833333333334
12,-7.1,Winter,1.0,16,10,1,1,1.57,0.91,1.3575
426,16.5,Spring,5.0,21,10,5,6,1.89,0.5,1.1833333333333331
354,-4.5,Fall,5.0,10,31,6,12,0.83,1.23,0.96
446,14.6,Winter,2.0,12,25,5,3,0.28,1.53,1.565416666666667
314,-5.3,Spring,5.0,1,26,4,5,0.67,0.72,1.36
405,5.1,Spring,2.0,6,2,1,5,1.6,0.23,1.7779166666666664
395,26.4,Winter,1.0,12,19,3,1,0.53,0.52,1.09
79,23.0,Winter,3.0,4,8,2,3,1.25,1.21,1.3941666666666668
374,39.5,Summer,1.0,13,15,4,9,0.54,1.87,1.2291666666666667
419,5.3,Winter,4.0,2,12,3,1,0.27,1.46,1.5958333333333334
1,32.7,Spring,3.0,8,15,0,5,1.78,0.35,1.3729166666666668
315,11.9,Summer,1.0,8,14,0,8,1.88,1.21,1.4262500000000002
148,21.3,Spring,5.0,13,11,1,4,1.95,1.7,1.336666666666667
