Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
325,19.3,Fall,5.0,18,29,4,12,0.25,1.18,1.4666666666666668
492,17.4,Winter,1.0,8,11,5,2,1.49,0.89,1.3983333333333334
241,-4.7,Fall,2.0,19,30,5,12,1.74,0.63,1.346666666666667
234,18.5,Spring,2.0,1,8,3,6,0.35,1.48,1.7787499999999998
234,7.3,Spring,3.0,4,12,4,5,0.48,0.96,1.0095833333333333
264,10.2,Spring,3.0,11,22,3,6,1.41,1.15,0.9095833333333334
450,32.0,Fall,1.0,8,18,5,11,1.82,1.14,1.92125
339,-8.8,Fall,5.0,14,22,2,11,1.8,1.16,1.58375
148,14.9,Summer,1.0,4,21,3,9,1.77,1.41,1.747083333333333
80,8.8,Winter,2.0,10,15,2,2,1.99,0.61,1.3916666666666666
137,27.7,Spring,4.0,3,19,2,4,0.6,0.42,1.4295833333333334
275,18.7,Fall,5.0,23,27,2,12,0.63,1.78,1.27875
32,13.3,Winter,5.0,10,11,5,3,1.6,0.53,1.63
142,19.1,Fall,2.0,9,14,1,11,1.72,0.59,1.6195833333333332
334,35.5,Fall,4.0,11,12,1,12,0.61,0.57,1.6658333333333333
196,4.4,Spring,2.0,11,20,5,5,0.24,1.69,1.5145833333333334
223,15.0,Fall,3.0,11,20,4,10,1.19,1.72,1.2049999999999998
13,30.5,Summer,1.0,14,3,6,9,1.58,0.89,1.4179166666666667
99,15.2,Fall,2.0,19,28,3,12,1.55,0.55,1.93375
474,-2.9,Winter,4.0,22,18,2,1,1.74,1.48,1.6595833333333332
414,1.9,Winter,2.0,12,20,0,3,1.31,1.11,2.287916666666667
327,29.6,Spring,2.0,2,23,1,5,0.35,1.34,1.3283333333333334
138,25.2,Fall,1.0,0,7,1,11,0.52,0.27,1.54625
261,36.9,Winter,2.0,18,29,2,3,0.64,1.82,1.86125
355,-6.0,Winter,3.0,9,21,5,1,1.99,1.89,1.6595833333333336
245,-7.7,Spring,1.0,0,23,6,4,0.55,1.97,1.2333333333333334
300,9.3,Fall,1.0,16,11,5,11,0.27,1.39,1.2070833333333335
2,18.9,Winter,2.0,5,6,0,2,0.58,0.39,1.440416666666667
437,22.9,Summer,3.0,3,16,2,8,1.75,0.33,1.4233333333333331
143,0.8,Spring,3.0,11,17,0,4,1.78,0.69,1.4829166666666669
274,9.7,Winter,5.0,19,26,6,3,1.79,0.41,1.4625
400,28.3,Spring,1.0,16,2,6,4,1.33,0.97,1.8520833333333333
336,32.7,Winter,1.0,13,11,5,3,1.52,1.69,1.3945833333333333
219,-2.9,Summer,3.0,16,22,4,9,1.5,0.23,1.7275
250,4.2,Summer,2.0,0,24,3,8,0.23,1.46,1.4254166666666668
228,-7.8,Spring,3.0,13,12,0,6,1.1,0.8,1.4791666666666667
295,31.8,Fall,2.0,7,23,5,12,1.86,0.24,1.7145833333333331
171,26.4,Summer,1.0,10,19,2,7,1.51,1.09,1.18875
63,-0.5,Summer,3.0,10,24,0,7,1.55,1.44,1.5066666666666668
260,31.8,Winter,4.0,18,15,6,1,1.8,0.46,1.1154166666666667
223,29.9,Summer,5.0,18,11,1,7,0.86,0.33,1.2266666666666668
329,-5.3,Spring,1.0,4,14,6,5,0.22,1.5,1.4241666666666666
64,31.8,Summer,1.0,16,2,5,9,1.86,0.35,1.1545833333333333
436,14.2,Winter,5.0,6,28,1,2,1.44,1.88,1.336666666666667
66,12.3,Summer,2.0,17,4,0,9,0.46,0.71,1.0870833333333334
428,8.3,Winter,1.0,5,22,6,1,1.89,0.2,1.755
286,12.6,Winter,5.0,7,13,0,2,0.82,1.23,1.2008333333333332
447,13.6,Summer,1.0,19,29,4,9,0.75,0.97,1.383333333333333
495,35.6,Summer,5.0,7,25,0,9,0.75,1.68,1.5770833333333332
407,16.9,Summer,1.0,20,3,6,9,0.56,1.09,1.528333333333333
7,3.6,Winter,1.0,2,21,1,3,0.53,0.91,1.2991666666666666
318,-5.3,Spring,1.0,18,26,2,4,1.66,1.29,1.25
151,18.3,Fall,2.0,18,1,2,11,0.36,0.98,1.4479166666666667
59,13.4,Winter,4.0,16,24,4,3,0.22,1.2,1.4104166666666669
78,17.4,Fall,3.0,22,13,0,11,1.66,0.49,2.080833333333333
139,5.6,Spring,5.0,7,12,2,4,0.9,0.28,1.7020833333333332
438,27.9,Winter,5.0,11,17,4,3,0.79,0.95,1.1091666666666666
110,2.4,Spring,2.0,8,28,2,6,0.71,1.67,1.4991666666666668
478,-2.5,Spring,2.0,9,27,1,6,1.29,1.6,1.3904166666666666
116,-2.1,Winter,3.0,9,14,5,1,1.46,1.77,1.2708333333333333
151,14.9,Summer,5.0,7,30,6,7,0.52,0.46,1.7229166666666669
468,24.7,Fall,4.0,18,17,1,10,0.56,1.41,1.79
208,-7.4,Summer,3.0,6,14,0,8,1.88,2.0,1.2320833333333332
11,-5.8,Spring,2.0,9,20,5,5,1.85,0.8,1.6508333333333336
19,-3.0,Spring,1.0,22,24,5,6,0.43,1.61,1.9029166666666664
384,11.1,Spring,3.0,0,30,1,5,1.95,1.38,1.455833333333333
61,19.9,Fall,5.0,9,28,1,11,0.37,1.35,1.2433333333333334
287,36.9,Summer,1.0,22,6,3,7,1.06,1.41,1.689166666666667
221,19.9,Fall,2.0,16,25,2,10,1.35,1.07,1.3237500000000002
165,33.8,Fall,3.0,21,28,5,10,1.54,1.63,1.2695833333333335
276,18.9,Fall,1.0,23,13,4,10,0.95,0.7,1.492916666666667
219,-9.3,Summer,5.0,11,7,3,9,1.34,1.31,1.3925
16,35.5,Fall,3.0,11,29,6,10,0.53,1.06,1.305
290,32.9,Winter,1.0,8,9,3,3,1.6,0.75,1.8108333333333333
219,32.7,Winter,2.0,16,15,6,1,0.25,0.27,1.262916666666667
374,31.8,Summer,3.0,21,22,1,8,0.33,1.83,1.5545833333333332
92,37.6,Fall,2.0,7,12,3,10,0.73,1.94,0.8679166666666666
470,-6.5,Winter,3.0,12,7,1,2,0.27,0.33,1.7541666666666664
328,37.0,Winter,5.0,16,2,3,3,0.59,1.06,1.5254166666666666
382,22.3,Spring,4.0,22,4,1,4,1.22,1.09,1.5345833333333332
392,24.3,Summer,5.0,5,9,5,9,1.25,0.92,1.2945833333333334
214,-8.4,Winter,2.0,13,11,5,3,1.83,0.28,1.5933333333333335
383,6.5,Winter,2.0,1,24,1,1,0.85,0.85,1.84
459,22.6,Spring,4.0,9,7,2,6,1.35,0.57,1.7120833333333334
369,11.7,Fall,3.0,12,26,3,10,1.64,0.68,1.5424999999999998
436,37.2,Spring,5.0,0,4,6,6,1.02,1.21,2.03625
427,23.9,Spring,1.0,9,12,2,4,1.74,0.73,1.7670833333333336
161,15.3,Winter,2.0,19,21,1,2,0.95,0.99,1.3783333333333332
104,5.4,Summer,1.0,5,14,4,7,0.7,1.58,1.1816666666666666
110,19.2,Fall,3.0,7,18,0,12,0.24,1.83,1.7608333333333333
474,-4.1,Fall,4.0,4,8,2,11,1.69,1.41,1.987083333333333
420,-8.7,Fall,3.0,15,1,2,11,1.41,1.25,1.5891666666666666
243,20.5,Fall,2.0,3,18,5,11,1.95,1.07,1.5004166666666665
302,12.9,Summer,4.0,22,27,3,7,0.8,0.39,1.6370833333333332
254,39.2,Spring,1.0,20,21,4,4,0.49,1.42,1.5720833333333333
78,10.4,Summer,3.0,22,7,3,9,0.49,1.58,1.6175
172,14.9,Winter,2.0,21,1,2,3,0.38,0.72,1.1629166666666666
59,14.4,Summer,1.0,10,26,5,8,0.36,1.73,1.2129166666666666
170,18.1,Summer,4.0,0,29,4,9,0.45,1.17,1.32625
127,31.6,Winter,5.0,13,5,6,3,0.97,0.58,1.538333333333333
228,15.2,Summer,3.0,0,20,2,9,0.5,0.59,1.5483333333333336
386,0.5,Winter,3.0,16,27,0,3,0.62,1.54,1.4208333333333334
172,-4.7,Winter,4.0,8,8,2,2,0.35,0.66,1.33625
394,33.5,Spring,5.0,18,24,5,6,0.96,0.99,1.6683333333333337
347,3.4,Summer,5.0,15,18,0,9,1.57,1.02,1.471666666666667
108,25.7,Fall,3.0,23,5,6,11,1.33,0.32,1.55
10,1.3,Winter,5.0,5,30,0,1,1.73,1.7,1.47375
431,20.2,Spring,2.0,16,4,3,5,0.32,1.93,1.3216666666666668
184,25.9,Winter,4.0,15,17,4,3,0.3,0.33,1.7366666666666666
157,25.5,Spring,3.0,22,24,2,5,0.44,0.97,1.694583333333333
85,15.2,Spring,1.0,10,1,0,5,1.36,0.74,1.8341666666666667
204,-8.9,Winter,5.0,8,15,6,1,0.51,1.08,2.0795833333333333
159,-9.3,Winter,5.0,11,29,2,3,1.67,0.78,1.6516666666666666
62,39.3,Spring,3.0,12,13,3,4,0.61,1.02,1.0033333333333332
189,39.7,Fall,4.0,14,8,2,11,0.8,1.36,1.7245833333333331
77,32.5,Winter,3.0,11,7,1,3,1.32,1.47,1.45625
203,39.0,Winter,4.0,2,12,6,2,0.66,1.01,1.5958333333333332
458,17.3,Fall,2.0,15,12,1,12,1.3,1.1,1.4516666666666664
131,11.4,Winter,4.0,11,6,0,3,0.66,1.63,1.35375
161,3.2,Winter,4.0,14,22,2,2,1.65,1.41,1.569583333333333
223,8.5,Fall,1.0,23,2,0,10,1.32,0.64,1.2216666666666665
414,28.4,Summer,4.0,8,11,1,7,0.73,0.43,1.4595833333333337
143,32.7,Summer,4.0,12,11,0,9,1.04,0.34,1.500416666666667
318,31.0,Fall,1.0,18,8,6,10,1.07,0.72,1.684583333333333
436,30.2,Summer,3.0,18,28,3,9,0.25,1.96,1.0525
35,26.2,Summer,2.0,20,15,4,9,0.73,1.13,0.9566666666666668
298,-1.9,Summer,4.0,8,20,6,8,1.55,0.39,1.969166666666667
91,11.7,Summer,2.0,0,29,5,7,1.95,0.45,1.425
495,29.4,Winter,3.0,14,1,0,1,1.9,0.28,1.8033333333333332
18,39.1,Fall,4.0,1,28,3,12,0.24,0.43,1.3958333333333333
