Home ID,Outdoor Temperature (°C),Season,Household Size,hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
211,19.6,Summer,5.0,18,8,4,9,1.58,0.94,1.700416666666667
500,28.9,Winter,3.0,18,8,2,2,0.24,1.29,1.3808333333333334
453,19.6,Fall,2.0,6,30,0,10,0.42,0.48,1.2991666666666666
335,6.0,Summer,1.0,12,17,6,9,0.5,0.67,1.2041666666666666
234,12.4,Spring,5.0,20,13,3,4,1.28,1.49,1.2391666666666667
172,3.6,Summer,3.0,11,10,3,8,0.67,0.23,1.7087500000000002
238,-9.3,Fall,4.0,12,26,1,12,1.31,0.64,1.4254166666666668
418,23.7,Winter,1.0,10,25,5,2,0.38,1.66,1.8016666666666667
205,30.7,Summer,5.0,17,10,6,9,1.85,1.05,1.3120833333333333
310,38.8,Winter,3.0,7,25,5,3,1.82,1.71,1.9845833333333331
363,16.0,Fall,1.0,17,20,0,11,0.5,0.62,1.2525000000000002
424,16.5,Fall,3.0,22,21,5,10,1.54,0.95,1.4162499999999998
156,36.6,Spring,2.0,15,8,3,6,0.28,0.43,1.56625
290,39.6,Spring,4.0,2,8,0,5,1.18,0.95,1.387916666666667
270,32.9,Spring,1.0,11,17,5,6,1.23,0.59,1.31125
460,-1.7,Summer,2.0,0,7,0,8,0.68,0.95,1.2391666666666663
267,24.8,Winter,1.0,0,10,1,1,1.8,0.33,1.7766666666666666
66,38.1,Spring,2.0,1,14,4,4,0.65,1.86,0.945
443,8.3,Fall,1.0,14,11,0,12,1.45,1.8,1.5591666666666668
143,18.4,Fall,1.0,18,18,5,11,1.88,1.64,1.8029166666666665
71,1.4,Winter,3.0,6,16,3,3,0.83,1.2,1.5275
304,7.6,Summer,1.0,18,7,0,8,0.91,1.66,1.3458333333333332
49,27.6,Spring,2.0,12,19,2,4,1.07,1.37,2.21125
33,31.0,Spring,1.0,0,19,0,6,0.94,1.34,1.4095833333333332
173,-3.2,Summer,5.0,22,24,6,9,0.61,0.6,1.4054166666666663
151,21.1,Spring,3.0,17,6,3,4,0.65,1.44,1.6758333333333335
32,8.7,Summer,4.0,1,1,5,7,1.92,1.2,1.6116666666666666
19,7.9,Winter,3.0,16,29,2,3,0.86,0.37,1.6337499999999998
190,-9.6,Fall,5.0,3,14,5,10,0.75,0.98,1.2945833333333334
132,-3.7,Spring,5.0,16,26,4,5,1.06,1.4,1.3404166666666668
29,39.2,Summer,5.0,19,6,6,8,0.51,1.47,1.4425
304,-1.3,Spring,4.0,20,12,4,5,0.66,1.86,1.5929166666666663
309,32.9,Fall,3.0,22,17,4,11,1.45,0.5,1.12
436,14.0,Summer,2.0,10,15,5,7,1.45,0.5,1.53625
395,25.8,Summer,4.0,1,5,1,9,0.94,0.48,1.31
289,15.1,Winter,5.0,4,15,2,3,1.38,0.39,1.5141666666666669
221,37.6,Winter,3.0,18,26,6,2,0.93,1.91,1.37875
45,0.9,Spring,2.0,22,11,6,6,0.59,0.49,1.5658333333333332
15,-8.3,Fall,4.0,7,8,4,12,1.48,1.26,1.1841666666666666
368,5.9,Spring,5.0,8,23,6,4,0.74,1.08,1.1641666666666668
260,15.7,Winter,3.0,18,30,3,3,0.41,0.47,1.8133333333333328
125,11.7,Summer,2.0,11,19,5,8,1.29,1.27,1.3845833333333335
160,-5.1,Summer,5.0,10,20,3,7,1.47,1.25,2.0370833333333334
119,19.0,Spring,2.0,14,17,0,4,1.17,0.35,1.5483333333333331
376,-0.4,Winter,5.0,15,23,3,3,1.21,1.88,1.555416666666667
284,-4.3,Spring,3.0,10,25,3,5,1.82,1.05,1.67
68,32.7,Winter,3.0,5,11,2,1,0.73,1.93,1.5166666666666666
446,24.0,Spring,4.0,16,10,5,6,0.3,0.51,1.086666666666667
305,11.4,Fall,4.0,1,31,6,12,0.58,0.72,1.3
49,-5.6,Winter,1.0,18,28,1,3,1.83,1.05,1.3041666666666667
255,22.3,Spring,4.0,19,25,3,5,0.41,1.23,1.2025
340,23.3,Spring,3.0,5,3,2,5,0.49,0.96,1.6495833333333334
223,-6.5,Winter,1.0,16,21,5,1,0.66,0.2,1.5975
236,4.7,Winter,4.0,20,13,0,3,1.12,1.54,1.97875
