Home ID,Appliance Type,Energy Consumption (kWh),Outdoor Temperature (°C),Season,Household Size
94,Fridge,0.2,-1.0,Fall,2
435,Oven,0.23,31.1,Summer,5
466,Dishwasher,0.32,21.3,Fall,3
496,Heater,3.92,-4.2,Winter,1
137,Microwave,0.44,34.5,Summer,5
68,Air Conditioning,4.68,35.2,Spring,1
237,Computer,0.25,6.8,Spring,3
329,Air Conditioning,3.5,-1.0,Fall,4
336,Dishwasher,0.89,7.9,Summer,1
310,Microwave,1.34,9.3,Summer,5
368,Oven,0.64,-7.3,Fall,3
115,Dishwasher,1.33,39.0,Spring,2
41,Microwave,0.85,-7.4,Winter,3
465,Oven,1.24,20.3,Fall,5
94,Air Conditioning,2.88,2.1,Spring,1
229,Heater,4.11,-0.3,Spring,2
360,Fridge,0.12,39.8,Fall,2
71,TV,1.65,3.0,Summer,4
352,Dishwasher,1.62,16.3,Fall,4
445,Dishwasher,1.33,30.9,Fall,5
257,Computer,0.35,12.4,Fall,5
133,Washing Machine,1.09,6.5,Fall,3
372,Air Conditioning,3.05,30.6,Fall,4
253,Heater,4.87,29.0,Summer,2
59,Lights,1.02,1.1,Fall,3
419,Oven,0.65,5.3,Winter,4
466,Heater,2.03,15.3,Spring,5
281,Oven,0.28,19.0,Winter,5
257,Air Conditioning,4.84,-8.0,Fall,4
120,Oven,0.38,24.6,Winter,4
343,Washing Machine,1.17,10.9,Summer,4
157,Microwave,0.3,23.6,Fall,2
242,Lights,1.36,39.6,Summer,4
321,Dishwasher,1.55,1.3,Fall,1
19,TV,0.65,20.3,Fall,4
114,TV,0.47,15.7,Summer,2
405,Computer,1.53,37.2,Summer,4
470,Oven,0.73,19.5,Winter,1
484,Heater,2.88,21.7,Spring,4
368,Computer,0.93,21.6,Spring,4
414,TV,1.63,36.6,Winter,4
383,Computer,0.79,17.3,Winter,5
68,Microwave,1.01,-0.4,Fall,1
50,Heater,2.54,-2.4,Summer,4
156,Oven,1.33,-4.3,Spring,1
10,Lights,1.63,26.9,Summer,2
209,Oven,0.38,32.3,Winter,4
102,Oven,1.88,37.5,Winter,3
212,TV,1.34,25.4,Fall,1
214,Air Conditioning,3.44,34.6,Spring,4
358,Air Conditioning,2.61,17.4,Spring,4
463,Washing Machine,0.95,28.9,Summer,2
465,Washing Machine,0.49,17.9,Winter,1
286,Air Conditioning,2.92,-0.5,Fall,3
56,TV,1.12,19.6,Fall,2
236,Air Conditioning,4.08,22.5,Winter,1
131,TV,1.62,6.5,Winter,3
435,Fridge,0.45,33.5,Summer,1
285,Washing Machine,1.52,11.4,Fall,1
399,TV,1.61,5.2,Spring,4
165,Dishwasher,0.71,-8.0,Summer,4
472,Computer,0.87,-4.1,Winter,4
315,Fridge,0.4,-7.4,Summer,5
41,Washing Machine,1.32,6.7,Summer,2
403,Washing Machine,0.94,10.8,Winter,1
181,Microwave,1.68,21.5,Summer,1
325,TV,1.69,24.1,Spring,3
349,TV,1.86,32.9,Spring,5
218,Lights,1.29,38.8,Spring,1
76,Computer,0.33,-3.7,Summer,5
233,Air Conditioning,2.9,34.1,Fall,4
449,TV,0.34,13.3,Summer,5
408,Microwave,1.8,5.6,Summer,1
265,Microwave,0.85,20.5,Spring,5
496,Washing Machine,1.94,21.8,Summer,3
90,Computer,0.83,17.8,Fall,5
390,Air Conditioning,2.3,17.5,Summer,5
165,Air Conditioning,4.69,24.7,Winter,3
76,Dishwasher,0.3,2.0,Summer,2
63,Oven,1.44,19.8,Winter,1
401,TV,1.68,32.1,Summer,1
492,Lights,0.27,31.2,Spring,5
399,Microwave,1.3,-8.7,Spring,4
492,Dishwasher,1.9,15.5,Spring,2
372,Computer,1.61,19.1,Summer,4
264,Oven,0.37,25.8,Spring,2
7,Air Conditioning,2.45,-4.9,Spring,3
355,Microwave,0.94,39.9,Winter,4
92,Lights,1.1,22.5,Fall,5
24,Microwave,0.2,28.2,Spring,1
348,Microwave,1.68,24.4,Fall,1
198,Washing Machine,1.08,12.6,Winter,1
315,Air Conditioning,3.11,1.5,Winter,2
499,TV,0.24,2.3,Fall,4
258,Lights,1.34,-0.6,Fall,1
465,Oven,0.92,4.3,Fall,3
447,Microwave,0.58,-1.8,Summer,1
439,TV,0.49,30.6,Winter,5
384,Dishwasher,0.65,-8.4,Winter,2
8,Computer,0.53,28.1,Winter,5
410,Fridge,0.19,37.3,Spring,5
396,Air Conditioning,4.11,9.1,Summer,4
244,Oven,1.1,11.5,Fall,2
462,Microwave,0.58,33.5,Spring,4
355,Heater,4.65,18.7,Winter,3
93,Air Conditioning,3.56,4.4,Summer,1
487,Dishwasher,1.22,39.1,Winter,5
370,Fridge,0.39,11.9,Summer,4
63,Dishwasher,0.93,22.6,Fall,3
445,Heater,2.34,31.1,Spring,1
159,Heater,4.34,24.2,Fall,1
234,Oven,1.68,39.2,Spring,2
128,Heater,2.88,39.0,Spring,3
332,Oven,1.93,-5.9,Fall,4
71,Heater,4.4,20.4,Summer,4
137,Oven,1.69,24.7,Spring,1
12,Oven,1.14,7.0,Winter,5
333,Fridge,0.16,7.1,Summer,2
163,Washing Machine,0.52,14.2,Spring,1
271,Washing Machine,0.78,31.5,Winter,4
122,Microwave,0.83,31.0,Winter,1
166,Computer,1.39,-2.9,Fall,1
184,Air Conditioning,2.84,-6.5,Spring,2
343,Washing Machine,0.92,28.9,Fall,1
251,Dishwasher,0.51,35.2,Summer,2
223,Washing Machine,0.62,30.9,Spring,1
98,Oven,1.75,30.0,Winter,3
30,Fridge,0.12,33.6,Summer,5
376,TV,0.65,6.7,Summer,2
372,Air Conditioning,4.55,-2.3,Summer,5
110,Microwave,1.7,18.1,Winter,4
332,Lights,0.75,30.4,Winter,4
257,Washing Machine,1.55,0.7,Winter,4
7,TV,0.68,19.0,Spring,1
420,Heater,2.79,25.8,Fall,3
125,Air Conditioning,4.85,34.9,Spring,1
94,Washing Machine,0.22,32.8,Spring,3
489,Computer,1.12,0.4,Spring,5
253,Fridge,0.5,-1.8,Winter,1
88,Dishwasher,1.78,13.7,Winter,5
340,Air Conditioning,2.13,9.5,Fall,2
259,Heater,2.0,-6.9,Summer,1
425,Lights,0.3,6.9,Winter,4
216,Lights,0.5,27.0,Summer,4
419,Computer,1.38,-1.8,Winter,3
64,Dishwasher,1.09,39.1,Spring,2
49,TV,1.23,9.8,Winter,2
322,Lights,1.01,14.8,Spring,2
154,Fridge,0.38,12.6,Spring,5
485,Computer,0.77,25.5,Summer,1
404,Fridge,0.41,36.3,Fall,2
227,Air Conditioning,2.21,-1.3,Fall,3
406,Dishwasher,0.26,15.8,Summer,1
385,Fridge,0.1,17.1,Spring,5
288,Washing Machine,0.38,-7.9,Spring,2
340,Air Conditioning,3.5,36.9,Winter,2
285,Dishwasher,0.99,36.7,Winter,4
80,Computer,1.7,26.1,Summer,4
273,Heater,2.04,-5.1,Spring,2
432,Computer,0.52,9.0,Spring,3
252,Air Conditioning,3.24,5.0,Spring,2
20,Dishwasher,1.45,14.6,Summer,1
307,Washing Machine,0.64,4.8,Summer,1
339,Air Conditioning,3.38,22.2,Spring,2
270,Washing Machine,1.5,35.5,Summer,2
256,Heater,2.85,5.1,Spring,3
274,Fridge,0.5,-2.1,Fall,1
125,Microwave,0.8,-7.4,Winter,5
43,Computer,1.84,4.9,Fall,5
246,Washing Machine,1.57,33.1,Spring,5
180,Fridge,0.26,38.6,Fall,5
489,Heater,2.89,36.9,Winter,4
408,Microwave,0.39,13.0,Winter,5
293,TV,0.43,24.7,Summer,1
45,Washing Machine,0.68,2.3,Summer,1
427,Air Conditioning,2.46,32.8,Summer,5
108,Air Conditioning,2.52,40.0,Fall,2
172,Air Conditioning,2.8,17.8,Spring,5
312,Lights,1.06,8.5,Winter,3
383,Heater,2.79,-6.5,Fall,5
248,Oven,0.6,0.6,Winter,1
71,Heater,2.44,-2.2,Winter,1
137,Oven,1.15,-8.3,Winter,4
91,Oven,0.81,1.6,Fall,2
260,Dishwasher,1.49,39.8,Winter,3
394,Heater,3.87,37.0,Fall,1
288,Washing Machine,1.29,38.5,Summer,5
346,Dishwasher,0.37,-8.8,Winter,1
340,Dishwasher,0.88,20.7,Winter,3
157,Heater,2.52,37.1,Winter,3
245,Lights,1.73,-7.6,Fall,5
109,Fridge,0.28,2.3,Summer,2
81,Microwave,0.26,30.9,Fall,5
476,Computer,1.9,7.0,Spring,1
69,Lights,0.44,10.9,Spring,5
53,TV,0.64,7.6,Spring,2
416,Dishwasher,1.75,37.4,Summer,1
68,Dishwasher,0.63,38.1,Fall,4
45,Oven,1.6,8.4,Fall,3
209,Lights,1.99,0.9,Winter,5
151,Washing Machine,1.31,15.3,Summer,5
304,Washing Machine,0.87,8.3,Winter,1
329,Microwave,1.71,39.8,Summer,5
432,Fridge,0.11,5.1,Spring,4
153,Heater,4.83,-3.6,Summer,4
232,Computer,0.37,36.4,Spring,3
191,Air Conditioning,2.27,0.3,Winter,3
320,Dishwasher,0.75,-3.9,Spring,4
105,Washing Machine,0.85,26.2,Spring,4
