Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
Air Conditioning,23,1,6,1,0.0,3.49,4.51125
Air Conditioning,0,2,0,1,4.76,0.0,4.473333333333334
Air Conditioning,1,2,0,1,3.51,4.76,4.340000000000001
Air Conditioning,2,2,0,1,4.41,3.51,3.8112500000000007
Air Conditioning,3,2,0,1,2.11,4.41,3.7812500000000004
Air Conditioning,4,2,0,1,3.47,2.11,3.7158333333333338
Air Conditioning,5,2,0,1,9.11,3.47,3.426666666666667
Air Conditioning,6,2,0,1,0.0,9.11,3.6012500000000003
Air Conditioning,7,2,0,1,4.19,0.0,3.8633333333333333
Air Conditioning,8,2,0,1,6.29,4.19,3.657083333333334
Air Conditioning,9,2,0,1,0.0,6.29,3.7587500000000005
Air Conditioning,10,2,0,1,4.61,0.0,3.76375
Air Conditioning,11,2,0,1,5.95,4.61,4.052083333333334
Air Conditioning,12,2,0,1,9.55,5.95,3.7329166666666667
Air Conditioning,13,2,0,1,0.0,9.55,3.92375
Air Conditioning,14,2,0,1,4.58,0.0,4.095833333333333
Air Conditioning,15,2,0,1,16.259999999999998,4.58,4.177083333333333
Air Conditioning,16,2,0,1,4.84,16.259999999999998,4.177083333333333
Air Conditioning,17,2,0,1,0.0,4.84,4.06
Air Conditioning,18,2,0,1,0.0,0.0,4.162916666666667
Air Conditioning,19,2,0,1,10.04,0.0,4.048749999999999
Air Conditioning,20,2,0,1,0.0,10.04,4.319999999999999
Air Conditioning,21,2,0,1,6.51,0.0,4.320416666666667
Air Conditioning,22,2,0,1,3.5,6.51,4.320416666666667
Air Conditioning,23,2,0,1,0.0,3.5,4.2491666666666665
Air Conditioning,0,3,1,1,3.05,0.0,4.304166666666666
Air Conditioning,1,3,1,1,4.83,3.05,4.120416666666666
Air Conditioning,2,3,1,1,0.0,4.83,4.507083333333333
Air Conditioning,3,3,1,1,11.39,0.0,4.669583333333333
Air Conditioning,4,3,1,1,7.37,11.39,4.29
Air Conditioning,5,3,1,1,0.0,7.37,4.29
Air Conditioning,6,3,1,1,0.0,0.0,4.1154166666666665
Air Conditioning,7,3,1,1,0.0,0.0,3.853333333333333
Air Conditioning,8,3,1,1,0.0,0.0,3.853333333333333
Air Conditioning,9,3,1,1,0.0,0.0,3.6612499999999994
Air Conditioning,10,3,1,1,0.0,0.0,3.640416666666667
Air Conditioning,11,3,1,1,5.45,0.0,3.635
Air Conditioning,12,3,1,1,9.42,5.45,3.795416666666666
Air Conditioning,13,3,1,1,3.85,9.42,3.9499999999999997
Air Conditioning,14,3,1,1,8.29,3.85,3.2725000000000004
Air Conditioning,15,3,1,1,0.0,8.29,3.200416666666667
Air Conditioning,16,3,1,1,3.11,0.0,3.200416666666667
Air Conditioning,17,3,1,1,0.0,3.11,3.200416666666667
Air Conditioning,18,3,1,1,0.0,0.0,3.0208333333333335
Air Conditioning,19,3,1,1,5.73,0.0,3.1162500000000004
Air Conditioning,20,3,1,1,2.29,5.73,3.24375
Air Conditioning,21,3,1,1,9.57,2.29,3.2525
Air Conditioning,22,3,1,1,3.71,9.57,3.2525
Air Conditioning,23,3,1,1,0.0,3.71,3.1254166666666667
Air Conditioning,0,4,2,1,0.0,0.0,2.924166666666667
Air Conditioning,1,4,2,1,0.0,0.0,3.0995833333333334
Air Conditioning,2,4,2,1,4.21,0.0,2.9645833333333336
Air Conditioning,3,4,2,1,8.15,4.21,2.6575
