Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
Computer,1,1,6,1,4.85,8.73,4.140416666666667
Computer,2,1,6,1,1.6,4.85,4.17875
Computer,3,1,6,1,3.9,1.6,4.2325
Computer,4,1,6,1,1.29,3.9,4.2325
Computer,5,1,6,1,0.0,1.29,3.8670833333333334
Computer,6,1,6,1,1.81,0.0,3.8954166666666663
Computer,7,1,6,1,0.68,1.81,3.5116666666666667
Computer,8,1,6,1,1.47,0.68,3.37125
Computer,9,1,6,1,0.0,1.47,3.004583333333333
Computer,10,1,6,1,0.0,0.0,3.12875
Computer,11,1,6,1,2.9800000000000004,0.0,2.9908333333333332
Computer,12,1,6,1,1.09,2.9800000000000004,3.1041666666666665
Computer,13,1,6,1,2.72,1.09,3.01125
Computer,14,1,6,1,0.0,2.72,3.01125
Computer,15,1,6,1,0.0,0.0,2.9066666666666663
Computer,16,1,6,1,1.74,0.0,2.935
Computer,17,1,6,1,0.68,1.74,2.4208333333333334
Computer,18,1,6,1,0.89,0.68,2.2708333333333335
Computer,19,1,6,1,0.0,0.89,2.2708333333333335
Computer,20,1,6,1,0.0,0.0,2.3312500000000003
Computer,21,1,6,1,3.48,0.0,2.2154166666666666
Computer,22,1,6,1,1.99,3.48,1.6625000000000003
Computer,23,1,6,1,0.0,1.99,1.3095833333333333
Computer,0,2,0,1,0.26,0.0,1.1854166666666666
Computer,1,2,0,1,1.87,0.26,1.1575
Computer,2,2,0,1,0.93,1.87,1.0458333333333334
Computer,3,2,0,1,1.22,0.93,1.0141666666666667
Computer,4,2,0,1,0.53,1.22,1.0654166666666667
Computer,5,2,0,1,1.23,0.53,1.0466666666666666
Computer,6,2,0,1,1.36,1.23,1.0566666666666669
Computer,7,2,0,1,0.92,1.36,0.9954166666666667
Computer,8,2,0,1,0.0,0.92,0.9954166666666667
Computer,9,2,0,1,0.0,0.0,1.0254166666666666
Computer,10,2,0,1,0.72,0.0,0.92
Computer,11,2,0,1,0.45,0.72,1.0458333333333332
Computer,12,2,0,1,4.109999999999999,0.45,0.9325
Computer,13,2,0,1,0.0,4.109999999999999,0.9529166666666667
Computer,14,2,0,1,0.49,0.0,0.9824999999999999
Computer,15,2,0,1,0.71,0.49,0.9341666666666667
Computer,16,2,0,1,0.58,0.71,0.9058333333333333
Computer,17,2,0,1,0.0,0.58,0.86875
Computer,18,2,0,1,0.0,0.0,0.9391666666666666
Computer,19,2,0,1,1.69,0.0,0.9783333333333334
Computer,20,2,0,1,0.94,1.69,0.9058333333333334
Computer,21,2,0,1,1.74,0.94,0.9412499999999998
Computer,22,2,0,1,2.84,1.74,0.9412499999999998
Computer,23,2,0,1,0.0,2.84,1.0425
Computer,0,3,1,1,2.69,0.0,0.9954166666666667
Computer,1,3,1,1,0.74,2.69,0.9566666666666667
Computer,2,3,1,1,0.0,0.74,0.9841666666666667
Computer,3,3,1,1,1.88,0.0,1.045
Computer,4,3,1,1,1.99,1.88,0.9937499999999999
Computer,5,3,1,1,0.0,1.99,1.0008333333333332
Computer,6,3,1,1,1.53,0.0,0.9624999999999999
Computer,7,3,1,1,0.0,1.53,0.9624999999999999
Computer,8,3,1,1,0.0,0.0,1.0141666666666664
Computer,9,3,1,1,1.24,0.0,0.9841666666666665
Computer,10,3,1,1,0.0,1.24,0.9654166666666666
Computer,11,3,1,1,0.0,0.0,0.8137500000000001
