Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
Dishwasher,0,1,6,1,1.13,0.81,1.9625000000000001
Dishwasher,1,1,6,1,3.31,1.13,2.1191666666666666
Dishwasher,2,1,6,1,3.76,3.31,1.9804166666666667
Dishwasher,3,1,6,1,1.46,3.76,1.961666666666667
Dishwasher,4,1,6,1,0.77,1.46,1.9129166666666668
Dishwasher,5,1,6,1,0.0,0.77,1.9024999999999999
Dishwasher,6,1,6,1,0.62,0.0,1.7725
Dishwasher,7,1,6,1,0.0,0.62,1.7233333333333334
Dishwasher,8,1,6,1,2.45,0.0,1.6508333333333332
Dishwasher,9,1,6,1,0.99,2.45,1.7191666666666665
Dishwasher,10,1,6,1,2.81,0.99,1.66875
Dishwasher,11,1,6,1,0.0,2.81,1.5645833333333332
Dishwasher,12,1,6,1,0.0,0.0,1.5875000000000001
Dishwasher,13,1,6,1,1.27,0.0,1.4979166666666668
Dishwasher,14,1,6,1,2.15,1.27,1.5325
Dishwasher,15,1,6,1,0.8300000000000001,2.15,1.3675
Dishwasher,16,1,6,1,0.0,0.8300000000000001,1.4070833333333335
Dishwasher,17,1,6,1,1.39,0.0,1.36625
Dishwasher,18,1,6,1,0.0,1.39,1.2041666666666668
Dishwasher,19,1,6,1,0.37,0.0,1.1575
Dishwasher,20,1,6,1,0.97,0.37,1.2816666666666667
Dishwasher,21,1,6,1,4.23,0.97,1.2216666666666667
Dishwasher,22,1,6,1,0.0,4.23,1.1879166666666667
Dishwasher,23,1,6,1,0.0,0.0,1.1408333333333334
Dishwasher,0,2,0,1,0.0,0.0,1.0266666666666666
Dishwasher,1,2,0,1,0.57,0.0,0.8700000000000001
Dishwasher,2,2,0,1,0.0,0.57,0.8091666666666667
Dishwasher,3,2,0,1,0.0,0.0,0.7770833333333335
Dishwasher,4,2,0,1,0.0,0.0,0.8354166666666667
Dishwasher,5,2,0,1,1.4,0.0,0.88
Dishwasher,6,2,0,1,1.69,1.4,0.88
Dishwasher,7,2,0,1,0.0,1.69,0.8775000000000001
Dishwasher,8,2,0,1,2.39,0.0,0.83625
Dishwasher,9,2,0,1,0.0,2.39,0.7954166666666667
Dishwasher,10,2,0,1,1.83,0.0,0.8404166666666667
Dishwasher,11,2,0,1,1.08,1.83,0.9066666666666667
Dishwasher,12,2,0,1,1.59,1.08,1.0729166666666667
Dishwasher,13,2,0,1,5.26,1.59,0.9833333333333334
Dishwasher,14,2,0,1,0.0,5.26,0.94875
Dishwasher,15,2,0,1,0.0,0.0,1.13
Dishwasher,16,2,0,1,4.35,0.0,1.12125
Dishwasher,17,2,0,1,1.18,4.35,1.12125
Dishwasher,18,2,0,1,0.0,1.18,1.1775
Dishwasher,19,2,0,1,1.72,0.0,1.29125
Dishwasher,20,2,0,1,3.7,1.72,1.28375
Dishwasher,21,2,0,1,4.050000000000001,3.7,1.3516666666666666
Dishwasher,22,2,0,1,1.63,4.050000000000001,1.3516666666666666
Dishwasher,23,2,0,1,0.0,1.63,1.3516666666666666
Dishwasher,0,3,1,1,0.0,0.0,1.3549999999999998
Dishwasher,1,3,1,1,0.65,0.0,1.4158333333333333
Dishwasher,2,3,1,1,1.46,0.65,1.49
Dishwasher,3,3,1,1,1.78,1.46,1.49
Dishwasher,4,3,1,1,0.0,1.78,1.4316666666666666
Dishwasher,5,3,1,1,0.0,0.0,1.36125
Dishwasher,6,3,1,1,0.0,0.0,1.4312500000000001
Dishwasher,7,3,1,1,1.68,0.0,1.4120833333333334
Dishwasher,8,3,1,1,1.93,1.68,1.5129166666666667
Dishwasher,9,3,1,1,2.42,1.93,1.4800000000000002
Dishwasher,10,3,1,1,1.04,2.42,1.58375
Dishwasher,11,3,1,1,3.5700000000000003,1.04,1.625
Dishwasher,12,3,1,1,2.58,3.5700000000000003,1.535
Dishwasher,13,3,1,1,3.1,2.58,1.6175000000000004
