Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
Fridge,0,1,6,1,0.54,0.0,0.9170833333333334
Fridge,1,1,6,1,0.8,0.54,0.94625
Fridge,2,1,6,1,0.7,0.8,0.8637500000000001
Fridge,3,1,6,1,0.0,0.7,0.8304166666666668
Fridge,4,1,6,1,0.0,0.0,0.7650000000000001
Fridge,5,1,6,1,0.0,0.0,0.75875
Fridge,6,1,6,1,0.93,0.0,0.7687499999999999
Fridge,7,1,6,1,0.24,0.93,0.6420833333333335
Fridge,8,1,6,1,0.0,0.24,0.6445833333333334
Fridge,9,1,6,1,0.6499999999999999,0.0,0.665
Fridge,10,1,6,1,0.49,0.6499999999999999,0.6966666666666668
Fridge,11,1,6,1,0.76,0.49,0.7083333333333334
Fridge,12,1,6,1,0.28,0.76,0.5708333333333334
Fridge,13,1,6,1,0.0,0.28,0.505
Fridge,14,1,6,1,0.39,0.0,0.4620833333333334
Fridge,15,1,6,1,0.52,0.39,0.3645833333333334
Fridge,16,1,6,1,0.0,0.52,0.38458333333333333
Fridge,17,1,6,1,0.48,0.0,0.4200000000000001
Fridge,18,1,6,1,0.8500000000000001,0.48,0.3654166666666667
Fridge,19,1,6,1,0.42,0.8500000000000001,0.33541666666666675
Fridge,20,1,6,1,0.0,0.42,0.33541666666666675
Fridge,21,1,6,1,0.0,0.0,0.36625000000000013
Fridge,22,1,6,1,0.74,0.0,0.3991666666666667
Fridge,23,1,6,1,0.79,0.74,0.3970833333333334
Fridge,0,2,0,1,0.49,0.79,0.3637500000000001
Fridge,1,2,0,1,0.0,0.49,0.3345833333333334
Fridge,2,2,0,1,0.0,0.0,0.34958333333333336
Fridge,3,2,0,1,0.36,0.0,0.3629166666666667
Fridge,4,2,0,1,0.32,0.36,0.3629166666666667
Fridge,5,2,0,1,0.0,0.32,0.3804166666666667
Fridge,6,2,0,1,1.35,0.0,0.37041666666666667
Fridge,7,2,0,1,0.0,1.35,0.3887500000000001
Fridge,8,2,0,1,0.44,0.0,0.3950000000000001
Fridge,9,2,0,1,0.8,0.44,0.40625000000000006
Fridge,10,2,0,1,0.76,0.8,0.4050000000000001
Fridge,11,2,0,1,0.73,0.76,0.4125000000000001
Fridge,12,2,0,1,0.46,0.73,0.44875000000000004
Fridge,13,2,0,1,0.87,0.46,0.4445833333333335
Fridge,14,2,0,1,0.29,0.87,0.4229166666666668
Fridge,15,2,0,1,0.0,0.29,0.44250000000000006
Fridge,16,2,0,1,0.47,0.0,0.4404166666666667
Fridge,17,2,0,1,0.43,0.47,0.4304166666666667
Fridge,18,2,0,1,0.61,0.43,0.41750000000000004
Fridge,19,2,0,1,0.11,0.61,0.43250000000000005
