Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
Microwave,0,1,6,1,0.84,0.0,1.1683333333333332
Microwave,1,1,6,1,1.68,0.84,1.1858333333333333
Microwave,2,1,6,1,1.43,1.68,1.04875
Microwave,3,1,6,1,1.64,1.43,0.8158333333333333
Microwave,4,1,6,1,0.0,1.64,0.8683333333333332
Microwave,5,1,6,1,1.26,0.0,0.8129166666666666
Microwave,6,1,6,1,0.0,1.26,0.7624999999999998
Microwave,7,1,6,1,0.0,0.0,0.9674999999999999
Microwave,8,1,6,1,5.98,0.0,0.9812500000000001
Microwave,9,1,6,1,2.11,5.98,1.0254166666666666
Microwave,10,1,6,1,1.99,2.11,1.0604166666666668
Microwave,11,1,6,1,3.01,1.99,1.0604166666666668
Microwave,12,1,6,1,0.0,3.01,1.035
Microwave,13,1,6,1,0.0,0.0,1.0966666666666665
Microwave,14,1,6,1,1.48,0.0,1.0966666666666665
Microwave,15,1,6,1,0.0,1.48,1.0783333333333334
Microwave,16,1,6,1,0.0,0.0,1.1154166666666667
Microwave,17,1,6,1,0.89,0.0,1.1675
Microwave,18,1,6,1,3.16,0.89,1.22125
Microwave,19,1,6,1,2.3200000000000003,3.16,1.22125
Microwave,20,1,6,1,0.0,2.3200000000000003,1.22125
Microwave,21,1,6,1,0.0,0.0,1.1579166666666667
Microwave,22,1,6,1,0.0,0.0,1.1579166666666667
Microwave,23,1,6,1,0.0,0.0,1.1604166666666667
Microwave,0,2,0,1,0.9,0.0,1.2454166666666666
Microwave,1,2,0,1,3.72,0.9,1.3241666666666667
Microwave,2,2,0,1,3.3200000000000003,3.72,1.2558333333333334
Microwave,3,2,0,1,0.0,3.3200000000000003,1.2558333333333334
Microwave,4,2,0,1,0.0,0.0,1.3166666666666667
Microwave,5,2,0,1,2.72,0.0,1.3262500000000002
Microwave,6,2,0,1,0.23,2.72,1.4854166666666668
Microwave,7,2,0,1,3.82,0.23,1.2362499999999998
Microwave,8,2,0,1,0.0,3.82,1.1483333333333332
Microwave,9,2,0,1,0.0,0.0,1.1420833333333333
Microwave,10,2,0,1,1.84,0.0,1.0483333333333333
Microwave,11,2,0,1,0.76,1.84,1.0983333333333334
Microwave,12,2,0,1,1.2,0.76,1.2008333333333334
Microwave,13,2,0,1,2.46,1.2,1.1391666666666669
Microwave,14,2,0,1,0.0,2.46,1.2008333333333334
Microwave,15,2,0,1,1.48,0.0,1.3529166666666665
Microwave,16,2,0,1,3.65,1.48,1.3158333333333334
Microwave,17,2,0,1,0.0,3.65,1.1841666666666668
Microwave,18,2,0,1,0.0,0.0,1.2320833333333334
Microwave,19,2,0,1,3.47,0.0,1.2320833333333334
Microwave,20,2,0,1,0.0,3.47,1.2637500000000002
Microwave,21,2,0,1,0.76,0.0,1.3037500000000002
Microwave,22,2,0,1,0.96,0.76,1.35875
Microwave,23,2,0,1,1.32,0.96,1.32125
Microwave,0,3,1,1,0.0,1.32,1.16625
Microwave,1,3,1,1,0.0,0.0,1.0279166666666668
