Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
Oven,3,1,6,1,3.98,0.0,1.2879166666666666
Oven,4,1,6,1,0.22,3.98,1.3479166666666667
Oven,5,1,6,1,2.29,0.22,1.2987499999999998
Oven,6,1,6,1,0.0,2.29,1.25125
Oven,7,1,6,1,0.0,0.0,1.20625
Oven,8,1,6,1,0.0,0.0,1.3579166666666664
Oven,9,1,6,1,5.27,0.0,1.2404166666666667
Oven,10,1,6,1,0.79,5.27,1.2404166666666667
Oven,11,1,6,1,0.0,0.79,1.1558333333333333
Oven,12,1,6,1,0.85,0.0,1.1754166666666668
Oven,13,1,6,1,0.47,0.85,1.0991666666666666
Oven,14,1,6,1,1.65,0.47,1.0804166666666666
Oven,15,1,6,1,0.0,1.65,1.0525
Oven,16,1,6,1,0.0,0.0,1.0641666666666667
Oven,17,1,6,1,1.4,0.0,1.1204166666666666
Oven,18,1,6,1,3.47,1.4,1.2366666666666666
Oven,19,1,6,1,2.79,3.47,1.2191666666666665
Oven,20,1,6,1,0.0,2.79,1.2475
Oven,21,1,6,1,1.05,0.0,1.2095833333333335
Oven,22,1,6,1,0.0,1.05,1.2491666666666668
Oven,23,1,6,1,0.95,0.0,1.41625
Oven,0,2,0,1,6.2,0.95,1.3074999999999999
Oven,1,2,0,1,0.0,6.2,1.3716666666666668
Oven,2,2,0,1,1.54,0.0,1.2595833333333333
Oven,3,2,0,1,1.29,1.54,1.3241666666666667
Oven,4,2,0,1,1.77,1.29,1.4358333333333333
Oven,5,2,0,1,4.97,1.77,1.4358333333333333
Oven,6,2,0,1,0.0,4.97,1.5895833333333333
Oven,7,2,0,1,3.69,0.0,1.7433333333333334
Oven,8,2,0,1,3.69,3.69,1.52375
Oven,9,2,0,1,0.0,3.69,1.6066666666666665
Oven,10,2,0,1,2.78,0.0,1.6066666666666665
Oven,11,2,0,1,0.0,2.78,1.7162499999999998
Oven,12,2,0,1,3.48,0.0,1.6966666666666665
Oven,13,2,0,1,0.0,3.48,1.8237499999999998
Oven,14,2,0,1,4.7,0.0,1.8237499999999998
Oven,15,2,0,1,0.0,4.7,1.9070833333333332
Oven,16,2,0,1,2.0,0.0,1.8487500000000001
Oven,17,2,0,1,0.0,2.0,1.7312500000000002
Oven,18,2,0,1,0.65,0.0,1.7950000000000002
Oven,19,2,0,1,4.32,0.65,1.9041666666666666
Oven,20,2,0,1,2.62,4.32,2.0391666666666666
Oven,21,2,0,1,4.29,2.62,2.0391666666666666
Oven,22,2,0,1,0.0,4.29,2.05625
Oven,23,2,0,1,1.36,0.0,1.7979166666666666
Oven,0,3,1,1,0.0,1.36,1.8675
Oven,1,3,1,1,1.67,0.0,1.9008333333333336
Oven,2,3,1,1,2.34,1.67,1.8470833333333336
Oven,3,3,1,1,0.0,2.34,1.885
Oven,4,3,1,1,2.68,0.0,1.7654166666666669
Oven,5,3,1,1,2.1,2.68,1.8012500000000002
Oven,6,3,1,1,0.86,2.1,1.70625
Oven,7,3,1,1,1.41,0.86,1.5675
Oven,8,3,1,1,0.36,1.41,1.5675
Oven,9,3,1,1,0.0,0.36,1.4733333333333336
Oven,10,3,1,1,0.52,0.0,1.486666666666667
Oven,11,3,1,1,0.32,0.52,1.48375
Oven,12,3,1,1,3.41,0.32,1.5508333333333333
Oven,13,3,1,1,1.61,3.41,1.3758333333333332
Oven,14,3,1,1,0.5,1.61,1.4879166666666668
Oven,15,3,1,1,2.69,0.5,1.4045833333333337
Oven,16,3,1,1,0.0,2.69,1.439166666666667
Oven,17,3,1,1,0.83,0.0,1.4120833333333334
Oven,18,3,1,1,0.0,0.83,1.31125
Oven,19,3,1,1,1.9,0.0,1.2408333333333335
Oven,20,3,1,1,0.93,1.9,1.1133333333333335
Oven,21,3,1,1,1.23,0.93,1.1133333333333333
Oven,22,3,1,1,0.0,1.23,1.0566666666666666
Oven,23,3,1,1,0.0,0.0,1.08
Oven,0,4,2,1,0.56,0.0,1.0104166666666667
Oven,1,4,2,1,0.0,0.56,0.9129166666666668
Oven,2,4,2,1,0.0,0.0,0.9129166666666668
Oven,3,4,2,1,0.0,0.0,0.8012500000000001
Oven,4,4,2,1,0.0,0.0,0.8054166666666668
Oven,5,4,2,1,2.2,0.0,0.9233333333333333
Oven,6,4,2,1,3.69,2.2,0.97625
Oven,7,4,2,1,2.68,3.69,0.96125
Oven,8,4,2,1,0.0,2.68,0.9858333333333335
Oven,9,4,2,1,0.59,0.0,1.0395833333333335
Oven,10,4,2,1,1.81,0.59,1.0491666666666668
Oven,11,4,2,1,0.55,1.81,0.9070833333333335
Oven,12,4,2,1,0.0,0.55,0.9125
Oven,13,4,2,1,1.74,0.0,0.9512499999999999
Oven,14,4,2,1,1.43,1.74,0.98875
Oven,15,4,2,1,3.59,1.43,0.98875
Oven,16,4,2,1,0.0,3.59,0.9704166666666666
Oven,17,4,2,1,0.39,0.0,1.0054166666666666
Oven,18,4,2,1,0.84,0.39,0.95125
Oven,19,4,2,1,0.6,0.84,0.9883333333333334
Oven,20,4,2,1,1.82,0.6,1.1620833333333334
Oven,21,4,2,1,5.4,1.82,1.2066666666666668
Oven,22,4,2,1,1.07,5.4,1.21875
Oven,23,4,2,1,0.29,1.07,1.2733333333333332
Oven,0,5,3,1,1.87,0.29,1.4312500000000001
Oven,1,5,3,1,3.79,1.87,1.4312500000000001
Oven,2,5,3,1,0.0,3.79,1.4504166666666667
Oven,3,5,3,1,0.46,0.0,1.5179166666666666
Oven,4,5,3,1,1.62,0.46,1.4775
Oven,5,5,3,1,1.23,1.62,1.3841666666666665
Oven,6,5,3,1,1.45,1.23,1.2820833333333335
Oven,7,5,3,1,0.23,1.45,1.2820833333333335
Oven,8,5,3,1,0.0,0.23,1.2575
Oven,9,5,3,1,0.0,0.0,1.1820833333333334
Oven,10,5,3,1,0.0,0.0,1.2416666666666667
Oven,11,5,3,1,1.98,0.0,1.3091666666666666
Oven,12,5,3,1,1.62,1.98,1.3125
Oven,13,5,3,1,1.82,1.62,1.5650000000000002
Oven,14,5,3,1,7.49,1.82,1.4441666666666666
Oven,15,5,3,1,0.69,7.49,1.5670833333333334
Oven,16,5,3,1,2.95,0.69,1.5508333333333333
Oven,17,5,3,1,0.0,2.95,1.5158333333333334
Oven,18,5,3,1,0.0,0.0,1.5475
Oven,19,5,3,1,1.36,0.0,1.5508333333333333
Oven,20,5,3,1,1.9,1.36,1.35375
Oven,21,5,3,1,0.67,1.9,1.3329166666666667
Oven,22,5,3,1,0.57,0.67,1.3908333333333334
Oven,23,5,3,1,1.68,0.57,1.3129166666666667
Oven,0,6,4,1,0.0,1.68,1.2358333333333333
Oven,1,6,4,1,1.94,0.0,1.3045833333333334
Oven,2,6,4,1,1.65,1.94,1.36125
Oven,3,6,4,1,1.82,1.65,1.29375
Oven,4,6,4,1,0.0,1.82,1.4033333333333333
Oven,5,6,4,1,3.86,0.0,1.4216666666666669
Oven,6,6,4,1,1.89,3.86,1.4745833333333334
Oven,7,6,4,1,1.5,1.89,1.4745833333333334
Oven,8,6,4,1,0.0,1.5,1.4745833333333334
Oven,9,6,4,1,0.0,0.0,1.5295833333333333
Oven,10,6,4,1,1.32,0.0,1.4470833333333335
Oven,11,6,4,1,0.0,1.32,1.414583333333333
Oven,12,6,4,1,0.84,0.0,1.3604166666666666
Oven,13,6,4,1,0.52,0.84,1.1541666666666666
Oven,14,6,4,1,2.54,0.52,1.2241666666666668
Oven,15,6,4,1,2.37,2.54,1.1424999999999998
Oven,16,6,4,1,0.99,2.37,1.1424999999999998
Oven,17,6,4,1,0.0,0.99,1.26375
Oven,18,6,4,1,2.91,0.0,1.3491666666666664
Oven,19,6,4,1,3.41,2.91,1.2995833333333333
Oven,20,6,4,1,0.71,3.41,1.3383333333333332
Oven,21,6,4,1,1.6,0.71,1.3883333333333334
Oven,22,6,4,1,1.77,1.6,1.4658333333333333
Oven,23,6,4,1,3.54,1.77,1.4970833333333333
Oven,0,7,5,1,0.75,3.54,1.4937500000000001
Oven,1,7,5,1,1.86,0.75,1.425
Oven,2,7,5,1,0.0,1.86,1.4329166666666666
Oven,3,7,5,1,2.01,0.0,1.51
Oven,4,7,5,1,1.85,2.01,1.375
Oven,5,7,5,1,0.62,1.85,1.3379166666666666
Oven,6,7,5,1,1.0,0.62,1.3033333333333332
Oven,7,7,5,1,0.67,1.0,1.3891666666666664
Oven,8,7,5,1,2.06,0.67,1.4841666666666666
Oven,9,7,5,1,2.28,2.06,1.5112499999999998
Oven,10,7,5,1,1.97,2.28,1.5791666666666666
Oven,11,7,5,1,1.63,1.97,1.625
Oven,12,7,5,1,1.94,1.63,1.6674999999999998
Oven,13,7,5,1,1.54,1.94,1.635
Oven,14,7,5,1,1.76,1.54,1.6183333333333334
Oven,15,7,5,1,1.97,1.76,1.7470833333333333
Oven,16,7,5,1,4.08,1.97,1.7837500000000002
Oven,17,7,5,1,0.88,4.08,1.7270833333333335
Oven,18,7,5,1,1.5499999999999998,0.88,1.6675000000000002
Oven,19,7,5,1,1.98,1.5499999999999998,1.7054166666666666
Oven,20,7,5,1,1.62,1.98,1.63875
Oven,21,7,5,1,0.0,1.62,1.6929166666666668
Oven,22,7,5,1,3.0700000000000003,0.0,1.6404166666666669
Oven,23,7,5,1,2.28,3.0700000000000003,1.7254166666666668
Oven,0,8,6,1,2.79,2.28,1.647916666666667
Oven,1,8,6,1,0.0,2.79,1.7704166666666667
Oven,2,8,6,1,2.94,0.0,1.7520833333333332
Oven,3,8,6,1,1.57,2.94,1.7354166666666666
Oven,4,8,6,1,1.45,1.57,1.7495833333333335
Oven,5,8,6,1,0.96,1.45,1.7470833333333333
Oven,6,8,6,1,0.94,0.96,1.7191666666666665
Oven,7,8,6,1,0.0,0.94,1.6333333333333335
Oven,8,8,6,1,0.0,0.0,1.5562500000000001
Oven,9,8,6,1,0.43,0.0,1.4741666666666668
Oven,10,8,6,1,0.0,0.43,1.4483333333333333
Oven,11,8,6,1,1.01,0.0,1.5533333333333335
Oven,12,8,6,1,4.46,1.01,1.6625000000000003
Oven,13,8,6,1,4.16,4.46,1.5891666666666666
Oven,14,8,6,1,0.0,4.16,1.5829166666666667
Oven,15,8,6,1,1.82,0.0,1.5095833333333335
Oven,16,8,6,1,2.3200000000000003,1.82,1.5445833333333334
Oven,17,8,6,1,1.72,2.3200000000000003,1.4800000000000002
Oven,18,8,6,1,0.0,1.72,1.6208333333333333
Oven,19,8,6,1,5.36,0.0,1.6116666666666666
Oven,20,8,6,1,1.4,5.36,1.6775
Oven,21,8,6,1,1.58,1.4,1.5858333333333334
Oven,22,8,6,1,0.87,1.58,1.5675
Oven,23,8,6,1,1.84,0.87,1.5075
Oven,0,9,0,1,1.35,1.84,1.5904166666666668
Oven,1,9,0,1,1.99,1.35,1.4679166666666668
Oven,2,9,0,1,0.0,1.99,1.4025
Oven,3,9,0,1,0.0,0.0,1.3712499999999999
Oven,4,9,0,1,0.7,0.0,1.33125
Oven,5,9,0,1,0.0,0.7,1.3508333333333333
Oven,6,9,0,1,1.41,0.0,1.3508333333333333
Oven,7,9,0,1,0.0,1.41,1.3508333333333333
Oven,8,9,0,1,0.0,0.0,1.3470833333333332
Oven,9,9,0,1,0.34,0.0,1.4254166666666668
Oven,10,9,0,1,1.88,0.34,1.3833333333333335
Oven,11,9,0,1,0.0,1.88,1.1975
Oven,12,9,0,1,0.0,0.0,1.03875
Oven,13,9,0,1,0.35,0.0,1.17375
Oven,14,9,0,1,3.24,0.35,1.20625
Oven,15,9,0,1,2.6,3.24,1.2320833333333334
Oven,16,9,0,1,2.94,2.6,1.2333333333333332
Oven,17,9,0,1,1.75,2.94,1.2333333333333332
Oven,18,9,0,1,0.0,1.75,1.09
Oven,19,9,0,1,1.92,0.0,1.0420833333333335
Oven,20,9,0,1,0.25,1.92,1.0441666666666667
Oven,21,9,0,1,1.63,0.25,1.0683333333333334
Oven,22,9,0,1,1.45,1.63,1.0058333333333334
Oven,23,9,0,1,0.34,1.45,0.9495833333333333
Oven,0,10,1,1,0.0,0.34,0.9670833333333334
Oven,1,10,1,1,2.41,0.0,0.9670833333333334
Oven,2,10,1,1,0.0,2.41,0.9670833333333334
Oven,3,10,1,1,0.0,0.0,0.9904166666666666
Oven,4,10,1,1,1.26,0.0,1.1604166666666667
Oven,5,10,1,1,4.08,1.26,1.1191666666666666
Oven,6,10,1,1,0.42,4.08,1.1458333333333333
Oven,7,10,1,1,0.64,0.42,1.1458333333333333
Oven,8,10,1,1,0.0,0.64,1.2270833333333333
Oven,9,10,1,1,2.29,0.0,1.23125
Oven,10,10,1,1,1.98,2.29,1.23125
Oven,11,10,1,1,0.0,1.98,1.23125
Oven,12,10,1,1,0.0,0.0,1.3229166666666667
Oven,13,10,1,1,2.55,0.0,1.3208333333333333
Oven,14,10,1,1,3.19,2.55,1.2308333333333332
Oven,15,10,1,1,0.44,3.19,1.2166666666666666
Oven,16,10,1,1,2.6,0.44,1.2220833333333334
Oven,17,10,1,1,1.88,2.6,1.2420833333333334
Oven,18,10,1,1,0.48,1.88,1.2204166666666667
Oven,19,10,1,1,1.4,0.48,1.2870833333333334
Oven,20,10,1,1,1.85,1.4,1.2191666666666665
Oven,21,10,1,1,0.0,1.85,1.1754166666666668
Oven,22,10,1,1,0.4,0.0,1.2120833333333334
Oven,23,10,1,1,1.22,0.4,1.2120833333333334
Oven,0,11,2,1,0.0,1.22,1.22625
Oven,1,11,2,1,2.75,0.0,1.335
Oven,2,11,2,1,2.6100000000000003,2.75,1.335
Oven,3,11,2,1,0.0,2.6100000000000003,1.3191666666666666
Oven,4,11,2,1,0.88,0.0,1.2308333333333332
Oven,5,11,2,1,1.96,0.88,1.2133333333333332
Oven,6,11,2,1,0.0,1.96,1.3533333333333333
Oven,7,11,2,1,4.0,0.0,1.4320833333333332
Oven,8,11,2,1,1.89,4.0,1.4949999999999999
Oven,9,11,2,1,3.8,1.89,1.4800000000000002
Oven,10,11,2,1,1.62,3.8,1.6045833333333335
Oven,11,11,2,1,2.99,1.62,1.6045833333333335
Oven,12,11,2,1,0.0,2.99,1.5608333333333333
Oven,13,11,2,1,1.5,0.0,1.4633333333333332
Oven,14,11,2,1,0.85,1.5,1.445
Oven,15,11,2,1,0.0,0.85,1.5570833333333336
Oven,16,11,2,1,5.29,0.0,1.655
Oven,17,11,2,1,4.23,5.29,1.635
Oven,18,11,2,1,0.0,4.23,1.6941666666666668
Oven,19,11,2,1,2.82,0.0,1.6170833333333334
Oven,20,11,2,1,0.0,2.82,1.7279166666666665
Oven,21,11,2,1,2.66,0.0,1.71125
