Appliance Type,hour,day,weekday,month,lag1,lag24,rolling_mean
TV,1,1,6,1,3.22,1.97,1.3170833333333334
TV,2,1,6,1,4.01,3.22,1.3679166666666667
TV,3,1,6,1,2.41,4.01,1.2825
TV,4,1,6,1,0.76,2.41,1.3625
TV,5,1,6,1,1.92,0.76,1.3625
TV,6,1,6,1,0.0,1.92,1.2154166666666668
TV,7,1,6,1,0.0,0.0,1.2541666666666667
TV,8,1,6,1,0.93,0.0,1.3720833333333333
TV,9,1,6,1,3.25,0.93,1.5404166666666665
TV,10,1,6,1,4.04,3.25,1.6320833333333333
TV,11,1,6,1,2.2,4.04,1.6241666666666668
TV,12,1,6,1,3.5700000000000003,2.2,1.5516666666666667
TV,13,1,6,1,0.0,3.5700000000000003,1.4820833333333334
TV,14,1,6,1,1.0699999999999998,0.0,1.5041666666666667
TV,15,1,6,1,0.53,1.0699999999999998,1.5733333333333333
TV,16,1,6,1,1.66,0.53,1.6533333333333333
TV,17,1,6,1,3.16,1.66,1.6875
TV,18,1,6,1,1.4500000000000002,3.16,1.6679166666666667
TV,19,1,6,1,0.0,1.4500000000000002,1.7495833333333335
TV,20,1,6,1,1.96,0.0,1.7700000000000002
TV,21,1,6,1,0.49,1.96,1.8495833333333336
TV,22,1,6,1,1.91,0.49,1.687916666666667
TV,23,1,6,1,0.0,1.91,1.6162500000000002
TV,0,2,0,1,0.25,0.0,1.585416666666667
TV,1,2,0,1,2.48,0.25,1.4183333333333332
TV,2,2,0,1,0.0,2.48,1.3179166666666668
TV,3,2,0,1,0.0,0.0,1.3416666666666668
TV,4,2,0,1,1.33,0.0,1.2616666666666667
TV,5,2,0,1,0.0,1.33,1.3116666666666668
TV,6,2,0,1,1.2,0.0,1.4045833333333333
TV,7,2,0,1,2.23,1.2,1.3658333333333335
TV,8,2,0,1,0.0,2.23,1.3783333333333336
TV,9,2,0,1,3.55,0.0,1.2641666666666669
TV,10,2,0,1,1.3,3.55,1.195
TV,11,2,0,1,0.54,1.3,1.06125
TV,12,2,0,1,0.36,0.54,1.1591666666666667
TV,13,2,0,1,2.35,0.36,1.1575
TV,14,2,0,1,1.03,2.35,1.1354166666666667
TV,15,2,0,1,0.0,1.03,1.17375
TV,16,2,0,1,2.58,0.0,1.0420833333333335
TV,17,2,0,1,0.0,2.58,1.0454166666666669
TV,18,2,0,1,1.53,0.0,1.1262500000000002
TV,19,2,0,1,1.94,1.53,1.1179166666666667
TV,20,2,0,1,1.7599999999999998,1.94,1.2429166666666667
TV,21,2,0,1,3.49,1.7599999999999998,1.2495833333333333
TV,22,2,0,1,2.07,3.49,1.2495833333333333
TV,23,2,0,1,0.0,2.07,1.2391666666666665
TV,0,3,1,1,0.0,0.0,1.1358333333333333
TV,1,3,1,1,0.0,0.0,1.1358333333333333
TV,2,3,1,1,0.0,0.0,1.1358333333333333
TV,3,3,1,1,0.0,0.0,1.0804166666666666
TV,4,3,1,1,0.0,0.0,1.2516666666666667
TV,5,3,1,1,4.11,0.0,1.3275000000000001
TV,6,3,1,1,3.02,4.11,1.3570833333333334
TV,7,3,1,1,2.94,3.02,1.3570833333333334
TV,8,3,1,1,0.0,2.94,1.3183333333333334
TV,9,3,1,1,2.62,0.0,1.31
TV,10,3,1,1,1.1,2.62,1.3570833333333334
TV,11,3,1,1,1.67,1.1,1.405
TV,12,3,1,1,1.51,1.67,1.3570833333333334
TV,13,3,1,1,1.2,1.51,1.3141666666666667
TV,14,3,1,1,0.0,1.2,1.3141666666666667
TV,15,3,1,1,0.0,0.0,1.2816666666666667
TV,16,3,1,1,1.8,0.0,1.3420833333333333
TV,17,3,1,1,1.45,1.8,1.3945833333333335
TV,18,3,1,1,2.79,1.45,1.31375
TV,19,3,1,1,0.0,2.79,1.2404166666666667
TV,20,3,1,1,0.0,0.0,1.1416666666666668
TV,21,3,1,1,1.12,0.0,1.0554166666666667
TV,22,3,1,1,0.0,1.12,1.0554166666666667
TV,23,3,1,1,0.0,0.0,1.1187500000000001
TV,0,4,2,1,1.52,0.0,1.2116666666666667
TV,1,4,2,1,2.23,1.52,1.2220833333333334
TV,2,4,2,1,0.25,2.23,1.305
TV,3,4,2,1,1.99,0.25,1.305
TV,4,4,2,1,0.0,1.99,1.13375
TV,5,4,2,1,0.0,0.0,1.0079166666666668
TV,6,4,2,1,0.0,0.0,0.9195833333333333
TV,7,4,2,1,0.82,0.0,1.0933333333333335
