Appliance Type,timestamp,Energy Consumption (kWh),Energy_scaled
Air Conditioning,2023-01-01 00:00:00,4.42,0.1553602811950791
Air Conditioning,2023-01-01 01:00:00,7.61,0.2674868189806679
Air Conditioning,2023-01-01 02:00:00,14.8,0.5202108963093146
Air Conditioning,2023-01-01 03:00:00,4.19,0.14727592267135328
Air Conditioning,2023-01-01 04:00:00,10.68,0.3753954305799649
Air Conditioning,2023-01-01 05:00:00,6.9399999999999995,0.24393673110720562
Air Conditioning,2023-01-01 06:00:00,0.0,0.0
Air Conditioning,2023-01-01 07:00:00,0.0,0.0
Air Conditioning,2023-01-01 08:00:00,0.0,0.0
Air Conditioning,2023-01-01 09:00:00,2.17,0.07627416520210897
Air Conditioning,2023-01-01 10:00:00,5.83,0.20492091388400704
Air Conditioning,2023-01-01 11:00:00,2.63,0.09244288224956064
Air Conditioning,2023-01-01 12:00:00,7.66,0.2692442882249561
Air Conditioning,2023-01-01 13:00:00,0.0,0.0
Air Conditioning,2023-01-01 14:00:00,12.129999999999999,0.4263620386643234
Air Conditioning,2023-01-01 15:00:00,2.89,0.10158172231985942
Air Conditioning,2023-01-01 16:00:00,0.0,0.0
Air Conditioning,2023-01-01 17:00:00,2.81,0.09876977152899825
Air Conditioning,2023-01-01 18:00:00,7.57,0.2660808435852373
Air Conditioning,2023-01-01 19:00:00,2.74,0.09630931458699474
Air Conditioning,2023-01-01 20:00:00,0.0,0.0
Air Conditioning,2023-01-01 21:00:00,3.49,0.12267135325131812
Air Conditioning,2023-01-01 22:00:00,0.0,0.0
Air Conditioning,2023-01-01 23:00:00,4.76,0.16731107205623902
Air Conditioning,2023-01-02 00:00:00,3.51,0.12337434094903339
Air Conditioning,2023-01-02 01:00:00,4.41,0.15500878734622145
Air Conditioning,2023-01-02 02:00:00,2.11,0.0741652021089631
Air Conditioning,2023-01-02 03:00:00,3.47,0.12196836555360283
Air Conditioning,2023-01-02 04:00:00,9.11,0.3202108963093146
Air Conditioning,2023-01-02 05:00:00,0.0,0.0
Air Conditioning,2023-01-02 06:00:00,4.19,0.14727592267135328
Air Conditioning,2023-01-02 07:00:00,6.29,0.22108963093145872
Air Conditioning,2023-01-02 08:00:00,0.0,0.0
Air Conditioning,2023-01-02 09:00:00,4.61,0.16203866432337435
Air Conditioning,2023-01-02 10:00:00,5.95,0.2091388400702988
Air Conditioning,2023-01-02 11:00:00,4.65,0.16344463971880493
Air Conditioning,2023-01-02 12:00:00,0.0,0.0
Air Conditioning,2023-01-02 13:00:00,4.58,0.16098418277680143
Air Conditioning,2023-01-02 14:00:00,16.259999999999998,0.5715289982425308
Air Conditioning,2023-01-02 15:00:00,4.84,0.17012302284710018
Air Conditioning,2023-01-02 16:00:00,0.0,0.0
Air Conditioning,2023-01-02 17:00:00,0.0,0.0
Air Conditioning,2023-01-02 18:00:00,10.04,0.3528998242530756
Air Conditioning,2023-01-02 19:00:00,0.0,0.0
Air Conditioning,2023-01-02 20:00:00,6.51,0.2288224956063269
Air Conditioning,2023-01-02 21:00:00,3.5,0.12302284710017576
Air Conditioning,2023-01-02 22:00:00,0.0,0.0
Air Conditioning,2023-01-02 23:00:00,3.05,0.10720562390158173
Air Conditioning,2023-01-03 00:00:00,4.83,0.16977152899824255
Air Conditioning,2023-01-03 01:00:00,0.0,0.0
Air Conditioning,2023-01-03 02:00:00,11.389999999999999,0.40035149384885765
Air Conditioning,2023-01-03 03:00:00,7.37,0.2590509666080844
Air Conditioning,2023-01-03 04:00:00,0.0,0.0
Air Conditioning,2023-01-03 05:00:00,0.0,0.0
Air Conditioning,2023-01-03 06:00:00,0.0,0.0
Air Conditioning,2023-01-03 07:00:00,0.0,0.0
Air Conditioning,2023-01-03 08:00:00,0.0,0.0
Air Conditioning,2023-01-03 09:00:00,0.0,0.0
Air Conditioning,2023-01-03 10:00:00,5.45,0.19156414762741655
Air Conditioning,2023-01-03 11:00:00,4.55,0.15992970123022848
Air Conditioning,2023-01-03 12:00:00,3.85,0.13532513181019334
Air Conditioning,2023-01-03 13:00:00,8.29,0.2913884007029877
Air Conditioning,2023-01-03 14:00:00,0.0,0.0
Air Conditioning,2023-01-03 15:00:00,3.11,0.1093145869947276
Air Conditioning,2023-01-03 16:00:00,0.0,0.0
Air Conditioning,2023-01-03 17:00:00,0.0,0.0
Air Conditioning,2023-01-03 18:00:00,5.73,0.20140597539543062
Air Conditioning,2023-01-03 19:00:00,2.29,0.08049209138840072
Air Conditioning,2023-01-03 20:00:00,9.57,0.3363796133567663
Air Conditioning,2023-01-03 21:00:00,3.71,0.1304042179261863
Air Conditioning,2023-01-03 22:00:00,0.0,0.0
Air Conditioning,2023-01-03 23:00:00,0.0,0.0
Air Conditioning,2023-01-04 00:00:00,0.0,0.0
Air Conditioning,2023-01-04 01:00:00,4.21,0.14797891036906854
Air Conditioning,2023-01-04 02:00:00,3.2,0.11247803163444642
Air Conditioning,2023-01-04 03:00:00,0.0,0.0
Air Conditioning,2023-01-04 04:00:00,4.77,0.16766256590509665
Air Conditioning,2023-01-04 05:00:00,2.99,0.10509666080843587
Air Conditioning,2023-01-04 06:00:00,6.54,0.22987697715289984
Air Conditioning,2023-01-04 07:00:00,8.06,0.2833040421792619
Air Conditioning,2023-01-04 08:00:00,11.370000000000001,0.39964850615114245
Air Conditioning,2023-01-04 09:00:00,3.29,0.11564147627416521
Air Conditioning,2023-01-04 10:00:00,0.0,0.0
Air Conditioning,2023-01-04 11:00:00,0.0,0.0
Air Conditioning,2023-01-04 12:00:00,5.9399999999999995,0.20878734622144113
Air Conditioning,2023-01-04 13:00:00,0.0,0.0
Air Conditioning,2023-01-04 14:00:00,13.64,0.4794376098418278
Air Conditioning,2023-01-04 15:00:00,6.98,0.24534270650263623
Air Conditioning,2023-01-04 16:00:00,4.15,0.1458699472759227
Air Conditioning,2023-01-04 17:00:00,0.0,0.0
Air Conditioning,2023-01-04 18:00:00,3.0,0.10544815465729351
Air Conditioning,2023-01-04 19:00:00,2.05,0.07205623901581722
Air Conditioning,2023-01-04 20:00:00,2.52,0.08857644991212654
Air Conditioning,2023-01-04 21:00:00,2.76,0.09701230228471001
Air Conditioning,2023-01-04 22:00:00,0.0,0.0
Air Conditioning,2023-01-04 23:00:00,11.29,0.3968365553602812
Air Conditioning,2023-01-05 00:00:00,4.64,0.16309314586994728
Air Conditioning,2023-01-05 01:00:00,2.97,0.10439367311072058
Air Conditioning,2023-01-05 02:00:00,0.0,0.0
Air Conditioning,2023-01-05 03:00:00,2.4,0.0843585237258348
Air Conditioning,2023-01-05 04:00:00,0.0,0.0
Air Conditioning,2023-01-05 05:00:00,5.720000000000001,0.201054481546573
Air Conditioning,2023-01-05 06:00:00,6.359999999999999,0.22355008787346223
Air Conditioning,2023-01-05 07:00:00,8.120000000000001,0.2854130052724078
Air Conditioning,2023-01-05 08:00:00,7.82,0.27486818980667843
Air Conditioning,2023-01-05 09:00:00,4.19,0.14727592267135328
Air Conditioning,2023-01-05 10:00:00,6.58,0.23128295254833042
Air Conditioning,2023-01-05 11:00:00,6.7,0.23550087873462217
Air Conditioning,2023-01-05 12:00:00,8.69,0.3054481546572935
Air Conditioning,2023-01-05 13:00:00,17.75,0.6239015817223199
Air Conditioning,2023-01-05 14:00:00,2.87,0.10087873462214413
Air Conditioning,2023-01-05 15:00:00,3.61,0.12688927943760986
Air Conditioning,2023-01-05 16:00:00,0.0,0.0
Air Conditioning,2023-01-05 17:00:00,6.64,0.2333919156414763
Air Conditioning,2023-01-05 18:00:00,9.879999999999999,0.34727592267135327
Air Conditioning,2023-01-05 19:00:00,7.79,0.2738137082601055
Air Conditioning,2023-01-05 20:00:00,7.59,0.2667838312829526
Air Conditioning,2023-01-05 21:00:00,5.53,0.19437609841827772
Air Conditioning,2023-01-05 22:00:00,3.9,0.13708260105448156
Air Conditioning,2023-01-05 23:00:00,10.21,0.3588752196836556
Air Conditioning,2023-01-06 00:00:00,3.81,0.13391915641476276
Air Conditioning,2023-01-06 01:00:00,8.42,0.2959578207381371
Air Conditioning,2023-01-06 02:00:00,6.41,0.22530755711775047
Air Conditioning,2023-01-06 03:00:00,7.08,0.24885764499121268
Air Conditioning,2023-01-06 04:00:00,7.84,0.2755711775043937
Air Conditioning,2023-01-06 05:00:00,0.0,0.0
Air Conditioning,2023-01-06 06:00:00,0.0,0.0
Air Conditioning,2023-01-06 07:00:00,4.07,0.14305799648506154
Air Conditioning,2023-01-06 08:00:00,0.0,0.0
Air Conditioning,2023-01-06 09:00:00,0.0,0.0
Air Conditioning,2023-01-06 10:00:00,3.09,0.1086115992970123
Air Conditioning,2023-01-06 11:00:00,4.15,0.1458699472759227
Air Conditioning,2023-01-06 12:00:00,12.479999999999999,0.4386643233743409
Air Conditioning,2023-01-06 13:00:00,0.0,0.0
Air Conditioning,2023-01-06 14:00:00,2.25,0.07908611599297014
Air Conditioning,2023-01-06 15:00:00,0.0,0.0
Air Conditioning,2023-01-06 16:00:00,6.459999999999999,0.22706502636203865
Air Conditioning,2023-01-06 17:00:00,2.58,0.09068541300527241
Air Conditioning,2023-01-06 18:00:00,0.0,0.0
Air Conditioning,2023-01-06 19:00:00,0.0,0.0
Air Conditioning,2023-01-06 20:00:00,5.449999999999999,0.19156414762741653
Air Conditioning,2023-01-06 21:00:00,0.0,0.0
Air Conditioning,2023-01-06 22:00:00,13.18,0.4632688927943761
Air Conditioning,2023-01-06 23:00:00,0.0,0.0
Air Conditioning,2023-01-07 00:00:00,3.25,0.11423550087873463
Air Conditioning,2023-01-07 01:00:00,0.0,0.0
Air Conditioning,2023-01-07 02:00:00,5.13,0.1803163444639719
Air Conditioning,2023-01-07 03:00:00,4.2,0.1476274165202109
Air Conditioning,2023-01-07 04:00:00,3.8,0.1335676625659051
Air Conditioning,2023-01-07 05:00:00,11.29,0.3968365553602812
Air Conditioning,2023-01-07 06:00:00,5.88,0.20667838312829526
Air Conditioning,2023-01-07 07:00:00,2.9,0.10193321616871705
Air Conditioning,2023-01-07 08:00:00,9.21,0.3237258347978911
Air Conditioning,2023-01-07 09:00:00,0.0,0.0
Air Conditioning,2023-01-07 10:00:00,0.0,0.0
Air Conditioning,2023-01-07 11:00:00,4.66,0.1637961335676626
Air Conditioning,2023-01-07 12:00:00,0.0,0.0
Air Conditioning,2023-01-07 13:00:00,4.74,0.16660808435852376
Air Conditioning,2023-01-07 14:00:00,0.0,0.0
Air Conditioning,2023-01-07 15:00:00,2.24,0.07873462214411249
Air Conditioning,2023-01-07 16:00:00,4.9,0.17223198594024608
Air Conditioning,2023-01-07 17:00:00,3.55,0.12478031634446397
Air Conditioning,2023-01-07 18:00:00,0.0,0.0
Air Conditioning,2023-01-07 19:00:00,9.54,0.3353251318101933
Air Conditioning,2023-01-07 20:00:00,12.2,0.4288224956063269
