hour,day,weekday,lag_1,lag_24,rolling_mean_24
0,1,6,1.13,0.0,1.9625000000000001
1,1,6,3.31,0.0,2.1191666666666666
2,1,6,3.76,4.79,1.9804166666666667
3,1,6,1.46,1.22,1.961666666666667
4,1,6,0.77,1.17,1.9129166666666668
5,1,6,0.0,0.87,1.9024999999999999
6,1,6,0.62,3.12,1.7725
7,1,6,0.0,3.63,1.7233333333333334
8,1,6,2.45,2.73,1.6508333333333332
9,1,6,0.99,1.17,1.7191666666666665
10,1,6,2.81,1.21,1.66875
11,1,6,0.0,2.5,1.5645833333333332
12,1,6,0.0,0.72,1.5875000000000001
13,1,6,1.27,4.300000000000001,1.4979166666666668
14,1,6,2.15,0.0,1.5325
15,1,6,0.8300000000000001,3.96,1.3675
16,1,6,0.0,0.44,1.4070833333333335
17,1,6,1.39,0.98,1.36625
18,1,6,0.0,4.26,1.2041666666666668
19,1,6,0.37,2.09,1.1575
20,1,6,0.97,1.25,1.2816666666666667
21,1,6,4.23,1.44,1.2216666666666667
22,1,6,0.0,0.81,1.1879166666666667
23,1,6,0.0,1.13,1.1408333333333334
0,2,0,0.0,3.31,1.0266666666666666
1,2,0,0.57,3.76,0.8700000000000001
2,2,0,0.0,1.46,0.8091666666666667
3,2,0,0.0,0.77,0.7770833333333335
4,2,0,0.0,0.0,0.8354166666666667
5,2,0,1.4,0.62,0.88
6,2,0,1.69,0.0,0.88
7,2,0,0.0,2.45,0.8775000000000001
8,2,0,2.39,0.99,0.83625
9,2,0,0.0,2.81,0.7954166666666667
10,2,0,1.83,0.0,0.8404166666666667
11,2,0,1.08,0.0,0.9066666666666667
12,2,0,1.59,1.27,1.0729166666666667
13,2,0,5.26,2.15,0.9833333333333334
14,2,0,0.0,0.8300000000000001,0.94875
15,2,0,0.0,0.0,1.13
16,2,0,4.35,1.39,1.12125
17,2,0,1.18,0.0,1.12125
18,2,0,0.0,0.37,1.1775
19,2,0,1.72,0.97,1.29125
20,2,0,3.7,4.23,1.28375
21,2,0,4.050000000000001,0.0,1.3516666666666666
22,2,0,1.63,0.0,1.3516666666666666
23,2,0,0.0,0.0,1.3516666666666666
0,3,1,0.0,0.57,1.3549999999999998
1,3,1,0.65,0.0,1.4158333333333333
2,3,1,1.46,0.0,1.49
3,3,1,1.78,0.0,1.49
4,3,1,0.0,1.4,1.4316666666666666
5,3,1,0.0,1.69,1.36125
6,3,1,0.0,0.0,1.4312500000000001
7,3,1,1.68,2.39,1.4120833333333334
8,3,1,1.93,0.0,1.5129166666666667
9,3,1,2.42,1.83,1.4800000000000002
10,3,1,1.04,1.08,1.58375
11,3,1,3.5700000000000003,1.59,1.625
12,3,1,2.58,5.26,1.535
13,3,1,3.1,0.0,1.6175000000000004
14,3,1,1.98,0.0,1.65125
15,3,1,0.81,4.35,1.47
16,3,1,0.0,1.18,1.4208333333333334
17,3,1,0.0,0.0,1.4979166666666668
18,3,1,1.85,1.72,1.6237500000000002
19,3,1,4.74,3.7,1.4695833333333335
20,3,1,0.0,4.050000000000001,1.3295833333333333
21,3,1,0.69,1.63,1.27875
22,3,1,0.41,0.0,1.27875
23,3,1,0.0,0.0,1.495
0,4,2,5.19,0.65,1.5475
1,4,2,1.91,1.46,1.5662500000000001
2,4,2,1.91,1.78,1.5695833333333333
3,4,2,1.86,0.0,1.5695833333333333
4,4,2,0.0,0.0,1.57875
5,4,2,0.22,0.0,1.6525
6,4,2,1.77,1.68,1.5825000000000002
7,4,2,0.0,1.93,1.5675000000000001
8,4,2,1.57,2.42,1.5241666666666667
9,4,2,1.38,1.04,1.6558333333333335
10,4,2,4.2,3.5700000000000003,1.58125
11,4,2,1.78,2.58,1.6104166666666668
12,4,2,3.28,3.1,1.5733333333333333
13,4,2,2.21,1.98,1.5583333333333336
14,4,2,1.62,0.81,1.5891666666666666
15,4,2,1.55,0.0,1.6520833333333333
16,4,2,1.51,0.0,1.6808333333333334
17,4,2,0.69,1.85,1.6833333333333333
18,4,2,1.91,4.74,1.4858333333333331
19,4,2,0.0,0.0,1.5675
20,4,2,1.96,0.69,1.6762500000000002
21,4,2,3.3,0.41,1.6591666666666665
22,4,2,0.0,0.0,1.7999999999999998
23,4,2,3.38,5.19,1.6425
0,5,3,1.41,1.91,1.6670833333333335
1,5,3,2.5,1.91,1.5875000000000001
2,5,3,0.0,1.86,1.6170833333333334
3,5,3,2.57,0.0,1.6170833333333334
4,5,3,0.0,0.22,1.6449999999999998
5,5,3,0.89,1.77,1.5712499999999998
6,5,3,0.0,0.0,1.5712499999999998
7,5,3,0.0,1.57,1.5324999999999998
8,5,3,0.64,1.38,1.4941666666666666
9,5,3,0.46,4.2,1.3191666666666666
10,5,3,0.0,1.78,1.2691666666666668
11,5,3,0.58,3.28,1.1970833333333333
12,5,3,1.55,2.21,1.105
13,5,3,0.0,1.62,1.0374999999999999
14,5,3,0.0,1.55,1.1016666666666668
15,5,3,3.09,1.51,1.03875
16,5,3,0.0,0.69,1.1375
17,5,3,3.06,1.91,1.0579166666666666
18,5,3,0.0,0.0,1.13125
19,5,3,1.76,1.96,1.1591666666666667
20,5,3,2.63,3.3,1.1491666666666667
21,5,3,3.06,0.0,1.195
22,5,3,1.1,3.38,1.1245833333333335
23,5,3,1.69,1.41,1.1479166666666667
0,6,4,1.97,2.5,1.04375
1,6,4,0.0,0.0,1.13875
2,6,4,2.28,2.57,1.2575
3,6,4,5.42,0.0,1.2575
4,6,4,0.0,0.89,1.2891666666666666
5,6,4,1.65,0.0,1.4012499999999999
6,6,4,2.69,0.0,1.4012499999999999
7,6,4,0.0,0.64,1.374583333333333
8,6,4,0.0,0.46,1.413333333333333
9,6,4,1.39,0.0,1.5066666666666666
10,6,4,2.24,0.58,1.4825
11,6,4,0.0,1.55,1.461666666666667
12,6,4,1.05,0.0,1.5775
13,6,4,2.78,0.0,1.5775
14,6,4,0.0,3.09,1.4487499999999998
15,6,4,0.0,0.0,1.4487499999999998
16,6,4,0.0,3.06,1.3770833333333332
17,6,4,1.34,0.0,1.3983333333333334
18,6,4,0.51,1.76,1.3366666666666667
19,6,4,0.28,2.63,1.2270833333333333
20,6,4,0.0,3.06,1.115
21,6,4,0.37,1.1,1.0691666666666666
22,6,4,0.0,1.69,1.0116666666666665
23,6,4,0.31,1.97,0.9295833333333333
0,7,5,0.0,0.0,1.0441666666666667
1,7,5,2.75,2.28,0.9491666666666667
2,7,5,0.0,5.42,0.7883333333333334
3,7,5,1.56,0.0,0.8337500000000001
4,7,5,1.09,1.65,0.8841666666666668
5,7,5,2.8600000000000003,2.69,0.7720833333333333
6,7,5,0.0,0.0,0.785
7,7,5,0.31,0.0,0.8058333333333333
8,7,5,0.5,1.39,0.7479166666666667
9,7,5,0.0,2.24,0.6545833333333334
10,7,5,0.0,0.0,0.6720833333333335
11,7,5,0.42,1.05,0.6283333333333333
12,7,5,0.0,2.78,0.5125000000000001
13,7,5,0.0,0.0,0.5125000000000001
14,7,5,0.0,0.0,0.5125000000000001
15,7,5,0.0,0.0,0.6141666666666667
16,7,5,2.44,1.34,0.6366666666666666
17,7,5,1.88,0.51,0.6154166666666666
18,7,5,0.0,0.28,0.69125
19,7,5,2.1,0.0,0.69125
20,7,5,0.0,0.37,0.6758333333333333
21,7,5,0.0,0.0,0.7141666666666667
22,7,5,0.92,0.31,0.7591666666666667
23,7,5,1.39,0.0,0.7591666666666667
0,8,6,0.0,2.75,0.6445833333333334
1,8,6,0.0,0.0,0.6445833333333334
2,8,6,0.0,1.56,0.5795833333333333
3,8,6,0.0,1.09,0.5941666666666666
4,8,6,1.44,2.8600000000000003,0.6666666666666666
5,8,6,4.6,0.0,0.78375
6,8,6,2.81,0.31,0.7791666666666667
7,8,6,0.2,0.5,0.7583333333333333
8,8,6,0.0,0.0,0.7583333333333333
9,8,6,0.0,0.0,0.7741666666666666
10,8,6,0.38,0.42,0.7566666666666667
11,8,6,0.0,0.0,0.7566666666666667
12,8,6,0.0,0.0,1.0875
13,8,6,7.939999999999999,0.0,1.2037499999999999
14,8,6,2.79,0.0,1.2929166666666665
15,8,6,2.14,2.44,1.247083333333333
16,8,6,1.34,1.88,1.325
17,8,6,3.75,0.0,1.4483333333333333
18,8,6,2.96,2.1,1.4275
19,8,6,1.6,0.0,1.4275
20,8,6,0.0,0.0,1.4275
21,8,6,0.0,0.92,1.3891666666666664
22,8,6,0.0,1.39,1.46875
23,8,6,3.3,0.0,1.46875
0,9,0,0.0,0.0,1.5404166666666665
1,9,0,1.72,0.0,1.5958333333333332
2,9,0,1.33,0.0,1.6475
3,9,0,1.24,1.44,1.6587500000000002
4,9,0,1.71,4.6,1.4670833333333333
5,9,0,0.0,2.81,1.4224999999999997
6,9,0,1.74,0.2,1.4141666666666666
7,9,0,0.0,0.0,1.4670833333333333
8,9,0,1.27,0.0,1.4670833333333333
9,9,0,0.0,0.38,1.5241666666666667
10,9,0,1.75,0.0,1.57
11,9,0,1.1,0.0,1.6075
12,9,0,0.9,7.939999999999999,1.29625
13,9,0,0.47,2.79,1.2862500000000001
14,9,0,2.55,2.14,1.1970833333333333
15,9,0,0.0,1.34,1.23125
16,9,0,2.16,3.75,1.075
17,9,0,0.0,2.96,0.9816666666666666
18,9,0,0.72,1.6,0.9887499999999999
19,9,0,1.77,0.0,0.9887499999999999
