hour,day,weekday,lag_1,lag_24,rolling_mean_24
2,1,6,1.14,0.16,0.6808333333333335
3,1,6,6.12,0.52,1.2108333333333334
4,1,6,13.24,1.06,1.425
5,1,6,6.2,0.0,1.6066666666666667
6,1,6,4.36,0.47,1.751666666666667
7,1,6,3.95,1.12,2.2116666666666664
8,1,6,12.16,0.2,2.3245833333333334
9,1,6,2.91,0.66,2.7570833333333336
10,1,6,11.04,0.0,2.7570833333333336
11,1,6,0.0,0.46,2.91
12,1,6,4.13,0.0,2.91
13,1,6,0.0,0.28,3.2433333333333336
14,1,6,8.28,0.0,3.5908333333333338
15,1,6,8.34,1.05,3.5470833333333336
16,1,6,0.0,0.51,3.7100000000000004
17,1,6,4.42,0.44,4.18875
18,1,6,11.93,0.23,4.26375
19,1,6,2.03,0.83,4.333333333333333
20,1,6,2.5,0.19,4.848333333333334
21,1,6,12.55,0.4,5.09125
22,1,6,6.23,0.32,5.214583333333334
23,1,6,3.28,0.34,5.747083333333333
0,2,0,13.12,0.0,5.907916666666666
1,2,0,3.86,1.14,6.114999999999999
2,2,0,6.109999999999999,6.12,5.86
3,2,0,0.0,13.24,5.308333333333334
4,2,0,0.0,6.2,5.05
5,2,0,0.0,4.36,4.868333333333333
6,2,0,0.0,3.95,4.869583333333333
7,2,0,3.98,12.16,4.362916666666666
8,2,0,0.0,2.91,4.510416666666667
9,2,0,6.45,11.04,4.050416666666666
10,2,0,0.0,0.0,4.187916666666666
11,2,0,3.3,4.13,4.015833333333333
12,2,0,0.0,0.0,4.015833333333333
13,2,0,0.0,8.28,3.670833333333333
14,2,0,0.0,8.34,3.323333333333333
15,2,0,0.0,0.0,3.6437500000000003
16,2,0,7.69,4.42,3.6266666666666665
17,2,0,4.01,11.93,3.4295833333333334
18,2,0,7.2,2.03,3.345
19,2,0,0.0,2.5,3.45875
20,2,0,5.23,12.55,3.1270833333333337
21,2,0,4.59,6.23,3.3525000000000005
22,2,0,11.64,3.28,3.3379166666666666
23,2,0,2.93,13.12,2.8833333333333333
0,3,1,2.21,3.86,3.385
1,3,1,15.9,6.109999999999999,3.265
2,3,1,3.23,0.0,3.441666666666667
3,3,1,4.24,0.0,3.637083333333333
4,3,1,4.69,0.0,3.777083333333333
5,3,1,3.36,0.0,3.7770833333333336
6,3,1,0.0,3.98,3.61125
7,3,1,0.0,0.0,3.810416666666667
8,3,1,4.78,6.45,3.5416666666666665
9,3,1,0.0,0.0,3.5416666666666665
10,3,1,0.0,3.3,3.724166666666667
11,3,1,7.68,0.0,3.724166666666667
12,3,1,0.0,0.0,3.87625
13,3,1,3.65,0.0,4.32
14,3,1,10.65,0.0,4.32
15,3,1,0.0,7.69,3.9995833333333337
16,3,1,0.0,4.01,3.8325
17,3,1,0.0,7.2,4.09
18,3,1,13.38,0.0,4.3429166666666665
19,3,1,6.07,5.23,4.47375
20,3,1,8.370000000000001,4.59,4.434583333333333
21,3,1,3.65,11.64,3.9495833333333334
22,3,1,0.0,2.93,3.8275
23,3,1,0.0,2.21,3.735416666666667
0,4,2,0.0,15.9,3.267083333333334
1,4,2,4.66,3.23,3.279166666666667
2,4,2,3.52,4.24,3.1025000000000005
3,4,2,0.0,4.69,3.19125
4,4,2,6.82,3.36,3.2512500000000006
5,4,2,4.8,0.0,3.504583333333334
6,4,2,6.08,0.0,4.095833333333334
7,4,2,14.19,4.78,4.070833333333334
8,4,2,4.18,0.0,4.070833333333334
9,4,2,0.0,0.0,4.263750000000001
10,4,2,4.63,7.68,4.074583333333334
11,4,2,3.14,0.0,4.220416666666667
12,4,2,3.5,3.65,4.415
13,4,2,8.32,10.65,4.151666666666666
14,4,2,4.33,0.0,4.151666666666666
15,4,2,0.0,0.0,4.151666666666666
16,4,2,0.0,0.0,4.260416666666667
17,4,2,2.61,13.38,4.0600000000000005
18,4,2,8.57,6.07,3.8070833333333334
19,4,2,0.0,8.370000000000001,3.995833333333333
20,4,2,12.9,3.65,3.970416666666667
21,4,2,3.04,0.0,4.291250000000001
22,4,2,7.699999999999999,0.0,4.63875
23,4,2,8.34,0.0,4.767916666666667
0,5,3,3.1,4.66,4.746666666666667
1,5,3,4.15,3.52,4.6
2,5,3,0.0,0.0,4.6
3,5,3,0.0,6.82,4.315833333333333
4,5,3,0.0,4.8,4.115833333333334
5,5,3,0.0,6.08,4.125
6,5,3,6.300000000000001,14.19,3.7320833333333336
7,5,3,4.76,4.18,3.734583333333333
8,5,3,4.24,0.0,3.734583333333333
9,5,3,0.0,4.63,3.7320833333333336
10,5,3,4.57,3.14,3.722916666666667
11,5,3,2.92,3.5,3.7300000000000004
12,5,3,3.67,8.32,3.5725
13,5,3,4.54,4.33,3.3920833333333333
14,5,3,0.0,0.0,3.6750000000000003
15,5,3,6.79,0.0,4.1466666666666665
16,5,3,11.32,2.61,4.305416666666667
17,5,3,6.42,8.57,4.110416666666667
18,5,3,3.89,0.0,4.4275
19,5,3,7.61,12.9,4.206666666666667
20,5,3,7.6,3.04,4.35375
21,5,3,6.57,7.699999999999999,4.32875
22,5,3,7.1000000000000005,8.34,4.1000000000000005
23,5,3,2.85,3.1,3.9708333333333337
0,6,4,0.0,4.15,4.187083333333334
