hour,day,weekday,lag_1,lag_24,rolling_mean_24
0,1,6,5.37,2.33,3.4133333333333336
1,1,6,4.57,6.17,3.2062500000000003
2,1,6,1.2,2.17,3.1950000000000007
3,1,6,1.9,4.58,3.0041666666666678
4,1,6,0.0,9.88,2.8262500000000004
5,1,6,5.61,4.01,2.739166666666667
6,1,6,1.92,3.84,2.632916666666667
7,1,6,1.29,3.26,2.555
8,1,6,1.39,0.0,2.64
9,1,6,2.04,4.16,2.5045833333333336
10,1,6,0.91,0.0,2.617083333333334
11,1,6,2.7,0.0,2.681666666666667
12,1,6,1.55,3.26,2.6108333333333333
13,1,6,1.56,3.61,2.5283333333333338
14,1,6,1.63,3.11,2.4237500000000005
15,1,6,0.6,2.45,2.407083333333334
16,1,6,2.05,3.16,2.287083333333334
17,1,6,0.28,9.96,1.8720833333333335
18,1,6,0.0,0.0,1.8720833333333335
19,1,6,0.0,2.39,1.7725000000000002
20,1,6,0.0,2.99,1.6720833333333338
21,1,6,0.58,2.98,1.7058333333333335
22,1,6,3.79,0.0,1.7370833333333335
23,1,6,0.75,5.37,1.5133333333333336
0,2,0,0.0,4.57,1.4437500000000003
1,2,0,2.9,1.2,1.4070833333333335
2,2,0,0.32,1.9,1.327916666666667
3,2,0,0.0,0.0,1.380416666666667
4,2,0,1.26,5.61,1.287916666666667
5,2,0,3.39,1.92,1.207916666666667
6,2,0,0.0,1.29,1.2425000000000004
7,2,0,2.12,1.39,1.2050000000000003
8,2,0,0.49,2.04,1.1704166666666669
9,2,0,1.21,0.91,1.2145833333333336
10,2,0,1.97,2.7,1.1912500000000004
11,2,0,2.14,1.55,1.2425000000000004
12,2,0,2.78,1.56,1.1775000000000004
13,2,0,0.0,1.63,1.1662500000000002
14,2,0,1.36,0.6,1.2145833333333338
15,2,0,1.76,2.05,1.1812500000000004
16,2,0,1.25,0.28,1.1695833333333336
17,2,0,0.0,0.0,1.2350000000000003
18,2,0,1.57,0.0,1.2837500000000002
19,2,0,1.17,0.0,1.3020833333333337
20,2,0,0.44,0.58,1.277916666666667
21,2,0,0.0,3.79,1.1200000000000003
22,2,0,0.0,0.75,1.1050000000000004
23,2,0,0.39,0.0,1.1737500000000003
0,3,1,1.65,2.9,1.272916666666667
1,3,1,5.28,0.32,1.3300000000000003
2,3,1,1.69,0.0,1.474166666666667
3,3,1,3.46,1.26,1.421666666666667
4,3,1,0.0,3.39,1.320416666666667
5,3,1,0.96,0.0,1.332916666666667
6,3,1,0.3,2.12,1.2445833333333336
7,3,1,0.0,0.49,1.224166666666667
8,3,1,0.0,1.21,1.1737500000000003
9,3,1,0.0,1.97,1.091666666666667
10,3,1,0.0,2.14,1.0720833333333337
