hour,day,weekday,lag_1,lag_24,rolling_mean_24
0,1,6,0.84,0.75,1.1683333333333337
1,1,6,1.68,1.01,1.1858333333333337
2,1,6,1.43,4.93,1.0487500000000003
3,1,6,1.64,5.59,0.8158333333333335
4,1,6,0.0,0.0,0.8683333333333335
5,1,6,1.26,1.33,0.8129166666666668
6,1,6,0.0,1.21,0.7625000000000002
7,1,6,0.0,1.06,0.9675000000000002
8,1,6,5.98,1.78,0.9812500000000003
9,1,6,2.11,0.93,1.0254166666666669
10,1,6,1.99,2.17,1.060416666666667
11,1,6,3.01,0.0,1.060416666666667
12,1,6,0.0,0.61,1.0350000000000001
13,1,6,0.0,0.0,1.096666666666667
14,1,6,1.48,0.0,1.096666666666667
15,1,6,0.0,0.44,1.0783333333333336
16,1,6,0.0,0.0,1.115416666666667
17,1,6,0.89,1.91,1.1675000000000002
18,1,6,3.16,1.03,1.2212500000000002
19,1,6,2.3200000000000003,0.0,1.2212500000000002
20,1,6,0.0,0.0,1.2212500000000002
21,1,6,0.0,1.52,1.157916666666667
22,1,6,0.0,0.0,1.157916666666667
23,1,6,0.0,0.84,1.160416666666667
0,2,0,0.9,1.68,1.245416666666667
1,2,0,3.72,1.43,1.324166666666667
2,2,0,3.3200000000000003,1.64,1.2558333333333336
3,2,0,0.0,0.0,1.2558333333333336
4,2,0,0.0,1.26,1.316666666666667
5,2,0,2.72,0.0,1.3262500000000004
6,2,0,0.23,0.0,1.4854166666666673
7,2,0,3.82,5.98,1.2362500000000003
8,2,0,0.0,2.11,1.1483333333333337
9,2,0,0.0,1.99,1.1420833333333336
10,2,0,1.84,3.01,1.0483333333333336
11,2,0,0.76,0.0,1.0983333333333338
12,2,0,1.2,0.0,1.2008333333333336
13,2,0,2.46,1.48,1.139166666666667
14,2,0,0.0,0.0,1.2008333333333339
15,2,0,1.48,0.0,1.3529166666666672
16,2,0,3.65,0.89,1.3158333333333336
17,2,0,0.0,3.16,1.184166666666667
18,2,0,0.0,2.3200000000000003,1.2320833333333336
19,2,0,3.47,0.0,1.2320833333333336
20,2,0,0.0,0.0,1.2637500000000004
21,2,0,0.76,0.0,1.3037500000000004
22,2,0,0.96,0.0,1.3587500000000003
23,2,0,1.32,0.9,1.3212500000000003
0,3,1,0.0,3.72,1.1662500000000005
1,3,1,0.0,3.3200000000000003,1.027916666666667
2,3,1,0.0,0.0,1.027916666666667
3,3,1,0.0,0.0,1.1208333333333336
4,3,1,2.23,2.72,1.1145833333333337
5,3,1,2.5700000000000003,0.23,1.1050000000000004
6,3,1,0.0,3.82,0.9937500000000004
7,3,1,1.15,0.0,1.0570833333333336
8,3,1,1.52,0.0,1.0570833333333336
9,3,1,0.0,1.84,1.0566666666666669
10,3,1,1.83,0.76,1.0337500000000002
11,3,1,0.21,1.2,0.9837500000000002
12,3,1,0.0,2.46,0.9633333333333337
13,3,1,1.97,0.0,0.9633333333333337
14,3,1,0.0,1.48,0.901666666666667
15,3,1,0.0,3.65,0.8183333333333337
16,3,1,1.65,0.0,0.8183333333333337
17,3,1,0.0,0.0,0.9462500000000004
18,3,1,3.07,3.47,0.8150000000000004
19,3,1,0.32,0.0,0.8258333333333336
20,3,1,0.26,0.76,0.7941666666666669
21,3,1,0.0,0.96,0.8366666666666669
22,3,1,1.98,1.32,0.7816666666666668
23,3,1,0.0,0.0,0.8504166666666668
0,4,2,1.65,0.0,0.9504166666666669
1,4,2,2.4,0.0,0.9633333333333335
2,4,2,0.31,0.0,0.9633333333333335
3,4,2,0.0,2.23,0.870416666666667
4,4,2,0.0,2.5700000000000003,0.7633333333333336
5,4,2,0.0,0.0,0.7633333333333336
6,4,2,0.0,1.15,0.7945833333333336
7,4,2,1.9,1.52,0.7312500000000003
8,4,2,0.0,0.0,0.7312500000000003
9,4,2,0.0,1.83,0.7237500000000002
10,4,2,1.65,0.21,0.7375000000000003
11,4,2,0.54,0.0,0.7375000000000003
12,4,2,0.0,1.97,0.7687500000000003
13,4,2,2.72,0.0,0.8225000000000002
14,4,2,1.29,0.0,0.8575000000000003
15,4,2,0.84,1.65,0.7887500000000003
16,4,2,0.0,0.0,0.855416666666667
17,4,2,1.6,3.07,0.7275000000000004
18,4,2,0.0,0.32,0.7783333333333337
19,4,2,1.54,0.26,0.8233333333333336
20,4,2,1.34,0.0,0.8233333333333336
21,4,2,0.0,1.98,0.7833333333333335
22,4,2,1.02,0.0,0.8370833333333336
23,4,2,1.29,1.65,0.8233333333333337
0,5,3,1.32,2.4,0.8008333333333337
1,5,3,1.86,0.31,0.979166666666667
2,5,3,4.59,0.0,1.0300000000000002
3,5,3,1.22,0.0,1.127916666666667
4,5,3,2.35,0.0,1.2241666666666668
5,5,3,2.31,0.0,1.2241666666666668
6,5,3,0.0,1.9,1.190416666666667
7,5,3,1.09,0.0,1.2387500000000002
8,5,3,1.16,0.0,1.2387500000000002
9,5,3,0.0,1.65,1.1700000000000002
10,5,3,0.0,0.54,1.1633333333333336
11,5,3,0.38,0.0,1.1725000000000003
12,5,3,0.22,2.72,1.1258333333333337
13,5,3,1.6,1.29,1.197916666666667
14,5,3,3.02,0.84,1.2670833333333338
15,5,3,2.5,0.0,1.3745833333333337
16,5,3,2.58,1.6,1.307916666666667
17,5,3,0.0,0.0,1.307916666666667
18,5,3,0.0,1.54,1.2437500000000004
19,5,3,0.0,1.34,1.187916666666667
20,5,3,0.0,0.0,1.3654166666666672
21,5,3,4.26,1.02,1.3937500000000005
22,5,3,1.7,1.29,1.3400000000000005
23,5,3,0.0,1.32,1.3187500000000003
0,6,4,0.81,1.86,1.282916666666667
1,6,4,1.0,4.59,1.091666666666667
2,6,4,0.0,1.22,1.1033333333333337
3,6,4,1.5,2.35,1.071666666666667
4,6,4,1.59,2.31,1.064166666666667
5,6,4,2.13,0.0,1.1750000000000003
6,6,4,2.66,1.09,1.240416666666667
7,6,4,2.66,1.16,1.1920833333333336
8,6,4,0.0,0.0,1.3187500000000003
9,6,4,3.04,0.0,1.385416666666667
10,6,4,1.6,0.38,1.3695833333333336
11,6,4,0.0,0.22,1.3604166666666668
12,6,4,0.0,1.6,1.3395833333333336
13,6,4,1.1,3.02,1.3625
14,6,4,3.5700000000000003,2.5,1.282916666666667
15,6,4,0.59,2.58,1.1970833333333337
16,6,4,0.52,0.0,1.2800000000000002
17,6,4,1.99,0.0,1.3354166666666671
18,6,4,1.33,0.0,1.4820833333333336
19,6,4,3.52,0.0,1.4820833333333336
20,6,4,0.0,4.26,1.3666666666666671
21,6,4,1.49,1.7,1.2958333333333336
22,6,4,0.0,0.0,1.2958333333333336
23,6,4,0.0,0.81,1.4000000000000004
0,7,5,3.31,1.0,1.3583333333333336
1,7,5,0.0,0.0,1.3870833333333337
2,7,5,0.69,1.5,1.3537500000000005
3,7,5,0.7,1.59,1.2875000000000003
4,7,5,0.0,2.13,1.3220833333333337
5,7,5,2.96,2.66,1.3400000000000005
6,7,5,3.09,2.66,1.295416666666667
7,7,5,1.59,0.0,1.4191666666666671
8,7,5,2.97,3.04,1.2925000000000002
9,7,5,0.0,1.6,1.3175000000000003
10,7,5,2.2,0.0,1.4087500000000004
11,7,5,2.19,0.0,1.4087500000000004
12,7,5,0.0,1.1,1.401666666666667
13,7,5,0.93,3.5700000000000003,1.2675000000000003
14,7,5,0.35,0.59,1.2658333333333336
15,7,5,0.55,0.52,1.3750000000000002
16,7,5,3.14,1.99,1.3200000000000003
17,7,5,0.67,1.33,1.2645833333333336
18,7,5,0.0,3.52,1.1179166666666671
19,7,5,0.0,0.0,1.2116666666666671
20,7,5,2.25,1.49,1.1495833333333336
21,7,5,0.0,0.0,1.1837500000000003
22,7,5,0.82,0.0,1.1837500000000003
23,7,5,0.0,3.31,1.2145833333333336
0,8,6,4.05,0.0,1.285416666666667
1,8,6,1.7,0.69,1.256666666666667
2,8,6,0.0,0.7,1.3737500000000002
3,8,6,3.51,0.0,1.4775000000000003
4,8,6,2.49,2.96,1.354166666666667
5,8,6,0.0,3.09,1.2795833333333337
6,8,6,1.3,1.59,1.335416666666667
7,8,6,2.93,2.97,1.2116666666666671
8,8,6,0.0,0.0,1.226666666666667
9,8,6,0.36,2.2,1.1350000000000005
10,8,6,0.0,2.19,1.1233333333333337
11,8,6,1.91,0.0,1.1645833333333335
12,8,6,0.99,0.93,1.1258333333333337
13,8,6,0.0,0.35,1.1408333333333336
14,8,6,0.71,0.55,1.1887500000000004
15,8,6,1.7,3.14,1.0895833333333338
16,8,6,0.76,0.67,1.207916666666667
17,8,6,3.51,0.0,1.249166666666667
18,8,6,0.99,0.0,1.370416666666667
19,8,6,2.91,2.25,1.3291666666666668
20,8,6,1.26,0.0,1.3291666666666668
21,8,6,0.0,0.82,1.4279166666666672
22,8,6,3.19,0.0,1.5616666666666668
23,8,6,3.21,4.05,1.4675000000000005
0,9,0,1.79,1.7,1.3966666666666672
1,9,0,0.0,0.0,1.3966666666666672
2,9,0,0.0,3.51,1.329166666666667
3,9,0,1.89,2.49,1.225416666666667
4,9,0,0.0,0.0,1.225416666666667
5,9,0,0.0,1.3,1.220416666666667
6,9,0,1.18,2.93,1.1383333333333336
7,9,0,0.96,0.0,1.1383333333333336
8,9,0,0.0,0.36,1.2250000000000003
9,9,0,2.44,0.0,1.2250000000000003
10,9,0,0.0,1.91,1.2025000000000003
11,9,0,1.37,0.99,1.1612500000000003
12,9,0,0.0,0.0,1.2112500000000004
13,9,0,1.2,0.71,1.2625000000000004
14,9,0,1.94,1.7,1.354166666666667
15,9,0,3.9,0.76,1.3608333333333336
16,9,0,0.92,3.51,1.2145833333333338
17,9,0,0.0,0.99,1.2229166666666669
18,9,0,1.19,2.91,1.1825000000000003
19,9,0,1.94,1.26,1.147916666666667
20,9,0,0.43,0.0,1.179166666666667
21,9,0,0.75,3.19,1.1037500000000002
22,9,0,1.38,3.21,0.9700000000000002
23,9,0,0.0,1.79,0.8954166666666669
0,10,1,0.0,0.0,0.9345833333333337
1,10,1,0.94,0.0,1.0675000000000001
2,10,1,3.19,1.89,1.0041666666666669
3,10,1,0.37,0.0,1.032916666666667
4,10,1,0.69,0.0,1.1587500000000002
5,10,1,3.02,1.18,1.1570833333333337
6,10,1,1.14,0.96,1.1595833333333336
7,10,1,1.02,0.0,1.272916666666667
8,10,1,2.72,2.44,1.1712500000000003
9,10,1,0.0,0.0,1.1712500000000003
10,10,1,0.0,1.37,1.114166666666667
11,10,1,0.0,0.0,1.1475000000000002
12,10,1,0.8,1.2,1.1108333333333336
13,10,1,0.32,1.94,1.125416666666667
14,10,1,2.29,3.9,1.011666666666667
15,10,1,1.17,0.92,1.1308333333333336
16,10,1,3.78,0.0,1.1308333333333336
17,10,1,0.0,1.19,1.147916666666667
18,10,1,1.6,1.94,1.1995833333333337
19,10,1,3.18,0.43,1.1816666666666669
20,10,1,0.0,0.75,1.2545833333333336
21,10,1,2.5,1.38,1.1970833333333337
22,10,1,0.0,0.0,1.2337500000000003
23,10,1,0.88,0.0,1.3037500000000002
0,11,2,1.68,0.94,1.3475000000000001
1,11,2,1.99,3.19,1.2595833333333337
2,11,2,1.08,0.37,1.2670833333333336
3,11,2,0.55,0.69,1.3108333333333337
4,11,2,1.74,3.02,1.1850000000000003
5,11,2,0.0,1.14,1.2000000000000004
6,11,2,1.5,1.02,1.1795833333333337
7,11,2,0.53,2.72,1.144166666666667
8,11,2,1.87,0.0,1.144166666666667
9,11,2,0.0,0.0,1.144166666666667
10,11,2,0.0,0.0,1.2091666666666672
11,11,2,1.56,0.8,1.2133333333333336
12,11,2,0.9,0.32,1.2000000000000004
13,11,2,0.0,2.29,1.1045833333333337
14,11,2,0.0,1.17,1.0558333333333336
15,11,2,0.0,3.78,0.8983333333333338
16,11,2,0.0,0.0,0.921666666666667
17,11,2,0.56,1.6,0.991666666666667
18,11,2,3.28,3.18,0.9958333333333336
19,11,2,3.28,0.0,1.1037500000000005
20,11,2,2.59,2.5,1.054166666666667
21,11,2,1.31,0.0,1.069166666666667
22,11,2,0.36,0.88,1.0325000000000004
23,11,2,0.0,1.68,1.1345833333333337
0,12,3,4.13,1.99,1.0750000000000004
1,12,3,0.56,1.08,1.1208333333333338
2,12,3,2.18,0.55,1.097916666666667
3,12,3,0.0,1.74,1.0254166666666669
4,12,3,0.0,0.0,1.1075000000000002
5,12,3,1.97,1.5,1.0450000000000002
6,12,3,0.0,0.53,1.3258333333333336
7,12,3,7.27,1.87,1.247916666666667
8,12,3,0.0,0.0,1.247916666666667
9,12,3,0.0,0.0,1.247916666666667
10,12,3,0.0,1.56,1.2837500000000004
11,12,3,2.42,0.9,1.24625
12,12,3,0.0,0.0,1.2962500000000003
13,12,3,1.2,0.0,1.3375000000000004
14,12,3,0.99,0.0,1.4400000000000002
15,12,3,2.46,0.0,1.4400000000000002
16,12,3,0.0,0.56,1.43875
17,12,3,0.53,3.28,1.3020833333333337
18,12,3,0.0,3.28,1.2366666666666668
19,12,3,1.71,2.59,1.2241666666666668
20,12,3,2.29,1.31,1.3650000000000002
21,12,3,4.69,0.36,1.417916666666667
22,12,3,1.63,0.0,1.496666666666667
23,12,3,1.89,4.13,1.3600000000000003
0,13,4,0.85,0.56,1.3587500000000003
1,13,4,0.53,2.18,1.267916666666667
2,13,4,0.0,0.0,1.3341666666666667
3,13,4,1.59,0.0,1.3812500000000003
4,13,4,1.13,1.97,1.3212500000000003
5,13,4,0.53,0.0,1.3670833333333337
6,13,4,1.1,7.27,1.064166666666667
7,13,4,0.0,0.0,1.1375000000000004
8,13,4,1.76,0.0,1.199166666666667
9,13,4,1.48,0.0,1.199166666666667
10,13,4,0.0,2.42,1.177916666666667
11,13,4,1.91,0.0,1.1779166666666672
12,13,4,0.0,1.2,1.147916666666667
13,13,4,0.48,0.99,1.2666666666666668
14,13,4,3.84,2.46,1.2462500000000003
15,13,4,1.97,0.0,1.280416666666667
16,13,4,0.82,0.53,1.2583333333333335
17,13,4,0.0,0.0,1.2583333333333335
18,13,4,0.0,1.71,1.246666666666667
19,13,4,1.43,2.29,1.355416666666667
20,13,4,4.9,4.69,1.2433333333333336
21,13,4,2.0,1.63,1.2283333333333337
22,13,4,1.27,1.89,1.1858333333333337
23,13,4,0.87,0.85,1.2762500000000003
0,14,5,3.02,0.53,1.3008333333333335
1,14,5,1.12,0.0,1.3816666666666668
2,14,5,1.94,1.59,1.3879166666666671
3,14,5,1.74,1.13,1.372916666666667
4,14,5,0.77,0.53,1.3508333333333338
5,14,5,0.0,1.1,1.3050000000000004
6,14,5,0.0,0.0,1.4312500000000004
7,14,5,3.03,1.76,1.3908333333333338
8,14,5,0.79,1.48,1.3520833333333335
9,14,5,0.55,0.0,1.3520833333333335
10,14,5,0.0,1.91,1.3370833333333334
11,14,5,1.55,0.0,1.3370833333333334
12,14,5,0.0,0.48,1.3170833333333338
13,14,5,0.0,3.84,1.1895833333333337
14,14,5,0.78,1.97,1.1641666666666668
15,14,5,1.36,0.82,1.1300000000000001
16,14,5,0.0,0.0,1.2129166666666669
17,14,5,1.99,0.0,1.3125000000000002
18,14,5,2.39,1.43,1.252916666666667
19,14,5,0.0,4.9,1.114166666666667
20,14,5,1.57,2.0,1.1250000000000002
21,14,5,2.26,1.27,1.2445833333333336
22,14,5,4.140000000000001,0.87,1.219166666666667
23,14,5,0.26,3.02,1.1733333333333336
0,15,6,1.92,1.12,1.1391666666666669
1,15,6,0.3,1.94,1.0704166666666668
2,15,6,0.29,1.74,0.9979166666666669
3,15,6,0.0,0.77,0.9658333333333337
4,15,6,0.0,0.0,0.979166666666667
5,15,6,0.32,0.0,1.0200000000000002
6,15,6,0.98,3.03,0.8937500000000003
7,15,6,0.0,0.79,0.8608333333333337
8,15,6,0.0,0.55,0.8650000000000003
9,15,6,0.65,0.0,0.9433333333333337
10,15,6,1.88,1.55,0.9666666666666669
11,15,6,2.1100000000000003,0.0,1.0320833333333337
12,15,6,1.57,0.0,1.2408333333333337
13,15,6,5.01,0.78,1.246666666666667
14,15,6,0.92,1.36,1.1983333333333337
15,15,6,0.2,0.0,1.209166666666667
16,15,6,0.26,1.99,1.1608333333333336
17,15,6,0.83,2.39,1.0612500000000002
18,15,6,0.0,0.0,1.0612500000000002
19,15,6,0.0,1.57,1.0250000000000001
20,15,6,0.7,2.26,0.9837500000000005
21,15,6,1.27,4.140000000000001,0.9116666666666671
22,15,6,2.41,0.26,1.032916666666667
23,15,6,3.17,1.92,0.992916666666667
0,16,0,0.96,0.3,0.980416666666667
1,16,0,0.0,0.29,1.0212500000000004
2,16,0,1.27,0.0,1.0212500000000004
3,16,0,0.0,0.0,1.0212500000000004
4,16,0,0.0,0.32,1.155416666666667
5,16,0,3.54,0.98,1.1237500000000002
6,16,0,0.22,0.0,1.179166666666667
7,16,0,1.33,0.0,1.3300000000000003
8,16,0,3.62,0.65,1.302916666666667
9,16,0,0.0,1.88,1.3800000000000001
10,16,0,3.73,2.1100000000000003,1.2920833333333337
11,16,0,0.0,1.57,1.226666666666667
12,16,0,0.0,5.01,1.2345833333333334
13,16,0,5.199999999999999,0.92,1.219166666666667
14,16,0,0.55,0.2,1.2108333333333337
15,16,0,0.0,0.26,1.3250000000000002
16,16,0,3.0,0.83,1.385416666666667
17,16,0,2.28,0.0,1.4875000000000005
18,16,0,2.45,0.0,1.5483333333333336
19,16,0,1.46,0.7,1.5933333333333335
20,16,0,1.78,1.27,1.540416666666667
