hour,day,weekday,lag_1,lag_24,rolling_mean_24
3,1,6,3.98,0.21,1.287916666666667
4,1,6,0.22,0.85,1.347916666666667
5,1,6,2.29,1.1800000000000002,1.2987500000000003
6,1,6,0.0,1.14,1.2512500000000002
7,1,6,0.0,1.08,1.2062500000000003
8,1,6,0.0,1.63,1.3579166666666669
9,1,6,5.27,3.61,1.240416666666667
10,1,6,0.79,0.0,1.240416666666667
11,1,6,0.0,2.88,1.1558333333333335
12,1,6,0.85,0.0,1.175416666666667
13,1,6,0.47,3.48,1.0991666666666668
14,1,6,1.65,0.45,1.080416666666667
15,1,6,0.0,0.6699999999999999,1.0525000000000002
16,1,6,0.0,1.12,1.064166666666667
17,1,6,1.4,2.12,1.120416666666667
18,1,6,3.47,0.0,1.236666666666667
19,1,6,2.79,0.42,1.219166666666667
20,1,6,0.0,0.37,1.2475000000000003
21,1,6,1.05,0.91,1.2095833333333337
22,1,6,0.0,0.0,1.249166666666667
23,1,6,0.95,2.19,1.4162500000000005
0,2,0,6.2,2.61,1.3075000000000003
1,2,0,0.0,0.0,1.371666666666667
2,2,0,1.54,3.98,1.2595833333333337
3,2,0,1.29,0.22,1.324166666666667
4,2,0,1.77,2.29,1.4358333333333337
5,2,0,4.97,0.0,1.4358333333333337
6,2,0,0.0,0.0,1.5895833333333336
7,2,0,3.69,0.0,1.7433333333333338
8,2,0,3.69,5.27,1.5237500000000004
9,2,0,0.0,0.79,1.6066666666666667
10,2,0,2.78,0.0,1.6066666666666667
11,2,0,0.0,0.85,1.7162500000000003
12,2,0,3.48,0.47,1.696666666666667
13,2,0,0.0,1.65,1.8237500000000004
14,2,0,4.7,0.0,1.8237500000000004
15,2,0,0.0,0.0,1.9070833333333337
16,2,0,2.0,1.4,1.8487500000000001
17,2,0,0.0,3.47,1.7312500000000004
18,2,0,0.65,2.79,1.7950000000000002
19,2,0,4.32,0.0,1.904166666666667
20,2,0,2.62,1.05,2.039166666666667
21,2,0,4.29,0.0,2.039166666666667
22,2,0,0.0,0.95,2.0562500000000004
23,2,0,1.36,6.2,1.7979166666666668
0,3,1,0.0,0.0,1.8675000000000004
1,3,1,1.67,1.54,1.9008333333333338
2,3,1,2.34,1.29,1.8470833333333339
3,3,1,0.0,1.77,1.8850000000000005
4,3,1,2.68,4.97,1.7654166666666669
5,3,1,2.1,0.0,1.8012500000000005
6,3,1,0.86,3.69,1.7062500000000005
7,3,1,1.41,3.69,1.5675000000000001
8,3,1,0.36,0.0,1.5675000000000001
9,3,1,0.0,2.78,1.4733333333333338
10,3,1,0.52,0.0,1.4866666666666672
11,3,1,0.32,3.48,1.4837500000000003
12,3,1,3.41,0.0,1.5508333333333335
13,3,1,1.61,4.7,1.3758333333333337
14,3,1,0.5,0.0,1.4879166666666672
15,3,1,2.69,2.0,1.4045833333333337
16,3,1,0.0,0.0,1.439166666666667
17,3,1,0.83,0.65,1.4120833333333336
18,3,1,0.0,4.32,1.3112500000000002
19,3,1,1.9,2.62,1.2408333333333337
20,3,1,0.93,4.29,1.1133333333333337
21,3,1,1.23,0.0,1.1133333333333335
22,3,1,0.0,1.36,1.0566666666666669
23,3,1,0.0,0.0,1.0800000000000003
0,4,2,0.56,1.67,1.010416666666667
1,4,2,0.0,2.34,0.9129166666666672
2,4,2,0.0,0.0,0.9129166666666672
3,4,2,0.0,2.68,0.8012500000000005
4,4,2,0.0,2.1,0.805416666666667
5,4,2,2.2,0.86,0.9233333333333337
6,4,2,3.69,1.41,0.9762500000000003
7,4,2,2.68,0.36,0.9612500000000003
8,4,2,0.0,0.0,0.9858333333333338
9,4,2,0.59,0.52,1.0395833333333337
10,4,2,1.81,0.32,1.049166666666667
11,4,2,0.55,3.41,0.9070833333333338
12,4,2,0.0,1.61,0.9125000000000002
13,4,2,1.74,0.5,0.9512500000000003
14,4,2,1.43,2.69,0.9887500000000004
15,4,2,3.59,0.0,0.9887500000000004
16,4,2,0.0,0.83,0.9704166666666669
17,4,2,0.39,0.0,1.0054166666666668
18,4,2,0.84,1.9,0.9512500000000004
19,4,2,0.6,0.93,0.9883333333333337
20,4,2,1.82,1.23,1.1620833333333336
21,4,2,5.4,0.0,1.206666666666667
22,4,2,1.07,0.0,1.2187500000000002
23,4,2,0.29,0.56,1.2733333333333337
0,5,3,1.87,0.0,1.4312500000000004
1,5,3,3.79,0.0,1.4312500000000004
2,5,3,0.0,0.0,1.4504166666666671
3,5,3,0.46,0.0,1.517916666666667
4,5,3,1.62,2.2,1.4775000000000003
5,5,3,1.23,3.69,1.384166666666667
6,5,3,1.45,2.68,1.2820833333333337
7,5,3,0.23,0.0,1.2820833333333337
8,5,3,0.0,0.59,1.2575000000000003
9,5,3,0.0,1.81,1.1820833333333336
10,5,3,0.0,0.55,1.241666666666667
11,5,3,1.98,0.0,1.3091666666666668
12,5,3,1.62,1.74,1.3125000000000002
13,5,3,1.82,1.43,1.5650000000000004
14,5,3,7.49,3.59,1.4441666666666668
15,5,3,0.69,0.0,1.5670833333333336
16,5,3,2.95,0.39,1.5508333333333335
17,5,3,0.0,0.84,1.5158333333333338
18,5,3,0.0,0.6,1.5475000000000003
19,5,3,1.36,1.82,1.5508333333333335
20,5,3,1.9,5.4,1.3537500000000005
21,5,3,0.67,1.07,1.332916666666667
22,5,3,0.57,0.29,1.3908333333333338
23,5,3,1.68,1.87,1.312916666666667
0,6,4,0.0,3.79,1.2358333333333336
1,6,4,1.94,0.0,1.3045833333333337
2,6,4,1.65,0.46,1.3612500000000003
3,6,4,1.82,1.62,1.2937500000000004
4,6,4,0.0,1.23,1.4033333333333335
5,6,4,3.86,1.45,1.421666666666667
6,6,4,1.89,0.23,1.4745833333333336
7,6,4,1.5,0.0,1.4745833333333336
8,6,4,0.0,0.0,1.4745833333333336
9,6,4,0.0,0.0,1.5295833333333337
10,6,4,1.32,1.98,1.4470833333333337
11,6,4,0.0,1.62,1.4145833333333335
12,6,4,0.84,1.82,1.3604166666666668
13,6,4,0.52,7.49,1.154166666666667
14,6,4,2.54,0.69,1.224166666666667
15,6,4,2.37,2.95,1.1425000000000003
16,6,4,0.99,0.0,1.1425000000000003
17,6,4,0.0,0.0,1.2637500000000002
18,6,4,2.91,1.36,1.349166666666667
19,6,4,3.41,1.9,1.2995833333333338
20,6,4,0.71,0.67,1.3383333333333336
21,6,4,1.6,0.57,1.3883333333333336
22,6,4,1.77,1.68,1.4658333333333335
23,6,4,3.54,0.0,1.4970833333333335
0,7,5,0.75,1.94,1.4937500000000004
1,7,5,1.86,1.65,1.4250000000000005
2,7,5,0.0,1.82,1.432916666666667
3,7,5,2.01,0.0,1.5100000000000005
4,7,5,1.85,3.86,1.3750000000000002
5,7,5,0.62,1.89,1.3379166666666669
6,7,5,1.0,1.5,1.3033333333333335
7,7,5,0.67,0.0,1.3891666666666669
8,7,5,2.06,0.0,1.4841666666666669
9,7,5,2.28,1.32,1.5112500000000002
10,7,5,1.97,0.0,1.5791666666666668
11,7,5,1.63,0.84,1.6250000000000002
12,7,5,1.94,0.52,1.6675000000000002
13,7,5,1.54,2.54,1.6350000000000005
14,7,5,1.76,2.37,1.6183333333333338
15,7,5,1.97,0.99,1.7470833333333335
16,7,5,4.08,0.0,1.7837500000000004
17,7,5,0.88,2.91,1.7270833333333335
18,7,5,1.5499999999999998,3.41,1.6675000000000004
19,7,5,1.98,0.71,1.705416666666667
20,7,5,1.62,1.6,1.6387500000000002
21,7,5,0.0,1.77,1.692916666666667
22,7,5,3.0700000000000003,3.54,1.640416666666667
23,7,5,2.28,0.75,1.725416666666667
0,8,6,2.79,1.86,1.6479166666666671
1,8,6,0.0,0.0,1.770416666666667
2,8,6,2.94,2.01,1.7520833333333334
3,8,6,1.57,1.85,1.7354166666666668
4,8,6,1.45,0.62,1.7495833333333337
5,8,6,0.96,1.0,1.7470833333333335
6,8,6,0.94,0.67,1.719166666666667
7,8,6,0.0,2.06,1.6333333333333337
8,8,6,0.0,2.28,1.5562500000000004
9,8,6,0.43,1.97,1.474166666666667
10,8,6,0.0,1.63,1.4483333333333335
11,8,6,1.01,1.94,1.5533333333333337
12,8,6,4.46,1.54,1.6625000000000005
13,8,6,4.16,1.76,1.589166666666667
14,8,6,0.0,1.97,1.582916666666667
15,8,6,1.82,4.08,1.5095833333333337
16,8,6,2.3200000000000003,0.88,1.5445833333333336
17,8,6,1.72,1.5499999999999998,1.4800000000000004
18,8,6,0.0,1.98,1.6208333333333336
19,8,6,5.36,1.62,1.611666666666667
20,8,6,1.4,0.0,1.6775000000000002
21,8,6,1.58,3.0700000000000003,1.5858333333333337
22,8,6,0.87,2.28,1.5675000000000001
23,8,6,1.84,2.79,1.5075000000000003
0,9,0,1.35,0.0,1.590416666666667
1,9,0,1.99,2.94,1.4679166666666672
2,9,0,0.0,1.57,1.4025000000000005
3,9,0,0.0,1.45,1.37125
4,9,0,0.7,0.96,1.3312500000000005
5,9,0,0.0,0.94,1.3508333333333338
6,9,0,1.41,0.0,1.3508333333333338
7,9,0,0.0,0.0,1.3508333333333338
