hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
0,2,0,1,4.76,4.42,4.267083333333333
1,2,0,1,3.51,7.61,4.13375
2,2,0,1,4.41,14.8,3.6050000000000004
3,2,0,1,2.11,4.19,3.5750000000000006
4,2,0,1,3.47,10.68,3.5095833333333335
5,2,0,1,9.11,6.94,3.220416666666667
6,2,0,1,0.0,0.0,3.395
7,2,0,1,4.19,0.0,3.657083333333334
8,2,0,1,6.29,0.0,3.657083333333334
9,2,0,1,0.0,2.17,3.7587500000000005
10,2,0,1,4.61,5.83,3.76375
11,2,0,1,5.95,2.63,3.8479166666666664
12,2,0,1,4.65,7.66,3.52875
13,2,0,1,0.0,0.0,3.719583333333333
14,2,0,1,4.58,12.13,3.891666666666667
15,2,0,1,16.259999999999998,2.89,3.9729166666666664
16,2,0,1,4.84,0.0,3.9729166666666664
17,2,0,1,0.0,2.81,3.855833333333333
18,2,0,1,0.0,7.57,3.95875
19,2,0,1,10.04,2.74,3.844583333333333
20,2,0,1,0.0,0.0,4.115833333333333
21,2,0,1,6.51,3.49,4.11625
22,2,0,1,3.5,0.0,4.11625
23,2,0,1,0.0,4.76,4.045
0,3,1,1,3.05,3.51,4.1000000000000005
1,3,1,1,4.83,4.41,3.91625
2,3,1,1,0.0,2.11,4.3029166666666665
3,3,1,1,11.39,3.47,4.465416666666666
4,3,1,1,7.37,9.11,4.0858333333333325
5,3,1,1,0.0,0.0,4.0858333333333325
6,3,1,1,0.0,4.19,3.9112499999999994
7,3,1,1,0.0,6.29,3.649166666666666
8,3,1,1,0.0,0.0,3.649166666666666
9,3,1,1,0.0,4.61,3.457083333333333
10,3,1,1,0.0,5.95,3.43625
11,3,1,1,5.45,4.65,3.432083333333333
12,3,1,1,4.55,0.0,3.5925
13,3,1,1,3.85,4.58,3.747083333333333
14,3,1,1,8.29,16.259999999999998,3.0695833333333327
15,3,1,1,0.0,4.84,2.9975
16,3,1,1,3.11,0.0,2.9975
17,3,1,1,0.0,0.0,2.9975
18,3,1,1,0.0,10.04,2.8179166666666666
19,3,1,1,5.73,0.0,2.9133333333333336
20,3,1,1,2.29,6.51,3.0408333333333335
21,3,1,1,9.57,3.5,3.049583333333333
22,3,1,1,3.71,0.0,3.049583333333333
23,3,1,1,0.0,3.05,2.9225
0,4,2,1,0.0,4.83,2.72125
1,4,2,1,0.0,0.0,2.896666666666667
2,4,2,1,4.21,11.39,2.555416666666667
3,4,2,1,3.2,7.37,2.2483333333333335
4,4,2,1,0.0,0.0,2.447083333333333
5,4,2,1,4.77,0.0,2.5716666666666668
6,4,2,1,2.99,0.0,2.8441666666666667
7,4,2,1,6.54,0.0,3.1799999999999997
8,4,2,1,8.06,0.0,3.65375
9,4,2,1,11.37,0.0,3.7908333333333335
10,4,2,1,3.29,5.45,3.56375
11,4,2,1,0.0,4.55,3.374166666666667
12,4,2,1,0.0,3.85,3.46125
13,4,2,1,5.94,8.29,3.1158333333333332
14,4,2,1,0.0,0.0,3.6841666666666666
15,4,2,1,13.64,3.11,3.845416666666667
16,4,2,1,6.98,0.0,4.0183333333333335
17,4,2,1,4.15,0.0,4.0183333333333335
18,4,2,1,0.0,5.73,3.904583333333333
19,4,2,1,3.0,2.29,3.8945833333333333
20,4,2,1,2.05,9.57,3.6008333333333336
21,4,2,1,2.52,3.71,3.56125
22,4,2,1,2.76,0.0,3.56125
23,4,2,1,0.0,0.0,4.031666666666667
0,5,3,1,11.29,0.0,4.2250000000000005
1,5,3,1,4.64,4.21,4.173333333333333
2,5,3,1,2.97,3.2,4.04
3,5,3,1,0.0,0.0,4.140000000000001
4,5,3,1,2.4,4.77,3.94125
5,5,3,1,0.0,2.99,4.055000000000001
6,5,3,1,5.720000000000001,6.54,4.0475
7,5,3,1,6.359999999999999,8.06,4.05
8,5,3,1,8.120000000000001,11.37,3.9020833333333336
9,5,3,1,7.82,3.29,3.939583333333333
10,5,3,1,4.19,0.0,4.21375
11,5,3,1,6.58,0.0,4.492916666666667
12,5,3,1,6.7,5.94,4.6075
13,5,3,1,8.69,0.0,5.347083333333333
14,5,3,1,17.75,13.64,4.898333333333333
15,5,3,1,2.87,6.98,4.757916666666667
16,5,3,1,3.61,4.15,4.585
17,5,3,1,0.0,0.0,4.861666666666667
18,5,3,1,6.64,3.0,5.148333333333333
19,5,3,1,9.88,2.05,5.3875
20,5,3,1,7.79,2.52,5.59875
21,5,3,1,7.59,2.76,5.714166666666667
22,5,3,1,5.53,0.0,5.876666666666666
23,5,3,1,3.9,11.29,5.831666666666667
0,6,4,1,10.21,4.64,5.797083333333333
1,6,4,1,3.81,2.97,6.024166666666667
2,6,4,1,8.42,0.0,6.291250000000001
3,6,4,1,6.41,2.4,6.486249999999999
4,6,4,1,7.08,0.0,6.812916666666666
5,6,4,1,7.84,5.720000000000001,6.574583333333333
