hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
1,1,6,1,4.85,3.1,3.732916666666666
2,1,6,1,1.6,2.98,3.77125
3,1,6,1,3.9,0.0,3.8249999999999997
4,1,6,1,1.29,0.0,3.8249999999999997
5,1,6,1,0.0,10.58,3.4595833333333332
6,1,6,1,1.81,0.0,3.487916666666667
7,1,6,1,0.68,10.68,3.1041666666666665
8,1,6,1,1.47,3.37,2.9637499999999997
9,1,6,1,0.0,3.94,2.799583333333333
10,1,6,1,0.0,0.0,2.92375
11,1,6,1,2.9800000000000004,4.4,2.785833333333333
12,1,6,1,1.09,0.0,2.899166666666666
13,1,6,1,2.72,2.23,2.80625
14,1,6,1,0.0,0.0,2.80625
15,1,6,1,0.0,4.25,2.7016666666666667
16,1,6,1,1.74,0.0,2.73
17,1,6,1,0.68,8.309999999999999,2.4208333333333334
18,1,6,1,0.89,3.6,2.2708333333333335
19,1,6,1,0.0,0.0,2.2708333333333335
20,1,6,1,0.0,2.03,2.33125
21,1,6,1,3.48,4.77,2.2154166666666666
22,1,6,1,1.99,13.27,1.6625000000000003
23,1,6,1,0.0,8.73,1.3095833333333333
0,2,0,1,0.26,4.85,1.1854166666666666
1,2,0,1,1.87,1.6,1.1575
2,2,0,1,0.93,3.9,1.0458333333333334
3,2,0,1,1.22,1.29,1.0141666666666667
4,2,0,1,0.53,0.0,1.0654166666666667
5,2,0,1,1.23,1.81,1.0466666666666666
6,2,0,1,1.36,0.68,1.0566666666666669
7,2,0,1,0.92,1.47,0.9954166666666667
8,2,0,1,0.0,0.0,0.9954166666666667
9,2,0,1,0.0,0.0,1.0254166666666666
10,2,0,1,0.72,2.9800000000000004,0.92
11,2,0,1,0.45,1.09,1.0458333333333332
12,2,0,1,4.109999999999999,2.72,0.9325
13,2,0,1,0.0,0.0,0.9529166666666667
14,2,0,1,0.49,0.0,0.9824999999999999
15,2,0,1,0.71,1.74,0.9341666666666667
16,2,0,1,0.58,0.68,0.9058333333333333
17,2,0,1,0.0,0.89,0.86875
18,2,0,1,0.0,0.0,0.9391666666666666
19,2,0,1,1.69,0.0,0.9783333333333334
20,2,0,1,0.94,3.48,0.9058333333333334
21,2,0,1,1.74,1.99,0.9412499999999998
22,2,0,1,2.84,0.0,0.9412499999999998
23,2,0,1,0.0,0.26,1.0425
0,3,1,1,2.69,1.87,0.9954166666666667
1,3,1,1,0.74,0.93,0.9566666666666667
2,3,1,1,0.0,1.22,0.9841666666666667
3,3,1,1,1.88,0.53,1.045
4,3,1,1,1.99,1.23,0.9937499999999999
5,3,1,1,0.0,1.36,1.0008333333333332
6,3,1,1,1.53,0.92,0.9624999999999999
7,3,1,1,0.0,0.0,0.9624999999999999
8,3,1,1,0.0,0.0,1.0141666666666664
9,3,1,1,1.24,0.72,0.9841666666666665
10,3,1,1,0.0,0.45,0.9654166666666666
11,3,1,1,0.0,4.109999999999999,0.8137500000000001
12,3,1,1,0.47,0.0,0.8304166666666667
13,3,1,1,0.4,0.49,0.8720833333333333
14,3,1,1,1.49,0.71,0.8854166666666666
15,3,1,1,1.03,0.58,0.9408333333333333
16,3,1,1,1.91,0.0,0.9562499999999999
17,3,1,1,0.37,0.0,1.0199999999999998
18,3,1,1,1.53,1.69,1.015
19,3,1,1,1.57,0.94,1.1220833333333333
20,3,1,1,3.51,1.74,1.2425
21,3,1,1,4.63,2.84,1.1541666666666666
22,3,1,1,0.72,0.0,1.1541666666666668
23,3,1,1,0.0,2.69,1.0779166666666666
0,4,2,1,0.86,0.74,1.0470833333333334
1,4,2,1,0.0,0.0,1.1045833333333333
2,4,2,1,1.38,1.88,1.0570833333333332
3,4,2,1,0.74,1.99,1.04375
4,4,2,1,1.67,0.0,1.1229166666666666
5,4,2,1,1.9,1.53,1.0591666666666666
6,4,2,1,0.0,0.0,1.1683333333333332
7,4,2,1,2.62,0.0,1.3
8,4,2,1,3.16,1.24,1.31875
9,4,2,1,1.69,0.0,1.3570833333333334
10,4,2,1,0.92,0.0,1.3891666666666669
11,4,2,1,0.77,0.47,1.4875
12,4,2,1,2.83,0.4,1.5941666666666665
13,4,2,1,2.96,1.49,1.5320833333333335
14,4,2,1,0.0,1.03,1.4891666666666667
15,4,2,1,0.0,1.91,1.4224999999999997
16,4,2,1,0.31,0.37,1.4070833333333332
17,4,2,1,0.0,1.53,1.4491666666666667
18,4,2,1,2.54,1.57,1.4749999999999999
19,4,2,1,2.19,3.51,1.3795833333333334
20,4,2,1,1.22,4.63,1.1866666666666668
21,4,2,1,0.0,0.72,1.2362499999999998
22,4,2,1,1.91,0.0,1.2362499999999998
23,4,2,1,0.0,0.86,1.3670833333333334
0,5,3,1,4.0,0.0,1.4058333333333335
1,5,3,1,0.93,1.38,1.365
2,5,3,1,0.4,0.74,1.3879166666666667
3,5,3,1,1.29,1.67,1.3775000000000002
4,5,3,1,1.42,1.9,1.2983333333333333
5,5,3,1,0.0,0.0,1.2983333333333333
6,5,3,1,0.0,2.62,1.2191666666666667
7,5,3,1,0.72,3.16,1.1495833333333334
8,5,3,1,1.49,1.69,1.0791666666666666
9,5,3,1,0.0,0.92,1.1325
10,5,3,1,2.2,0.77,1.1004166666666666
11,5,3,1,0.0,2.83,1.04125
12,5,3,1,1.41,2.96,1.0370833333333334
13,5,3,1,2.86,0.0,1.0370833333333334
14,5,3,1,0.0,0.0,1.0370833333333334
15,5,3,1,0.0,0.31,1.0887499999999999
16,5,3,1,1.55,0.0,1.0887499999999999
17,5,3,1,0.0,2.54,1.1183333333333334
18,5,3,1,3.25,2.19,1.0270833333333333
19,5,3,1,0.0,1.22,0.97625
20,5,3,1,0.0,0.0,1.1333333333333333
21,5,3,1,3.77,1.91,1.1254166666666665
22,5,3,1,1.72,0.0,1.1254166666666665
23,5,3,1,0.0,4.0,0.98
0,6,4,1,0.51,0.93,1.0574999999999999
1,6,4,1,2.79,0.4,1.0408333333333333
2,6,4,1,0.0,1.29,1.0666666666666667
3,6,4,1,1.91,1.42,1.0191666666666668
4,6,4,1,0.28,0.0,1.165
5,6,4,1,3.5,0.0,1.21
6,6,4,1,1.08,0.72,1.2416666666666665
7,6,4,1,1.48,1.49,1.20875
8,6,4,1,0.7,0.0,1.2770833333333333
9,6,4,1,1.64,2.2,1.1854166666666666
10,6,4,1,0.0,0.0,1.37
11,6,4,1,4.43,1.41,1.3712499999999999
12,6,4,1,1.44,2.86,1.2958333333333334
13,6,4,1,1.05,0.0,1.3520833333333335
14,6,4,1,1.35,0.0,1.4241666666666666
15,6,4,1,1.73,1.55,1.3595833333333331
16,6,4,1,0.0,0.0,1.3595833333333331
17,6,4,1,0.0,3.25,1.2241666666666666
18,6,4,1,0.0,0.0,1.2633333333333334
19,6,4,1,0.94,0.0,1.2633333333333334
20,6,4,1,0.0,3.77,1.10625
21,6,4,1,0.0,1.72,1.0854166666666667
22,6,4,1,1.22,0.0,1.1491666666666667
23,6,4,1,1.53,0.51,1.25375
0,7,5,1,3.02,2.79,1.1375
1,7,5,1,0.0,0.0,1.24125
2,7,5,1,2.49,1.91,1.3183333333333334
3,7,5,1,3.76,0.28,1.3066666666666666
4,7,5,1,0.0,3.5,1.28125
5,7,5,1,2.89,1.08,1.23625
6,7,5,1,0.0,1.48,1.1745833333333333
7,7,5,1,0.0,0.7,1.1454166666666667
8,7,5,1,0.0,1.64,1.1191666666666666
9,7,5,1,1.01,0.0,1.1191666666666666
10,7,5,1,0.0,4.43,1.0691666666666666
11,7,5,1,3.23,1.44,1.13875
12,7,5,1,3.11,1.05,1.095
13,7,5,1,0.0,1.35,1.2045833333333333
14,7,5,1,3.98,1.73,1.2008333333333334
15,7,5,1,1.64,0.0,1.2495833333333335
16,7,5,1,1.17,0.0,1.3058333333333334
17,7,5,1,1.35,0.0,1.3779166666666667
18,7,5,1,1.73,0.94,1.4254166666666668
19,7,5,1,2.08,0.0,1.445
20,7,5,1,0.47,0.0,1.4608333333333334
21,7,5,1,0.38,1.22,1.41
22,7,5,1,0.0,1.53,1.3462500000000002
23,7,5,1,0.0,3.02,1.3029166666666667
0,8,6,1,1.98,0.0,1.3529166666666665
1,8,6,1,1.2,2.49,1.2491666666666665
2,8,6,1,0.0,3.76,1.12625
3,8,6,1,0.81,0.0,1.1691666666666667
4,8,6,1,1.03,2.89,1.0487499999999998
5,8,6,1,0.0,0.0,1.0487499999999998
6,8,6,1,0.0,0.0,1.1479166666666665
7,8,6,1,2.38,0.0,1.16625
8,8,6,1,0.44,1.01,1.2645833333333334
9,8,6,1,3.37,0.0,1.3358333333333334
10,8,6,1,1.71,3.23,1.28
11,8,6,1,1.89,3.11,1.2091666666666667
12,8,6,1,1.41,0.0,1.3108333333333333
13,8,6,1,2.44,3.98,1.2145833333333333
14,8,6,1,1.6700000000000002,1.64,1.1883333333333332
15,8,6,1,1.01,1.17,1.16
16,8,6,1,0.49,1.35,1.2016666666666667
17,8,6,1,2.35,1.73,1.1425
18,8,6,1,0.31,2.08,1.0558333333333334
19,8,6,1,0.0,0.47,1.1133333333333333
