hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
1,1,6,1,3.22,0.91,1.3170833333333338
2,1,6,1,4.01,1.19,1.367916666666667
3,1,6,1,2.41,2.81,1.2825000000000004
4,1,6,1,0.76,0.0,1.3625000000000005
5,1,6,1,1.92,0.0,1.3625000000000005
6,1,6,1,0.0,3.53,1.215416666666667
7,1,6,1,0.0,0.0,1.254166666666667
8,1,6,1,0.93,0.42,1.3720833333333335
9,1,6,1,3.25,0.0,1.5404166666666672
10,1,6,1,4.04,0.0,1.6320833333333338
11,1,6,1,2.2,3.76,1.6241666666666672
12,1,6,1,3.5700000000000003,1.74,1.551666666666667
13,1,6,1,0.0,2.74,1.4820833333333336
14,1,6,1,1.0699999999999998,0.0,1.504166666666667
15,1,6,1,0.53,0.0,1.5733333333333335
16,1,6,1,1.66,1.24,1.6533333333333335
17,1,6,1,3.16,0.63,1.6875000000000007
18,1,6,1,1.4500000000000002,0.47,1.6679166666666674
19,1,6,1,0.0,0.0,1.7495833333333337
20,1,6,1,1.96,0.0,1.7700000000000005
21,1,6,1,0.49,0.0,1.849583333333334
22,1,6,1,1.91,3.88,1.6879166666666672
23,1,6,1,0.0,1.97,1.6162500000000006
0,2,0,1,0.25,3.22,1.5854166666666671
1,2,0,1,2.48,4.01,1.4183333333333337
2,2,0,1,0.0,2.41,1.317916666666667
3,2,0,1,0.0,0.76,1.341666666666667
4,2,0,1,1.33,1.92,1.261666666666667
5,2,0,1,0.0,0.0,1.3116666666666672
6,2,0,1,1.2,0.0,1.4045833333333337
7,2,0,1,2.23,0.93,1.3658333333333337
8,2,0,1,0.0,3.25,1.3783333333333339
9,2,0,1,3.55,4.04,1.264166666666667
10,2,0,1,1.3,2.2,1.1950000000000003
11,2,0,1,0.54,3.5700000000000003,1.0612500000000002
12,2,0,1,0.36,0.0,1.159166666666667
13,2,0,1,2.35,1.0699999999999998,1.1575000000000004
14,2,0,1,1.03,0.53,1.1354166666666672
15,2,0,1,0.0,1.66,1.1737500000000003
16,2,0,1,2.58,3.16,1.0420833333333337
17,2,0,1,0.0,1.4500000000000002,1.045416666666667
18,2,0,1,1.53,0.0,1.1262500000000004
19,2,0,1,1.94,1.96,1.1179166666666671
20,2,0,1,1.7599999999999998,0.49,1.242916666666667
21,2,0,1,3.49,1.91,1.2495833333333335
22,2,0,1,2.07,0.0,1.2495833333333335
23,2,0,1,0.0,0.25,1.239166666666667
0,3,1,1,0.0,2.48,1.1358333333333335
1,3,1,1,0.0,0.0,1.1358333333333335
2,3,1,1,0.0,0.0,1.1358333333333335
3,3,1,1,0.0,1.33,1.080416666666667
4,3,1,1,0.0,0.0,1.251666666666667
5,3,1,1,4.11,1.2,1.3275000000000003
6,3,1,1,3.02,2.23,1.3570833333333336
7,3,1,1,2.94,0.0,1.3570833333333336
8,3,1,1,0.0,3.55,1.3183333333333336
9,3,1,1,2.62,1.3,1.3100000000000003
10,3,1,1,1.1,0.54,1.3570833333333336
