hour,day,weekday,month,lag_1,lag_24,rolling_mean_24
0,1,6,1,0.95,2.41,1.0875000000000004
1,1,6,1,1.12,0.0,1.1700000000000004
2,1,6,1,1.98,0.84,1.2433333333333338
3,1,6,1,2.6,0.0,1.2433333333333338
4,1,6,1,0.0,0.0,1.2433333333333338
5,1,6,1,0.0,1.11,1.2933333333333337
6,1,6,1,2.31,0.0,1.4112500000000006
7,1,6,1,2.83,0.0,1.5629166666666672
8,1,6,1,3.64,0.46,1.6062500000000004
9,1,6,1,1.5,0.65,1.5791666666666673
10,1,6,1,0.0,1.85,1.626666666666667
11,1,6,1,2.99,0.0,1.626666666666667
12,1,6,1,0.0,0.0,1.7416666666666671
13,1,6,1,2.76,2.64,1.6495833333333338
14,1,6,1,0.43,0.0,1.6495833333333338
15,1,6,1,0.0,2.32,1.630416666666667
16,1,6,1,1.86,0.0,1.640416666666667
17,1,6,1,0.24,2.96,1.5258333333333336
18,1,6,1,0.21,2.38,1.466666666666667
19,1,6,1,0.96,1.5,1.404166666666667
20,1,6,1,0.0,5.04,1.194166666666667
21,1,6,1,0.0,1.67,1.1825000000000003
22,1,6,1,1.39,0.61,1.2100000000000002
23,1,6,1,1.27,0.95,1.2795833333333337
0,2,0,1,2.62,1.12,1.2329166666666669
1,2,0,1,0.0,1.98,1.2187500000000002
2,2,0,1,1.64,2.6,1.1575000000000004
3,2,0,1,1.13,0.0,1.2258333333333338
4,2,0,1,1.64,0.0,1.2812500000000004
5,2,0,1,1.33,2.31,1.3012500000000005
6,2,0,1,2.79,2.83,1.2545833333333338
7,2,0,1,1.71,3.64,1.1533333333333335
8,2,0,1,1.21,1.5,1.1570833333333337
9,2,0,1,1.59,0.0,1.2945833333333336
10,2,0,1,3.3,2.99,1.235416666666667
11,2,0,1,1.57,0.0,1.2708333333333337
12,2,0,1,0.85,2.76,1.1558333333333337
13,2,0,1,0.0,0.43,1.187916666666667
14,2,0,1,1.2,0.0,1.3120833333333337
15,2,0,1,2.98,1.86,1.257916666666667
16,2,0,1,0.56,0.24,1.3170833333333336
