hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
9,3,4,3,39.3,2,2.01,2.0,2.00125
0,9,3,3,31.3,5,2.01,2.0,2.0016666666666665
0,6,3,4,17.4,3,2.01,2.0,2.002083333333333
20,7,6,5,27.0,1,2.01,2.0,2.0025
6,9,1,5,-8.8,3,2.01,2.0,2.0029166666666667
22,10,2,5,36.5,2,2.01,2.0,2.0033333333333334
0,19,4,5,23.4,4,2.01,2.0,2.0037499999999997
5,27,5,5,22.3,1,2.01,2.0,2.0041666666666664
21,1,3,6,36.1,5,2.01,2.0,2.004583333333333
16,5,0,6,31.7,1,2.01,2.0,2.005
6,8,3,6,31.1,1,2.01,2.0,2.0054166666666666
5,9,4,6,21.4,4,2.01,2.0,2.0058333333333334
5,17,5,6,17.0,5,2.01,2.0,2.00625
1,21,2,6,3.4,5,2.01,2.0,2.0066666666666664
12,1,1,8,23.3,3,2.01,2.0,2.007083333333333
10,5,5,8,-6.5,1,2.01,2.0,2.0075
13,3,6,9,3.9,2,2.01,2.0,2.0079166666666666
15,15,4,9,11.3,5,2.01,2.0,2.0083333333333333
3,29,4,9,14.4,1,2.01,2.0,2.0087499999999996
17,30,5,9,3.6,4,2.01,2.0,2.0091666666666668
19,5,3,10,21.4,3,2.01,2.0,2.009583333333333
2,7,5,10,26.8,3,2.01,2.01,2.01
22,10,1,10,12.8,4,2.01,2.01,2.01
12,22,6,10,22.8,5,2.01,2.01,2.01
9,26,3,10,5.9,4,2.01,2.01,2.01
10,27,4,10,18.4,5,2.01,2.01,2.01
9,28,5,10,6.6,1,2.01,2.01,2.01
21,20,0,11,28.8,2,2.01,2.01,2.01
15,21,1,11,29.3,3,2.01,2.01,2.01
19,16,5,12,-5.7,3,2.01,2.01,2.01
22,19,1,12,3.5,5,2.01,2.01,2.01
22,21,3,12,32.2,5,2.01,2.01,2.01
20,24,6,12,30.5,2,2.01,2.01,2.01
10,2,0,1,25.8,5,2.01,2.01,2.01
7,5,3,1,30.2,1,2.02,2.01,2.0104166666666665
14,11,2,1,31.9,5,2.02,2.01,2.010833333333333
12,21,5,1,17.9,3,2.02,2.01,2.01125
11,3,4,2,4.2,1,2.02,2.01,2.0116666666666663
7,8,2,2,18.2,2,2.02,2.01,2.0120833333333334
20,11,5,2,22.3,4,2.02,2.01,2.0124999999999997
17,26,6,3,26.5,4,2.02,2.01,2.0129166666666665
10,7,4,4,22.3,4,2.02,2.01,2.013333333333333
15,15,5,4,-0.7,2,2.02,2.01,2.01375
17,29,5,4,-8.8,3,2.02,2.01,2.0141666666666667
8,6,5,5,-8.5,2,2.02,2.01,2.014583333333333
22,7,6,5,2.4,3,2.02,2.01,2.015
0,27,5,5,-6.6,5,2.02,2.01,2.0154166666666664
13,12,0,6,-0.3,3,2.02,2.01,2.0158333333333336
16,18,6,6,21.3,2,2.02,2.01,2.01625
15,21,2,6,15.4,2,2.02,2.01,2.0166666666666666
4,29,3,6,-0.6,2,2.02,2.01,2.0170833333333333
2,2,6,7,15.6,4,2.02,2.01,2.0175
10,2,6,7,6.9,2,2.02,2.01,2.017916666666667
17,7,4,7,19.1,4,2.02,2.01,2.018333333333333
15,13,3,7,25.6,4,2.02,2.01,2.0187500000000003
21,18,1,7,22.7,4,2.02,2.01,2.0191666666666666
17,27,3,7,7.0,4,2.02,2.01,2.0195833333333333
21,1,1,8,27.2,3,2.02,2.02,2.02
4,5,5,8,16.5,5,2.02,2.02,2.02
21,6,6,8,38.7,4,2.02,2.02,2.02
5,12,5,8,0.1,1,2.02,2.02,2.02
21,7,3,9,38.5,3,2.02,2.02,2.02
9,12,1,9,-6.6,4,2.02,2.02,2.02
12,14,3,9,12.3,3,2.02,2.02,2.02
9,16,5,9,15.2,5,2.02,2.02,2.02
6,11,2,10,-5.3,4,2.02,2.02,2.02
22,19,3,10,28.5,1,2.02,2.02,2.02
22,4,0,12,-4.8,5,2.02,2.02,2.02
13,18,0,12,38.0,3,2.02,2.02,2.02
11,19,1,12,0.5,3,2.02,2.02,2.02
14,30,5,12,5.1,4,2.02,2.02,2.02
16,6,4,1,-7.2,2,2.02,2.02,2.02
3,9,0,1,4.1,1,2.03,2.02,2.0204166666666667
3,31,1,1,-2.9,5,2.03,2.02,2.0208333333333335
10,22,2,2,2.8,2,2.03,2.02,2.0212499999999998
1,3,4,3,28.4,2,2.03,2.02,2.021666666666667
20,13,0,3,-2.0,2,2.03,2.02,2.0220833333333332
7,16,3,3,28.2,3,2.03,2.02,2.0225
18,29,2,3,24.6,5,2.03,2.02,2.0229166666666667
8,11,1,4,36.9,1,2.03,2.02,2.0233333333333334
4,18,1,4,38.9,5,2.03,2.02,2.02375
6,25,1,4,29.5,1,2.03,2.02,2.0241666666666664
2,7,6,5,-1.7,5,2.03,2.02,2.024583333333333
23,12,4,5,-9.9,4,2.03,2.02,2.025
2,15,0,5,20.7,4,2.03,2.02,2.0254166666666666
10,28,6,5,-8.8,3,2.03,2.02,2.0258333333333334
20,1,3,6,4.7,2,2.03,2.02,2.02625
3,9,4,6,-1.4,4,2.03,2.02,2.0266666666666664
11,13,1,6,-3.2,4,2.03,2.02,2.027083333333333
5,15,3,6,1.5,4,2.03,2.02,2.0275
15,27,1,6,35.9,1,2.03,2.02,2.0279166666666666
5,11,1,7,39.4,3,2.03,2.02,2.0283333333333333
8,28,4,7,24.5,1,2.03,2.02,2.0287499999999996
3,1,1,8,39.9,4,2.03,2.02,2.0291666666666663
10,6,6,8,32.5,4,2.03,2.02,2.029583333333333
22,16,2,8,6.8,1,2.03,2.03,2.03
11,30,2,8,15.3,4,2.03,2.03,2.03
21,1,4,9,13.2,1,2.03,2.03,2.03
6,2,5,9,27.0,5,2.03,2.03,2.03
18,11,2,10,32.8,5,2.03,2.03,2.03
1,30,0,10,16.8,5,2.03,2.03,2.03
15,3,4,11,34.0,2,2.03,2.03,2.03
1,22,2,11,29.3,1,2.03,2.03,2.03
0,1,4,12,-1.1,3,2.03,2.03,2.03
1,28,3,12,8.9,4,2.03,2.03,2.03
19,1,0,1,6.7,5,2.03,2.03,2.03
17,11,2,1,38.9,2,2.03,2.03,2.03
8,15,2,2,-9.9,5,2.04,2.03,2.0304166666666665
0,5,6,3,-3.5,5,2.04,2.03,2.0308333333333333
16,12,6,3,20.6,1,2.04,2.03,2.0312499999999996
3,14,1,3,15.5,3,2.04,2.03,2.0316666666666663
20,16,3,3,13.7,5,2.04,2.03,2.032083333333333
5,4,1,4,10.5,2,2.04,2.03,2.0325
23,4,3,5,19.6,3,2.04,2.03,2.0329166666666665
3,5,4,5,-8.4,5,2.04,2.03,2.033333333333333
4,11,3,5,-2.1,1,2.04,2.03,2.03375
1,16,1,5,39.9,2,2.04,2.03,2.0341666666666667
1,1,3,6,-9.9,1,2.04,2.03,2.0345833333333334
10,7,2,6,34.0,5,2.04,2.03,2.0349999999999997
1,21,4,7,23.5,2,2.04,2.03,2.0354166666666664
19,22,5,7,22.1,1,2.04,2.03,2.035833333333333
17,27,3,7,0.1,3,2.04,2.03,2.03625
17,17,3,8,9.6,3,2.04,2.03,2.0366666666666666
13,16,5,9,14.5,4,2.04,2.03,2.0370833333333334
9,31,1,10,30.7,2,2.04,2.03,2.0375
15,17,4,11,8.7,5,2.04,2.03,2.0379166666666664
21,19,6,11,18.9,2,2.04,2.03,2.038333333333333
21,11,0,12,-3.4,5,2.04,2.03,2.03875
11,15,4,12,28.4,4,2.04,2.03,2.039166666666667
10,16,5,12,23.6,5,2.04,2.03,2.0395833333333333
10,28,3,12,6.6,3,2.04,2.04,2.04
4,29,4,12,31.0,5,2.04,2.04,2.04
19,4,2,1,4.6,5,2.04,2.04,2.04
12,30,0,1,-9.7,5,2.05,2.04,2.0404166666666668
21,15,2,2,31.9,5,2.05,2.04,2.0408333333333335
6,15,2,3,-8.5,1,2.05,2.04,2.0412500000000002
12,16,3,3,31.8,4,2.05,2.04,2.0416666666666665
8,11,1,4,31.6,5,2.05,2.04,2.0420833333333333
14,24,0,4,0.2,1,2.05,2.04,2.0425
14,26,2,4,4.6,3,2.05,2.04,2.0429166666666667
18,10,2,5,25.1,1,2.05,2.04,2.0433333333333334
5,11,3,5,21.8,4,2.05,2.04,2.0437499999999997
9,17,2,5,11.2,5,2.05,2.04,2.044166666666667
0,5,0,6,34.8,2,2.05,2.04,2.044583333333333
12,20,6,8,-7.0,5,2.05,2.04,2.045
1,29,1,8,3.6,2,2.05,2.04,2.0454166666666667
13,31,3,8,-5.6,3,2.05,2.04,2.045833333333333
15,24,6,9,30.0,4,2.05,2.04,2.04625
17,9,0,10,-0.4,5,2.05,2.04,2.0466666666666664
0,10,1,10,16.2,2,2.05,2.04,2.047083333333333
16,17,1,10,2.8,4,2.05,2.04,2.0475
0,18,2,10,3.6,3,2.05,2.04,2.0479166666666666
10,24,1,10,32.4,2,2.05,2.04,2.0483333333333333
12,24,1,10,33.7,3,2.05,2.04,2.0487499999999996
9,25,2,10,-9.6,3,2.05,2.04,2.0491666666666664
3,29,2,11,-1.8,4,2.05,2.04,2.049583333333333
22,5,1,12,30.0,2,2.05,2.05,2.05
18,7,3,12,29.2,3,2.05,2.05,2.05
8,22,4,12,16.7,4,2.05,2.05,2.05
9,29,4,12,26.3,5,2.05,2.05,2.05
9,8,6,1,16.9,4,2.05,2.05,2.05
12,14,5,1,15.5,2,2.06,2.05,2.0504166666666666
6,15,6,1,23.0,4,2.06,2.05,2.0508333333333333
3,17,1,1,5.0,1,2.06,2.05,2.05125
6,27,4,1,-7.6,2,2.06,2.05,2.0516666666666663
21,4,5,2,33.0,4,2.06,2.05,2.0520833333333335
8,19,6,2,27.5,1,2.06,2.05,2.0524999999999998
23,15,2,3,31.2,2,2.06,2.05,2.0529166666666665
7,19,6,3,12.4,5,2.06,2.05,2.0533333333333332
12,23,3,3,31.0,5,2.06,2.05,2.05375
2,25,5,3,23.0,5,2.06,2.05,2.0541666666666667
3,25,5,3,14.3,4,2.06,2.05,2.054583333333333
