hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
10,31,6,12,15.1,3,0.2,0.2,0.2
2,4,2,1,37.5,2,0.2,0.2,0.2
5,14,5,1,28.0,4,0.21,0.2,0.20041666666666666
2,29,6,1,28.0,4,0.21,0.2,0.20083333333333334
10,31,1,1,-9.9,1,0.21,0.2,0.20125
12,6,0,2,-3.4,5,0.21,0.2,0.20166666666666666
19,12,6,2,-2.6,2,0.21,0.2,0.2020833333333333
10,21,1,2,-3.2,1,0.21,0.2,0.20249999999999999
13,21,1,2,-4.5,1,0.21,0.2,0.20291666666666672
21,22,2,2,-1.6,2,0.21,0.2,0.20333333333333337
8,24,4,2,34.3,3,0.21,0.2,0.20375000000000001
17,25,5,2,-8.4,3,0.21,0.2,0.2041666666666667
0,11,5,3,-5.3,5,0.21,0.2,0.20458333333333334
5,12,6,3,11.9,4,0.21,0.2,0.205
10,16,3,3,31.9,5,0.21,0.2,0.2054166666666667
3,17,4,3,19.8,4,0.21,0.2,0.20583333333333334
3,20,0,3,0.5,1,0.21,0.2,0.20625000000000002
21,20,0,3,27.5,4,0.21,0.2,0.20666666666666667
20,29,2,3,10.6,1,0.21,0.2,0.2070833333333333
22,10,0,4,0.9,4,0.21,0.2,0.20750000000000002
0,15,5,4,3.3,4,0.21,0.2,0.20791666666666667
15,27,3,4,-0.6,5,0.21,0.2,0.20833333333333334
15,2,1,5,30.6,2,0.21,0.2,0.20875
15,11,3,5,22.8,2,0.21,0.2,0.20916666666666664
16,14,6,5,28.1,2,0.21,0.2,0.20958333333333334
13,18,3,5,32.3,5,0.21,0.21,0.21
9,6,1,6,-9.5,5,0.21,0.21,0.21
16,13,1,6,18.5,2,0.21,0.21,0.21
15,14,2,6,21.1,3,0.21,0.21,0.21
0,15,3,6,-3.1,1,0.21,0.21,0.21
1,19,0,6,12.8,4,0.21,0.21,0.21
9,24,5,6,36.1,5,0.21,0.21,0.21
16,13,3,7,3.4,5,0.21,0.21,0.21
1,22,5,7,-7.9,2,0.21,0.21,0.21
12,22,5,7,36.4,1,0.21,0.21,0.21
15,29,5,7,7.8,3,0.21,0.21,0.21
0,9,2,8,-4.6,1,0.21,0.21,0.21
20,24,3,8,25.9,5,0.21,0.21,0.21
22,24,3,8,32.6,2,0.21,0.21,0.21
13,28,0,8,25.8,4,0.21,0.21,0.21
0,29,1,8,8.6,4,0.21,0.21,0.21
5,31,3,8,26.9,1,0.21,0.21,0.21
15,2,5,9,27.6,3,0.21,0.21,0.21
13,9,5,9,20.5,2,0.21,0.21,0.21
9,22,4,9,36.3,3,0.21,0.21,0.21
5,1,6,10,39.5,5,0.21,0.21,0.21
6,1,6,10,16.9,3,0.21,0.21,0.21
13,4,2,10,32.1,5,0.21,0.21,0.21
22,5,3,10,1.4,5,0.21,0.21,0.21
9,12,3,10,-4.4,3,0.21,0.21,0.21
11,16,0,10,-1.8,4,0.21,0.21,0.21
0,20,4,10,-5.7,1,0.21,0.21,0.21
23,27,4,10,16.1,1,0.21,0.21,0.21
12,31,1,10,33.6,2,0.21,0.21,0.21
16,1,2,11,37.6,5,0.21,0.21,0.21
7,15,2,11,7.4,4,0.21,0.21,0.21
7,10,6,12,35.3,5,0.21,0.21,0.21
15,10,6,12,25.4,5,0.21,0.21,0.21
10,28,3,12,8.2,2,0.21,0.21,0.21
6,1,0,1,2.7,2,0.21,0.21,0.21
11,14,5,1,5.8,3,0.21,0.21,0.21
3,31,1,1,1.3,1,0.22,0.21,0.21041666666666667
9,5,6,2,-1.7,2,0.22,0.21,0.21083333333333334
10,5,6,2,2.7,4,0.22,0.21,0.21124999999999997
13,7,1,2,6.8,5,0.22,0.21,0.21166666666666664
3,11,5,2,6.6,5,0.22,0.21,0.21208333333333332
14,12,6,2,-6.7,1,0.22,0.21,0.2125
23,18,5,3,26.4,2,0.22,0.21,0.21291666666666664
5,5,2,4,30.0,5,0.22,0.21,0.2133333333333333
15,7,4,4,15.6,1,0.22,0.21,0.21375
6,9,6,4,3.1,3,0.22,0.21,0.21416666666666664
12,9,1,5,9.2,2,0.22,0.21,0.21458333333333332
12,18,3,5,33.9,5,0.22,0.21,0.215
18,18,3,5,38.6,1,0.22,0.21,0.21541666666666667
22,19,4,5,8.0,2,0.22,0.21,0.21583333333333332
12,28,6,5,33.9,4,0.22,0.21,0.21624999999999997
5,31,2,5,19.3,1,0.22,0.21,0.21666666666666667
10,17,5,6,4.0,5,0.22,0.21,0.21708333333333332
20,19,0,6,39.8,5,0.22,0.21,0.2175
10,2,6,7,11.3,4,0.22,0.21,0.21791666666666668
16,2,6,7,35.5,1,0.22,0.21,0.21833333333333335
5,14,4,7,16.0,2,0.22,0.21,0.21875
20,14,4,7,12.2,3,0.22,0.21,0.21916666666666665
16,21,4,7,8.4,4,0.22,0.21,0.21958333333333335
11,22,5,7,25.4,5,0.22,0.22,0.22
22,24,0,7,34.1,5,0.22,0.22,0.22
12,1,1,8,27.0,3,0.22,0.22,0.22
3,6,6,8,-4.7,5,0.22,0.22,0.22
7,12,5,8,23.6,3,0.22,0.22,0.22
12,25,4,8,30.5,1,0.22,0.22,0.22
17,26,5,8,30.8,3,0.22,0.22,0.22
13,30,2,8,6.1,4,0.22,0.22,0.22
18,30,2,8,39.2,5,0.22,0.22,0.22
12,3,6,9,-1.4,1,0.22,0.22,0.22
9,5,1,9,27.3,1,0.22,0.22,0.22
0,7,3,9,6.9,2,0.22,0.22,0.22
16,12,1,9,-2.4,4,0.22,0.22,0.22
17,18,0,9,-0.8,3,0.22,0.22,0.22
8,30,5,9,-9.2,5,0.22,0.22,0.22
8,4,2,10,24.5,3,0.22,0.22,0.22
17,15,6,10,0.9,2,0.22,0.22,0.22
10,18,2,10,31.7,3,0.22,0.22,0.22
3,31,1,10,21.0,5,0.22,0.22,0.22
0,11,5,11,4.9,2,0.22,0.22,0.22
19,6,2,12,16.8,2,0.22,0.22,0.22
14,7,3,12,14.4,2,0.22,0.22,0.22
19,8,4,12,24.3,1,0.22,0.22,0.22
21,13,2,12,39.7,1,0.22,0.22,0.22
19,14,3,12,37.5,3,0.22,0.22,0.22
8,20,2,12,38.2,3,0.22,0.22,0.22
3,26,1,12,28.2,3,0.22,0.22,0.22
21,10,1,1,-2.1,5,0.22,0.22,0.22
1,18,2,1,17.7,3,0.23,0.22,0.22041666666666668
7,18,5,2,2.7,3,0.23,0.22,0.22083333333333335
7,5,6,3,13.9,4,0.23,0.22,0.22124999999999997
12,7,1,3,31.4,3,0.23,0.22,0.22166666666666668
10,11,5,3,10.3,3,0.23,0.22,0.22208333333333333
21,20,0,3,-2.5,4,0.23,0.22,0.22250000000000003
2,31,4,3,21.6,4,0.23,0.22,0.22291666666666665
16,3,0,4,18.0,5,0.23,0.22,0.22333333333333336
17,5,2,4,21.3,1,0.23,0.22,0.22375
23,14,4,4,13.8,5,0.23,0.22,0.22416666666666665
0,19,2,4,5.7,5,0.23,0.22,0.22458333333333333
12,20,3,4,3.2,4,0.23,0.22,0.225
2,25,1,4,22.2,5,0.23,0.22,0.22541666666666668
2,4,3,5,-2.5,3,0.23,0.22,0.22583333333333333
6,18,3,5,-7.2,3,0.23,0.22,0.22624999999999998
4,25,3,5,9.7,2,0.23,0.22,0.22666666666666668
22,29,0,5,-6.2,2,0.23,0.22,0.22708333333333333
10,1,3,6,-3.9,4,0.23,0.22,0.2275
13,6,1,6,-1.1,3,0.23,0.22,0.22791666666666668
0,9,4,6,18.4,2,0.23,0.22,0.22833333333333336
10,12,0,6,26.5,4,0.23,0.22,0.22875
11,13,1,6,38.2,5,0.23,0.22,0.22916666666666666
22,13,1,6,-2.0,2,0.23,0.22,0.22958333333333336
22,17,5,6,3.4,1,0.23,0.23,0.23
5,27,1,6,35.3,1,0.23,0.23,0.23
23,5,2,7,14.3,3,0.23,0.23,0.23
20,29,5,7,30.5,2,0.23,0.23,0.23
5,31,0,7,39.3,4,0.23,0.23,0.23
21,15,1,8,-6.6,2,0.23,0.23,0.23
8,18,4,8,0.6,5,0.23,0.23,0.23
21,19,5,8,3.3,4,0.23,0.23,0.23
9,20,6,8,-4.2,1,0.23,0.23,0.23
12,24,3,8,23.5,3,0.23,0.23,0.23
19,15,4,9,19.0,4,0.23,0.23,0.23
14,17,6,9,14.1,5,0.23,0.23,0.23
5,21,3,9,37.6,4,0.23,0.23,0.23
2,24,6,9,9.9,4,0.23,0.23,0.23
3,24,6,9,17.1,4,0.23,0.23,0.23
13,25,0,9,18.6,5,0.23,0.23,0.23
9,6,4,10,-6.8,5,0.23,0.23,0.23
2,26,3,10,-4.2,5,0.23,0.23,0.23
9,27,4,10,-0.4,1,0.23,0.23,0.23
8,8,2,11,11.3,3,0.23,0.23,0.23
8,23,3,11,-7.1,5,0.23,0.23,0.23
9,24,4,11,28.1,3,0.23,0.23,0.23
21,26,6,11,0.5,3,0.23,0.23,0.23
17,29,2,11,15.3,4,0.23,0.23,0.23
6,5,1,12,19.0,3,0.23,0.23,0.23
0,11,0,12,31.5,1,0.23,0.23,0.23
5,14,3,12,32.8,2,0.23,0.23,0.23
8,17,6,12,4.0,2,0.23,0.23,0.23
11,18,0,12,32.5,4,0.23,0.23,0.23
6,25,0,12,19.6,5,0.23,0.23,0.23
17,16,0,1,27.1,1,0.23,0.23,0.23
21,16,0,1,21.4,5,0.24,0.23,0.2304166666666667
17,17,1,1,20.6,5,0.24,0.23,0.23083333333333336
1,27,4,1,28.3,3,0.24,0.23,0.23124999999999998
7,7,1,2,-4.2,3,0.24,0.23,0.23166666666666666
6,11,5,2,-10.0,4,0.24,0.23,0.23208333333333334
9,14,1,2,20.3,5,0.24,0.23,0.2325
