hour,day,weekday,month,Outdoor Temperature (C),Household Size,lag_1,lag_24,rolling_mean_24
8,21,5,10,0.7,5,0.2,0.2,0.2
10,21,5,10,-7.7,2,0.2,0.2,0.2
19,3,4,11,34.6,4,0.2,0.2,0.2
13,12,1,12,39.4,5,0.2,0.2,0.2
8,21,3,12,-8.7,5,0.2,0.2,0.2
17,1,6,1,8.4,4,0.2,0.2,0.2
9,3,1,1,30.6,3,0.21,0.2,0.2004166666666667
6,24,1,1,-4.0,3,0.21,0.2,0.20083333333333334
11,29,6,1,13.7,2,0.21,0.2,0.20125000000000004
12,14,1,2,-7.1,5,0.21,0.2,0.2016666666666667
20,18,5,2,12.9,4,0.21,0.2,0.20208333333333336
13,19,6,2,34.9,4,0.21,0.2,0.2025
10,26,6,2,7.1,2,0.21,0.2,0.20291666666666666
20,26,6,2,18.8,4,0.21,0.2,0.20333333333333334
19,4,5,3,37.2,3,0.21,0.2,0.20375000000000001
3,7,1,3,10.9,2,0.21,0.2,0.2041666666666667
2,8,2,3,-6.6,3,0.21,0.2,0.20458333333333334
9,11,5,3,13.3,4,0.21,0.2,0.205
10,11,5,3,-5.3,2,0.21,0.2,0.20541666666666666
3,14,1,3,-4.5,5,0.21,0.2,0.20583333333333334
11,16,3,3,33.1,4,0.21,0.2,0.20625000000000002
1,17,4,3,27.2,4,0.21,0.2,0.20666666666666667
2,17,4,3,21.8,4,0.21,0.2,0.2070833333333333
5,19,6,3,34.9,3,0.21,0.2,0.2075
12,27,0,3,-4.7,5,0.21,0.2,0.20791666666666664
2,6,3,4,8.0,5,0.21,0.2,0.20833333333333334
17,6,3,4,21.1,3,0.21,0.2,0.20875
0,9,6,4,30.2,4,0.21,0.2,0.20916666666666664
13,21,4,4,21.7,2,0.21,0.2,0.20958333333333332
11,2,1,5,-8.5,5,0.21,0.21,0.21
23,4,3,5,36.7,3,0.21,0.21,0.21
16,8,0,5,11.4,1,0.21,0.21,0.21
2,10,2,5,32.0,1,0.21,0.21,0.21
23,11,3,5,29.1,5,0.21,0.21,0.21
9,21,6,5,-2.1,2,0.21,0.21,0.21
23,28,6,5,24.0,4,0.21,0.21,0.21
9,13,1,6,25.9,1,0.21,0.21,0.21
17,26,0,6,25.2,4,0.21,0.21,0.21
