Appliance,LR_MAE,LR_RMSE,LR_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2,Best_Model
Fridge,0.009882334197638369,0.01223300589285089,-0.0039612025876265555,0.009854407046780566,0.012209150883428235,-4.9465316072305754e-05,LSTM
Lights,0.03596629183574939,0.0438012804917829,-0.006630675740613823,0.03592828950024735,0.04371093831895707,-0.0024825131190995275,LSTM
Washing Machine,0.03572469207754044,0.04381750458919051,-0.00441184280116369,0.03557743757298338,0.04373791124288242,-0.0007661814680117729,LSTM
TV,0.03612039227242867,0.04456721478804519,-0.0051461365617115895,0.036008526223444685,0.04446973847118881,-0.0007540830629622075,LSTM
Computer,0.035792716676897214,0.0447303381581229,-0.005811108850720226,0.0359059903908736,0.04462102772648124,-0.000901183716113696,LSTM
Microwave,0.03681948601417588,0.046121007365665476,-0.003907177863044176,0.03661306196292151,0.046050013842893395,-0.000818951567611359,LSTM
Oven,0.036890166768915086,0.04624568824317239,-0.0052209860704302,0.036892894108644096,0.04615199731130392,-0.0011520796298516434,LSTM
Dishwasher,0.037548566063381875,0.046930142227679654,-0.004165363085419038,0.0386740816287663,0.04730994286216865,-0.02048433713377329,Linear Regression
Heater,0.09823345443771428,0.12386052328580585,-0.0036715206442492487,0.09800587460758252,0.1237699823856112,-0.0022047077035554086,LSTM
Air Conditioning,0.10284345029544287,0.13001216518116393,-0.003706860016648994,0.1025507153033923,0.12987831160691554,-0.0016411980708836982,LSTM
