Appliance,LR_MAE,LR_RMSE,LR_R2,LSTM_MAE,LSTM_RMSE,LSTM_R2,Best_Model
Fridge,0.02753169359704301,0.1774628241025527,-210.28338066255606,0.00988889684704938,0.012206959721913787,0.0003094578047228014,LSTM
Lights,0.11399656654594278,0.8029850192673864,-337.3073498152607,0.036088366133787575,0.043791722744817005,-0.006191415907078612,LSTM
Washing Machine,0.0834829266113304,0.6019929239428249,-188.58296708541042,0.03558211680459107,0.04379365748601885,-0.0033188643123025496,LSTM
TV,0.10437374975617597,0.7156574986402499,-258.1842890025533,0.036185789583485915,0.04451461044572279,-0.0027747141379645957,LSTM
Computer,0.10021127821206643,0.6738512027601651,-227.26539676955542,0.03643216263844555,0.044933615945927284,-0.014973733120415167,LSTM
Microwave,0.08644538858367476,0.5143104954567066,-123.83798910217871,0.036728793982853364,0.04605072630812508,-0.0008499202541627504,LSTM
Oven,0.09043605169902479,0.5578336526241411,-145.26097818691414,0.03681801001106434,0.04621631162157366,-0.003944299810970664,LSTM
Dishwasher,0.0981884851185484,0.6472089779363954,-189.98117564004534,0.03820083452470663,0.04705945289236863,-0.009706713563193858,LSTM
Heater,0.23927389757281917,1.6873451158770283,-185.26601257657933,0.09844416198961364,0.12379842956492831,-0.002665452269034363,LSTM
Air Conditioning,0.2570578784126089,1.8418130424623909,-200.4327113714114,0.10323658425427124,0.12993284722553206,-0.002482548565469145,LSTM
