Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (ï¿½ï,Season,Household Size
94,Fridge,0.2,21:12,02-12-2023,-1,Fall,2
435,Oven,0.23,20:11,06-08-2023,31.1,Summer,5
466,Dishwasher,0.32,06:39,21-11-2023,21.3,Fall,3
496,Heater,3.92,21:56,21-01-2023,-4.2,Winter,1
137,Microwave,0.44,04:31,26-08-2023,34.5,Summer,5
68,Air Conditioning,4.68,11:36,06-05-2023,35.2,Spring,1
237,Computer,0.25,12:05,06-06-2023,6.8,Spring,3
329,Air Conditioning,3.5,03:34,12-12-2023,-1,Fall,4
336,Dishwasher,0.89,15:22,16-08-2023,7.9,Summer,1
310,Microwave,1.34,16:32,19-09-2023,9.3,Summer,5
368,Oven,0.64,11:19,19-10-2023,-7.3,Fall,3
115,Dishwasher,1.33,17:51,17-05-2023,39,Spring,2
41,Microwave,0.85,19:53,21-02-2023,-7.4,Winter,3
465,Oven,1.24,13:29,17-11-2023,20.3,Fall,5
94,Air Conditioning,2.88,00:13,15-05-2023,2.1,Spring,1
229,Heater,4.11,00:57,26-04-2023,-0.3,Spring,2
360,Fridge,0.12,08:40,24-10-2023,39.8,Fall,2
71,TV,1.65,04:16,09-08-2023,3,Summer,4
352,Dishwasher,1.62,17:18,20-12-2023,16.3,Fall,4
445,Dishwasher,1.33,04:17,30-10-2023,30.9,Fall,5
257,Computer,0.35,19:46,24-11-2023,12.4,Fall,5
133,Washing Machine,1.09,04:45,23-10-2023,6.5,Fall,3
372,Air Conditioning,3.05,19:43,16-10-2023,30.6,Fall,4
253,Heater,4.87,05:09,05-09-2023,29,Summer,2
59,Lights,1.02,03:42,22-12-2023,1.1,Fall,3
419,Oven,0.65,02:57,12-01-2023,5.3,Winter,4
466,Heater,2.03,16:04,05-06-2023,15.3,Spring,5
281,Oven,0.28,08:40,25-03-2023,19,Winter,5
257,Air Conditioning,4.84,10:06,20-11-2023,-8,Fall,4
120,Oven,0.38,19:45,02-03-2023,24.6,Winter,4
343,Washing Machine,1.17,15:54,08-07-2023,10.9,Summer,4
157,Microwave,0.3,15:19,13-10-2023,23.6,Fall,2
242,Lights,1.36,14:42,30-09-2023,39.6,Summer,4
321,Dishwasher,1.55,16:11,19-12-2023,1.3,Fall,1
19,TV,0.65,05:36,31-10-2023,20.3,Fall,4
114,TV,0.47,23:43,04-09-2023,15.7,Summer,2
405,Computer,1.53,14:09,29-07-2023,37.2,Summer,4
470,Oven,0.73,17:24,19-03-2023,19.5,Winter,1
484,Heater,2.88,01:50,31-05-2023,21.7,Spring,4
368,Computer,0.93,12:39,01-06-2023,21.6,Spring,4
414,TV,1.63,15:29,23-01-2023,36.6,Winter,4
383,Computer,0.79,08:12,03-03-2023,17.3,Winter,5
68,Microwave,1.01,12:52,08-11-2023,-0.4,Fall,1
50,Heater,2.54,07:43,31-08-2023,-2.4,Summer,4
156,Oven,1.33,14:17,05-05-2023,-4.3,Spring,1
10,Lights,1.63,22:22,28-07-2023,26.9,Summer,2
209,Oven,0.38,19:51,07-03-2023,32.3,Winter,4
102,Oven,1.88,01:26,22-03-2023,37.5,Winter,3
212,TV,1.34,06:06,25-11-2023,25.4,Fall,1
214,Air Conditioning,3.44,10:02,30-06-2023,34.6,Spring,4
358,Air Conditioning,2.61,05:53,17-04-2023,17.4,Spring,4
463,Washing Machine,0.95,20:56,01-07-2023,28.9,Summer,2
465,Washing Machine,0.49,23:16,06-01-2023,17.9,Winter,1
286,Air Conditioning,2.92,13:40,05-11-2023,-0.5,Fall,3
56,TV,1.12,14:36,09-10-2023,19.6,Fall,2
236,Air Conditioning,4.08,01:50,27-01-2023,22.5,Winter,1
131,TV,1.62,21:53,26-01-2023,6.5,Winter,3
435,Fridge,0.45,14:44,07-07-2023,33.5,Summer,1
285,Washing Machine,1.52,04:38,24-10-2023,11.4,Fall,1
399,TV,1.61,01:44,03-04-2023,5.2,Spring,4
165,Dishwasher,0.71,18:19,29-09-2023,-8,Summer,4
472,Computer,0.87,05:52,01-01-2024,-4.1,Winter,4
315,Fridge,0.4,00:07,02-08-2023,-7.4,Summer,5
41,Washing Machine,1.32,02:27,17-08-2023,6.7,Summer,2
403,Washing Machine,0.94,02:06,26-02-2023,10.8,Winter,1
181,Microwave,1.68,00:35,24-08-2023,21.5,Summer,1
325,TV,1.69,03:15,18-04-2023,24.1,Spring,3
349,TV,1.86,17:22,27-04-2023,32.9,Spring,5
218,Lights,1.29,19:32,21-05-2023,38.8,Spring,1
76,Computer,0.33,07:32,29-09-2023,-3.7,Summer,5
233,Air Conditioning,2.9,17:58,18-11-2023,34.1,Fall,4
449,TV,0.34,23:17,31-07-2023,13.3,Summer,5
408,Microwave,1.8,19:00,14-07-2023,5.6,Summer,1
265,Microwave,0.85,01:12,20-05-2023,20.5,Spring,5
496,Washing Machine,1.94,10:50,09-07-2023,21.8,Summer,3
90,Computer,0.83,20:03,13-11-2023,17.8,Fall,5
390,Air Conditioning,2.3,02:36,17-09-2023,17.5,Summer,5
165,Air Conditioning,4.69,18:43,23-01-2023,24.7,Winter,3
76,Dishwasher,0.3,14:06,02-07-2023,2,Summer,2
63,Oven,1.44,17:04,17-02-2023,19.8,Winter,1
401,TV,1.68,08:52,29-08-2023,32.1,Summer,1
492,Lights,0.27,18:43,23-04-2023,31.2,Spring,5
399,Microwave,1.3,15:17,14-06-2023,-8.7,Spring,4
492,Dishwasher,1.9,18:24,18-04-2023,15.5,Spring,2
372,Computer,1.61,14:57,30-07-2023,19.1,Summer,4
264,Oven,0.37,11:05,24-04-2023,25.8,Spring,2
7,Air Conditioning,2.45,01:06,25-05-2023,-4.9,Spring,3
355,Microwave,0.94,00:42,10-01-2023,39.9,Winter,4
92,Lights,1.1,12:12,30-12-2023,22.5,Fall,5
24,Microwave,0.2,06:29,11-04-2023,28.2,Spring,1
348,Microwave,1.68,12:25,06-12-2023,24.4,Fall,1
198,Washing Machine,1.08,03:41,09-01-2023,12.6,Winter,1
315,Air Conditioning,3.11,13:04,14-01-2023,1.5,Winter,2
499,TV,0.24,23:28,22-11-2023,2.3,Fall,4
258,Lights,1.34,03:17,23-12-2023,-0.6,Fall,1
465,Oven,0.92,17:52,16-11-2023,4.3,Fall,3
447,Microwave,0.58,17:50,11-07-2023,-1.8,Summer,1
439,TV,0.49,09:10,20-01-2023,30.6,Winter,5
384,Dishwasher,0.65,06:46,12-01-2023,-8.4,Winter,2
8,Computer,0.53,23:31,18-02-2023,28.1,Winter,5
410,Fridge,0.19,16:10,24-05-2023,37.3,Spring,5
396,Air Conditioning,4.11,19:01,03-07-2023,9.1,Summer,4
244,Oven,1.1,06:00,15-12-2023,11.5,Fall,2
462,Microwave,0.58,10:15,05-04-2023,33.5,Spring,4
355,Heater,4.65,14:17,16-02-2023,18.7,Winter,3
93,Air Conditioning,3.56,03:29,18-09-2023,4.4,Summer,1
487,Dishwasher,1.22,16:37,11-02-2023,39.1,Winter,5
370,Fridge,0.39,05:03,16-08-2023,11.9,Summer,4
63,Dishwasher,0.93,19:00,22-12-2023,22.6,Fall,3
445,Heater,2.34,09:02,25-05-2023,31.1,Spring,1
159,Heater,4.34,21:54,13-10-2023,24.2,Fall,1
234,Oven,1.68,23:42,29-04-2023,39.2,Spring,2
128,Heater,2.88,00:33,28-06-2023,39,Spring,3
332,Oven,1.93,09:34,13-10-2023,-5.9,Fall,4
71,Heater,4.4,11:23,25-08-2023,20.4,Summer,4
137,Oven,1.69,16:43,06-05-2023,24.7,Spring,1
12,Oven,1.14,17:43,17-03-2023,7,Winter,5
333,Fridge,0.16,23:00,19-09-2023,7.1,Summer,2
163,Washing Machine,0.52,10:33,28-04-2023,14.2,Spring,1
271,Washing Machine,0.78,23:36,18-02-2023,31.5,Winter,4
122,Microwave,0.83,14:43,07-02-2023,31,Winter,1
166,Computer,1.39,12:41,30-10-2023,-2.9,Fall,1
184,Air Conditioning,2.84,07:33,04-06-2023,-6.5,Spring,2
343,Washing Machine,0.92,20:47,05-10-2023,28.9,Fall,1
251,Dishwasher,0.51,09:08,07-09-2023,35.2,Summer,2
223,Washing Machine,0.62,00:38,06-04-2023,30.9,Spring,1
98,Oven,1.75,16:39,09-01-2023,30,Winter,3
30,Fridge,0.12,12:57,14-07-2023,33.6,Summer,5
376,TV,0.65,00:03,27-08-2023,6.7,Summer,2
372,Air Conditioning,4.55,11:28,11-08-2023,-2.3,Summer,5
110,Microwave,1.7,14:48,14-02-2023,18.1,Winter,4
332,Lights,0.75,19:47,19-01-2023,30.4,Winter,4
257,Washing Machine,1.55,00:27,11-02-2023,0.7,Winter,4
7,TV,0.68,04:22,09-06-2023,19,Spring,1
420,Heater,2.79,20:57,07-10-2023,25.8,Fall,3
125,Air Conditioning,4.85,12:47,08-04-2023,34.9,Spring,1
94,Washing Machine,0.22,11:41,25-06-2023,32.8,Spring,3
489,Computer,1.12,02:52,02-06-2023,0.4,Spring,5
253,Fridge,0.5,11:50,29-01-2023,-1.8,Winter,1
88,Dishwasher,1.78,17:35,14-02-2023,13.7,Winter,5
340,Air Conditioning,2.13,22:58,01-12-2023,9.5,Fall,2
259,Heater,2,09:48,06-07-2023,-6.9,Summer,1
425,Lights,0.3,23:06,12-03-2023,6.9,Winter,4
216,Lights,0.5,21:36,09-07-2023,27,Summer,4
419,Computer,1.38,17:01,17-01-2023,-1.8,Winter,3
64,Dishwasher,1.09,19:02,25-04-2023,39.1,Spring,2
49,TV,1.23,03:58,10-03-2023,9.8,Winter,2
322,Lights,1.01,10:48,22-06-2023,14.8,Spring,2
154,Fridge,0.38,18:23,10-05-2023,12.6,Spring,5
485,Computer,0.77,21:49,21-08-2023,25.5,Summer,1
404,Fridge,0.41,00:45,24-12-2023,36.3,Fall,2
227,Air Conditioning,2.21,18:33,10-12-2023,-1.3,Fall,3
406,Dishwasher,0.26,23:42,24-08-2023,15.8,Summer,1
385,Fridge,0.1,00:32,26-05-2023,17.1,Spring,5
288,Washing Machine,0.38,15:25,22-04-2023,-7.9,Spring,2
340,Air Conditioning,3.5,19:34,26-03-2023,36.9,Winter,2
285,Dishwasher,0.99,12:38,19-03-2023,36.7,Winter,4
80,Computer,1.7,03:54,22-09-2023,26.1,Summer,4
273,Heater,2.04,08:15,04-05-2023,-5.1,Spring,2
432,Computer,0.52,10:04,22-06-2023,9,Spring,3
252,Air Conditioning,3.24,17:52,30-06-2023,5,Spring,2
20,Dishwasher,1.45,22:54,13-07-2023,14.6,Summer,1
307,Washing Machine,0.64,01:54,31-08-2023,4.8,Summer,1
339,Air Conditioning,3.38,01:58,15-05-2023,22.2,Spring,2
270,Washing Machine,1.5,16:32,03-08-2023,35.5,Summer,2
256,Heater,2.85,01:11,15-06-2023,5.1,Spring,3
274,Fridge,0.5,13:46,20-12-2023,-2.1,Fall,1
125,Microwave,0.8,17:50,06-02-2023,-7.4,Winter,5
43,Computer,1.84,16:16,25-10-2023,4.9,Fall,5
246,Washing Machine,1.57,01:45,27-06-2023,33.1,Spring,5
180,Fridge,0.26,17:48,15-11-2023,38.6,Fall,5
489,Heater,2.89,19:48,13-02-2023,36.9,Winter,4
408,Microwave,0.39,14:08,24-01-2023,13,Winter,5
293,TV,0.43,10:15,28-08-2023,24.7,Summer,1
45,Washing Machine,0.68,11:16,23-09-2023,2.3,Summer,1
427,Air Conditioning,2.46,11:27,11-08-2023,32.8,Summer,5
108,Air Conditioning,2.52,08:53,30-12-2023,40,Fall,2
172,Air Conditioning,2.8,04:45,01-04-2023,17.8,Spring,5
312,Lights,1.06,13:18,28-03-2023,8.5,Winter,3
383,Heater,2.79,15:21,08-10-2023,-6.5,Fall,5
248,Oven,0.6,21:04,30-01-2023,0.6,Winter,1
71,Heater,2.44,23:27,27-01-2023,-2.2,Winter,1
137,Oven,1.15,15:39,23-01-2023,-8.3,Winter,4
91,Oven,0.81,00:38,09-11-2023,1.6,Fall,2
260,Dishwasher,1.49,15:46,21-01-2023,39.8,Winter,3
394,Heater,3.87,12:56,12-12-2023,37,Fall,1
288,Washing Machine,1.29,10:58,19-08-2023,38.5,Summer,5
346,Dishwasher,0.37,12:00,09-02-2023,-8.8,Winter,1
340,Dishwasher,0.88,09:29,09-01-2023,20.7,Winter,3
157,Heater,2.52,03:42,18-01-2023,37.1,Winter,3
245,Lights,1.73,09:31,28-12-2023,-7.6,Fall,5
109,Fridge,0.28,09:48,07-07-2023,2.3,Summer,2
81,Microwave,0.26,04:30,13-11-2023,30.9,Fall,5
476,Computer,1.9,21:39,26-05-2023,7,Spring,1
69,Lights,0.44,16:23,30-05-2023,10.9,Spring,5
53,TV,0.64,06:11,01-04-2023,7.6,Spring,2
416,Dishwasher,1.75,22:28,04-07-2023,37.4,Summer,1
68,Dishwasher,0.63,08:47,08-11-2023,38.1,Fall,4
45,Oven,1.6,14:35,12-11-2023,8.4,Fall,3
209,Lights,1.99,12:36,11-02-2023,0.9,Winter,5
151,Washing Machine,1.31,12:01,27-08-2023,15.3,Summer,5
304,Washing Machine,0.87,10:49,25-03-2023,8.3,Winter,1
329,Microwave,1.71,02:14,03-09-2023,39.8,Summer,5
432,Fridge,0.11,11:19,01-06-2023,5.1,Spring,4
153,Heater,4.83,02:30,24-07-2023,-3.6,Summer,4
232,Computer,0.37,03:11,06-06-2023,36.4,Spring,3
191,Air Conditioning,2.27,14:39,22-03-2023,0.3,Winter,3
320,Dishwasher,0.75,15:15,21-04-2023,-3.9,Spring,4
105,Washing Machine,0.85,12:05,10-05-2023,26.2,Spring,4
183,Washing Machine,1.07,00:11,06-11-2023,-5.3,Fall,5
