timestamp,Home ID,Appliance Type,Energy Consumption (kWh),Outdoor Temperature (°C),Season,Household Size
2023-12-02 21:12:00,94,Fridge,0.2,-1.0,Fall,2
2023-08-06 20:11:00,435,Oven,0.23,31.1,Summer,5
2023-11-21 06:39:00,466,Dishwasher,0.32,21.3,Fall,3
2023-01-21 21:56:00,496,Heater,3.92,-4.2,Winter,1
2023-08-26 04:31:00,137,Microwave,0.44,34.5,Summer,5
2023-05-06 11:36:00,68,Air Conditioning,4.68,35.2,Spring,1
2023-06-06 12:05:00,237,Computer,0.25,6.8,Spring,3
2023-12-12 03:34:00,329,Air Conditioning,3.5,-1.0,Fall,4
2023-08-16 15:22:00,336,Dishwasher,0.89,7.9,Summer,1
2023-09-19 16:32:00,310,Microwave,1.34,9.3,Summer,5
2023-10-19 11:19:00,368,Oven,0.64,-7.3,Fall,3
2023-05-17 17:51:00,115,Dishwasher,1.33,39.0,Spring,2
2023-02-21 19:53:00,41,Microwave,0.85,-7.4,Winter,3
2023-11-17 13:29:00,465,Oven,1.24,20.3,Fall,5
2023-05-15 00:13:00,94,Air Conditioning,2.88,2.1,Spring,1
2023-04-26 00:57:00,229,Heater,4.11,-0.3,Spring,2
2023-10-24 08:40:00,360,Fridge,0.12,39.8,Fall,2
2023-08-09 04:16:00,71,TV,1.65,3.0,Summer,4
2023-12-20 17:18:00,352,Dishwasher,1.62,16.3,Fall,4
2023-10-30 04:17:00,445,Dishwasher,1.33,30.9,Fall,5
2023-11-24 19:46:00,257,Computer,0.35,12.4,Fall,5
2023-10-23 04:45:00,133,Washing Machine,1.09,6.5,Fall,3
2023-10-16 19:43:00,372,Air Conditioning,3.05,30.6,Fall,4
2023-09-05 05:09:00,253,Heater,4.87,29.0,Summer,2
2023-12-22 03:42:00,59,Lights,1.02,1.1,Fall,3
2023-01-12 02:57:00,419,Oven,0.65,5.3,Winter,4
2023-06-05 16:04:00,466,Heater,2.03,15.3,Spring,5
2023-03-25 08:40:00,281,Oven,0.28,19.0,Winter,5
2023-11-20 10:06:00,257,Air Conditioning,4.84,-8.0,Fall,4
2023-03-02 19:45:00,120,Oven,0.38,24.6,Winter,4
2023-07-08 15:54:00,343,Washing Machine,1.17,10.9,Summer,4
2023-10-13 15:19:00,157,Microwave,0.3,23.6,Fall,2
2023-09-30 14:42:00,242,Lights,1.36,39.6,Summer,4
2023-12-19 16:11:00,321,Dishwasher,1.55,1.3,Fall,1
2023-10-31 05:36:00,19,TV,0.65,20.3,Fall,4
2023-09-04 23:43:00,114,TV,0.47,15.7,Summer,2
2023-07-29 14:09:00,405,Computer,1.53,37.2,Summer,4
2023-03-19 17:24:00,470,Oven,0.73,19.5,Winter,1
2023-05-31 01:50:00,484,Heater,2.88,21.7,Spring,4
2023-06-01 12:39:00,368,Computer,0.93,21.6,Spring,4
2023-01-23 15:29:00,414,TV,1.63,36.6,Winter,4
2023-03-03 08:12:00,383,Computer,0.79,17.3,Winter,5
2023-11-08 12:52:00,68,Microwave,1.01,-0.4,Fall,1
2023-08-31 07:43:00,50,Heater,2.54,-2.4,Summer,4
2023-05-05 14:17:00,156,Oven,1.33,-4.3,Spring,1
2023-07-28 22:22:00,10,Lights,1.63,26.9,Summer,2
2023-03-07 19:51:00,209,Oven,0.38,32.3,Winter,4
2023-03-22 01:26:00,102,Oven,1.88,37.5,Winter,3
2023-11-25 06:06:00,212,TV,1.34,25.4,Fall,1
2023-06-30 10:02:00,214,Air Conditioning,3.44,34.6,Spring,4
2023-04-17 05:53:00,358,Air Conditioning,2.61,17.4,Spring,4
2023-07-01 20:56:00,463,Washing Machine,0.95,28.9,Summer,2
2023-01-06 23:16:00,465,Washing Machine,0.49,17.9,Winter,1
2023-11-05 13:40:00,286,Air Conditioning,2.92,-0.5,Fall,3
2023-10-09 14:36:00,56,TV,1.12,19.6,Fall,2
2023-01-27 01:50:00,236,Air Conditioning,4.08,22.5,Winter,1
2023-01-26 21:53:00,131,TV,1.62,6.5,Winter,3
2023-07-07 14:44:00,435,Fridge,0.45,33.5,Summer,1
2023-10-24 04:38:00,285,Washing Machine,1.52,11.4,Fall,1
2023-04-03 01:44:00,399,TV,1.61,5.2,Spring,4
2023-09-29 18:19:00,165,Dishwasher,0.71,-8.0,Summer,4
2024-01-01 05:52:00,472,Computer,0.87,-4.1,Winter,4
2023-08-02 00:07:00,315,Fridge,0.4,-7.4,Summer,5
2023-08-17 02:27:00,41,Washing Machine,1.32,6.7,Summer,2
2023-02-26 02:06:00,403,Washing Machine,0.94,10.8,Winter,1
2023-08-24 00:35:00,181,Microwave,1.68,21.5,Summer,1
2023-04-18 03:15:00,325,TV,1.69,24.1,Spring,3
2023-04-27 17:22:00,349,TV,1.86,32.9,Spring,5
2023-05-21 19:32:00,218,Lights,1.29,38.8,Spring,1
2023-09-29 07:32:00,76,Computer,0.33,-3.7,Summer,5
2023-11-18 17:58:00,233,Air Conditioning,2.9,34.1,Fall,4
2023-07-31 23:17:00,449,TV,0.34,13.3,Summer,5
2023-07-14 19:00:00,408,Microwave,1.8,5.6,Summer,1
2023-05-20 01:12:00,265,Microwave,0.85,20.5,Spring,5
2023-07-09 10:50:00,496,Washing Machine,1.94,21.8,Summer,3
2023-11-13 20:03:00,90,Computer,0.83,17.8,Fall,5
2023-09-17 02:36:00,390,Air Conditioning,2.3,17.5,Summer,5
2023-01-23 18:43:00,165,Air Conditioning,4.69,24.7,Winter,3
2023-07-02 14:06:00,76,Dishwasher,0.3,2.0,Summer,2
2023-02-17 17:04:00,63,Oven,1.44,19.8,Winter,1
2023-08-29 08:52:00,401,TV,1.68,32.1,Summer,1
2023-04-23 18:43:00,492,Lights,0.27,31.2,Spring,5
2023-06-14 15:17:00,399,Microwave,1.3,-8.7,Spring,4
2023-04-18 18:24:00,492,Dishwasher,1.9,15.5,Spring,2
2023-07-30 14:57:00,372,Computer,1.61,19.1,Summer,4
2023-04-24 11:05:00,264,Oven,0.37,25.8,Spring,2
2023-05-25 01:06:00,7,Air Conditioning,2.45,-4.9,Spring,3
2023-01-10 00:42:00,355,Microwave,0.94,39.9,Winter,4
2023-12-30 12:12:00,92,Lights,1.1,22.5,Fall,5
2023-04-11 06:29:00,24,Microwave,0.2,28.2,Spring,1
2023-12-06 12:25:00,348,Microwave,1.68,24.4,Fall,1
2023-01-09 03:41:00,198,Washing Machine,1.08,12.6,Winter,1
2023-01-14 13:04:00,315,Air Conditioning,3.11,1.5,Winter,2
2023-11-22 23:28:00,499,TV,0.24,2.3,Fall,4
2023-12-23 03:17:00,258,Lights,1.34,-0.6,Fall,1
2023-11-16 17:52:00,465,Oven,0.92,4.3,Fall,3
2023-07-11 17:50:00,447,Microwave,0.58,-1.8,Summer,1
2023-01-20 09:10:00,439,TV,0.49,30.6,Winter,5
2023-01-12 06:46:00,384,Dishwasher,0.65,-8.4,Winter,2
2023-02-18 23:31:00,8,Computer,0.53,28.1,Winter,5
2023-05-24 16:10:00,410,Fridge,0.19,37.3,Spring,5
2023-07-03 19:01:00,396,Air Conditioning,4.11,9.1,Summer,4
2023-12-15 06:00:00,244,Oven,1.1,11.5,Fall,2
2023-04-05 10:15:00,462,Microwave,0.58,33.5,Spring,4
2023-02-16 14:17:00,355,Heater,4.65,18.7,Winter,3
2023-09-18 03:29:00,93,Air Conditioning,3.56,4.4,Summer,1
2023-02-11 16:37:00,487,Dishwasher,1.22,39.1,Winter,5
2023-08-16 05:03:00,370,Fridge,0.39,11.9,Summer,4
2023-12-22 19:00:00,63,Dishwasher,0.93,22.6,Fall,3
2023-05-25 09:02:00,445,Heater,2.34,31.1,Spring,1
2023-10-13 21:54:00,159,Heater,4.34,24.2,Fall,1
2023-04-29 23:42:00,234,Oven,1.68,39.2,Spring,2
2023-06-28 00:33:00,128,Heater,2.88,39.0,Spring,3
2023-10-13 09:34:00,332,Oven,1.93,-5.9,Fall,4
2023-08-25 11:23:00,71,Heater,4.4,20.4,Summer,4
2023-05-06 16:43:00,137,Oven,1.69,24.7,Spring,1
2023-03-17 17:43:00,12,Oven,1.14,7.0,Winter,5
2023-09-19 23:00:00,333,Fridge,0.16,7.1,Summer,2
2023-04-28 10:33:00,163,Washing Machine,0.52,14.2,Spring,1
2023-02-18 23:36:00,271,Washing Machine,0.78,31.5,Winter,4
2023-02-07 14:43:00,122,Microwave,0.83,31.0,Winter,1
2023-10-30 12:41:00,166,Computer,1.39,-2.9,Fall,1
2023-06-04 07:33:00,184,Air Conditioning,2.84,-6.5,Spring,2
2023-10-05 20:47:00,343,Washing Machine,0.92,28.9,Fall,1
2023-09-07 09:08:00,251,Dishwasher,0.51,35.2,Summer,2
2023-04-06 00:38:00,223,Washing Machine,0.62,30.9,Spring,1
2023-01-09 16:39:00,98,Oven,1.75,30.0,Winter,3
2023-07-14 12:57:00,30,Fridge,0.12,33.6,Summer,5
